"","ARE","AUS","AUT","BEL","BGD","BMU","CAN","CHE","CIV","CSK","DEU","DNK","EGY","ESP","ETH","FIN","FRA","GBR","GRC","GRL","HKG","IDN","IRL","ISL","ISR","ITA","JOR","JPN","LKA","MAR","MYS","NCL","NLD","NOR","NZL","PAK","PER","PHL","SAU","SGP","SWE","THA","TTO","TUR","USA","YUG","ARG","BRA","GLP","HUN","PRT","CRI","DOM","ECU","NIC","AFG","BDI","BGR","BHR","BHS","BOL","BRB","CHL","CHN","CMR","COL","CUB","CYP","DDR","DZA","FJI","GHA","GTM","GUY","HND","IND","IRN","IRQ","JAM","KEN","KHM","KNA","KOR","KWT","LBN","LBR","LBY","MAC","MEX","MLT","MMR","MOZ","MUS","MWI","NGA","NPL","OMN","PNG","POL","PRK","QAT","ROU","SDN","SEN","SOM","SUN","SYC","SYR","TUN","TZA","UGA","URY","VEN","YMD","ZAF","AGO","ALB","BEN","BLZ","CAF","COD","COG","DJI","GAB","GIB","GIN","GUF","HTI","MRT","NER","PAN","PRY","SLV","SUR","TCD","TGO","VNM","ZMB","ZWE","BFA","FLK","GMB","GNB","KIR","LAO","MDG","MLI","MNG","RWA","SLE","WSM","GNQ","SHN","SPM"
"PAN",0,4177000,13729000,31256000,343000,196000,14804000,118966000,43000,0,97201000,3031000,2003000,13684000,246000,6929000,12924000,11907000,1880000,0,7773000,597000,1121000,925000,625000,43826000,0,107938000,1000,0,3813000,14000,13457000,41903000,33000,425000,22179000,156000,2840000,68037000,16031000,1591000,1956000,575000,282436000,181000,25620000,35804000,98000,0,989000,14198000,11426000,2294000,12247000,0,0,0,0,99000,36000,30000,295000,0,0,174839000,457000,226000,0,0,0,0,2430000,0,9147000,0,0,0,149000,0,0,0,36000,0,133000,15000,0,0,860000,0,0,0,0,0,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12509000,0,0,0,0,0,22000,0,0,0,0,0,0,0,787000,29000,0,0,0,1000,23859000,172000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRY",0,102000,4449000,6250000,0,0,893000,11032000,270000,0,29610000,8656000,0,39026000,0,6000,26910000,5603000,283000,0,2782000,2032000,240000,0,588000,37227000,0,19424000,0,699000,4718000,2000,9003000,6041000,0,0,1454000,0,981000,1335000,895000,76000,0,35000,31498000,3027000,49372000,169905000,0,0,18584000,16000,101000,4000,0,0,0,0,0,0,0,0,0,0,31000,1779000,0,77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,109000,15115000,1487000,2000,0,16920000,2159000,77000,0,151013000,3743000,0,4359000,0,521000,8803000,3529000,9000,0,1976000,0,151000,0,0,14233000,0,22743000,0,0,0,12000,8037000,129000,162000,57000,37000,0,402000,0,2838000,0,107000,1000,322792000,2122000,42000,185000,13000,0,1631000,22696000,1556000,19000,17929000,0,0,0,0,5000,0,9000,112000,0,0,518000,0,64000,0,0,0,0,131401000,0,3826000,0,0,0,3000,0,0,0,1336000,67000,0,0,0,0,95000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,648000,0,0,0,0,0,0,0,1000,54000,0,0,5734000,0,0,103000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUR",0,0,1185000,1509000,0,68000,6060000,376000,0,0,48334000,117000,0,2318000,0,12000,19384000,13287000,21000,0,0,0,9000,0,573000,14432000,0,19298000,38000,0,0,0,95940000,66186000,0,8000,0,0,91000,0,2379000,0,1800000,0,67416000,0,8592000,212000,10890000,0,2473000,0,603000,0,0,0,0,0,0,0,0,0,0,0,0,88000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2293000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,1068000,1985000,0,0,0,214000,9000,0,6063000,347000,0,2002000,0,0,5411000,5000,31000,0,0,0,0,0,0,1573000,6000,650000,0,0,0,0,0,2000,0,44000,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,12163000,0,0,0,0,0,0,0,0,0,0,0,0,0,10528000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TGO",0,30000,67000,14419000,0,0,77000,2218000,18830000,0,14112000,1811000,0,5665000,0,317000,45919000,2771000,3163000,0,0,0,397000,0,0,13095000,0,2476000,0,2062000,395000,0,31375000,596000,0,0,0,0,0,0,125000,0,0,3212000,10704000,55102000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VNM",0,675000,673000,93000,2000,0,130000,1299000,0,10384000,3895000,15000,0,319000,0,0,5754000,233000,29000,0,81928000,4393000,0,1000,0,690000,63000,36018000,2344000,6479000,2140000,59000,141000,3000,27000,28000,1e+05,0,54000,21115000,31000,835000,0,0,0,232000,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZMB",0,1306000,3753000,16352000,4000,3000,1562000,12839000,1157000,0,58224000,7000,5929000,428000,1000,8359000,125370000,69537000,12473000,0,60000,11756000,18000,4000,53000,113875000,0,227157000,25000,0,4886000,0,17444000,24000,5000,0,0,0,42000,970000,28370000,8139000,18000,0,32948000,56424000,0,9715000,0,0,1366000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,167000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZWE",0,3643000,18189000,11552000,2000,10000,0,17613000,382000,423000,104200000,7450000,9235000,24324000,724000,4150000,34872000,109361000,2464000,0,6816000,0,3219000,0,0,53391000,4430000,45141000,959000,0,1045000,0,18047000,994000,2339000,0,0,3248000,5965000,0,9614000,6591000,0,342000,87058000,0,279000,6000,0,0,13677000,0,0,0,10000,0,0,0,0,0,0,0,0,0,4218000,0,0,1581000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,412000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFA",0,0,235000,83000,0,0,0,172000,988000,0,6107000,10775000,0,548000,0,1000,10161000,2256000,142000,0,0,0,404000,0,2000,3613000,0,11276000,7000,495000,0,0,884000,3000,0,0,0,0,0,0,1045000,592000,0,0,137000,19000,0,0,1000,0,56000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLK",0,3000,7000,0,0,0,0,0,0,0,10000,0,0,108000,0,0,79000,4497000,7000,0,0,0,0,0,0,15000,0,550000,0,0,0,0,28000,0,0,191000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,8000,1454000,0,0,25000,7285000,1000,0,740000,1000,0,358000,0,0,4592000,3550000,339000,0,812000,0,0,0,12000,5376000,0,0,5000,0,0,0,496000,0,0,0,2000,6000,19000,0,0,0,0,0,115000,367000,0,0,0,0,889000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNB",0,0,376000,0,0,0,0,186000,34000,0,3590000,0,0,2419000,0,190000,1922000,951000,44000,0,0,0,235000,0,0,727000,36000,2000,0,0,0,0,3523000,2000,0,0,12000,1000,0,0,38000,0,0,0,172000,28000,0,0,0,0,5101000,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",0,1074000,1000,403000,21000,0,0,226000,2000,0,13288000,2045000,0,40000,0,1000,1010000,7605000,37000,0,103000,0,12000,11000,0,1990000,0,44166000,5000,0,42000,1316000,1182000,3756000,1462000,0,0,0,17000,205000,1647000,775000,0,0,2703000,0,0,0,147000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5866000,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304000,0,0,0,0,0,0,2000,0,0,0
"LAO",0,5000,3000,41000,0,0,0,0,0,0,4000,9000,43000,22000,0,0,5000,622000,0,0,967000,4000,0,0,0,70000,32000,1157000,0,0,10934000,0,2000,0,0,18000,4000,0,63000,1029000,0,1684000,0,11000,1401000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDG",0,388000,801000,2324000,48000,0,196000,2015000,38000,0,26486000,1687000,0,2537000,0,482000,85054000,5871000,506000,0,572000,52264000,27000,1000,0,11406000,0,40546000,0,950000,335000,39000,1712000,2e+05,20000,46000,1000,2e+05,265000,35574000,563000,44000,0,21000,65841000,32000,0,37000,545000,0,3311000,12000,0,1000,0,0,0,0,0,0,0,0,0,0,9000,2000,0,8000,0,0,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLI",0,0,0,374000,0,0,0,222000,2172000,0,10012000,2611000,0,2101000,0,24000,15949000,5924000,60000,0,0,0,751000,1000,0,2508000,38000,4133000,0,9000,0,0,1432000,11000,0,0,0,0,103000,0,814000,437000,80000,2000,1019000,5000,0,0,0,0,606000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNG",0,0,54000,112000,0,0,0,622000,0,0,601000,34000,0,38000,0,11000,1030000,6757000,0,0,31000,0,0,0,0,520000,81000,8e+06,0,0,0,0,161000,17000,11000,29000,0,0,32000,0,33000,0,0,0,3691000,3239000,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RWA",0,66000,121000,2692000,0,0,0,15000,1000,0,17335000,997000,0,39000,0,3230000,3780000,891000,8000,0,0,0,47000,0,0,3220000,0,2495000,0,0,0,0,1574000,2000,0,157000,0,0,0,0,6786000,0,0,0,34860000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLE",0,0,9000,20975000,0,0,0,1886000,15000,0,20719000,73000,0,555000,162000,50000,1042000,18724000,6000,0,2000,0,8000,0,0,194000,4797000,811000,1872000,4000,1562000,0,6588000,0,0,30000,5000,0,27000,0,44000,0,203000,0,37148000,40000,0,0,0,0,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WSM",0,998000,39000,0,0,0,7000,160000,0,0,1377000,0,0,5000,0,0,2000,187000,0,0,182000,0,0,0,0,1000,0,3960000,3000,0,0,18000,309000,0,4540000,0,0,0,0,1000,262000,0,0,0,2908000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,232000,2000,0,0,230000,0,0,5907000,0,191000,11204000,0,0,1889000,272000,67000,0,0,0,9000,0,0,1153000,0,38000,0,594000,0,0,4948000,0,0,99000,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHN",0,0,0,287000,0,0,0,0,0,0,34000,0,0,0,0,0,436000,1321000,89000,0,0,0,0,0,0,41000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,3e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPM",0,0,0,63000,0,0,409000,0,30000,0,22000,110000,0,2115000,0,0,1679000,443000,23000,0,0,0,0,0,0,2985000,0,1000,0,0,0,0,103000,0,0,0,0,0,0,6000,0,0,0,0,4952000,0,0,0,0,0,0,2000,0,2000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353000,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
