"","AUS","AUT","BEL","BGR","CAN","CHE","CHN","COD","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","HKG","HUN","IND","IRL","IRN","IRQ","ISR","ITA","JOR","JPN","LBN","MEX","MYS","NLD","NOR","NZL","PAK","POL","PRY","SAU","SEN","SGP","SUN","SWE","SYR","THA","USA","VEN","YUG","ARG","BRA","CAF","CIV","COG","COL","GRC","MAR","MDG","NGA","PAN","PHL","PRT","BFA","GHA","LBY","AGO","ALB","BDI","BEN","BOL","CHL","CMR","CRI","CUB","CYP","DOM","DZA","ECU","GAB","GLP","GNQ","GTM","HND","HTI","IDN","ISL","JAM","KEN","KIR","KOR","KWT","LAO","LBR","LKA","MLT","MMR","MRT","NCL","NIC","OMN","PER","ROU","RWA","SDN","SLV","SOM","TCD","TGO","TTO","TUN","TUR","TZA","UGA","URY","VNM","ZAF","ZMB","ZWE","AFG","BHR","BHS","BMU","BRB","DDR","DJI","ETH","FJI","GIN","GMB","GNB","GUF","GUY","KHM","MNG","MOZ","MUS","MWI","NER","NPL","PNG","PRK","QAT","SLE","SUR","WSM","YMD","MLI","SPM","GIB","BLZ","SYC","KNA","MAC","GRL"
"LBN",58000,1056000,8240000,0,45000,1769000,0,4000,0,5992000,3319000,2065000,3246000,148000,2755000,5934000,122000,0,99000,11000,3283000,0,0,7620000,12242000,433000,0,1000,264000,26616000,284000,5000,299000,0,0,0,104000,262000,0,1669000,0,17000,5533000,162000,161000,0,4000,0,23000,1000,0,1332000,411000,2000,242000,1000,0,212000,0,122000,3823000,0,0,0,0,1000,1000,5000,0,0,0,0,0,1000,1000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,1696000,0,0,1000,0,0,0,0,0,0,1262000,1000,0,11000,0,0,77000,1556000,0,0,0,34000,0,0,0,666000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0
"MEX",3811000,2934000,7324000,0,25208000,8755000,2466000,8000,556000,64907000,4380000,11593000,11726000,467000,41219000,28963000,4647000,0,802000,306000,6000,4000,1331000,39493000,5000,144794000,344000,0,425000,10355000,648000,1392000,2000,58006000,53000,127000,568000,763000,65000,3327000,5000,1647000,637928000,9029000,626000,6906000,9176000,3000,84000,1000,5981000,197000,480000,0,145000,2030000,4141000,2860000,0,0,5000,0,0,0,0,333000,18941000,0,2760000,1606000,1000,324000,2000,1441000,0,6000,0,4335000,966000,50000,2000,1000,103000,0,0,817000,96000,13000,351000,3000,0,8000,0,141000,2193000,0,3758000,1000,0,0,2960000,0,0,0,227000,2216000,164000,0,0,829000,372000,1350000,206000,0,4000,0,13544000,14000,0,14000,0,5000,0,0,0,0,0,26000,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,3000,0,0,0,0,0,0,0
"MYS",36326000,4743000,7799000,593000,37252000,5002000,1402000,5000,1286000,58137000,4819000,4254000,17985000,3899000,49054000,138049000,11247000,11000,26195000,2613000,3869000,8685000,414000,46331000,8e+05,262567000,98000,4640000,19261000,9421000,2144000,15002000,6102000,12435000,0,446000,31000,360896000,73706000,10795000,184000,8050000,211903000,1004000,6457000,19323000,1612000,0,17000,0,2685000,1936000,2734000,426000,41000,14000,12690000,2569000,0,26000,2000,0,0,0,0,2000,1445000,0,2000,9000,22000,5000,0,32000,0,0,0,479000,5000,0,110000,8000,0,401000,1000,7955000,81000,1823000,76000,1929000,0,4099000,0,0,0,0,445000,580000,0,288000,0,0,0,1000,223000,23000,874000,67000,0,282000,13619000,8589000,964000,0,49000,81000,0,0,0,13000,0,0,45000,0,0,0,0,0,2e+05,0,954000,204000,0,0,0,21000,0,0,0,0,2000,530000,0,0,0,0,0,0,0,0
"NLD",43128000,66727000,964055000,11494000,49495000,133049000,15088000,6338000,11844000,1612506000,132488000,12117000,114325000,58044000,519720000,759065000,21466000,7604000,37134000,28161000,24114000,4559000,31861000,284606000,4179000,43439000,9825000,18633000,20731000,0,100140000,14386000,14433000,9913000,618000,14675000,4368000,16251000,28004000,236160000,3771000,24022000,251305000,27668000,21869000,18647000,18891000,836000,4770000,1758000,7111000,33171000,11762000,2957000,29192000,3628000,23165000,23206000,766000,22756000,9314000,1957000,85000,876000,1551000,4463000,10407000,2656000,3758000,2661000,3373000,2662000,5118000,3270000,1684000,1812000,445000,3673000,2222000,795000,26247000,7053000,2153000,3515000,244000,2792000,7115000,55000,7752000,9895000,3845000,9899000,132000,1061000,3890000,2317000,17629000,3175000,0,6370000,8603000,152000,637000,1417000,4008000,3577000,13368000,4443000,702000,924000,1975000,38555000,1242000,4670000,1199000,1788000,0,1871000,0,18441000,849000,2501000,0,276000,230000,1471000,150000,3404000,892000,0,3848000,673000,532000,1789000,14000,0,4578000,2369000,2943000,8795000,25000,5379000,173000,90000,0,0,0,0,0,0
"NOR",11010000,8870000,26333000,4784000,31084000,14446000,1470000,528000,7996000,213575000,106897000,3239000,17422000,27665000,50382000,295846000,1728000,4300000,4264000,3929000,4074000,943000,17235000,41036000,290000,9443000,1770000,3114000,1031000,48998000,0,1874000,1357000,7408000,71000,208000,145000,2892000,9355000,238297000,151000,1617000,124373000,4083000,2623000,4009000,8541000,11000,418000,26000,272000,10258000,824000,125000,15997000,431000,1616000,7116000,0,953000,179000,1344000,0,27000,276000,216000,2609000,677000,283000,429000,594000,1470000,249000,682000,15000,56000,0,292000,82000,1386000,76000,8532000,925000,1310000,9000,133000,2441000,1000,23210000,1322000,216000,829000,0,346000,51000,30000,4210000,1631000,0,845000,168000,28000,2000,64000,863000,514000,2029000,1203000,163000,38000,65000,8057000,112000,744000,3000,247000,0,3699000,0,9823000,14000,631000,0,84000,2000,0,1000,138000,81000,0,993000,46000,12000,1000,0,0,0,0,101000,132000,3000,186000,0,0,0,0,0,0,0,0
"NZL",49485000,1458000,32284000,643000,13756000,1898000,6837000,0,139000,44643000,3438000,374000,3795000,2527000,61203000,583234000,1985000,215000,2835000,3078000,133000,1000,775000,30619000,51000,61248000,12000,640000,5199000,13583000,1815000,0,109000,3043000,0,33000,5000,7094000,4754000,6332000,15000,523000,129984000,112000,1655000,93000,195000,0,2000,0,30000,5390000,65000,0,613000,947000,5149000,3709000,0,937000,3000,0,0,2000,1000,2000,2269000,0,0,0,1740000,0,0,9000,0,442000,0,1000,0,29000,7000,67000,4694000,276000,1599000,851000,51000,2000,0,9e+05,33000,448000,1000,2976000,0,0,2708000,79000,2000,4000,0,7000,0,0,4399000,0,1000,45000,1000,32000,1000,12725000,78000,237000,13000,0,409000,1166000,1455000,1089000,0,7000,4590000,0,0,0,16000,154000,0,0,464000,163000,3000,0,0,279000,0,0,0,14000,2027000,482000,0,0,0,0,0,0,0,0
"PAK",15722000,1134000,23319000,16000,3379000,1290000,43098000,52000,3287000,24234000,1871000,6284000,6636000,302000,23986000,76620000,20097000,1195000,27397000,3284000,2068000,2400000,68000,7880000,343000,26526000,745000,56000,2377000,6276000,191000,654000,0,6617000,98000,4356000,121000,3525000,5574000,3544000,14000,813000,44751000,71000,4638000,5843000,10000,9000,831000,18000,17000,1569000,1204000,614000,11822000,3000,1334000,5235000,12000,297000,132000,3481000,0,12000,45000,13000,818000,486000,1000,8314000,474000,1000,59000,2000,1000,0,269000,172000,10000,2000,14696000,5000,145000,5164000,25000,5000,6856000,76000,11000,9658000,11000,13062000,0,0,150000,6788000,3205000,890000,0,952000,4000,79000,41000,310000,0,536000,711000,1290000,212000,365000,993000,4212000,6066000,0,4713000,4026000,786000,1000,0,0,149000,1480000,0,29000,7000,0,0,121000,508000,0,13014000,643000,0,270000,7000,178000,1000,154000,0,25000,0,3127000,220000,0,0,0,0,0,0,0
"POL",2646000,45446000,13555000,0,10929000,13236000,0,205000,0,108708000,32334000,10593000,17705000,31575000,31194000,135791000,908000,0,28821000,8047000,3689000,0,5537000,61201000,1510000,1948000,0,857000,389000,14985000,10552000,65000,6665000,0,16000,0,156000,225000,0,38215000,0,2927000,65864000,2723000,57043000,3841000,7075000,0,979000,1000,1707000,9899000,7584000,284000,3960000,248000,1000,4054000,34000,19832000,2849000,0,0,48000,327000,117000,375000,89000,114000,0,0,0,0,301000,9000,0,0,0,407000,0,0,2953000,0,0,0,0,0,0,0,7198000,0,6225000,15000,0,0,0,3000,0,0,3771000,5000,0,20000,274000,0,3972000,6156000,0,0,0,0,0,0,0,1485000,0,0,0,0,0,0,0,0,0,0,0,0,0,2483000,0,0,0,0,74000,0,0,0,0,0,0,1000,0,744000,0,0,0,0,0,0,0
"PRY",24000,70000,1673000,0,420000,780000,0,1000,0,5801000,1002000,0,4813000,103000,3674000,5349000,9000,0,102000,5000,18000,0,5000,4531000,9000,474000,1000,16000,0,1419000,83000,0,0,0,0,0,7000,0,0,240000,5000,0,13229000,6000,0,19389000,471000,0,31000,0,37000,165000,5000,0,0,3000,1000,2000,0,22000,0,0,0,23000,0,3000,1090000,22000,0,0,0,0,32000,4000,0,0,0,44000,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,471000,0,0,0,0,0,0,0,0,22000,0,0,0,2222000,9000,51000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAU",55068000,3000,14158000,0,38955000,3000,0,578000,0,132289000,13566000,175000,94300000,0,49377000,78690000,1948000,0,21926000,4673000,7000,0,0,186447000,6143000,231378000,0,21000,16363000,41134000,12252000,3255000,583000,0,0,0,6000,8770000,0,11807000,0,388000,105811000,17000,198000,0,10423000,1000,1000,18000,0,19830000,2012000,20000,15000,0,16374000,665000,0,0,0,0,0,66000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,34000,0,0,5000,0,0,269000,19584000,0,0,0,782000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,127000,0,0,0,0,0,0,0,0,0
"SEN",192000,0,616000,0,62000,99000,0,8000,0,5176000,2394000,7000,919000,75000,115293000,3597000,0,0,0,1270000,0,0,0,2270000,0,4240000,22000,0,0,954000,2651000,0,1000,66000,0,0,0,0,371000,1387000,19000,20000,16269000,0,0,5000,5000,308000,3850000,240000,3000,65000,79000,2714000,287000,0,0,1042000,1077000,164000,18000,0,0,0,1349000,0,0,618000,6000,0,0,0,79000,0,364000,0,0,0,0,0,0,262000,389000,1000,0,0,0,0,58000,0,1000,0,139000,11000,0,0,0,0,0,0,0,0,136000,429000,0,0,0,0,0,1000,0,1383000,309000,0,0,0,0,0,0,0,1000,0,0,131000,79000,1000,2000,0,1000,0,0,0,0,1247000,0,0,0,0,44000,0,0,0,563000,0,0,0,0,0,0,0
"SGP",30633000,47000,2175000,3188000,8726000,613000,7321000,32000,5016000,18964000,2692000,2223000,6789000,1307000,15009000,62857000,41593000,102000,1437000,1000,157000,3268000,1055000,14254000,119000,32717000,1723000,2420000,112663000,11385000,6920000,10201000,201000,3186000,0,2070000,0,0,41352000,3255000,280000,6670000,40785000,319000,2046000,6672000,3000,0,0,0,593000,4457000,1737000,552000,107000,16000,1855000,13000,0,0,131000,0,0,57000,0,47000,104000,0,22000,259000,164000,236000,0,28000,0,0,0,0,5000,0,592000,0,0,2789000,930000,886000,946000,116000,4537000,162000,0,346000,0,1138000,9000,1807000,451000,3593000,0,274000,8000,0,0,0,421000,20000,1376000,1075000,0,521000,2767000,14896000,4092000,0,216000,1409000,0,0,0,38000,0,0,1808000,0,0,0,0,0,3802000,0,742000,1262000,0,0,0,3209000,0,0,0,0,9000,3441000,0,0,0,0,0,0,0,0
"SUN",2334000,51892000,46279000,0,9142000,12151000,0,12000,0,176168000,34534000,73928000,21090000,231220000,145992000,333017000,1638000,0,169600000,3126000,12699000,0,357000,181291000,3139000,240216000,0,727000,2022000,52648000,28146000,474000,13769000,0,0,0,142000,3856000,0,72313000,0,2742000,42651000,106000,107921000,19397000,34970000,8000,6e+05,458000,635000,36517000,9500000,21000,786000,8000,0,117000,1000,30087000,3204000,0,0,0,439000,4000,479000,130000,42000,0,0,0,0,4000,3000,0,0,0,0,0,0,11955000,0,0,0,0,0,13000,0,20985000,0,7137000,0,0,0,0,3000,0,0,7414000,0,0,3000,779000,0,5744000,16503000,0,0,0,0,0,0,0,74602000,0,0,0,0,0,0,0,0,0,0,0,0,0,2573000,0,0,0,0,53000,0,0,0,0,0,0,10000,0,7574000,0,0,0,0,0,0,0
"SWE",58207000,36772000,150089000,5902000,51399000,83553000,13690000,1359000,17326000,646356000,372063000,10423000,74687000,212402000,209358000,601074000,6385000,9341000,23334000,15081000,11020000,8661000,11404000,127021000,1839000,33932000,4571000,22555000,6362000,201567000,463778000,8878000,6335000,22249000,1818000,5098000,419000,3832000,50236000,0,2140000,5690000,242651000,11965000,14185000,28180000,18830000,32000,497000,155000,13199000,37633000,5474000,774000,9862000,705000,4668000,22754000,17000,1799000,1339000,4537000,63000,501000,103000,1047000,8993000,260000,3471000,1243000,2556000,563000,1937000,4498000,224000,403000,109000,1837000,628000,121000,1784000,7228000,1191000,3797000,461000,670000,1357000,2000,20791000,2035000,393000,1294000,17000,273000,880000,216000,14921000,7262000,188000,1399000,3598000,230000,39000,185000,801000,4845000,6987000,851000,441000,1919000,432000,38705000,1559000,3408000,98000,275000,1019000,0,0,31745000,41000,2887000,0,89000,87000,0,30000,248000,249000,0,1902000,511000,105000,25000,372000,0,18000,112000,771000,341000,21000,490000,8000,0,0,0,0,0,0,0
"SYR",14000,804000,3133000,0,476000,473000,0,0,0,8070000,5763000,1847000,363000,7000,11657000,5985000,287000,0,785000,99000,2445000,0,0,12628000,8166000,1116000,0,0,12000,81919000,7000,28000,0,0,0,0,27000,150000,0,887000,0,0,3709000,56000,666000,0,0,0,0,0,7000,961000,79000,0,78000,0,0,1079000,0,0,718000,0,0,0,1000,0,0,0,1000,0,0,0,0,32000,0,0,0,2000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,0,0,346000,0,0,0,0,0,0,0,0,0,0,93000,0,0,0,148000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THA",1180000,2109000,6726000,0,830000,1541000,0,0,2405000,43632000,2138000,133000,5195000,263000,11802000,19553000,41783000,0,37695000,348000,1170000,788000,9000,14034000,154000,130785000,234000,4000,100047000,20459000,1146000,472000,1014000,1320000,0,8839000,6586000,48152000,534000,1907000,0,0,41400000,83000,1796000,57000,3925000,0,1000,0,0,428000,4000,7784000,0,21000,15525000,2435000,0,0,13000,0,0,0,0,0,1000,0,6000,0,1000,1000,0,95000,0,0,0,181000,0,2000,12310000,22000,0,661000,0,1202000,851000,8539000,1000,6023000,10000,1969000,8000,0,1000,316000,23000,79000,0,22000,97000,1084000,0,0,0,79000,2000,513000,0,0,4045000,2827000,395000,0,0,217000,0,6378000,0,0,337000,156000,887000,0,0,0,0,0,8000,0,154000,4035000,0,0,0,1000,0,0,0,0,3000,2561000,0,0,0,0,0,0,0,0
"USA",763984000,92343000,549981000,3610000,5580214000,312167000,1000,75898000,27634000,1866908000,240437000,188558000,526692000,101473000,1087889000,1885847000,173996000,9291000,968163000,77334000,154674000,39991000,212160000,988612000,23490000,2366369000,74412000,1024952000,65262000,748539000,154568000,128082000,364838000,35228000,11629000,128544000,6737000,63193000,44343000,415569000,12972000,144620000,0,719949000,190160000,271077000,325301000,1490000,12790000,3807000,211992000,112685000,53518000,6105000,92636000,87990000,307959000,74819000,766000,39175000,54643000,13326000,8000,2441000,837000,58523000,237405000,8128000,70816000,4000,2880000,74946000,20535000,66166000,7204000,11383000,4373000,96340000,57168000,21309000,41914000,17633000,86693000,23347000,2372000,182277000,65799000,8253000,39236000,11764000,3863000,16594000,5398000,16050000,71546000,0,290167000,6339000,0,13576000,62384000,2662000,2775000,1476000,74460000,39830000,160636000,6792000,2110000,19417000,161828000,436765000,23193000,0,24351000,9694000,106108000,43798000,8740000,12585000,770000,21014000,0,17092000,1574000,403000,1163000,19683000,3112000,0,8830000,1249000,0,1309000,1181000,1957000,0,28541000,14015000,35641000,454000,5571000,1411000,145000,0,0,0,0,0,0
"VEN",2779000,78000,15319000,0,235570000,1173000,0,1359000,595000,92023000,11977000,0,38733000,2340000,53500000,206491000,204000,0,41000,1000,3000,0,8000,21788000,65000,29655000,18000,192000,956000,28372000,28758000,1620000,4000,2506000,728000,3000,197000,1965000,0,58116000,0,2000,1020640000,0,1800000,32361000,82086000,534000,3166000,896000,686000,11000,250000,0,4313000,39184000,19000,447000,611000,562000,61000,353000,0,0,307000,23000,14649000,1258000,2078000,2086000,0,1511000,1000,10493000,829000,883000,86000,7345000,354000,225000,251000,0,19696000,0,0,389000,0,0,983000,0,128000,0,201000,65000,4273000,0,6724000,0,0,0,8098000,0,112000,620000,102787000,0,0,0,0,16069000,0,939000,0,0,0,0,10783000,858000,5959000,0,0,0,0,30000,0,1006000,42000,76000,0,0,0,0,0,332000,0,0,0,0,235000,848000,0,0,453000,0,2993000,0,0,4000,0,2312000
"YUG",513000,27872000,9300000,20358000,2749000,10845000,0,68000,70942000,193450000,4552000,18481000,3436000,957000,19522000,40532000,125000,25930000,24482000,654000,6519000,3235000,6338000,142930000,1140000,549000,2309000,72000,50000,10271000,881000,21000,9110000,64134000,8000,1108000,22000,273000,187566000,10503000,1554000,231000,61210000,687000,0,198000,6435000,2000,1066000,17000,969000,24023000,930000,45000,956000,41000,0,2000,3000,13085000,2807000,0,1786000,8000,39000,34000,880000,154000,183000,4952000,1500000,12000,3564000,45000,14000,3000,0,12000,5000,1000,25673000,25000,0,165000,0,1000,1879000,1000,106000,27000,636000,2904000,0,0,1000,0,268000,12910000,0,3262000,1000,18000,233000,220000,79000,3432000,4198000,173000,61000,45000,0,0,15000,0,1000,50000,0,0,0,75306000,0,2007000,0,1397000,2000,0,0,11000,2490000,504000,0,0,0,2000,0,0,0,47000,23000,3000,0,242000,1165000,0,0,0,0,0,0,0
"ARG",313000,8301000,62542000,596000,4993000,19646000,83728000,63000,5253000,175471000,15842000,1467000,58128000,6242000,92425000,200174000,432000,8766000,251000,6375000,83000,15000,9834000,279705000,75000,47944000,798000,7846000,154000,86061000,14896000,44000,104000,9726000,11079000,502000,29000,366000,87055000,18763000,228000,69000,122077000,9704000,9968000,0,131997000,0,25000,0,9841000,10876000,38000,29000,365000,224000,2736000,5907000,0,41000,1000,3815000,130000,6000,10000,7311000,51666000,6000,178000,767000,1108000,2220000,1159000,535000,22000,84000,16000,269000,79000,3000,28000,254000,201000,92000,86000,96000,9000,6000,158000,1000,219000,2000,1000,14000,201000,1000,49277000,1029000,0,4000,116000,0,16000,18000,394000,138000,58000,339000,0,7920000,480000,1340000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",5114000,18265000,45301000,5189000,32901000,20804000,356000,265000,15901000,219154000,45909000,572000,27988000,20954000,82449000,78664000,17437000,9168000,425000,2721000,1007000,2082000,1718000,88841000,597000,49573000,4821000,11083000,367000,59095000,23796000,609000,4000,11055000,1623000,1000,757000,599000,29298000,62302000,1107000,683000,511891000,3055000,16325000,162872000,0,1000,4644000,1000,3560000,7866000,2698000,909000,92000,78000,305000,6120000,0,895000,2000,31000,0,0,15000,2089000,20715000,99000,90000,0,108000,31000,368000,210000,25000,0,0,237000,144000,1000,5000,1884000,0,11000,0,493000,0,1000,122000,2000,81000,0,0,0,61000,0,9337000,3652000,0,0,139000,0,0,14000,357000,5606000,1136000,1000,0,11137000,613000,9378000,108000,0,0,0,146000,3000,366000,15053000,0,9000,0,186000,0,0,0,82000,15000,0,779000,0,0,1000,0,5000,0,0,360000,49000,0,3000,0,0,0,0,0,0,0,0
"CAF",2000,44000,173000,0,0,2000,0,81000,0,140000,5000,0,25000,0,9656000,1424000,391000,0,0,0,0,0,5706000,974000,0,179000,0,0,0,1634000,2000,40000,0,0,0,0,1000,0,0,37000,0,0,9902000,0,590000,0,0,0,1000,0,0,0,258000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,12000,0,0,0,0,0,312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",161000,478000,4265000,181000,229000,1897000,0,4000,122000,44980000,3318000,523000,5434000,323000,123620000,13066000,0,410000,0,871000,108000,272000,921000,37030000,16000,2116000,1464000,5000,0,7739000,294000,261000,2000,2280000,0,987000,6079000,0,2705000,1201000,182000,238000,45867000,0,97000,2000,3000,87000,0,187000,3000,489000,4350000,1080000,787000,0,0,12000,6091000,177000,32000,1000,0,138000,407000,0,0,280000,0,0,0,0,7849000,0,149000,79000,0,0,0,0,0,0,0,66000,0,0,91000,0,356000,0,0,0,7000,8000,0,608000,0,93000,0,9000,0,0,41000,254000,0,178000,0,49000,0,117000,3000,0,10000,0,0,288000,0,0,0,119000,0,0,0,99000,0,0,6000,0,0,0,35000,0,0,1728000,0,0,0,0,17000,0,0,0,1380000,0,0,0,0,0,0,0
"COG",82000,111000,673000,0,0,1230000,446000,203000,82000,16859000,542000,7000,340000,1000,6891000,10265000,101000,432000,43000,126000,0,0,2128000,2911000,0,346000,169000,0,0,1681000,29000,97000,0,156000,0,0,3000,0,0,268000,0,0,264000,0,15000,0,0,0,209000,0,1000,41000,154000,1000,7000,0,0,180000,1000,4000,148000,267000,0,0,4000,3000,0,171000,0,0,0,0,1000,53000,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,58000,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,1332000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0
"COL",199000,2167000,16118000,0,15548000,6301000,0,0,1540000,93531000,3559000,0,32023000,9626000,5170000,25395000,10000,885000,297000,56000,14000,12000,107000,10085000,0,4405000,20000,487000,0,24843000,3624000,69000,5000,3469000,137000,1000,0,41000,714000,24046000,38000,2000,276736000,3286000,1093000,6427000,960000,0,0,0,0,27000,207000,30000,15000,2882000,5000,11000,0,0,5000,1000,0,0,0,631000,667000,0,3345000,0,0,347000,53000,4491000,0,466000,0,975000,602000,30000,0,0,30000,4000,143000,65000,1000,0,0,0,1000,0,0,0,1001000,0,4525000,0,0,2000,8e+05,0,0,0,28219000,53000,0,0,2000,279000,61000,263000,0,2000,0,0,574000,77000,66000,4902000,0,1000,0,5000,0,0,285000,10000,0,0,7000,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0
"GRC",1679000,6739000,6795000,7613000,1700000,6092000,2000,123000,8432000,103284000,1489000,3866000,2341000,3308000,16745000,31336000,24000,6681000,547000,586000,498000,1475000,2245000,16618000,245000,7231000,1288000,324000,28000,10961000,1732000,24000,1573000,12474000,4000,729000,25000,47000,26897000,5546000,630000,184000,43994000,288000,17356000,255000,610000,2000,0,2000,10000,0,275000,50000,640000,32000,47000,2303000,0,28000,3679000,2000,0,23000,0,0,25000,6000,1000,0,3882000,5000,118000,1000,0,0,0,14000,24000,0,2000,9000,0,26000,0,53000,1656000,2000,10000,188000,394000,1000,0,6000,1000,17000,34000,3260000,0,614000,3000,3000,1000,0,10000,1060000,272000,21000,0,3000,1092000,79000,64000,0,0,23000,0,13000,0,9503000,35000,355000,0,1000,6000,0,0,1000,1000,0,2000,0,0,0,0,0,0,17000,2000,15000,0,278000,0,0,0,0,0,0,0,0
"MAR",231000,4148000,20032000,134000,258000,2488000,9246000,16000,5431000,56781000,4968000,710000,33158000,3101000,235641000,31877000,6000,8532000,1037000,4345000,105000,85000,0,17840000,12000,6804000,219000,2000,226000,15429000,3330000,9000,109000,6001000,1000,8000,2311000,134000,11102000,8591000,25000,206000,6291000,86000,2659000,46000,8000,111000,5020000,538000,1000,2861000,0,840000,906000,3000,0,5976000,134000,415000,363000,0,0,1000,368000,22000,440000,673000,31000,8034000,5000,41000,10528000,12000,614000,558000,3000,0,13000,1000,0,2000,0,14000,11000,0,12000,14000,131000,792000,20000,0,45000,194000,20000,0,126000,0,0,2000,64000,19000,91000,173000,0,733000,84000,3000,0,0,193000,0,543000,16000,0,0,0,0,0,547000,7000,41000,0,29000,14000,0,41000,38000,0,0,7000,109000,0,86000,0,0,0,0,110000,0,0,31000,183000,1000,199000,4000,0,0,0,0
"MDG",78000,219000,776000,34000,618000,445000,39000,0,15000,4225000,285000,266000,1327000,80000,47422000,2396000,15000,591000,57000,20000,2000,2000,30000,2384000,0,1113000,12000,5000,36000,651000,21000,5000,3000,11000,0,7000,2505000,298000,0,106000,10000,9000,29073000,31000,143000,3000,0,2000,818000,2000,25000,803000,1273000,0,74000,0,0,352000,78000,0,29000,0,0,0,10000,8000,1000,65000,4000,0,1000,0,298000,8000,7000,137000,0,8000,2000,0,568000,0,0,1000,0,0,0,0,0,0,9000,41000,0,433000,0,0,15000,224000,0,0,0,0,3000,0,0,34000,5000,4000,0,0,1000,153000,4000,0,0,0,0,0,0,9000,70000,7000,0,0,0,0,4000,0,0,0,12000,645000,0,9000,0,0,0,0,0,0,0,55000,0,0,0,0,0,0,0,0
"NGA",1112000,2395000,21076000,1119000,10408000,16638000,1964000,289000,2846000,105334000,9290000,2323000,10998000,218000,47639000,316043000,73000,2002000,442000,1451000,22000,975000,102000,25998000,35000,9287000,28000,0,8000,43892000,2441000,171000,13000,7767000,0,9000,73000,32000,6275000,6271000,4000,0,58790000,5000,3135000,11330000,996000,0,336000,7000,1000,1067000,1783000,16000,0,1000,0,14828000,33000,5585000,20000,40000,0,2000,834000,0,0,297000,0,0,12000,0,2000,5000,29000,0,122000,0,0,0,9000,4000,0,65000,0,0,0,0,132000,13000,0,317000,5000,0,1000,43000,13000,0,0,31000,0,1000,667000,221000,0,16000,11000,35000,13000,0,32000,108000,127000,0,0,0,0,0,0,17000,15000,9000,0,10000,47000,2000,0,0,0,0,73000,0,0,650000,0,0,0,0,1016000,0,0,8000,22000,0,0,0,0,0,0,0
"PAN",5000,407000,555000,0,17957000,593000,0,1000,0,5201000,493000,63000,452000,233000,141000,6951000,527000,0,19000,2000,0,0,62000,1370000,0,6333000,0,8838000,0,1308000,1229000,0,2000,0,7000,0,0,0,0,2897000,0,5000,60125000,1879000,130000,1336000,316000,0,4000,0,763000,223000,0,0,0,1482000,233000,0,0,0,0,0,0,0,0,1129000,3560000,0,1229000,0,0,0,0,118000,0,239000,0,62000,334000,10000,0,0,13000,0,0,93000,0,0,0,0,0,0,0,0,4365000,0,847000,0,0,0,3316000,0,0,0,5000,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
