"","ARE","ARG","AUT","BGD","BGR","BHS","BIH","BLR","BRA","BRB","CAN","CHE","CHL","CHN","COG","COL","CRI","CZE","DEU","DNK","DOM","ECU","ESP","EST","FIN","FJI","FRA","GBR","GRC","GTM","GUY","HKG","HND","HRV","HUN","IND","IRL","ISR","ITA","JAM","KHM","KOR","LBN","LKA","LTU","LVA","MEX","MNG","MWI","MYS","NGA","NIC","NLD","NOR","NZL","PAK","PAN","PER","PHL","POL","PRT","PRY","QAT","ROU","RWA","SAU","SDN","SLV","SRB","SVK","SVN","SWE","THA","TTO","TUR","TZA","UGA","URY","USA","VEN","ZAF","ZMB","ZWE","ALB","ARM","AUS","AZE","BEN","BFA","BHR","CIV","CYP","DZA","ETH","GAB","GEO","GIN","JOR","JPN","KAZ","KEN","KGZ","KWT","MDG","MKD","MNE","MOZ","MUS","NER","RUS","SEN","SGP","SYR","TUN","CMR","GHA","ISL","MAR","MDA","MLI","MLT","OMN","PSE","TGO","VNM","AFG","BDI","BOL","CAF","CUB","EGY","FLK","GIB","IDN","IRN","IRQ","LBR","LBY","MAC","NCL","PRK","SHN","SLE","SMR","SUR","SYC","TKM","UKR","ABW","AGO","BLZ","COD","DJI","ERI","GMB","GNQ","GRL","HTI","KIR","LAO","MMR","MRT","NPL","PNG","SOM","TCD","TJK","TLS","UZB","WSM","ASM","KNA","MHL","MNP","ATA","BMU","FSM","GNB","GUM","PLW","SPM","ATF","TKL","VAT","HMD","SGS"
"USA",10049949614.58,5388607453.52,4543741493.48,609585691.6,540831146.29,2420707188.12,189479240.11,322064334.63,18323203014.91,561791649.34,208772163339.89,15312795093.89,7797514073.3,64071788155.45,141809811.79,8643609610.05,4688353462.69,2347084421.47,54122003266.18,3016664496.42,5522549958.88,2761104268.69,12691810002.67,335188992.09,2700588075.83,56921117.33,33254122174.7,48549044889.79,2239097628.69,4582065451.5,255261070.11,18635040932.1,3477120014.86,464609447.02,1531326041.62,13816928460.18,9178765678.23001,8671606485.53,14469094794.45,2495154760.11001,128735930.59,35424206963.03,1117445299.57,283761221.73,674268709.13,219256136.67,135414101362.08,52934666.44,59956557.35,12237545273.5,3278053144.32,826926195.58,32832353012.04,3627906644.69,2904921295.77,2288759835.81,3421488639.08,3508349660.89,6814669280.61,3360924352.54,1381993953.06,369450708.67,3019670162.05,907851863.26,33901847.72,10110982608.61,111566950.9,3137147064.15,338528552.21,931951524.81,699326112.02,4642948618.12,8416524932.88,1859708385.26,7699009697.04,206814963.46,110973777.78,476887110.36,0,8762729529,6032328988.4,70085161.56,120411028.29,56597487.53,134939494.22,19141283134.23,265752716.39,312856796.96,103419639.55,481950407.88,191793264.81,164392433.76,1937850985.15,268513128.74,468092650.24,274649400.01,84928596.51,823189738.68,64293556554.2599,1528422072.82,672080411.2,82406457.59,2686714282.69,94266032.82,77800688.4900001,65116290.56,124717348.45,91611856.0800001,108192715.96,8479072008.89,148090599.44,28848484827.37,367238006.33,578426399.52,233261333.24,539760939.16,865593347.61,1829120553.47,55100609.33,80153383.98,287972789.83,994689833.75,38548516.38,285752635,1891535682.75,478433718,9089071.08,399205903.46,18043324.38,442562528,5179428117,887573,494954625,4179037901,145521763,1539760618,66171913,561237868.12,297799185.69,70325571.59,1728160,3208470,51669297,13714336,285159140,9189531,183519849,1322977416,485884091,1261595582,209629394.05,105880649,54851489,5811743,19874888,232140573,5420210.61,581840749,3270686.25,13055648,8514092,100982119,26061617,61186815,19803371,68509408,24594283,4088186,60042907,15775361,0,96278855,20508819,0,0,591031815,32365931,2172965,0,11794284,191521,386605,49674187,17801626,1636466,0
"VEN",3014521.66,22891618.47,88654589.63,143452.94,14231298.66,60255514.89,57487.34,838119.87,316669525.66,1265042.78,1283051297.97,87141991.31,197293578.27,2757741867.1,4234671.11,1311698224.85,578314807.63,3153586.16,1179901504.95,27706706.79,75794756.55,1238884634.23,1916241206.7,42654.8,593350.82,0,240180004.48,913346215.04,40131259.27,48677280.16,24312630.38,102493874.79,100881726.25,5922891.59,3264462.12,483625564.5,1178966.81,4535187.27,437891838.38,556435623.26,40311,91197553.67,962185.21,36526.02,834261.36,3686,834683288.58,1393,0,25764480.25,553991.55,141341869.25,696364465.41,214387.56,442401.75,2988563.8,66896588.35,213405805.6,507863.68,10540964.44,15306131.61,141749680.76,937009.32,11197909.05,0,1167702.04,16524,85395051.14,204031.36,111542.2,18783362.2,369205722.95,9509848.7,276551036.15,112975895.77,18887.07,27074.57,579428590.7,37409486855.54,0,84810255,56924,36099.43,70624,0,1773176.84,24641.67,114000.64,0,0,193652228.3,42762,897624,6272824.8,87189,0,123718.34,191074.57,454211578.99,308145.85,706345.39,0,358585.93,36587.97,2532587.18,16423,19686,6281,0,11782499.4,19169327.59,327022985.99,633462,4018150.26,29584.89,404001.99,1857412,44236024.01,10300,12676.32,6749431.58,253456.32,0,4041099.7,0,0,0,45905989.41,0,0,0,0,0,0,0,0,0,68325.8,12305,31535.9,0,0,0,0,0,0,0,0,0,0,5235686.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",1525862841.8,132951835.27,230014523.69,57764581.3,38849397.42,4869502.97,6181391.31,6960005.27,590558200.82,12938059.64,1387291747.79,1001557273.56,86338098.03,5055271940.63001,479725098.32,55975031.16,7993936.96,221734384.91,5982762488.11001,198646864.95,7638160.21,5039191.3,2246744994.34,23755521.47,193294567.8,3287882.5,1721773771.93,8640624918.57999,119482234.35,3078765.14,1667150.89,1032672454.56,2102547.61,30069010.2,38535161.13,3284006114.74,220469351.5,865865722.21,4058555960.74,44426705.11,1276358.43,1728054156.32,47280697.8,28803714.81,8972287.18,3149081.86,256396524.95,584789.62,392361265.37,548251330.98,846158570.69,28476676.21,3110633184.56,799892575.83,162283201.18,385514021.74,22011700.84,49448889.52,65935220.9,361391218.22,377103324.43,2706006.52,101918741.74,82465953.63,28604191.03,653175782.48,189323676.68,705307.99,18976855.47,33755810.21,38697217.29,572912858.54,688650951.77,19807664.34,2105778315.4,562647251.34,251780035.82,180573075.16,9513096033.60001,40422327.36,0,1845376679.98,1643565087.89,2050795.35,4867614.43,1272911291.64,3157885.37,27329050.17,35231169.43,28467489.53,83534050.63,12339968.77,115140221.7,67724726.48,49909303.51,5478878.02,43888861.51,20746458.93,7067082958.49,29876848.72,702448562.9,692144.48,89040137.82,183076152.64,6020336.03,717493.46,1160259226.18,327902070.5,15317450.94,241713384.81,83319788.55,456949817.32,11082548,32009852.13,59052965.72,373721443.09,47846069.48,361531329.42,3480644.01,92110212.6800001,5271536.08,64844350.34,497798.38,32475548.77,89106573.55,11294702,13382083.56,4137768.89,10847532.06,266663,65881088,76873,12140696,214165943,218615447,47766041,18756400,7380500.05,34053817.8,5662935.42,137367054,32091030,21112291,0,572314,57388100,87271,38135784,47040,1032232420,569376.63,663750391,9886098,6319524,7047295,13342749,667041,1162434,12410,413473,258995,19645434,3136867,3667219,1110127,4829552,63573,3244359,9987896,10401,864527,150074,456938,5976,3122493,91193897,6497,3178805,202339,0,0,0,14218178,0,0,0
"ZMB",49592176.51,2011,1393532.02,12587458.81,1572428.49,0,8782.82,47698.86,7731229,0,359079.63,1951675414.23,13140.96,344782561.42,0,0,0,214595.68,37037050.38,3366885.2,0,0,8033978.17,4598,2212347.67,0,57941054.8,92114143.19,293822.12,0,0,5087660.46,0,296143.75,5274,84216695.67,1031232.24,816276.71,297536215.47,3241,0,560314885.83,14472,2157,0,115567,54206,0,35151488.65,47966881.94,38486,0,61941405.98,973373.32,248518.86,59890284.41,0,0,279380,22963191.27,17536129.01,0,4481.52,22457379.7,4242338.1,372131241.79,69480,0,346204,3655.02,866290.17,1460921.65,344735065.13,0,20723618.11,59842146.91,1844798.56,0,75482343.04,1706,468379851.32,0,103881977.77,0,0,1891291.58,0,0,0,0,741032,0,47690,198422.51,0,0,2933,0,133107895.95,799097.48,31384990.8,0,32423271.79,84368.57,0,4564.73,1117958.44,12115918.52,32285,11550849.45,160405.22,4933435.87,2053,1323238.11,0,82576,29463.38,0,22648,0,0,7337557.79,0,0,0,0,5689725.83,0,0,0,232010806,0,0,0,88831,0,0,3261.16,98213,0,20284,0,4979,0,0,0,0,13842,0,565444,0,245256029,0,0,0,0,0,0,0,0,0,0,0,0,0,10834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZWE",27542005.44,276694.26,9908972.89,8928958.67,4257796.28,0,283801.48,903868.11,5722950.25,232174.46,3481739.81,36366844.22,2978,99167503.22,13333605,3744773.84,0,1637415.17,138541987.97,4778797.46,0,0,37205395.77,84552.03,501959.46,0,20473127.5,263271147.84,3704020.14,0,0,6496198.91,12631,543691.15,4918572.95,25004783,2415199.8,736268,108719665.32,22745.46,208095,49902181.55,374589.49,11230,73251.04,50624.09,2883220.14,0,51384072.54,3527593.28,2860831.14,0,140236261.62,5553936.1,7000726.58,6285237.98,0,73310.46,1367303.73,9065168.81,8310237.81,0,18469,718472.94,1426285.95,1580561.62,2797346.72,364088,983555.17,72365.55,1583456.6,2602865.01,25449992.84,52913,20654718.55,30928161.08,1066262.07,0,124855097.68,29963,1506523393.51,112662998.82,0,22276.3,0,12068230.02,511275.99,1398,2080256.71,21717,398530.31,13977.95,7581145,3562460.28,1138980,0,112043,18710190.95,185646693.53,996946.16,25590668.74,0,734431.89,1382420.31,44574.55,66724.81,426715895.96,6805967.47,5381,60587629.52,636616.51,28704724.46,0,2634188,112987.36,688813.1,103023.82,3314016.83,128848.09,7304993,244861.35,966612.37,0,29454,2916080,423958,500969.3,6950.19,2916,0,10071548,0,6021,2256719,3977903,80000,449953,7136,58174.38,1430,1548202,0,484350,0,0,53093,0,927629,0,1355756,0,84036173,46448,0,0,3740,0,0,0,0,18000,57814,203701,0,0,0,4215,0,38393,0,0,28800,0,0,0,53359,0,0,0,0,0,0,0,0,0,0
"ALB",938228.92,744350.21,6658849.99,4642.37,10512097.62,0,5507619.02,64687.53,312313.21,8885,1909207.23,1611215.37,7588,45510816.78,79177,577696.52,132038.78,879824.89,54399373.23,265988.63,37091.5,0,4766311.99,56127,594970.98,1209,26818293.27,3338953.57,111356804.21,0,0,100694,3342542.1,3049123.65,472171.15,8535690.3,233184.51,27000,705547654.86,24757,0,1104037.58,138989,0,9465,71755,434302.66,0,0,1571123,406080,82022,35003258.19,805173.71,40080.37,0,15427,7737.54,0,1597482.64,7991.91,1688,0,6161211.8,0,1088955,24480,31486.9,46446983.3,308118.71,1693692.2,17038569.15,402825,0,39665052.63,0,51884.07,228430.38,13953013,345979.11,51411,34510.69,4573,0,0,193217.79,0,211544,30670,0,1778,2569140.67,18927,4921,0,49063,347358.56,59457.77,886433.7,2352,61087,0,610102.8,21040,30186192.93,13155203.51,20533,1649.24,0,3774070.77,0,7380,153604,620083.66,111267,3992,23918,134696.72,49894,50002,5249,0,0,0,0,2057713,0,15456,2397,0,93539,0,0,0,99467,67482,1118,3374,1440,13487,0,10399,0,0,0,0,0,12649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",7265904.96,0,14767442.6,0,46308598.51,0,4297.95,3369646.14,649548.79,1472,6922248.97,42634851.23,13590,11786261.26,0,331460.56,70881.9,4004511.47,197234653.03,117517.97,0,6306,26197644.3,496136.35,8824806,89857.71,10932697.8,3332377.66,2720693.84,0,0,1301885.48,2797011,312310.53,781793.08,3821005.31,69915.92,26516747,31360595.85,0,17108,2708014.67,234167.25,154253.45,209357.13,1266621.79,84775.17,20469.83,0,448911.81,8522,4648,156033900.95,3748,129839.02,2289196.1,50395,0,178700,9269341.16,0,0,0,737613.33,0,1079740.48,515791.69,0,254236.29,733097.53,728274.36,258524.17,2762037.04,0,844140,0,0,13980.53,51859198.38,115589,46701,1461,0,3759,0,1371249.43,0,0,0,28071,0,493575.78,0,0,0,70664121.22,17287.22,75943,4766654.09,9037597.25,0,155426.58,5188,0,0,0,24222.07,554451,0,201634629.46,30053.77,5007,292583.72,0,0,0,0,334708.52,2460111.7,0,0,0,0,0,926947.51,21735,0,0,0,0,64148,0,0,0,37373619,15530,0,0,0,0,0,0,0,0,0,0,2047461,46139467,0,0,2078254,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,0,60223,0,1480154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",2697500931.15,143255522.95,136136257.27,200445925.59,50335783.35,2968342.09,2622985.37,3308919.61,749912549.72,6174326.98,1639320956.13,1420325046.88,224270499.66,21488575355.15,4539334.82,32575061.94,28304589.41,102678223.16,1875641491.66,154519144.64,9236526.47,7835035.58,1041868589.98,7014942.54,1372211090.8,391382646.26,1519334294.2,6158702505.38,124550064.66,33568274.07,5721267.07,2243626061.65,26224151.43,13647268.63,13598849.74,9286042226.23,214391065.66,172588074.97,1719807156.57,36664733.46,36395990.44,12082489559.79,27322563.7,129619717.67,5656675.56,7603078.14,725790561.63,20986048.5,1085763.19,2939943800.03,112253607.68,1857498.29,1392495110.56,160837250.43,6485206935.62001,458862698.41,11673910.97,69947925.25,930581706.26,139922804.43,53788725.93,1459871.49,285218191.01,141050809,216628.94,1767329494.47,115979393.34,37494762.01,11463214.84,20975415.31,24781812.48,358811372.32,3997562542.76,17619208.31,640824937.19,29846885.65,4977763.19,12996660.64,8229782581.87001,19555551.06,1737077559.81,35407946.93,3484509.76,3762317.72,8002548.61,0,10663303.08,1092127.62,8268797.85,696559737.019999,14033881.44,15522598.5,103441018.59,10519440.2,1057678.01,2675217.56,31553718.78,75065792.07,28142074310.63,62687076.6,37950113.84,3686554.49,511159131.25,36757418.12,3666263.32,586457.12,10664994.05,96270596.4699999,2401014.78,639614289.47,14104587.57,3526150218.67999,34065612.38,27295346.84,6086501.72,96974604.57,48915325.54,33302878.03,331876.89,25997705.9,6110358.02,324430958.57,1884326.3,2549034.31,1374013074.75,7433899,54631.01,4237678.31,382950.94,11556393,193402009,539121,75639,2434531313,140131895,6233766,1649646,20333231.57,79928450.85,233400415.59,0,171636,3980567,0,1261785,4889124,656978,61052881,0,4634926,1245932.58,5659310,2038975,642225,40400,221470,36728.46,1018527,24544509.18,18481998,27956957,3428468,27219311,1240558614,50204,147055,158559,20506508,287800,18955721,6518673,164775,2779492,771683,2556058,1901999,4939436,119106,10209468,401498,42969,0,0,0,0,0
"AZE",6218142.09,89093.11,19352049.87,2050111.18,8167582.56,0,6340,3050715.79,131501461.06,0,186711358.87,30642263.35,114629135,10601435.87,122533,370857,0,925796320.41,1390553075.1,13673352.88,0,0,145992119.45,563809.48,466806.69,7687,660622428.14,474848484.23,95377566.44,0,0,45789797,0,39901612.47,36633.33,142975212.86,115016,370030329.95,2570788920.58,0,0,154884549.91,4996789.7,0,6494639.7,3577465.06,75176.54,46366.21,2993,331416,0,0,289623890.37,2148121.79,2533238.37,2906950.2,26466,0,7799,4664990.77,77229848.43,10074,44689.1,97162443.5,63657.77,45205.1,1164279.8,0,2504542.42,74713,701110.16,115062.08,46667767.33,6272,1056567482.75,10078.51,0,0,628292331.1,94350,3021424.75,158452.07,42444.12,5296169.71,0,109250.03,0,0,2305,0,0,8818364.98,134128,345204.93,15976.9,382604772.63,0,131099.85,168334756.42,132738361.01,7140.94,2740374.16,3281,14886.97,80656.62,0,21617,0,298439,528483568.94,0,9227168,18057216,340964.29,34657.6,13127.28,0,4609,232581.81,39685.27,119635804,13228,0,0,16406478.78,47577089,0,0,0,259916,33737,0,28740428,390287183,434726376,33798464,0,60576,0,0,0,0,0,0,0,2465,13598435,29179557,0,6973,2403,0,0,0,0,0,0,0,0,0,0,0,97000,0,0,0,51564133,0,4452430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",1092861.33,0,47138.58,9958251.35,0,0,0,0,4931494.04,0,225956,486900.15,0,86546827.39,8408143.19,821098.71,7386.2,26243.49,6349969.3,11213626.61,6992,452269.49,1750581.83,0,0,0,6579864.3,537531.29,5732,0,0,2563974.84,0,2507,30000,60543142.97,0,1882.84,5768885.86,0,443963,2282576.51,57045.23,42785.61,0,0,58127.13,0,0,1601290.4,214920340.39,0,7683971.04,0,1750,4381193.04,42768,613689.15,5675,159364,11986072.19,0,0,23953,8546.13,0,0,0,0,0,94945,1187,7667237.45,0,1995150.73,4535,2888.85,0,5242622.13,2038,4916016.27,0,0,0,0,0,0,0,11683107.02,0,13497943.2,0,0,0,1654149.21,0,473884.86,0,31531,0,0,0,21300.46,30705.57,0,0,0,787620.86,20647793.72,18896,3017194.96,810148.07,0,1027597.57,13844209.96,7345002.99,0,5982393.08,0,90254243.09,0,6438,0,5558278.32,5953158.23,0,0,1049,1882,0,8055,0,0,9061322,0,0,68050,34889,0,0,134935,0,0,0,0,0,0,0,0,9079,0,317723,0,0,1468,408062,0,0,0,0,0,230239,0,0,0,4560547,0,0,0,0,0,0,0,0,0,0,0,1049,0,0,0,0,0,0,0,0
"BFA",526903.39,0,661222.96,7517790.99,0,0,0,0,4906836.24,0,524424.62,126781303.51,0,149201769.98,129664,0,28893,163907.22,8683344.93,6170281.96,136156.72,0,2463193.69,1869.03,17594.56,0,9013547.37,29250961,0,0,0,948036.8,0,24908,0,15466833.33,47876.66,111281.85,13662944.96,0,7233,0,385645.39,0,0,0,108152.23,0,5956.97,576881.43,602971.13,6258,3493655.36,6318.95,0,28600268.72,0,5139388.59,0,241665.07,1879782.66,0,0,1418,13198.88,24474,23922,0,0,6432,882500.81,29218.12,35631605.92,0,6324432.91,29615,2953,0,1820718.12,0,4679,0,0,10435,0,31881.1,0,17480650.51,0,0,16162668.41,0,592900.23,0,319974,0,243431,0,15384252.41,0,14491.62,0,4475.5,105035.97,0,0,0,1059597.41,10798170.04,90948,1034748.45,33327426,84168.5,7305581.7,1578585.12,25843928.14,15223.65,10852226.55,0,35814842.25,0,0,0,20977965.87,0,0,0,0,18444,0,0,0,0,0,0,0,1319,54517.52,0,0,0,0,0,0,0,0,0,0,0,36303,0,0,0,3006,3442,0,0,0,0,0,0,95632,0,0,0,33525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",422155418.44,1326054.05,6030509.99,741098.02,61595.89,0,1690520.57,304853,2822511.94,0,7757587.08,64154157.74,53213,103553173.71,0,2212378.1,10235,211062.31,146768657.17,1446312.24,1795,0,132369130.65,632542.26,14117811.74,241276,254752669.07,228804771.09,25151463.7,0,56669,24701014.11,0,363904.61,15786831.15,503804310.83,11687638.3,0,113355253.54,0,9376,312654846.81,23311652.98,5739805.2,123703,0,5588681.42,34183,1153,119605026.3,1314738.62,0,176355144.15,24952598.05,17879317.49,127410097.13,0,0,6797555.83,1725185.06,7153773.92,0,241850357.21,575762.54,14560357.36,892609574.380001,1962581.46,0,631496.94,2403641.04,925824.87,1833115.68,144692729.27,3541,141344658.99,160305608.49,56503380.08,180016,548318962.07,0,36186521.11,7598.06,754338,0,451700.93,124488145.26,11040,0,0,0,402591.07,3432365.45,32695825.79,10306823.82,9718671.89,0,281489,81765021.06,414308270.15,157326.57,139622879.83,27943,111122828.47,346518204.09,1386643.42,0,620364.04,181623.68,109282,14550158.39,47042.17,263490031.2,66668436.87,23003166.89,93094.16,941737.59,6572895.37,65950059.11,0,0,201249.25,144472324.93,0,47758,11767833.87,87277,146832,0,2211698,0,42728060,0,0,10952131,34942657,2950150,268709,9961813.56,114654,0,28952,0,0,0,0,33800,0,1153782,0,0,0,0,98862,0,0,0,0,0,0,0,0,30856,172686,0,0,0,100398,0,67824,0,0,52747,0,0,0,0,0,148008,0,0,0,0,0,0,0,0
"CIV",17346716.16,2497490,22771053.07,9161269.82,5373476.52,3138343,160806.39,313791.83,66494141.12,0,201922008.77,53047961.66,0,45499854.27,65280915.67,1236070.84,4926,21522282,646807451.5,13463173.64,2253555.07,4051095.74,349319167.31,93568094.4,4934492.81,1123,1534215845.43,250043669.49,56793837.57,763124,0,953273.2,0,2106569.29,5530664.14,252801994.68,16681432.62,6135401.89,379920139.8,0,0,1375106.39,4478855.55,293817.12,1053546.96,8185036,551830.99,250784,0,61362081.94,654026406.32,4438.84,711024507.85,7740461.54,213209.33,5072996.17,7444618,1098126.46,2615514.92,100065972.16,21487359.64,16423.65,1346155.28,12248956.73,114038.32,9835890.35,47867,9400867.24,6008723.02,17155410.22,7660059.19,2140792.88,8339415.13,763969.47,87294432.64,850227.56,1363318.8,0,626757355.23,312190,31740161.35,330105.64,0,212856.6,2936788.89,9828199.9,4877,109677238.69,322517690.79,902340,0,3932613.92,125983828.49,12366,17712205.63,5575035,66770065.53,608522.05,14321332.32,3353976.31,741835.98,0,690820.21,762914.83,1918953.09,22172.38,91204.99,1596362.64,57418149.2,59425667.58,130928650.87,8756124.55,3161927.32,26555015.09,47881703.38,167478410.82,4310310.56,16081634.09,1646792.88,317057488,6097487.66,0,0,77512690.04,39796460.67,0,131047.1,0,1557830.76,0,5887395,0,86459,43842180,10131602,0,58160264,332769.1,0,226423.4,329312,0,41486836,0,0,9597,0,17753644,0,14515004,626036,94582100,0,0,47259328,104819340,0,40263,0,0,0,14306068,0,0,0,3069372,0,0,0,0,0,0,0,0,0,174526,0,10731897,0,0,0,0,0,0,0,0
"CYP",25641512.62,8492,16523444.14,4863356.69,29612049.34,184433.33,2600506.27,12690041.27,406998.22,276137.99,3477609.23,11320257.01,112060,14745804.94,249722,99390.86,32179.93,15512596.64,470555356.72,16726581.76,43523,182030.88,57108116.39,2531614.34,4000726.58,0,35956802.16,362433877.48,825965961.25,6273,51966.44,13292855.83,48106,3106237.07,38346141.01,10364179.22,43891100.98,65386024.7,88314864.49,72023.4,1070285.34,19846483.7,39546670.49,2192242.08,5688196.97,45242634.14,704506.67,485015.34,365058.32,4438277.65,89786305.18,3831.73,85078769.38,9243559.68,866785.39,20910621.38,697013.59,8125.73,1722655.56,16602651.64,4968065.49,2672,9897437.38,108863389.13,100129,21248742.73,14286489.98,0,17492517.93,20636274.45,2863462.43,18233616.41,2765539.32,114261.42,58660919.85,1715385.09,1371006.64,66689.9,14694641.46,108439.03,4623395.83,542633.66,1016178.95,4426965.59,4521262.71,8732663.72,797539.61,77327,49813.45,3786323.91,145110.08,0,12559445.91,4799516.83,0,2910863.03,7656486.6,18400468.42,38379040.88,5981204.69,2401377.26,80792.1,13016541.99,148602.66,1976944.69,725548.93,1891928.15,2278840.2,17175,42086506.14,725829.03,191389840.75,150045237.14,1636384.5,126434.86,1741586.25,3544792.12,1267076.96,1843316.26,98503.82,7110048.77,6180994.93,213985.11,61855.89,9471116.83,496001,1358138.46,42301,14778,32440,19613093,11572,3437951,277047,7390030,4254926,111512,6868654.87,85335.56,1112.95,0,9526,21456,7661,178039,103411,0,11125316,0,71393,38963,58109,43936,25611,152461,0,52097,58844,0,0,314613,3873,197675,0,179923,7755,0,0,116006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24478,0,0
"DZA",11643354.06,95483915.7,259399354.7,1307855.91,206063.95,365250476,663472.5,246605.82,1938557533.6,1081,4700659494.91,16101470.18,93401,1130976656.45,31658,488974.35,10946,139662048.89,553497836.85,461261.14,25152428,0,5551187508.16,1169,6033.07,0,4255083142.86,1576342393.29,274503722.94,0,908400.37,2308906,66242,1521041.27,51161.05,1515829868.41,74199280.37,0,7424459346.52,0,0,768059963.33,5715623.66,408870,0,2148,70715038.26,0,0,3521595.73,33747972.84,0,4289537158.03,5044363.78,5392,1112754.2,105658,0,3742042.34,1185950.28,1129011467.01,0,5996643.17,1402801.37,0,17409869.92,6112670.53,0,51937,4423.96,65949019.11,47606515.06,108968613.21,0,2690420275.92,293696.69,177227,3184626.31,18147385204.64,23998306,1344801.82,0,0,3703762.75,203955.48,102152735.31,25356,709732.93,154794.14,7341.17,260760.42,14277534.06,0,37459,123428.03,0,4290849.43,8763415.33,283816608.34,5005697.88,108528.75,3000,5195730.13,170950.36,0,2006.34,0,63469.75,652442959.07,6048729.59,1438910.2,196213479.42,85895468.56,353016627.48,755741.24,3847270.82,82126404,804130798.59,4610,1623061.7,50987490.65,674406.34,0,20198,0,18963,65899.97,33466,0,259351725,429437042,0,0,180395277,228215,41753,1393471,15117681.99,0,22956.1,0,0,1656932,0,0,0,0,5059,0,31208,0,1325042,0,0,1516502,141674,6236.3,11087,0,0,0,51788636,0,0,0,56314,55770061,0,0,0,0,0,54837456,0,0,0,0,15390,0,0,0,0,0,0,0,0
"ETH",144909283.61,17073,2537623.83,15289700.41,4100901.61,0,222055.95,269965.67,277374.09,0,8144330.68,65683468.23,0,79422237.73,264695.94,25713.78,45823,4965238.23,118647040.43,719724.35,125042.61,4023,9730612.58,332303.06,7188114.99,0,33728535.68,36152021.96,12776434.61,37543.84,0,5028493.16,113055,862302.92,1343793.9,18966827.16,1490983.39,31257638.59,86291009.35,0,3577,4470817.12,1530296.9,369637.95,253478.18,13047.08,339732.26,0,131870.13,5752545.72,395676,0,72691743.53,7215910.72,1598447.19,12927345.52,0,40374,435949.01,4605998.62,17784570.44,0,347708.01,1955138,458061.79,100074121.87,50522300.26,2105,298046.48,2377064.42,460978.76,19873244.28,2539406.81,0,42818699.37,312734.78,171427.37,0,94863905.44,53896,5934882.96,68580.78,145405,81201.15,335575.33,4253844.78,9272.9,6127,10896.91,65118,9463,354774.7,2820554.27,0,6152.1,173775,73823,11677406.66,79289455.96,10868,6810143.96,0,934861.92,55103.35,254011.11,15569.51,157499,713537.73,76569.22,6685978.81,191897.45,5555576.86,1188027.17,882464.56,7333,287671.59,437710.84,1990309.74,27857,35232,0,49768.52,794315.11,118868.78,913191,0,181195,0,0,0,7859139,0,0,1167939,519830,2801,0,347346.53,160515.7,63483.44,1033663,0,32331,0,0,0,0,179277,0,132336,0,0,59872983,0,1938,24447,0,0,0,0,0,79992,122186,0,73401094,105943,0,103589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",7620719.07,0,974947.87,0,5593740.31,0,0,0,25420,0,9306805.55,1177305.31,0,873966423.47,236676635.9,0,0,1322985.31,73625717.53,2588575.31,838975.98,0,108965070.54,0,316332.26,4202.06,583041656.54,98696875.21,26583746.28,1308,0,3900511.13,143837,18274.72,169946.79,83767146.82,3184432.19,297840.94,95927702.62,0,0,20900003.72,52781.98,292579,30171.82,91145.67,4303547.59,0,0,289649602.88,10892873.99,0,48486789.89,31507405.05,32287.28,66421.13,0,3791,176614.29,1267475.67,14785423.36,0,114352.83,1028783,0,5487407.43,20159375.82,1826.31,341746.18,310727.78,38165.04,20923,126372731.57,395899579.68,20238460.16,40285,0,0,2384698834.3,1723828.32,25160516.01,183489,0,0,0,89476.68,0,16834182,2498296.12,0,2170550.98,963001.33,957583,7142,0,0,3020158.33,3080,183699350.3,17278,0,0,415468.51,6063,14460946.68,0,4524,55709,952377.86,1137156.37,1286077.28,71450291.69,0,2873776.04,12716728.84,17028078.16,419822.4,55135890.94,1009.41,1309314.18,0,0,0,3736591.63,586770,0,0,0,3523262.61,0,17057,0,0,20594925,29275,0,0,2248076,0,12178.5,8753,0,0,0,0,0,0,19459844,0,2271607,0,5723350,0,0,15247438,48951679,0,0,0,0,0,2964109,0,0,0,13185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
