"","ARE","ARG","AUT","BGR","BOL","BRA","CAN","CHE","CHL","CHN","CIV","COL","CRI","CZE","DEU","DNK","DOM","ECU","ESP","EST","FIN","FJI","FRA","GBR","GRC","GTM","GUY","HKG","HUN","IRL","ISR","ITA","JAM","KHM","KOR","LBN","LKA","LVA","MEX","MKD","NLD","NOR","NZL","PAK","PAN","PER","POL","PRT","PRY","ROU","RUS","SAU","SDN","SLV","SVK","SVN","SWE","THA","TTO","TUR","TZA","UGA","URY","USA","ZAF","ZMB","ZWE","AUS","AZE","BIH","BLR","CYP","DZA","EGY","ETH","HRV","JOR","JPN","KEN","KGZ","LTU","MNE","MUS","NCL","SEN","SGP","SRB","SYR","TUN","ARM","MAC","MDG","MLT","MWI","NIC","TGO","VNM","GRL","ISL","MLI","ABW","AFG","AGO","ALB","BDI","BEN","BFA","BGD","BHR","BHS","BLZ","BMU","BRB","CAF","CMR","COD","COG","CUB","DJI","ERI","GAB","GEO","GHA","GIN","GMB","GNQ","GUM","HND","HTI","IDN","IND","IRN","IRQ","KAZ","KIR","KWT","LAO","LBR","LBY","MAR","MDA","MMR","MNG","MOZ","MRT","MYS","NER","NGA","NPL","OMN","PHL","PNG","PRK","PSE","QAT","RWA","SLE","SMR","SOM","SUR","SYC","TCD","TJK","TKM","TLS","UKR","UZB","VEN","GIB","GNB","KNA","MHL","MNP","WSM","FLK","ASM","ATA","FSM","PLW","SHN","SPM","ATF","TKL","VAT","HMD","SGS"
"ETH",195646970.47,49790.46,5177518.64,1281585.48,3312000,41300.5,11056618.99,101549794.15,8351,87319197.85,59574.78,105316.02,113574.53,3973694.34,164687190.03,1888682.27,61945,0,16794132.42,128985.49,8811116.59,0,34848350.27,43699731.81,17441113.22,146668.41,0,5230185.71,822088.82,858098.06,48294703.22,97410792.89,46114,0,6368279.62,2646374.74,7898,20033.23,2521856.04,150843.6,130486409.69,5567525.94,1847394.98,17404658.31,66592,4567.86,2335735.19,17514412.98,5669.65,3465512.82,7053234.15,143832858.92,123220297.49,34929,3549914.64,1184786.21,17999690.85,2727962.04,0,40728267.56,180154,1041981.27,17008,139196905.88,8016932.76,202524.22,86485,6781099.3,0,109025.91,408118.91,817567.54,1496112.98,14517726.39,0,1330975.53,22035520.81,44983781.21,6349501.48,0,431989.75,0,849935.2,119811.46,483979.13,11586815.94,471660.39,1779921.82,1719984.67,585252.93,111544.73,311858.76,0,23065.56,475870.76,4989,1534350,0,349201.82,312402.35,0,36233,458768,63439,37605,0,16578,2178953,272190,0,0,0,0,32133,53382,0,646287,3605,57255164,0,0,201671,54053,13584,0,0,0,0,313664,4027561,15364376,282862,3004,0,0,706309,0,22618,4212,872793,21694,0,0,28567,26904,3145182,88469,421544,17254,109754,481982,0,237957,1032337.86,82187,78252,188854,0,76915354,1645,4279,10031,0,177550,236224,603044,0,27040,0,2524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",129884626.42,1691754.86,855571403.9,98740583.86,278966.77,12898619.82,44767527.59,107785454.33,1563878.38,50604300.81,75693.63,10379459.89,1217198.62,157833820.78,1525112488.33,45436905.03,435226.86,6386,93449022.81,5045128.91,26169231.71,18916,313041953.43,337571669.58,42833211.72,78884,11570,2521629.06,344103097.95,23401843.07,11326898.59,2687445254.73,64098.53,85376,12323732.52,24524571.57,1415224.12,14148834.17,15241057.49,145729020.64,183863384.6,43495567.35,2287177.63,30660132.06,46405751,1337901.06,181164446.98,14162838.47,24755,105052029.06,257037001.4,99910096.03,386148.39,88174.57,110213131.61,1111060917.18,76756508.17,1567402.76,2121436,104811930.01,4290973.36,218996.16,115630.94,386455459.49,81244402.19,0,0,25436238.05,32845589.23,2104720678.45,33350904.53,152840865.32,29190332.77,85927829.94,29030,0,5272119.74,114138100.93,320416,251386.42,12284735.85,185729910.33,1643115.77,475842.83,2595564.78,94031474.14,769976195.040001,13066072.28,14604162.41,1571891.73,170032,951845,211405046.19,25662.8,49133,1510,4008334.51,32844.8,2973506.34,0,0,2425709,54385,44327140,0,137078,77410,2799459,9559956,447190,251586,4559149,0,0,59934,0,0,3566556,122490,0,71324,6023416,2858101,277501,0,0,0,0,10143,5893504,10022298,3396784,1837155,12348359,0,1235042,1736,3483618,25860904,10589232,2025352,2246051,0,18604,1285015,4758220,0,45903853,57966,1436542,4186020,0,28874,96678.3,93903185,0,46621,719986,23168,0,61504,0,176970,501817,0,54793068,976592,98544,29631667,5278,46968,201126511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",405728289.44,239327.72,7144581.5,7421848.63,102177.54,25364784.2,15204160.42,61481144.7,732586.29,218317956.2,1140759.17,763127.2,32243.01,738117.02,27964420.1,2551223.02,1361029.19,1955559.29,63112743.29,46417.21,2253253.05,13853,22291699.68,40002390.85,5944686.44,754489.87,28834.76,8376754.86,10014529.12,2496886.66,180846548.59,108877286.55,167352.65,981870.59,55998727.91,155700625.02,6741166.94,151325,7045765.69,321773.2,99630065.35,749257.9,641051.26,16499559.56,3359545,2130647.48,16750440.05,7992261.88,0,10356257.43,14323484.77,693425264.61,190703517.94,132386,4317552.73,359054.96,7240455.55,41443823.24,339018.23,45409140.47,4234248.43,1749039,144848.86,1105275372.18,51570306.12,56261,0,14121372.82,1415001.29,469571.77,227963,5376739.68,160444641.14,149308368.01,10898370.18,345194.22,0,343498245.55,6882473.55,343903.67,248333.31,53793.43,2022648.51,42830,203408.45,9989913.34,846435.24,248500490.74,33632523.07,243689.45,27662.91,72064.3,52360.38,678442,28846.64,5255,12474181.71,0,295506.74,103252.87,0,887216,2337620,722158,0,200517,9011,1027107,47909739,0,0,0,0,0,20739,0,54824,42829,1035543,1060199,6204,983442,570179,56062,0,0,0,111486,0,136737718,1281567182,14653970,1281581127,666576,0,100758170,0,2826657,40888015,13095811,192731,0,0,4410592,328197,88703852,22154,3782272,18329,32335354,15153208,0,0,69375875.14,83111913,361889,32358,0,551739,0,0,66599,22785,87571,0,19222370,947178,210604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",11347294864.27,1358852897.18,2366128417.98,537273415.01,433343694.61,6661666668.44,13367487755.61,4020904073.39,3182780080.34,117490197505.34,179575287.26,1186715712.72,823086111.61,4232267460.07,29995926607.92,637848890.62,314428837.84,770235819.44,6958551043.04,450951366.4,1963577669.83,53157766.41,12746211614.23,19837090874.93,1391824724.92,365391348.8,37578559.08,34063641004.26,2713457055.18,1543901061.97,2207785125.9,7532291207.92,185738440.82,200312903.99,58153092072.35,603693475.54,442787549.97,61555303.38,13641694816.5,62176259.1,16341455036.93,2047465248.19,2762539397.32,1646062449.51,10789566388.46,1258139952.99,3626930466.56,880497219.76,442344574.62,452672849.62,17918083697.78,8222396344.23,263844416,189930988.46,797166412.75,402914984.46,2642434246.74,29679870605.38,349301032.01,3933679851.02,341205643.79,256784484.11,107535037.68,136069402750.12,3533597387.1,92365290.37,22325551.13,17368098882.9,177425418,88372800.85,261923631.73,759586438.99,1322098536.48,2040165529.94,276124212.87,427916603.44,534211086.75,0,738735793.18,23905210.6,87004675.35,57170102.15,167068589.41,102558145.09,139753287.33,21790338201.35,209053300.82,535533149.16,271381826.02,73480354.55,340802718.77,124030999.88,234125367.36,34411516.26,106084545,34852743.94,7425242588.55,11001174.87,225022986.93,62115241.03,0,114650037,315875698,2540566,4240907,22789696,16619026,783903529,931702533,1797352625,5553265,14574864,46802330,1812434,39691279,34684013,22581559,65874501,51187992,3324968,60069412,213596624,167502760,19470587,3607216,10842095,137136884,128500686,45418582,11907010745,7612012465,1875056435,202617221,190782283,5073543,2090322154,61973225,1222799451,360216916,467251306,7169350,187050173,204345035,49503522,33888658,14120695399,15428509,917472589,50323160,3919755262,8750034335,178211162,7257565,16699920.93,1998420706,24646678,8835144,0,2845808,82820143,13833739,9869328,1031626,73973834,6111537,2019141095,74879965,952101176,108622989,1107834,9461783,776971955,12159216,10789125,90818,7661788,0,12061574,7440563,106518,0,0,15528,0,0,0
"KEN",266922525.68,484401.24,24479027.03,460286.92,4668,5559761.99,13988911.1,45272608.49,1527089.88,49667402.03,1500213.04,1613718.95,14727.28,5000506.56,170885047.32,5226303.6,34556.34,10892.2,53276170.85,285040.61,22917139.74,249901.28,106986529.02,515599449.68,5304105.63,56471,46394,46230526.01,319175.08,18339912.32,38785606.72,78226357.08,2621,47851.73,7474622.47,1503396.73,11817461.67,210291.59,2281398.08,58653.84,493187558.18,28652378.22,2760877.55,189650386.71,26119.23,146768,17864788.77,13395303.28,253340.81,3060502.33,68844993.37,35610641.53,441483021.66,165354,654847.02,141958.35,29169053.97,80683803.51,603910,13643034.47,434934695.059999,555275930.269999,395851,397985053.19,54727310.96,88474194.59,3325043.82,11260013.3,450493.37,62407,607398.43,1768681.7,142767,225335240.98,64491687.24,1051050.27,2259637.21,48856180.21,0,972372.88,3158.89,0,31846525.51,44407.38,735516.78,50700462.31,115686.08,1156018.49,94089.83,143686.95,399721.63,8452575.18,1836048.59,72259849.52,1006,373990.79,7937648.49,1004,360566.07,799866.86,0,62555262,2278671,0,50489924,529023,106041,3380250,1831620,68110,27877,0,0,929028,663576,143488562,0,0,11727144,3754996,136192,379472,6917782,1538608,325809,0,0,0,1209939,9739087,98182897,7302312,12584051,31636513,0,5061250,0,580272,474870,1743295,0,0,0,12598648,257764,8221383,113333,45931794,75100,5289669,4250680,0,89882,69056.25,2107908,130274134,1154977,20274,186599381,9116,3455758,826696,0,0,0,4048644,0,2900,0,6924,0,0,0,0,0,4823,0,88044,0,0,0,0,0,0,0,0
"KGZ",31901835.84,6113.4,97902.95,3182168.92,0,239344,1599690.08,445501448.29,1224.09,48901619.92,0,37010.17,0,696072.38,20794455,141433.38,0,37728,172324.38,6635033.59,80316,0,3619231.3,557908.42,1123165.24,0,0,33616,7400,59033,19567.21,2696005.44,29055.7,0,2566728.07,119365,0,3355640.98,48663.76,1111845.23,1482392.56,1299.9,0,358067.52,0,75464,1468338.37,39596.79,0,328320.88,462018395.62,191807,0,0,58014.21,45074.52,1878793.36,12379967.48,0,33134985.15,0,0,127691,2450134.76,101876.44,0,0,1443853.18,3113419.52,51845.35,6489727.43,0,114689,947282.72,10196,21733.34,0,3202086.03,0,0,3080845.01,204121.47,143523.05,0,0,0,369971.73,657892.25,6089,44171.57,0,19746.16,0,0,0,0,82740,0,0,0,0,3243359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134751,0,0,0,0,0,3000,0,0,535730,11260601,630078,157961238,0,0,73275,0,0,0,645387,0,1436642,0,0,0,0,0,0,0,0,0,0,0,0,0,1719,0,0,0,0,0,23890008,4246697,0,5324031,65387107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTU",14818006.04,32358982.33,92515552.67,39666614.51,270453.27,52101856.14,318435040.9,226231972.51,5360547.75,35187580.81,8599524.19,27455471.48,3014438.45,177397857.21,1703655836.01,1004017674.22,318201.85,28376522.04,571379022.32,1099342172.97,329646192.35,0,1495747271.95,810004263.37,20915755.78,252694.28,0,12447074.26,71468829.25,62886172.09,28381007.64,375782331.39,63211.74,1471,14035352.08,5817004.4,849294.3,2448293600.75,82923087.45,1468784.01,538684785.01,585796794.28,40521436.53,9086021.58,10454385,563217.17,1216037254.61,73316637.77,357413.64,58692502.4,2644951117.2,44815265.15,0,7128849.24,56809199.51,14101939.19,1003845328.8,3423137.15,38305.41,191447537.28,1098791.94,306377.72,15876263.29,781843270.48,36173807.75,361943.25,23105.5,35473829.86,27783741.64,1865229.07,629816283.85,8012278.3,73440953.37,9561838.91,35029731.45,16787500.99,701440.71,29868427.38,428660.85,43337803.37,0,688388.09,129032.1,168588.92,33051509.07,203644147.91,9614666.18,8209356.79,19764588.78,1785545.19,112821,43150,11649550.07,0,36108.75,935812.31,3691930.83,364113.77,68926121.6,24578259.07,0,9488518,547067,57289,0,1200580,0,771076,607760,26818347,4903949,0,16232,0,1101023,3364093,3346961,863843,13360,0,19596,22671538,604099,2316888,702517,149645,0,72266,30945,686877,399300264,787647,26199305,269056644,0,1680598,0,109478,5137374,47262728,31011351,0,3058777,6683,589758,19347902,75996,10498012,42421,32927965,283343,108156,0,16372.96,3397565,0,0,314360,0,0,336441,0,50949828,2929541,0,775764954,19093065,20311,57610874,19469,4584,667213,0,0,0,0,0,0,0,0,0,35489,0,0,0,0
"MNE",0,0,2878239.25,199478.27,0,180776,318001.35,2635339.67,0,2247596.31,0,0,0,10679827.19,16661332.73,30918.73,0,0,2027459.79,0,2892995,0,3055996.4,12025039.26,87335015.68,0,0,27057,14641143.7,28114.38,36218,190368004.22,4174,0,1978,0,0,0,0,1480120.83,14391061.91,387144.93,8359,0,0,24537,610316.19,0,0,4143697.25,1688679.56,0,0,0,1319189.57,63107622.61,1090872.16,2573,0,1382052.87,0,0,0,1152808.54,10847,0,0,9663,0,32983965.79,115114,206297,0,12562545.42,0,9439986.65,0,530709.71,0,228810,58484.39,0,0,0,0,0,172826963.45,8890,0,0,0,0,1802729,0,0,0,0,0,33243,0,0,769106,0,8280350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274996,0,0,0,0,0,0,0,0,1295012,0,0,0,0,0,3178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22225,0,984091,0,0,166588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS",69154629.87,214449,9971031.55,821845.54,0,866125.3,6927648.9,31045263.58,328187.3,10713167.51,1529514.71,196615.3,431318.63,15888090.16,68790345.89,4124139.51,323564.67,0,85096049.22,586182.79,1179441.28,559971.36,376650638.81,737166189.54,3142446.06,0,8432,7930068.36,2560405.54,7219941.37,1045974.41,143060097.88,0,244442.97,5569994.52,915426.88,7865264.61,0,4134759.89,106365.78,35444002.13,1922752.02,745495.49,720572.71,5102197.89,305106.34,13653315.54,24751876.12,30459,7361762.97,6633212.14,5885078.9,479674.27,7126,869394.26,2845048.55,946893.3,18207088.15,14316,8850930.35,2013280.19,3329420.67,1319273.97,169007261.02,73457442.6,13098651.22,5587171.6,10880306.27,0,57306,206729.39,238237,97017,500187.58,4139023.74,2079222.86,7711,12084333.46,22933458.92,47328,2118.05,215771.55,0,160675,1829510.15,12578855.21,948718.01,0,1450855.81,0,0,115116441.34,1765805.08,4476596.52,22576,226094.59,3875801.97,0,288922.92,439804.99,0,0,589660,0,356845,618909,204480,1751551,1874,1099,0,0,1435775,0,500463,0,633193,0,1750,3571,132587,168745,3270809,19795,0,0,0,0,0,333579,16627415,65272,0,78870,0,1685,0,67072,0,1336891,6877,0,271305,1794008,20604,5787426,26165,335869,0,463114,4662991,0,0,0,6153,1376279,0,0,0,0,26751329,156846,0,0,3284,1514381,0,0,0,3900,3921,19984,0,0,0,0,0,0,38091,0,0,286511,0,0,2071,0
"NCL",1324327.64,0,77821.7,13294,1910,50693,249108.54,559327,1703,91372355.08,14540,1083,1648,8472,704859.34,71750.54,92731,0,120849846.18,0,110779.95,398751.26,394075375.45,686372.69,0,118169.12,0,4413263,1000,87798.01,0,49976874.53,0,22580.6,46310547.21,0,253175.79,0,161450.84,0,55324119.18,8896,3108576.42,4994,0,100034.67,262958.67,0,0,0,1780,1234,22386,0,0,10169.76,210409,722015.85,0,6924,146636.44,8077,0,49748193.04,48746139.34,0,0,153582913.28,0,0,0,0,5464,0,0,1943.87,0,297343148.51,1090,0,0,0,0,0,0,475091.06,5569,0,1542,0,0,431045.8,0,0,8577,1561,309568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72923,13829821,0,0,0,8172,0,0,0,0,0,0,0,51032,0,0,4941,0,0,0,0,3746,10501,0,34575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5721,0,55064,0,1083289,0,0,0,0,0,0,0,0,0,0
"SEN",54035994.04,9388948.8,939344.29,354629.07,1271.85,11024317.32,2476417.35,10803438.44,18149,6244999.49,59826062.82,8329805.4,76144.03,1124645.05,9555982.38,656713.54,2586,0,78591427.66,225123.93,3417691.57,44986.95,180752933.72,17228981.31,26601309.93,75910.77,9559,8176842.19,175058,546854.7,893054.79,104059804.16,66503,56593,8091939.03,1688677.47,395679.7,0,2006957.9,4608,33051955.42,1508828.63,389729,1126978.28,127048,130435.98,414818.86,18020889.98,0,4650,840464.79,312830.06,811204.69,0,156148.52,330520.48,251677.33,7296864.66,267494.38,1959833.32,355428.72,5143,141182,15419305.76,2021219.76,449492.89,7124.12,1074918.12,0,14492.65,2752.66,1160678.06,573019,1065753.37,226334.22,512474.24,4729,16838189.52,16458137.92,0,2681734.5,14443.48,105619.49,209430.86,0,1575701,24807.52,0,657748.73,6293.55,749968.88,852402.02,98622.86,0,46517,27790715.93,4927189.84,0,106355.26,529398020.18,0,101958,6550503,254226,375429,13278688,18824207,31740,35907,2486,0,0,0,450117,12592872,1506694,5545298,5605,90702,0,8415963,60294,5197424,81873629,90533001,3612928,0,281250,8785,1153142,251980301,133829,0,17488,0,3371,11015,4108743,64618,7924813,0,0,0,486615,70629480,619979,10541406,17836969,0,0,105104,1717547,261682,0,0,14624,5088657,0,0,6250,0,37803376,0,0,226912,121209,0,0,0,60523944,0,0,0,0,0,81251,0,0,0,0,0,0,0,0,0,0
"SGP",1559044466.97,228895611.09,136910687.8,29990041.67,3810538.93,2237994374.92,1010015986.94,518338732.05,157252703.33,17745019591.58,37761919.52,74940588.06,34291849.45,830415720.19,5360013529.66,127455602.79,10114629.26,40614413.67,833248690.65,13080658.22,172059036.49,745454855.85,3052728792.6,3954690271.49,58183650.95,29283577.18,5310827.8,16423361181.49,785378060.71,1176879161.28,542761011.55,414847878.35,9156877.98,471644262.5,8468910345.67,43990856.12,1582023622.58,8057483.45,1769044849.19,2630837.58,3883721568.73,378545218.63,1507299046.52,939636525.34,637107318.28,56077367.25,442466473.09,116037327.91,38979686.02,32708886.21,539841798.99,1057206648.49,23567836.18,7361739.15,132885722.27,53794612.99,179769853.1,6408635191.06,57447000.7,322151956.92,411887576.64,88674010.6,25897047.09,13370469157.77,1003370332.19,12736494.43,8079755.69,12718861374.46,33766416.03,2916099.66,15584630.98,47962816.32,61893644.46,320902938.73,23723837.09,25912828.01,66178953.81,7167884338.62,352802946.56,1285016.16,16599920.46,1052730.04,66958618.96,525298361.42,30077226.25,0,10591202,54502254.56,228460911,4425657.17,171363859.56,30554652.18,303226863.22,5601430.01,2852069.99,2531605.56,8623007077.88,53380.85,4626079.21,13393530.15,0,4792709,161530224,0,0,68400027,0,1120097109,57290398,1832754,0,129462,0,0,22403834,0,0,92698367,11359800,0,16138969,0,68374828,10065430,0,0,398472817,925906,0,29079092962,9369606019,376512589,0,23237373,0,200252637,23787838,892874,268976684,33017658,0,1171277876,44773132,39320801,0,27300262982,0,393809428,48361065,119145519,4484374532,425115156,90477183,1238852.49,163138171,0,0,0,0,0,142540595,0,0,0,0,92666661,0,22996972,0,1097337,0,1094085,66205983,61870664,0,0,0,0,0,0,0,0,0,0,0,0
"SRB",19830235.24,474550.56,492216254.1,278262050.13,30227,3706044.76,11268909.85,67366500.44,1561874.65,15956391.64,524894,541024.25,28687,254481490.07,1303777125.74,19770857.44,20912,27201,85704521.55,1701878.05,12490423.77,1054,359846208.86,158042653.97,222359764.99,657563,0,759991.81,331465845.14,16851118.13,18646775.33,1146328321.26,0,42774,1294464.93,5143490.22,133946,7312815.01,1084572.31,499567245.869999,193625899.99,21611502.77,340779.17,1106050.92,145051,1486598.29,161538006.46,23320639.49,58861,402154678.46,622836737.01,16107429.4,153348,12132,278602955.96,518717095.13,58582004.2,434781.52,5464296.89,56102440.81,142551.91,6130469.85,82821,73266597.41,4528014.5,33524,0,7528647.33,3578478,1324836179.56,21191926.44,7265664.57,30048899.66,41999581.44,2792,423514813.46,10208392.95,35918618.15,1206236,185218,19165151.15,1156786517.23,3406,46588.99,422131.5,393789,0,13470988.48,4707706.09,1076163.22,14246,5084,1813764.04,0,17757,10937,316043,6009,795790.39,29757,0,3564,455713,48409108,0,16237,0,160206,2199348,0,81895,0,0,0,0,0,29054,265359,0,0,4537,1252437,2587,82321,13629,8213727,0,0,12674,170187,16176516,38588224,66815244,11303262,1141,1390581,0,0,5911680,4249165,6547289,385423,272543,7599,0,353537,391463,1426091,0,579426,402578,0,0,0,443084,841469,81928,0,0,1212,24852,0,1062734,2083176,0,206570921,2342820,67757,0,0,39497,13681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYR",184042083.5,1451295.24,134279918.41,98963088.86,472939.7,32177665.59,56874883.8,6975833.88,354930.8,19236017.89,2528403.31,942142.84,17868.6,24248442.09,1810661380.9,1628624.62,171849.74,855661.46,328555878.21,871624.82,639371.53,4050,1041670759.87,207076422.94,148523096.8,97878.42,0,2498098.39,3087860.54,213032.41,5000,1206412178.59,0,13697.19,78581326.47,535082596.42,473387,12551,2190282.18,267497.25,244637678.43,747305.38,8142373.9,7712631.66,507436,96197.6,63761483.13,9841994.26,1168449.29,15281179.43,44383242.39,1025493050.19,131391188.11,0,339124.2,210400.86,3181538.87,840245.44,427007.67,728535529.06,3197182.14,283214.5,434992.93,371582524.59,501304,390255.61,163053,27064026.76,3100638.98,5405682.35,30160450.96,15822920.6,122070249.51,564023016.6,3002940.89,2303364.21,497976162.8,87521827.68,490489.19,1623292.31,107686.83,0,11564.17,5531.94,31926088.2,37885.67,21378542.86,0,44014652.59,6072821.48,0,54682.44,15977790.66,83718.12,0,73451.02,1832613.32,0,16703.99,497670.35,0,1795367,10292526,907270,0,506110,403251,10444297,17241003,0,0,0,0,0,3633641,54814,569412,239398,2980426,0,441464,3956678,1548571,180645,0,153703,0,3252429,0,1724956,16976546,24933393,2550171511,229501,0,263322310,0,756013,119680950,70963910,0,0,0,74732,5054608,160390,84238,4001931,0,31657200,0,0,0,0,61114769,0,372996,0,233546,65592,0,91110,220459,0,0,68950898,677917,2976775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUN",53900696.29,30988627.19,170796520.72,81036062.54,118544.88,212015641.13,40904149.81,458464625.72,437690.19,89215194,25172315.19,949304.36,161639.6,31791757.4,1979450227.85,11365957.61,110918.08,0,1073012882.93,6314594.22,23490603.78,0,5579998495.45,810016166.73,57715897.44,0,365816,19767508.95,7681036.45,25075254.93,15000,3583312783.03,3519,103071,60654529.48,18616915.34,26514550,395958.74,29003579.71,901978.64,387652932.41,42640451.61,28566405.57,44648265.95,2500866.93,928231.79,195521056.51,47313706.17,0,46574023.68,59897356.29,77264560.83,28838498.84,35180.13,86124698.31,11686210.8,60586164.17,16946576.93,123445,359993266.6,11717733.19,85497.95,3871103.13,654681957.1,24023033.87,7702,20333,42049430.5,299118.25,1968049.43,975332.32,6576319.55,383270008.19,149042599.57,58315470.23,25267516.25,50883377.73,176734067.75,221781.49,23932,626495.75,967980.16,4719549.88,2268693.42,33058475.07,5562162.63,6671094.1,13573896.53,0,223014,737469.34,3079650.67,27513596.84,357852.23,57050,14791419.45,57511975.97,13491.38,8130676.75,12185210.67,0,22289,4601611,705764,4549,5943424,11504367,102560654,18629657,11061,1268,1345,4884,712898,8355946,1300,9788448,9223,1389578,52061,14473230,1823,9444706,2423920,1815764,3695841,0,14915,0,9672797,595221220,234706532,6483387,99037,0,1796092,0,1244683,870884808,234045586,13085,0,0,13734841,23460366,4749926,13392147,8233213,0,3429467,24194977,0,125002,63818.42,3665751,6186957,1010810,0,0,54695,6776291,3200459,0,1478,0,21799117,0,315361,2171355,32661,0,0,0,0,6830,0,0,0,0,0,0,0,0,0,0,0
"ARM",8277799.58,0,15237185.95,58827190.91,0,192572.12,17490560.18,8386042.29,9034822.82,11180431.41,36904.59,22963,48332.72,4643276.54,209595711.53,108257.13,100138,0,27532908.48,738626.41,323442.32,0,15859198.69,41413969.56,383885.76,0,0,768689.98,214464.54,24464,5087940.65,28814880.76,0,0,1154265.28,164188.15,115230,1181002,336610.27,0,130594739.96,36415,74056.81,180372.87,946818,0,11587309.8,0,0,249384.96,218009252.96,281865.87,0,0,1227548.41,472873.09,780181.87,4753419.31,0,1848175,77175,25400,0,60767673.16,100232.21,0,0,1769247.66,0,10169,4521579.59,475744.35,61405,108473.93,3971,307932.95,50950,579710.01,0,312367.38,420606.49,0,179429,0,225476.7,0,560815.05,65520,7033,0,33150,0,0,1036,0,0,1466086.74,0,0,53927.82,0,0,0,405545,0,0,0,0,0,0,2377619,0,0,0,0,0,0,0,0,0,0,76942363,0,0,0,0,0,0,0,0,2421709,22099747,0,2825286,0,0,0,0,0,0,1631438,0,16160,0,0,26380,0,17213,0,0,469690,0,0,0,0,0,0,0,0,0,0,0,23390,4217013,0,21817757,3075372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",4358929,818317.77,6371284.57,580842.82,26956.88,9659227.24,23435496.56,49695114.05,1219179.93,297992742.44,0,1754607,115973.68,4851528.61,99157231.06,8021642.71,50640.44,40275.54,26580174.24,581516.62,2837857.24,16379,36842277.4,83143300.65,1883427.37,7514,0,426103480.72,18241189.14,4512598.15,4004858.21,36008071.46,0,5344008.15,6072570.7,675548.17,2935722.63,64588.18,30378234.14,79903.86,21651464.23,5844091.99,2577058.23,110195.89,1955359,623477.69,5016567.62,1288985.59,38999.37,214068.22,1975608.52,406907.2,198576.95,18293,1459751.48,2259145,7014629.81,9261759.92,0,10596957.91,0,77346.57,114237.95,898269892.41,2223069.59,0,0,10983507.9,0,135156,51600,334537.66,37646,48382,0,1403034.91,144180,52120545.45,16833.66,0,199982,149637,80374,109294.43,0,14237869.5,730591,0,74488,0,0,0,21302.85,0,8066,6467.38,22494281.06,52902,334824.79,0,0,0,0,0,0,0,0,954230,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3875,0,0,709071,470086,0,0,0,0,2999,3940,0,0,38775,0,0,0,0,0,4092275,0,1639,0,0,16048086,0,0,37108.94,18448,0,0,41860,0,0,0,0,0,0,0,7006,0,3971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDG",24652717.28,270287.1,7209418.32,2488362.82,0,347726.8,17979201.42,6080257.6,62471.19,55467001.42,130531.79,14728,207640.85,2415791.74,85675901.59,2373286.02,69531.43,0,47908642.61,271720.31,476806.91,15535.64,499395381.44,55555491.37,3470127.53,0,2037.34,11848230.89,5404,564839,279813.95,59166092.51,0,0,1741900.61,626212.29,513484.43,18918.14,2050122.53,73229,28797512.32,1030351.58,61053.1,848124.51,798363.76,196523.24,2101843.42,3640255.57,0,206794.02,1575061.55,431822.61,240035,0,568319.29,361448.88,428640.77,2440779.94,6621.62,2209451.31,1223963.85,343541.55,21047.34,361078692.52,29829184.98,55847,241690.11,560852.84,1122.87,115475.88,37900,417763.7,4980481.86,411726,24746,881105.28,24814,15649408.89,1477009.92,0,1513.93,45370,25566391.79,57916.32,146677.77,30036388.84,400957.74,118387.74,325513.23,26096,26185,0,31252,63255,4632,0,1691603,5281.18,44466.31,17470,0,0,13880,0,0,59218,15012,153699,0,10687,0,0,0,0,48159,0,0,0,47494,0,0,369979,81606,4163,0,46173,0,0,0,3965086,10577794,47531,0,1048,0,59091,0,0,0,5743289,52069,0,0,1692261,9118,384202,36333,0,0,50405,181469,0,19317,2017,0,50492,0,7585,0,0,6288854,0,0,8806,0,8387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19153,0,0,0,0,0
