"","BEL","CHN","COL","DEU","DNK","ESP","FIN","FRA","GBR","GTM","HKG","IRL","ITA","MYS","NLD","NZL","PHL","PRT","PRY","USA","ARE","AUS","AUT","BOL","BRA","BRB","CAN","CHE","CHL","CYP","ECU","EGY","GRC","GRL","HUN","IDN","IND","ISL","JPN","KOR","LKA","MEX","MLT","NOR","PAK","PER","POL","SAU","SGP","SWE","THA","TUR","ZWE","ARG","NGA","VEN","HND","MAC","TUN","AFG","BGD","BGR","BHR","BHS","CIV","COD","CRI","CSK","CUB","DJI","DOM","DZA","ETH","FJI","GHA","GLP","GUF","IRN","JAM","JOR","KEN","KWT","LBN","LBY","MAR","MDG","MMR","MOZ","MUS","NER","NPL","OMN","PAN","PNG","PRK","QAT","ROU","RWA","SDN","SEN","SOM","SUN","SYR","TTO","TZA","VNM","YUG","ZAF","ZMB","AGO","ALB","BEN","BMU","CMR","COG","GAB","GIB","GIN","GUY","HTI","IRQ","ISR","KHM","KNA","LBR","MRT","MWI","NIC","SLV","SUR","TGO","URY","ATF","BDI","BFA","BLZ","CAF","FLK","GMB","GNB","GNQ","KIR","LAO","MLI","MNG","NCL","SLE","SYC","TCD","UGA","WSM","SHN","SPM","ABW","TKL","TLS"
"AUT",770967095,348630586,17991224,14990666922,359090385,631734484,236412037,1766777317,1453633026,4096531,159567561,79468734,3670587959,79821066,1058543299,22392936,17703898,174140502,2208324,1204454663,37198441,138105708,0,3310060,63731289,1007182,225887253,2348894871,24218814,30157240,7551249,102492528,252184393,562428,1403566763,111045589,85794758,13764175,709421679,146654860,4694747,55061441,13051547,247161406,33498796,7333118,701577648,189102965,120897786,620711014,221284386,300039224,22313163,36331459,85399479,28025972,1296738,654092,32353957,116638,4371185,119198785,5072448,4643598,4300665,1446986,6240206,782979719,2824069,963086,2402694,110556552,9984101,135030,3366708,979687,478886,363713551,1697935,35079075,9728225,20957876,18831417,163146307,29346415,1038630,1287289,831165,1117186,415620,2564561,10259361,2477049,230526,11936711,4200015,90940399,202743,5366672,8869578,636401,782243390,29590181,1368927,3531016,5195254,800384884,107751968,2290007,1050395,8504241,8318882,233020,3487572,306703,1046624,14184680,1997802,1502841,218189,0,65283778,1458,255247,35674,1058385,1753172,1814069,2924527,154378,2447829,7662238,0,320675,617435,165702,211331,49742,2184947,230871,600,16982,43996,1107686,9707368,7937555,395383,295282,52318,4301077,77877,3087,51718,0,0,0
"BOL",2734430,0,22717666,23068075,53323,3901389,25668,46199522,13249660,2131,0,93105,7724935,12303245,2162233,21115,159570,946480,1780172,196697673,0,395336,3929487,0,9817825,0,3944171,651775,17738774,0,664278,0,31263,0,115004,0,118881,0,9932891,1004440,0,9248541,163590,29736,0,20290703,521606,398233,0,199578,0,0,0,218140658,0,3183956,0,0,0,0,0,0,0,0,0,0,9785,0,0,0,0,0,0,0,0,14725,534,0,47398,0,0,0,0,0,0,0,0,0,0,0,0,94275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043,0,0,0,0,0,0,474,0,0,38686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",683235126,321348671,148149433,2986314031,152494745,820874433,108414222,1535577970,1210576056,37416950,346295055,56629080,1660004233,259969377,951674239,36753087,188793952,339017870,251366231,6573726552,67625678,229307659,153863052,139536507,0,7720345,558019725,211445684,634588752,25208423,125564090,122292636,182441077,135767,104572482,259046592,165651673,4434682,3031169306,813696920,10289245,691466545,15017656,95985530,83758718,180287810,78002879,386348336,266386224,240181478,335930198,199760359,21131102,1400680082,174932989,427495854,19255011,1543087,17131441,667859,16700823,3134559,14874952,5912128,20887949,13840667,73308883,56411479,65588339,20487,27618979,45264795,664983,993729,10764330,17870074,6688096,428547918,16645780,25826664,10644887,10346504,38234788,111022339,155773430,2416354,46180,1431890,6318958,12850,149980,2836261,43530418,715496,2624388,29833429,39757124,91757,1192580,9558216,0,85921657,28178299,47499059,2771547,2337048,70890048,178732188,1441428,68944475,0,2608926,293356,18528023,2122100,1337978,18609159,5891840,3659758,3945646,55309,46184978,0,84918,44142320,5779352,903244,3598693,12615961,14391440,4007294,337026536,0,788394,1182180,717869,915230,0,810550,201563,285839,0,0,924753,34723,153092,1212833,76882,356082,699134,0,0,0,0,0,0
"BRB",522803,13089,0,1246607,326789,174374,46469,10059075,20801829,0,22302,46703,146161,748,757554,5014,0,15319,0,29090446,2167,108669,19670,0,0,0,10619170,292979,0,0,196750,0,0,0,0,0,0,0,657787,588,1611,66000,5215,23507,14614,0,0,0,0,364153,0,0,1906,21593,0,10820,0,0,0,0,0,0,0,0,0,0,1919,0,0,0,0,0,0,0,0,347222,84693,0,7067163,0,0,0,0,0,0,0,0,0,0,0,0,0,1728,0,0,0,0,0,0,0,0,0,0,18012612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240119,0,0,0,0,0,0,0,0,0,0,71492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",642516751,2269608412,128709013,2599354642,147671141,453873847,127027563,1631971221,2999651025,26414131,748713581,191632290,1269594511,275762147,770202379,129974556,161128553,138631542,4515105,86988938437,29366265,546883026,203330743,7851732,538793690,38475172,0,238376558,142460161,9862831,56442156,98466280,69861736,3652507,21458617,324881888,254108422,12421611,6950415589,1757938008,14892866,728114501,6371380,597400342,87136412,80814299,40380452,273070087,363999713,271389735,327277866,144141805,17690037,65679472,26692621,259374083,10387076,4801521,72471644,1338793,82422302,3074544,4263597,43444627,5183437,6095434,31525676,14619656,114587707,3421553,51675464,208719957,19940898,2970345,33280974,6567830,403482,266124324,89546472,17676460,10845165,303983585,12824847,66211846,212158045,663842,1145380,14680564,1032983,1537390,1501725,10512836,16828225,9182534,52387317,9358054,40996544,3035863,11561991,17008490,66866,1289903023,9347212,52309061,16740340,16127715,39608156,108769888,4225845,8316472,257855,3692711,25788634,17203284,894668,5300701,13370891,1956583,12635984,13300771,0,125100568,22410,1232470,1686960,7073234,2106668,11691429,15598731,2117933,1681296,11481658,6455,245509,4024940,2701957,148869,0,6732,29766,0,8814,50140,2592656,0,498535,222970,13388,994920,2158222,190921,0,30969973,0,0,0
"CHE",1729641789,397141777,136551683,14168192706,581045556,1270366766,346377948,4984877082,4354315962,21013815,2122909846,145903599,7555527723,444049430,1519079001,89924392,84071934,431352734,9925843,5264584512,171844188,418548197,1968384709,9539247,354937200,4867405,524608687,0,87592011,59462340,54726569,194366276,325538133,1029292,355266985,230896548,216841150,22995006,3309543243,601491833,24665555,341245525,17132104,358024694,182633237,36479941,410921481,1317304013,557843131,836775565,647669463,445777365,42673568,115135592,138947853,87202633,10717030,2993254,69598920,1565237,19664756,48397858,68767155,33722177,20499662,12820120,22928619,238690268,27277856,1161637,10440137,94884616,7764057,1516855,14295518,3133428,1514840,315494855,7983011,23323287,26315587,34129491,124616722,127151593,93754643,4273216,4601629,6540793,15794806,1284353,4183630,26446031,108223238,2214620,3138925,102714593,53955886,3733043,13527928,6969677,194179,415372211,23336306,5052546,7650878,7520532,285027919,350345116,8919656,31434538,3800024,2694545,39298536,10877230,576788,2358274,5431494,4279868,401621,2563877,4951174,1309904274,147330,437210,6722186,796642,1916405,2901452,7233728,1139861,4547833,22767073,0,1684232,1060589,405984,211701,0,514226,531539,10829,88970,31210,1020506,4069011,1124450,1259481,771800,337647,4750028,18327,88463,780263,0,0,0
"CHL",128264054,96357234,42413347,776719378,21989319,369679376,27055623,588810952,279513505,8903657,55721115,14481168,364629823,45688375,211337100,6426121,39944305,60628446,35807545,1373401559,437066,25243367,25465785,57175700,437534555,168103,143630750,17155119,0,421036,55987857,16325449,13075812,507801,2518725,105629500,3253265,940003,1703037057,333477143,6324148,44113782,630028,26882578,538456,77780011,393485,37586197,70475871,65434095,38489484,29893975,1532477,215368127,464210,43456071,3109838,171585,14908797,0,0,0,0,0,0,0,14914120,0,0,0,0,0,0,39939,0,1228950,150403,0,505992,0,0,0,0,0,8699042,0,0,0,218721,0,0,4402612,6773698,0,0,0,0,0,0,0,0,0,0,405138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37086,0,0,1578776,0,0,0,0,0,541153,3481837,0,0,15768434,0,0,0,0,0,0,0,0,0,16793,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",32627037,2190658,95317,70646541,3005582,13671107,4162478,23389300,220701629,0,12378165,13691205,47751433,941718,14033087,41694,0,1846303,0,12206405,3324265,556038,9183021,0,28308,16810,608661,5502572,14105,0,0,6254642,40570993,0,4645647,800,191199,78012,2383759,430579,7515135,474141,2413406,161406575,444174,4907,7894745,22534390,13123687,10225571,988114,5092625,35155,308211,1979177,2010157,13857,142240,394289,0,0,0,0,0,0,0,0,0,0,19856,0,13283,29814,0,0,33092,4743,0,251907,3512469,128174,121525,0,14597504,154197,0,0,0,0,0,0,2279629,0,0,0,1413286,7258047,0,0,36290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15424776,0,0,0,0,117577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",10902657,953701,31153838,234406317,5515929,134205994,10302974,43914793,19698667,40071011,1407164,12808903,86579854,710039,20533213,25723418,15951,12604975,335771,1358477667,709097,2295388,22797005,1143595,2077471,1782,115169923,10241985,109797287,0,0,369428,7048042,6682,4775651,526562,0,19194,94447999,299334626,32641,17006422,799728,2252597,85603,123951403,4564213,5588525,297117,10802719,77471,6090509,124730,22929899,0,5954423,575020,1187,66664,0,0,0,0,0,0,0,10023677,0,0,0,0,0,0,7964,0,53950,19299,0,143781,0,0,0,0,1971927,63779,0,0,0,0,0,0,0,94810519,0,0,0,17201,0,0,0,0,0,0,33927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458049,0,0,0,0,0,13829,386793,120525,0,150310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EGY",85662924,3482986,37049,244554590,10799957,276719717,1360291,225447250,215939940,10422,4395832,1520631,1089015671,1059255,94734100,1054452,557430,160882447,0,200744658,6169827,1756402,30389796,1087540,811569,542,9274211,10338668,160841,9844736,0,0,63415850,8313,14004190,2571540,17311106,81761,79267230,44905298,18243533,143589,1297933,3833380,15224380,32244,1074178,125080313,20481531,5972521,1123685,43854942,82440,251238,742714,59871,30767,3412,18305171,0,527266,0,0,0,0,0,15635,0,0,381123,0,4073826,624811,26960,0,45669,1919,0,0,7886530,33059,1853656,0,66873487,29324068,46538,0,0,0,0,0,6067171,0,0,0,2356114,94989114,0,0,42621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12978873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",192736317,17027063,1549438,2099093128,73816098,212946155,93962264,680339087,601077170,6544,13039261,19180049,1376339305,2587460,229310347,2998847,4352277,25990957,302147,423696558,29925698,37739138,183629240,0,4724157,91512,60183667,101476407,613772,180439541,310017,74649544,0,138820,39189155,5606820,7129215,1788258,95527263,14340060,1685190,10421057,32452547,51120490,5222003,2632637,58482138,99147377,18561511,136339778,15866019,75559071,647552,4951062,53896014,3945119,6090261,53772,37877283,1036000,205383,87555992,2012711,17760669,1787713,1156321,126831,45942533,51410,259872,2755,36824223,9676448,131432,1053722,403119,111324,19341179,103198,17386162,9766321,23895824,97278550,82900869,12373841,0,186520,643122,5097431,458838,13995,4752162,55571672,1145,305758,2060432,84591796,80102,5281785,1318287,35727,87783450,33675707,125833,593255,178857,159515749,7228727,17404,1223502,12172074,463892,1222627,3940823,13168,47059,126442,4965258,0,53725,1457079,55488517,0,86154,19953507,86149,58366,3422,5628,0,976908,883601,0,222461,0,1580,30092,0,125537,0,0,0,1256,106671,0,62552,2154,14493,160010,294319,903,0,44711,0,0,0
"GRL",23544,80692,16731,7359952,265810169,2129452,695163,28267319,7415238,20342,0,0,274280,109996,932580,0,44965,16137,0,3484963,0,0,0,653,0,0,500356,0,0,26067,17152,0,113647,0,0,0,0,78550,108815235,979391,0,0,0,22242067,66173,0,0,0,0,12099702,0,0,585,113635,33861,0,290905,0,0,0,0,0,0,0,0,0,9482,0,0,0,0,0,0,0,0,20343,12011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",134910197,31742720,2984298,2351270577,43850636,81133899,79901788,382728543,154038827,92702,11231101,6204790,740155281,7806634,165441523,1710606,1754696,5167668,186238,357065623,2328676,15349394,893590188,26795,0,136259,28783074,136496858,3208402,9832226,16746598,50799637,96208461,304115,0,18358848,0,1746660,137987170,33805122,3174370,4506179,4076676,23046390,20858103,1970016,70494340,26485447,9915859,135126283,45722745,121886025,422505,16704205,3088226,538187,83917,825274,12187032,0,0,0,0,0,0,0,114431,0,0,0,0,0,0,2349,0,237600,73539,0,235262,0,0,0,0,6380043,15981138,0,0,0,0,0,0,880938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31149406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",238080871,1323250256,8489818,1073533910,108411554,242733382,25933003,580729223,680387155,721591,654145856,35698881,437204350,470565599,535865281,35568277,177413782,25474290,948641,3229448135,259029773,666139166,55624549,236663,6102597,530515,185839802,54162513,10734090,11037901,7585678,166377927,26629826,279983,30756304,0,56096356,844316,11563254135,1861885713,40974253,63843688,1447552,23911630,77267550,98371,28185855,280118665,2409756150,61786895,206485901,26180392,507664,11886444,20600478,9650619,473197,7703072,4947314,2475293,66148218,17370867,7984307,4635,875901,0,492324,7068303,317573,0,0,78077237,923456,5288677,10492900,1150817,172752,88368871,1297204,24710732,48469914,12090480,12165653,8063414,18091015,189115,6645581,3493641,0,218278,0,10113064,68729012,10123774,16034647,3410986,7726304,0,3368813,1585204,24762,39791113,12626654,782017,8760046,151234693,8534998,1403615,66728,5093142,58031,7500,0,1939071,509334,1489257,0,71837,267497,0,334565,31973,5432385,0,490771,4763500,15014,100061,15049,1646041,640089,352147,0,0,0,0,351802,0,0,189008,0,0,82157,389643,0,0,711771,0,0,855059,0,0,0,0,0,20480
"IND",614231521,112000996,5855231,1526932482,104328928,274005113,108016034,594439202,1229742214,1513345,655457521,35112976,646183721,271080647,279910180,27761797,79941022,58647533,2356313,3111114209,583542106,186538802,114438140,983411,17317115,1052733,191496209,176491162,8021907,14107917,876074,71987510,52489236,106666,73806036,217470784,0,1573868,2027054721,445828812,202474792,39719256,16593637,64465935,50298026,2114752,76811707,268900302,385254854,101779892,859754027,87753294,11898197,19357645,80751714,3969424,1790002,911944,12896465,18014822,324565727,1402404,49348644,349892,5680202,2127058,823719,146230649,1082945,9436109,267690,10759603,4457838,6464049,12080610,1359633,209027,122761497,1650618,102041401,41805281,52372464,8665403,28633120,15048227,1893294,3842658,7630404,53450719,293942,77251479,83693950,19635215,420839,48536580,19127655,12477666,703678,15832706,2115437,547588,1643131480,18460479,2036653,48117519,12933041,30869051,5930322,27293815,3607649,0,10651065,181847,4402936,119031,23695,984940,980918,1562977,179128,0,57895701,18061,54924,11077571,2853491,5883695,80606,282945,484477,7389467,1322713,0,1382581,814194,94466,4783892,0,3046074,30098,0,37171,37246,3851822,861092,168998,1846270,982192,632180,12642633,0,353506,29424,0,148493,0
"ISL",20449154,118730,138071,208179258,67685577,62798281,8058271,166319027,382496932,60090,223979,1558338,33930979,6907,23268207,169396,3286,65464537,0,200209168,76611,1058924,3470195,2218,2938445,3433,10307102,41961829,580981,185095,753,69198,12973799,1567256,193954,0,21025,0,124020352,5984972,226919,742855,112909,19273803,589075,9243,784156,6318145,0,24221662,2397212,423788,179399,99401,27182852,9355,58020,0,34781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59354,0,1510074,24554,0,3454,0,0,0,0,1425880,0,0,0,0,16934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",2382668010,9094940238,456345812,21602486152,1101384122,3924064177,1186174005,8773952967,10306473910,120318168,14908239890,937652700,4028312805,8629861514,4045504836,1201600741,2284954897,697643458,178092091,86711509411,1417737462,6003737571,2225319720,110729561,1225202207,38298978,8110916407,2894264806,591859185,269493599,211765110,329771893,1304454615,14465091,277695385,5746984571,1524398911,115420314,0,19209037696,324778622,1874491533,75627578,1124999545,1148839044,163249434,344477774,3604543086,12735819061,2303360324,9987023462,989176374,109921944,544080555,371343970,505052763,69770901,291593197,110029533,116073620,242417310,35661741,165317693,383885049,67156980,38741917,121648381,68490285,35725521,24718058,103637524,366863957,55285953,67715809,76672748,36536261,19919254,2473488597,115119257,85452517,206030759,430706881,107447320,170261395,135131413,24205076,82068075,38626240,78121099,13498627,96808502,615958754,3950271751,163504678,224576485,208844141,56648848,9246191,52585889,26418228,2274992,2117548724,117582478,82037970,97823496,216673114,176096829,1671736930,69667180,134663787,113191,13799897,213671294,42557019,20942350,60077236,31139895,23398893,14822567,20691723,303878,663659313,6616863,2510241,803894992,6190399,40139189,30342487,55506366,19438887,30411609,71605691,0,18051130,19460246,8618822,10078050,67923,10568944,6216388,116593,4789165,21448167,9132861,46269824,35360768,8064938,7179065,4558916,39122660,8270047,0,1061383,0,0,8887
"KOR",241459905,975450983,24948283,3066656030,366492118,661629106,138109234,1388696003,1614573807,25974494,4227497781,82623056,870256525,907170790,601472167,130359425,581073749,91638710,62855148,16101890577,556781419,852538232,296025858,5950620,174217998,5580874,1678613598,286679741,152189179,45966672,17661261,125700721,154093578,1951790,72555036,1300158804,468654857,12970994,11237082145,0,205806646,100007818,19176709,175927537,253067256,20087723,295813265,801635553,1693822999,482998913,1440205383,333772770,3767873,246658256,83701743,53201559,25508714,33151506,13375172,47625723,290696746,11608074,21447599,0,12586049,5470919,128802124,21366925,0,21682569,78305762,0,5245447,12223644,21511398,5416091,1526947,557244761,14839906,61424911,23274011,392622186,87397191,206698446,29750645,3046261,28848077,1733495,22170531,2257728,12901959,30827937,624118076,21781887,0,15964956,25548657,594952,16444012,8534089,568165,625066919,33509032,5391922,12811769,198934101,121956924,14465722,2705533,9345097,40525763,15328780,11520621,8884889,2470455,4575748,283638,3744589,658830,5550702,57129,70984129,0,212815,2086521826,947614,1247559,7160248,8222907,5021271,20759010,32133124,0,704607,479472,3204138,772210,389024,1943371,67076,11017,728574,0,536757,5304491,2775806,2285310,1842674,225106,3663917,6770473,214974,239653,0,0,680811
"LKA",93878024,4342247,1699454,204836342,13730529,15667533,2705623,88726448,117022065,320280,20439354,6361869,44846944,8904703,75928967,4438173,2121531,2269031,16842,584874918,8500517,25002714,13539144,181254,294732,58835,32640794,19407051,6148848,396006,90676,31530148,2330310,82219,890490,1771304,7392152,351505,118416888,34973803,0,19715020,131091,5392771,30627808,1157018,2951677,36744853,41691317,27248738,19445550,3654690,694734,2872650,220941,0,0,101315,4027290,0,2783451,0,0,0,0,0,92508,0,0,194519,0,0,206602,1018276,0,126283,29368,0,61258,12669982,609304,2380520,0,11735814,1491328,13315,0,0,427598,0,39338,2691299,117086,0,0,499352,1639618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4857249,0,0,0,0,0,27803,101559,0,0,280895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91107,0,0,0,0,0,0,0,0
"MEX",268087333,140764034,149646465,605777241,17822871,1247121305,6571595,602442633,282940841,129138533,130137483,12168069,185527333,7069549,142564650,6283811,7520270,96900429,26951974,29278313206,6040167,61980453,70042509,11189044,184028706,1701927,2057341173,116033926,127767240,11599686,44584666,4421492,27019626,15434,3038127,74915414,35534809,633116,1587748564,202009141,808990,0,692161,33256463,5806733,80688786,10406798,26303259,47443303,38453637,67844345,21963029,569579,189885115,26324499,143657672,54507207,22860,2060018,67752,117460,256543,20668,13543713,2008257,545560,86014050,1576405,104344007,1616,147709162,8835713,309009,261395,437227,493944,94437,7487183,61174270,1254121,10218,345456,2876573,21385659,9910115,20186,50134,690,0,0,1159,206760,95928151,16209,26463069,0,0,0,1459,149746,0,16756638,1929108,6886654,91462,766625,4430415,224478,2520,3170124,1281,16113,38722715,30329,988623,194976,3315,0,100756,2721833,0,163955647,18888,37731,9314103,0,0,16410181,84245635,915596,0,26416908,7046,0,0,19731991,12889,0,0,0,2989,0,0,0,0,122424,0,0,528789,0,719,0,7470,0,0,0
"MLT",25968548,313877,32850,205654821,4514385,5560627,1804416,120335621,63261891,9056,5914140,2131171,383187605,166036,11930631,63423,8746,2560542,0,60273756,898743,936007,5724433,0,0,516728,1510896,4051588,446925,1707373,66273,203908,1937582,1329,250806,0,0,63916,4707323,9878640,84254,228476,0,6104961,8334088,2357,118823,5132017,26867064,5383820,1384820,1047853,149046,74499,338326,22944,0,0,131438,0,0,0,0,0,0,0,2623,0,0,52351,0,0,0,22058,0,17629,11764,0,992845,56682,0,49218,0,62254014,336863,0,0,0,16096,0,0,1186590,0,0,0,250071,24626,0,0,11579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12895,0,0,0,0,0,0,5389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOR",1602056070,227520179,15263229,4530582797,1649528935,373557577,896784817,2801817966,6748329109,5975910,63329160,294551267,703033068,61877506,1553107471,90752932,6766041,279461755,294498,1569244317,20047849,77040967,147791602,416476,131346731,2809093,1226059895,305609789,27774137,121885380,2272931,16024131,89363974,38250118,14862195,46318424,14738808,88679462,743670831,126855004,2069578,42589254,2733596,0,29992198,3037229,250070746,35695155,154792634,3490384150,89151936,60630748,3970176,6826252,18800709,16121565,286460,581411,7958768,72791,1255649,2897309,5310339,144349450,3026677,793458,2481578,12810976,565849,527002,3204202,8489201,1731420,325046,4748064,2875157,822943,43844974,4667468,4555228,4686884,3015136,1594766,7884312,12576347,174097,588227,1063766,126224,400192,79555,3046257,137873237,342477,0,3202398,2871876,40609,1374026,401721,240693,93896039,2331014,796717,6641362,36613,25074197,3609512,5021463,7806012,89330,4183429,7577046,1601266,8296403,2477474,21157910,314136,75180,232887,2978663,168043058,19776,13113,616710088,183903,2183464,2910926,126795,224163,968689,545423,3178,278030,32909,100342,239244,8064,345257,49408,846549,5232,10496,376361,33821,2726721,613366,14073,172987,799812,16396,0,0,0,0,0
"PAK",61757755,80192805,202827,501069929,43421296,122245667,11168001,252273929,411061727,224816,385684389,12990014,209997669,41420423,89418464,19737281,25972529,43480583,301802,640539500,20874125,62391293,40278101,71686,1623575,10296,90486479,30920656,6284166,10495257,218647,1694476,19495429,58688,6122937,42518609,37014797,464979,589319507,263630562,66142358,3113309,1265768,33018729,0,2297419,1274992,136438370,98138646,63188672,100718627,63338501,543282,4831431,642121,524215,522529,919,1190686,0,51990230,0,0,0,0,0,90996,0,0,711090,0,39921,156376,1092102,0,728188,80466,0,424591,1387303,13623693,2449666,0,1224593,5253617,22713,0,0,12348633,0,57088,28362902,624,0,0,1742438,783451,0,0,569649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68699,0,24976,0,1567493,86248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438625,0,0,0,0,0,0,0,0
"PER",65198818,263447001,104809582,224111669,15211232,37463103,2258729,109485517,132657375,2029769,31438859,2034105,244185502,16110629,57683873,914480,8774174,16469489,472251,742869033,2851,5125216,17275284,19297664,105206749,389376,56495981,17460488,57704869,14033,32038499,0,1591420,1871,12926978,2158350,209770,112678,358036317,121948486,25949,92287234,61891,6152735,2351121,0,38139,402023,4475441,9027450,1946308,4564558,0,44381093,723498,80988462,2071765,25519,347201,0,286152,0,0,0,0,0,8743343,0,0,0,0,0,0,0,0,22417,24381,0,387464,123173,0,0,0,0,4475812,176145,0,0,0,0,0,7295,4898594,0,0,0,4958972,0,0,668112,0,0,0,156509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6250,0,0,309036,0,0,0,0,0,101433,1768081,0,0,1862821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POL",342118729,79105853,5433332,4008869214,365022078,145394783,247074354,606384140,525189910,3125035,37284475,78115048,556117925,25979650,481771584,1570771,27378017,16752466,775045,378551370,11992453,19058256,447916042,170392,118744559,83829,51497280,248017977,5401698,19990644,1560832,65158128,85306325,186011,200201803,38156788,17416724,5531543,171347819,138184444,2082571,98302927,6436776,85804977,13574089,1970153,0,35482629,52978097,346247431,113668117,139018788,1670307,15665316,26236330,31062688,1039400,8836,42536119,268884,1396372,13262713,0,0,904204,0,1014736,317463855,1750240,0,0,1818095,3631943,767405,103102,285501,106189,8818384,2262509,7093326,168891,981320,15107891,18909315,77803021,0,158296,0,0,12331,390586,380571,571538,8816,131451,27941,26151062,0,1540005,441696,0,619237337,4780262,0,338926,130854,150632833,940569,0,0,9657,60174,1436,0,0,13720,132801,125602,0,0,0,43367058,0,0,22924,0,0,73297,473309,4922,0,3446701,0,0,0,0,185947,0,92614,0,0,0,0,148007,0,19768,0,9128,0,57661,0,7947,0,0,0,0
"SAU",632963271,123687191,0,1138962774,23899977,953971719,115654345,2946324882,1391818683,93753,95823877,19513407,2118155679,175634477,2466146835,279030675,627670859,190877970,271670,11027239910,69315674,492076978,27979536,0,0,0,428519671,325678399,0,16812272,0,96245469,263334879,0,29009282,759661297,144957981,0,9134948993,2972052921,8402419,310893,1082159,61557767,393811738,0,95987749,0,3092674240,78851471,372952816,1671844387,2750769,15501,35357996,3619,9965,4514024,21561888,0,807135,0,0,0,0,0,1050,0,0,1212932,0,474071,2251166,6391,0,75839,1209,0,1944,6941969,22578323,93447587,0,2380006,303968574,0,0,0,0,0,0,76419695,0,0,0,38347699,0,0,0,77992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGP",200360967,965375859,8159800,1880018770,71917148,268037808,67569415,1055376976,1786469535,1172087,3701935007,140065929,458289274,5314055869,571672386,114158048,440809513,38974462,3434704,9306958343,360206754,925759715,153579569,125207,110481189,812804,467972473,113103424,29865387,93001596,4191172,55657910,156772015,151093,38355350,1542381535,999602579,1959957,3258996531,1053591407,132969805,81636265,45760535,218472900,167465520,11820229,138638983,243219678,0,178078435,2765113581,92720806,8828606,36059249,107013749,10080999,14234057,10845405,14664327,55444601,362980790,23553127,33024472,81832619,5177396,0,666301,14695397,0,11979029,0,8154694,1170177,38448232,9625767,3179666,1119879,147494972,4351314,57829411,70766746,50320065,44607437,23937271,17879809,9013605,267817765,16685193,82591295,0,54610275,53353218,406278284,145195584,37266044,23973467,22380017,0,21304296,0,10495,324592921,23376782,4614255,25897417,0,56275695,1095597,1662652,0,0,0,8180564,3468130,0,2989013,2087796,0,0,0,0,84941708,0,0,235140117,0,0,0,103860,0,0,11185693,0,0,0,0,0,0,0,0,0,0,0,0,0,36703607,0,25548048,0,3245155,0,0,0,0,0,0
