"","AUS","AUT","BEL","BRA","CAN","CHE","COL","DEU","DNK","ESP","FIN","FRA","GBR","GLP","GRC","HKG","IDN","IRL","ISL","ITA","JPN","KOR","KWT","LKA","MAR","MLT","MYS","NCL","NLD","NOR","NPL","NZL","PAK","PER","PHL","POL","PRT","SAU","SGP","SWE","THA","TUR","USA","YUG","ARG","CMR","CUB","DZA","JAM","JOR","KEN","MAC","SEN","SLV","TTO","TUN","URY","ECU","EGY","ETH","HND","LBY","MDG","PAN","VEN","BHR","CYP","OMN","QAT","SYC","AGO","ALB","ARE","BEN","BFA","BGD","BGR","BHS","BLZ","BMU","BOL","BRB","CHL","CHN","CIV","COD","COG","CRI","CSK","DDR","DOM","GAB","GHA","GIB","GNB","GTM","GUF","GUY","HTI","HUN","IND","IRN","IRQ","ISR","KNA","LBN","LBR","MEX","MRT","MUS","MWI","NGA","NIC","PRK","PRY","ROU","SDN","SLE","SUN","SUR","SYR","TZA","VNM","ZAF","ZMB","ZWE","AFG","CAF","DJI","FJI","FLK","GIN","GMB","GRL","KHM","KIR","LAO","MLI","MMR","MOZ","NER","PNG","RWA","SHN","SOM","TGO","UGA","WSM","YMD","BDI","GNQ","MNG","SPM","TCD"
"AUS",28926000,39043000,220464000,39699000,428514000,50360000,1266000,713307000,13006000,127643000,16745000,583325000,1111129000,716000,18241000,340469000,377567000,9813000,34235000,574748000,6976487000,679987000,158028000,39526000,1059000,7711000,587063000,67559000,180187000,119068000,410000,1012210000,51943000,9422000,244426000,98541000,20001000,368073000,544880000,83757000,173264000,13759000,2733115000,96520000,83702000,103000,1479000,14341000,3776000,6140000,20011000,4357000,173000,1232000,25077000,322000,2357000,6965000,83061000,10057000,1898000,71943000,4439000,1066000,13381000,114760000,1839000,12992000,30451000,1739000,27000,214000,89296000,0,18000,48373000,1309000,424000,214000,4970000,39000,9101000,19218000,768323000,332000,16000,2000,1312000,28967000,18766000,440000,0,131000,51000,17000,1226000,60000,1717000,11000,20949000,195455000,278072000,195660000,39896000,344000,1085000,631000,32578000,0,25579000,1935000,4387000,554000,40014000,161000,29710000,2921000,547000,1034983000,43000,4073000,7082000,42347000,89987000,7448000,852000,62000,4000,8000,182059000,14000,11000,2000,6000,6932000,50562000,711000,2000,12423000,914000,272000,427675000,28000,0,465000,2000,1093000,12702000,39071000,0,0,0,0,0
"AUT",49605000,0,270393000,24095000,81703000,1289593000,11271000,5353104000,209667000,131113000,186036000,645143000,711699000,658000,110080000,32389000,13959000,35618000,4846000,1880005000,170234000,18035000,19493000,3545000,12772000,8495000,11127000,1805000,416692000,209708000,520000,10130000,9636000,7671000,4193000,247921000,53528000,146825000,27846000,470792000,40552000,127169000,401641000,590048000,46242000,3420000,8763000,141766000,88000,21060000,16775000,76000,3227000,219000,12500000,31562000,4884000,7953000,27864000,4480000,1457000,99963000,3056000,1287000,9299000,6336000,15725000,1884000,5871000,144000,3754000,6755000,24988000,96901000,1055000,1413000,117873000,189000,34000,3212000,6643000,385000,10147000,86172000,4281000,6146000,1560000,2163000,236749000,229213000,2375000,431000,1403000,70000,197000,2064000,143000,414000,2558000,2000,43301000,215466000,173490000,33461000,25000,37563000,177000,25664000,121000,466000,1950000,172302000,401000,4871000,3392000,197111000,5917000,709000,477737000,90000,56789000,2279000,4124000,86024000,5184000,2374000,714000,90000,337000,3735000,9000,3498000,1318000,74000,0,7000,9000,228000,778000,988000,3047000,188000,413000,0,4819000,12480000,1090000,4000,1103000,250000,1000,1711000,9000,3000
"BEL",150194000,507119000,0,174884000,213990000,1492385000,40708000,13299823000,670904000,542374000,262161000,11275228000,4954237000,13408000,206742000,252710000,56179000,222109000,21341000,3536667000,374695000,173581000,67583000,33418000,88190000,23469000,59085000,12228000,8935455000,572931000,214000,24919000,64346000,72352000,36350000,93539000,285852000,473129000,112606000,1097726000,51523000,154853000,1991521000,164613000,160814000,38315000,27677000,651488000,7128000,47645000,42860000,383000,22662000,6430000,16044000,96648000,7457000,11566000,106110000,4453000,9257000,86779000,26851000,5544000,140885000,18517000,18283000,25696000,14499000,413000,27983000,2177000,108837000,17219000,10649000,26956000,60462000,1773000,532000,28417000,10563000,2033000,45514000,104287000,58670000,260981000,11224000,6715000,75735000,129160000,10876000,10081000,12472000,1636000,8757000,8691000,1454000,2636000,2477000,75158000,364880000,270047000,340535000,404607000,704000,109592000,6656000,262406000,22622000,5168000,3904000,600179000,3674000,2239000,2741000,194538000,78192000,5137000,618740000,4980000,98855000,38906000,11770000,256417000,19978000,9164000,2596000,1295000,2794000,883000,226000,11632000,2051000,5223000,196000,499000,191000,6237000,2376000,8022000,5934000,2115000,24890000,1000,16137000,11376000,10045000,44000,5832000,21078000,371000,24000,25000,637000
"BRA",104936000,153060000,308266000,0,297341000,156604000,124206000,1673437000,183906000,605152000,106401000,1192803000,669346000,3545000,149373000,38437000,41826000,36880000,11750000,975341000,1560862000,44366000,34917000,37516000,81288000,7939000,40347000,394000,741345000,176908000,47000,15523000,67873000,94478000,111319000,306425000,148948000,106315000,78652000,256890000,45487000,41111000,3963188000,107139000,1072342000,4058000,0,107214000,1450000,15796000,2456000,38000,3150000,4081000,18828000,30765000,286538000,55051000,59506000,1332000,17831000,1218000,3531000,12718000,223673000,1340000,10060000,8736000,26346000,4000,118681000,0,28781000,2023000,406000,6349000,15135000,7455000,317000,2548000,180267000,6614000,450688000,72224000,30240000,105859000,35786000,21636000,95093000,85381000,11621000,10040000,1351000,152000,544000,14894000,1639000,7416000,6719000,114022000,246801000,238988000,288899000,25935000,885000,40309000,4094000,469917000,5469000,638000,676000,271505000,5114000,2124000,408910000,103558000,53076000,1544000,370212000,12136000,11707000,21008000,0,103056000,123000,580000,1000,51000,24000,3175000,0,873000,299000,3000,0,0,0,78000,3000,72286000,403000,3281000,124000,0,0,7875000,44000,14000,268000,105000,39000,0,0,0
"CAN",543673000,114322000,531768000,985246000,0,202455000,133247000,1768750000,83680000,266748000,114249000,1043544000,3181584000,3311000,77524000,157018000,96812000,167923000,14115000,1012335000,4722206000,378296000,72290000,24365000,79872000,2139000,117353000,1730000,572402000,407146000,423000,131911000,46586000,33271000,80180000,12174000,84199000,137073000,127601000,308688000,132171000,60710000,41836469000,81053000,109766000,3785000,359655000,314900000,70145000,7267000,13818000,46000,7732000,14404000,125085000,61113000,13555000,42091000,42277000,1992000,17866000,43047000,2643000,12541000,495312000,1094000,3718000,2141000,4203000,40000,2036000,86000,39072000,2917000,2806000,63848000,6298000,21365000,3418000,218136000,6227000,38394000,96014000,742240000,16155000,22341000,0,34641000,109536000,8510000,34911000,2692000,20564000,84000,2238000,18853000,1091000,13549000,22950000,122000,297216000,35836000,128279000,80340000,8004000,34456000,2106000,412697000,826000,756000,6093000,89903000,12343000,16000,3534000,18820000,2720000,752000,1314834000,4294000,17898000,11030000,305000,175447000,10202000,519000,296000,22000,0,3304000,11000,1625000,177000,6985000,21000,0,0,0,2990000,12078000,0,2135000,0,0,1744000,1134000,156000,81000,26811000,0,0,0,12936000,0
"CHE",191098000,1217440000,1698048000,348495000,296377000,0,68090000,5811973000,323764000,414208000,247673000,2840991000,1738283000,2704000,136824000,580925000,64114000,69496000,9508000,2137550000,751722000,139028000,64821000,16959000,34402000,10540000,47078000,2030000,835689000,275937000,122000,36845000,38788000,38399000,47376000,181726000,307872000,515701000,200282000,625610000,82253000,345534000,2786230000,3.55e+08,215802000,20369000,27413000,190958000,2889000,18180000,33081000,1571000,6188000,3620000,6659000,28788000,16953000,37703000,85410000,25475000,5893000,51229000,9373000,4642000,98680000,7454000,10723000,6977000,15344000,465000,31408000,3212000,103416000,8266000,1719000,8778000,71477000,5338000,1092000,21319000,8030000,1450000,43430000,139425000,24714000,15049000,1272000,10518000,139896000,131619000,8328000,3434000,13809000,1510000,3314000,19316000,404000,558000,4739000,170525000,127721000,266066000,211992000,665360000,109000,142475000,3282000,222145000,3546000,3173000,2127000,316879000,9500000,9052000,5451000,79787000,5437000,13555000,298168000,1062000,50798000,9204000,639000,300945000,8541000,10399000,716000,405000,398000,4204000,0,5565000,466000,541000,79000,57000,182000,1776000,5936000,12444000,1894000,611000,532000,18000,2294000,16492000,3736000,8000,1500000,1258000,79000,1342000,0,62000
"COL",2697000,41615000,58276000,9637000,86778000,69420000,370000,728157000,52884000,166690000,118422000,145231000,79616000,2517000,945000,1164000,16000,10340000,353000,183880000,173731000,5014000,311000,0,4024000,176000,81000,1000,238339000,54254000,0,198000,7000,29694000,654000,20283000,13198000,270000,4023000,150059000,61000,9667000,1326619000,19101000,52144000,4000,5580000,65365000,1024000,350000,18000,0,3000,1518000,16009000,316000,1451000,63857000,13000,49000,4989000,538000,7000,10027000,171238000,623000,12000,0,0,0,0,0,8000,0,591000,895000,4579000,417000,304000,30000,2164000,663000,64321000,5226000,127000,27000,19000,5745000,3291000,40551000,5366000,0,142000,9111000,0,4714000,183000,233000,1424000,9885000,41000,497000,31000,9423000,981000,670000,6000,19883000,16000,0,0,86000,2564000,0,545000,13538000,138000,0,20227000,1555000,2521000,0,0,496000,0,0,0,0,0,6000,0,1000,0,7000,0,0,0,0,0,735000,0,0,11000,0,1000,0,42000,0,0,0,0,0,0,0
"DEU",1192198000,10125569000,14184540000,1831685000,1239831000,10037640000,376990000,0,3700162000,2840211000,2055651000,22078473000,13129453000,38654000,1546085000,582812000,690111000,777704000,102144000,16662925000,2535443000,635012000,571855000,72659000,264950000,1.27e+08,587428000,32845000,16877386000,2396396000,2388000,203798000,244054000,215472000,351539000,906373000,1094147000,2748310000,792550000,5928695000,404168000,818166000,12278666000,3115689000,999301000,136144000,102644000,1498285000,17957000,240894000,210522000,2269000,37207000,28218000,43780000,349042000,112899000,167510000,497857000,85530000,28765000,909253000,28611000,25765000,675732000,58850000,93185000,88027000,84779000,2070000,101822000,20234000,363195000,15709000,17586000,62566000,456831000,9614000,452000,34423000,37555000,8760000,273624000,916226000,119949000,139120000,23258000,73055000,985898000,0,37557000,33850000,80467000,2144000,7209000,87999000,3884000,4091000,9313000,466000,741922000,1473982000,1702843000,790652000,1724000,243382000,50143000,1163143000,13990000,17445000,22317000,1492969000,29805000,33138000,61868000,877369000,147036000,27553000,3913378000,13064000,420009000,132563000,16562000,2501472000,86739000,24423000,27926000,2486000,2913000,6465000,35000,12922000,7767000,1712000,3976000,524000,1658000,24081000,60987000,31540000,33907000,11534000,13048000,10000,21879000,27031000,25882000,1247000,17837000,13015000,521000,1950000,9000,3150000
"DNK",72322000,167208000,333575000,31713000,102587000,300804000,20618000,3078472000,209495000,177281000,374070000,881954000,2548615000,1844000,63605000,50352000,11742000,81042000,81833000,893564000,320760000,23190000,88357000,4760000,15723000,27297000,39911000,2407000,637240000,1049232000,192000,19850000,39504000,6340000,21063000,29569000,53291000,152699000,57139000,2057064000,48026000,7806000,760215000,75174000,42838000,7395000,6893000,27764000,1213000,14516000,12168000,444000,3503000,3328000,8912000,6230000,15240000,7838000,18908000,5866000,7277000,27260000,4214000,4054000,43043000,10746000,14455000,10354000,21050000,974000,13074000,256000,46388000,10712000,693000,11918000,10548000,2645000,1759000,14831000,2578000,1779000,17715000,43535000,3804000,1610000,684000,4245000,40825000,97553000,1623000,427000,3448000,1725000,375000,4424000,398000,603000,1666000,45000,23194000,103844000,116888000,27750000,1203000,16822000,7591000,25109000,198000,2187000,4933000,86160000,2046000,214000,552000,19509000,9990000,2143000,88441000,2178000,18977000,21645000,15197000,58310000,2829000,540000,1286000,112000,2146000,413000,43000,1887000,1311000,245384000,75000,141000,212000,279000,10761000,3963000,714000,501000,1883000,4000,1058000,10201000,1261000,29000,12408000,373000,0,101000,10000,85000
"ESP",65731000,99248000,616508000,218467000,159598000,345727000,149953000,2435599000,143820000,0,139834000,3900244000,1952509000,5584000,94884000,40382000,23358000,94393000,9409000,1583266000,389418000,28467000,106905000,1173000,348782000,13236000,20005000,3715000,682859000,126733000,12000,22946000,13700000,46847000,5669000,31711000,513333000,542398000,41629000,265789000,13853000,85876000,1302033000,81528000,398895000,30178000,188728000,546844000,653000,51302000,9573000,31000,14911000,11569000,5446000,116215000,19124000,40130000,119045000,1739000,8481000,298436000,5266000,9924000,314604000,11481000,20520000,3577000,7699000,75000,45852000,898000,50475000,11609000,2454000,7067000,38250000,3182000,0,18575000,8666000,1308000,150052000,65852000,47253000,12573000,9693000,33232000,46458000,26343000,22718000,8480000,4309000,5934000,6828000,15061000,689000,73000,8475000,31715000,74300000,332781000,194518000,108688000,211000,76675000,3440000,423657000,27984000,2115000,1298000,275131000,8700000,3627000,9766000,75503000,4404000,6199000,261740000,2399000,128889000,1302000,1043000,95835000,1895000,746000,839000,1828000,820000,228000,0,19587000,3677000,721000,14000,41000,55000,2444000,284000,2755000,2646000,46000,2414000,9000,1049000,6456000,637000,14000,4248000,997000,54336000,0,823000,344000
"FIN",130778000,112723000,217808000,78621000,56993000,205146000,19053000,1682159000,736512000,146348000,0,707989000,1837323000,24000,104413000,7893000,37726000,110579000,27453000,373985000,119523000,10995000,22721000,1671000,11233000,2590000,11256000,36000,596165000,631959000,23000,5485000,6342000,5448000,6236000,13632000,42203000,90605000,13764000,2281230000,40050000,39562000,475164000,23203000,75449000,1485000,6390000,95020000,2350000,4118000,2781000,170000,1820000,4526000,877000,24489000,1328000,2543000,87026000,302000,180000,22987000,445000,984000,34520000,947000,8368000,977000,4060000,29000,83000,85000,9567000,704000,93000,1296000,16302000,40000,0,155000,43000,43000,3251000,79262000,3441000,36000,91000,393000,40606000,88793000,1052000,1297000,1118000,1125000,26000,472000,11000,64000,178000,91919000,37136000,124709000,156148000,52665000,106000,17878000,172000,42303000,19000,10000,1440000,28838000,370000,835000,1124000,19470000,49000,516000,2493580000,433000,26180000,2470000,2725000,51482000,6596000,1571000,748000,0,60000,8000,2000,428000,1000,1438000,3000,780000,64000,446000,43000,3054000,859000,356000,105000,0,73000,1188000,181000,9000,119000,14000,113000,194000,0,0
"FRA",344278000,962747000,10358273000,719362000,658266000,4440950000,152404000,19621100000,830047000,2807083000,477148000,4909000,8301676000,972054000,652102000,281538000,235626000,581802000,24743000,13812269000,1296130000,192551000,253840000,79258000,1038609000,27833000,195452000,417906000,4935939000,609410000,216000,57457000,215916000,49612000,94130000,246293000,671833000,1635521000,326782000,1446614000,93339000,370117000,5442502000,736204000,374431000,688300000,267793000,2438410000,8152000,172866000,88283000,2256000,348637000,8038000,22990000,886041000,29728000,29526000,496962000,15059000,15936000,458057000,107077000,10431000,319711000,47508000,53300000,26930000,72456000,2505000,93302000,5149000,466621000,134622000,140597000,50114000,169863000,10678000,429000,45863000,15187000,5180000,190480000,303556000,1135828000,125166000,259914000,18131000,161311000,318497000,16259000,436134000,26292000,8059000,32270000,29989000,148258000,5903000,18006000,233818000,349017000,719058000,1080005000,304516000,936000,347378000,10883000,547354000,99082000,54328000,10197000,1352184000,11743000,4805000,25586000,465127000,114200000,22745000,2463815000,4025000,326524000,28817000,59826000,964874000,25877000,17886000,19741000,48839000,49811000,2186000,32000,97605000,12172000,1064000,1937000,4260000,7843000,136825000,5806000,50857000,214315000,946000,24094000,41000,27612000,168246000,19767000,76000,24236000,11649000,2748000,239000,9432000,11464000
"GBR",1853203000,671648000,5722918000,482696000,1681568000,3014407000,117397000,11934884000,2304146000,1566450000,1338561000,7275119000,0,15327000,481253000,1094231000,261220000,5658317000,94722000,4394157000,1725383000,302849000,564949000,194039000,121573000,204732000,584089000,14192000,6032937000,2439341000,1030000,636176000,302636000,98055000,190478000,245538000,813817000,1951452000,827972000,3960997000,245726000,303611000,10121156000,431648000,343376000,43856000,81767000,375809000,78772000,186216000,438460000,8715000,52144000,13080000,322451000,69593000,69070000,59280000,296572000,47292000,21104000,471813000,34043000,15494000,300355000,238989000,179196000,187737000,234066000,24605000,64323000,3419000,1099563000,30497000,6321000,137460000,80828000,177389000,25697000,398447000,19527000,79098000,126354000,388127000,55909000,57357000,6791000,25878000,185639000,217446000,19166000,20916000,195789000,55052000,8397000,34270000,3482000,66968000,5685000,19000,1041586000,909013000,744981000,690284000,28309000,159396000,31470000,434397000,10132000,53364000,82906000,2640503000,7459000,2268000,30631000,228759000,196822000,81610000,1013786000,18034000,183458000,215385000,34795000,2240938000,219789000,26236000,15280000,2219000,15483000,42001000,3769000,16324000,39913000,18827000,1919000,7190000,1657000,4993000,46798000,26165000,18286000,23600000,2792000,6381000,32693000,53177000,62344000,3575000,57080000,1289000,126000,69000,189000,842000
"GLP",35000,6000,1265000,0,205000,143000,868000,12465000,48000,451000,41000,159796000,10633000,36188000,0,6000,0,0,0,3404000,37000,1000,0,0,20000,0,0,103000,223000,14000,0,0,48000,15000,0,0,19000,399000,0,93000,0,0,5491000,0,0,0,0,7000,8000,0,0,0,5000,279000,602000,0,0,5000,43000,0,0,0,193000,332000,141000,0,0,0,3000,0,0,0,0,0,1000,0,0,13000,0,28000,0,106000,0,0,0,0,1000,0,0,0,4000,0,0,0,37000,0,4534000,2000,217000,0,0,0,0,0,655000,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,35000,0,0,0,0,0,0,106000,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",18287000,51335000,108976000,1650000,26451000,39273000,857000,1542909000,38227000,42901000,16828000,458626000,298863000,47000,0,3775000,1727000,10285000,88000,485367000,35599000,46266000,33560000,47000,4240000,8999000,952000,80000,299871000,13096000,0,771000,7599000,6168000,91000,70819000,10460000,409602000,13113000,71462000,7244000,57667000,311971000,90570000,1821000,1615000,0,69630000,207000,50916000,2677000,21000,1737000,8000,501000,193700000,204000,2849000,108051000,1894000,8000,137009000,53000,1000,302000,3033000,84504000,2057000,19695000,2000,381000,28563000,12581000,16000,0,1470000,62876000,108000,0,69000,0,19000,35000,12952000,2110000,7138000,13000,0,76091000,50113000,11000,399000,143000,41000,0,41000,17000,160000,23000,58213000,19623000,100943000,67368000,36931000,10000,63035000,2028000,5630000,259000,3000,529000,45113000,0,0,0,92800000,11328000,599000,90110000,18000,76142000,896000,42306000,4629000,247000,14000,6000,15000,2097000,10000,0,2333000,0,0,106000,0,0,29000,19000,1776000,28000,0,57000,0,6099000,58000,103000,0,5304000,270000,0,0,0,0
"HKG",439633000,124093000,249952000,16288000,429881000,341769000,3578000,1708450000,96720000,122964000,53561000,383950000,1812977000,2258000,27038000,0,139406000,40474000,5389000,287079000,568341000,97630000,75730000,41731000,4617000,2307000,147677000,8415000,330164000,71691000,360000,63655000,21117000,4279000,203067000,4313000,7470000,275540000,493263000,239612000,87495000,620000,4977205000,5200000,110993000,8624000,3667000,476000,4034000,13969000,13502000,297586000,1136000,1622000,10630000,687000,5808000,5434000,10803000,2765000,2766000,53810000,11157000,11241000,52491000,47428000,13671000,6474000,11929000,1249000,3901000,0,107419000,5733000,320000,4329000,1172000,727000,1316000,50823000,1065000,3287000,44064000,321919000,13046000,7132000,3486000,3708000,3815000,10325000,3287000,2541000,1806000,756000,7000,4984000,555000,861000,2786000,9814000,18274000,92586000,12823000,23657000,2136000,27346000,2424000,31395000,2000,6106000,1837000,205587000,370000,1209000,13005000,815000,17855000,1712000,10551000,0,11680000,6343000,2103000,111192000,5648000,494000,3189000,794000,3227000,9239000,0,1e+05,945000,0,177000,1450000,1000,676000,2721000,475000,768000,14484000,629000,0,1507000,6302000,1155000,817000,8170000,963000,0,0,0,0
"IDN",384916000,17634000,86544000,76160000,29167000,38770000,96000,393892000,40084000,91906000,1686000,326355000,132891000,39000,9392000,136785000,0,3815000,129000,378609000,13169700000,484485000,453000,10916000,7987000,5632000,80815000,267000,272702000,10788000,773000,96787000,23191000,681000,186957000,5874000,22715000,10965000,2483554000,26201000,44853000,171000,5450148000,23447000,160000,51000,0,2397000,787000,72000,12280000,105000,205000,0,144686000,2943000,119000,370000,4964000,20000,42000,506000,1000,43000,7098000,1e+05,242000,358000,9000,6000,0,0,0,0,1000,8837000,701000,33405000,0,0,2000,543000,4000,0,0,0,0,214000,20655000,13031000,3000,0,2000,0,0,26000,3000,0,0,16500000,45797000,759000,37099000,0,17000,78000,1000,14704000,0,0,2000,2714000,1000,1349000,0,6129000,39000,0,72925000,30000,27000,42000,14000,0,0,0,53000,0,0,175000,0,0,0,0,0,0,3000,0,1040000,0,53000,20000,0,0,34000,0,0,2000,243000,0,0,0,0,0
"IRL",54155000,45205000,268445000,13168000,85591000,90128000,1678000,807845000,59312000,123247000,31144000,755772000,4010010000,527000,38335000,2441000,3256000,0,1818000,262786000,78047000,3699000,11126000,2734000,5887000,14435000,12348000,270000,394124000,43461000,2000,5907000,3279000,3255000,4487000,2231000,17010000,20962000,10905000,104743000,5710000,1263000,412156000,14645000,10665000,3315000,20388000,32473000,823000,7739000,1828000,2000,1432000,787000,4355000,12081000,667000,634000,9186000,192000,299000,123119000,497000,2697000,17753000,424000,5224000,2296000,2065000,158000,142000,1000,16379000,97000,83000,2424000,5092000,1001000,330000,10769000,2435000,1758000,5847000,2529000,3409000,626000,338000,2851000,2611000,9494000,851000,811000,965000,681000,8000,2631000,135000,42000,418000,5658000,10320000,25722000,11742000,11476000,196000,6380000,205000,69268000,1000,228000,228000,76841000,129000,355000,1498000,24603000,12000,1584000,49408000,86000,11173000,191000,0,22832000,7802000,580000,981000,2000,218000,26000,0,158000,160000,222000,0,12000,0,0,126000,462000,194000,166000,101000,0,458000,61000,1094000,6000,1602000,44000,0,32000,29000,0
"ISL",271000,1692000,9770000,1924000,5146000,28581000,519000,94659000,26105000,33550000,26153000,28867000,145522000,466000,9000,12000,0,302000,0,49483000,18475000,777000,47000,0,0,6000,259000,19000,13236000,21251000,0,48000,1000,440000,48000,17269000,46152000,3222000,6000,23908000,17000,2000,213766000,3650000,11000,114000,7896000,3843000,0,481000,3000,0,3000,2000,61000,38000,0,56000,18000,5000,7000,0,13000,410000,56000,15000,9000,0,0,0,0,0,14000,0,0,0,21000,0,0,151000,0,0,0,0,0,1308000,0,0,8176000,464000,0,0,0,0,0,0,12000,0,5000,1068000,0,0,262000,319000,0,0,0,157000,0,0,2000,65941000,0,0,0,442000,0,0,49867000,0,154000,0,0,51000,0,0,0,10000,0,0,0,12000,0,39000,0,0,0,0,0,2000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",503023000,2218785000,2572435000,415372000,521223000,3480491000,130229000,14810393000,560248000,1684365000,372504000,12671305000,5292831000,37489000,862276000,274648000,75881000,268560000,24423000,0,938463000,118734000,367063000,14135000,238689000,138586000,127384000,20211000,2398340000,391771000,45000,75732000,180260000,67846000,70029000,180166000,483269000,2207959000,226333000,939080000,130097000,297465000,4639219000,1221393000,576874000,76491000,53525000,1249194000,1859000,152105000,101759000,386000,32720000,15465000,10928000,555050000,46651000,114587000,327097000,77985000,9804000,2001737000,195632000,14493000,427703000,41509000,129775000,20597000,71561000,1630000,66005000,23029000,431014000,55401000,6157000,15180000,164037000,2152000,328000,26708000,9781000,4581000,109882000,256368000,112424000,71032000,41115000,23489000,177343000,140504000,24849000,22261000,50179000,14093000,4670000,20709000,4625000,1860000,3007000,266651000,243840000,571186000,946770000,355311000,1185000,469894000,4307000,356682000,9527000,9516000,4972000,686427000,4625000,10515000,10267000,327106000,44062000,9123000,1271071000,4044000,515777000,60959000,42346000,593751000,31178000,7e+06,9451000,1313000,19508000,2101000,544000,19320000,3317000,595000,246000,1215000,6221000,8372000,14111000,38716000,11588000,1843000,6497000,645000,178452000,16973000,13860000,66000,45729000,3905000,1514000,304000,24000,329000
"JPN",3373371000,589885000,1432609000,1191462000,2387259000,1188292000,461770000,5828326000,439846000,842770000,507724000,2772271000,3953589000,37268000,1164321000,5142637000,3413019000,281972000,40269000,1299245000,0,5834120000,1376110000,260373000,54981000,33385000,2463807000,40733000,1435467000,604020000,1534000,786625000,548847000,267587000,1651304000,142910000,283262000,5412499000,4283225000,953319000,1952469000,109844000,32787520000,182708000,977201000,84867000,238735000,453800000,23863000,171730000,238757000,35683000,11795000,42586000,211780000,41121000,67922000,307451000,227524000,62652000,99344000,511202000,27064000,89015000,851157000,244581000,84670000,314972000,238337000,4733000,83124000,1619000,1355879000,22028000,13242000,326637000,65311000,15327000,5740000,95558000,65091000,22121000,462380000,5078307000,122416000,45503000,17304000,172302000,63468000,138664000,113565000,44496000,27743000,7414000,4820000,128496000,11112000,6180000,29061000,107266000,914763000,1529544000,2169483000,120370000,9662000,191620000,38028000,1223439000,2861000,31547000,30821000,1493610000,30369000,374312000,71270000,202656000,55427000,36461000,2778232000,23771000,198387000,107569000,113084000,1808502000,54729000,28629000,103813000,5809000,23826000,82211000,88000,3298000,4719000,2476000,25456000,21202000,12466000,6711000,214260000,35135000,20016000,167975000,28828000,68000,5126000,24548000,17056000,5830000,84417000,9638000,22000,4297000,13000,64000
"KOR",190150000,68573000,102851000,3334000,354069000,67955000,10971000,1002932000,81994000,89871000,38760000,379036000,567402000,554000,62181000,775846000,234167000,34925000,5968000,277846000,2994844000,0,271985000,35300000,5448000,281000,192047000,898000,288026000,38132000,170000,24544000,73130000,2321000,145369000,4471000,9202000,723972000,273329000,152119000,197620000,16775000,4375689000,2503000,50501000,1552000,0,49000,1616000,30841000,7226000,1349000,2965000,953000,3199000,2949000,5702000,19959000,52729000,7031000,4381000,174115000,121000,11521000,31816000,58922000,5438000,8476000,8942000,291000,7806000,0,189330000,1746000,404000,76835000,565000,52000,0,931000,2420000,896000,61282000,0,7195000,820000,859000,2481000,7296000,903000,6207000,2605000,19752000,57000,91000,9012000,117000,945000,5240000,1203000,172944000,0,34550000,7085000,173000,16471000,1603000,44729000,12000,3288000,3039000,124424000,693000,0,1389000,905000,36963000,2128000,2406000,5878000,24356000,105000,8696000,1755000,596000,8000,16882000,56000,2484000,4950000,0,28000,237000,43000,0,4000,693000,139000,5983000,789000,226000,1552000,0,0,468000,4053000,1111000,154000,543000,12000,0,0,0,0
"KWT",291711000,11193000,236410000,797392000,143258000,3022000,189000,394815000,46756000,263422000,14000,825600000,1384159000,4000,3334000,621000,1964000,68419000,0,582656000,3457572000,1752783000,0,20302000,152000,138000,104589000,0,1414178000,24219000,0,123580000,507476000,0,426653000,3000,6162000,117510000,1326994000,11000,23620000,114436000,497526000,5456000,5709000,3000,0,34000,0,23279000,78767000,302000,0,0,0,1334000,0,0,3019000,33440000,0,32000,5497000,0,0,7756000,51000,4984000,13236000,0,0,0,410373000,0,0,2268000,146000,0,0,0,0,0,0,132109000,0,0,0,0,1000,20847000,0,0,0,0,0,0,0,0,0,301000,238866000,273341000,419013000,0,0,18958000,0,0,0,0,15000,0,0,0,0,125600000,84527000,0,33000,0,17919000,5706000,19975000,0,0,0,1655000,0,0,0,0,0,0,0,0,0,0,0,0,6722000,0,0,0,0,1057000,0,0,0,142569000,0,0,0,0,0
"LKA",12565000,4747000,4752000,1e+05,14468000,8472000,518000,73143000,4541000,16009000,2079000,33732000,108152000,20000,1696000,13099000,120000,5525000,42000,26653000,54923000,164000,18953000,0,194000,306000,8202000,259000,25450000,2382000,35000,7225000,39984000,1057000,4053000,54000,2941000,41049000,17575000,20288000,1814000,164000,136642000,6399000,1632000,9000,0,593000,152000,8386000,1273000,0,15000,171000,16000,5234000,592000,810000,22400000,37000,217000,10145000,126000,80000,5000,2210000,350000,443000,239000,82000,0,0,1032000,0,5000,3964000,90000,32000,0,579000,444000,289000,4279000,51170000,1000,0,0,12000,1547000,1e+06,0,0,17000,0,0,660000,7000,0,0,932000,34253000,33140000,36980000,0,62000,702000,0,9845000,0,410000,15000,115000,115000,0,0,457000,6000,5000,31295000,0,11274000,672000,0,18854000,4000,0,2969000,0,28000,1689000,0,10000,0,1000,0,9000,0,1000,0,11000,0,2000,0,0,588000,0,0,22000,22992000,0,0,0,0,0
