"","AUS","AUT","BEL","BRA","CAN","CHE","COG","CYP","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GLP","GRC","GRL","GUF","HKG","IND","IRL","ISL","ITA","JOR","JPN","KOR","MYS","NLD","NOR","NZL","PAK","PRT","QAT","SAU","SGP","SWE","THA","TUN","USA","MAR","PNG","CHL","DZA","IDN","PER","COL","KEN","LBY","OMN","PHL","BGD","BGR","BHS","BOL","BRB","CHN","CIV","CMR","CRI","CSK","CUB","DDR","ECU","GAB","GTM","HUN","ISR","JAM","LKA","MAC","MEX","MUS","PAN","POL","PRY","ROU","SLV","SUN","SYR","TTO","TUR","URY","VEN","YUG","ZAF","ZWE","AFG","AGO","ALB","ARE","ARG","BDI","BEN","BHR","BLZ","BMU","COD","DOM","ETH","FJI","FLK","GHA","GIB","GIN","GMB","GNB","GNQ","GUY","HND","HTI","IRN","IRQ","KHM","KIR","KNA","KWT","LAO","LBN","LBR","MDG","MLI","MLT","MMR","MNG","MOZ","MRT","MWI","NCL","NER","NGA","NIC","NPL","PRK","RWA","SDN","SEN","SLE","SOM","SYC","TGO","TZA","UGA","VNM","WSM","YMD","ZMB","BFA","CAF","DJI","SPM","SUR","TCD","TLS","SHN","TKL"
"AUS",0,19855662,185570484,57474223,269396182,67021848,36301,4218029,742537999,38976396,598132508,177388923,23655040,729562981,859995023,208077,25203903,526,22097,458789880,127440428,4363470,27457757,515231108,15877793,6607587623,1011639191,515352921,428952871,72446081,1169760995,83866053,39975662,38916369,590896219,642180396,48634054,197202790,819856,2728942795,1692068,347363998,6550423,42224352,381861412,8638299,1197647,16177032,46234319,38578067,181367033,118132479,958160,525638,96073,4988521,745379626,232162,27693,121705,25388303,8572874,47211821,12585335,5318,78842,9158163,62331286,545044,44817793,9592503,41524670,13785439,1903698,110148597,10729,60554708,88904,570578964,5183788,15970228,44809979,2931927,6816083,58981772,219307922,3190274,261043,30826,842,95700983,60505894,4162,22742,19022813,135817,1608,20964,52475,13595722,154308798,3814,1204043,1698,980306,36940,2243,23324,29782,25665,669391,372365108,198668330,6064,6548525,4699,119652310,87683,1194510,468929,576949,28746,2037760,3286418,1477,974556,233628,546755,28420577,83218,932471,0,1086509,21931693,21827,2075074,31734,49929,3057629,422216,6695,6251484,3902063,1675568,5075079,51592767,2618170,0,0,0,0,0,0,0,0,0
"AUT",57999853,0,282499895,19380320,114166756,1021564648,1103911,15502954,4264795715,160963620,89086686,138829662,128486605,597948203,650958348,552153,92097507,30477,171707,39185182,35731442,33509742,4782440,1421023720,26420040,179661221,37918806,13162917,353871762,135851498,12350808,11646344,39269235,5385781,225335050,38212564,283923462,18549018,17957166,714349992,5890272,177387,12993605,167273201,37701736,5653709,12243135,6806029,155375477,21735833,41442579,3377637,114322464,1055314,1069143,6170627,87698474,1935652,1677782,2575369,174817437,12438153,340159889,6714442,1051912,3838679,347800444,40440464,946959,3871828,902213,10996473,1414168,2196706,169956856,886384,56112532,1791474,703271947,47016686,1921699,115677289,6474383,23724572,383181322,71411544,5740816,1124823,4573895,4703280,39620498,30981151,700239,28531668,4173493,22386,325029,3094011,1277090,3516551,311716,0,1545392,33375,572497,475240,40878,51171,153770,1779025,1345361,198247955,161731273,3498,0,0,33680422,7745,17184571,222872,609779,1007082,4492776,11391245,814336,2773353,703395,177351,1010177,2278807,44018197,6702504,330126,5740430,97541,9025020,7959689,2256164,2335015,31429,1366752,2970758,1031730,233976,0,2571774,2579281,447061,68114,819380,1699,307183,2748,4496,0,0
"BEL",138183752,456304490,0,74794945,318120405,1236940471,11103332,20380773,9714881814,447027945,187713656,387117594,245092201,8332550891,4908244786,12315335,257043393,243856,9010513,214284863,657903244,189561316,30023834,2827577866,59523816,431952440,143594597,96263650,6533848307,348425389,45852421,60750668,152861124,16257307,569443530,127478499,711812546,103358353,124084113,3109806492,86248567,4472225,44395191,421899003,120400232,34378264,35824910,30603038,120655303,28124924,88987931,25152288,46721037,1159751,7276808,3663202,242805701,28475546,44793097,5990455,57459909,12261798,72499516,9090026,21192114,4591735,77363497,720424597,6200796,9561613,764565,64547117,8632568,15701478,86159623,1459717,47582348,7542566,546531860,57288486,8608747,191335775,9080971,85824544,111145664,229357481,7847875,743533,23152463,1227268,101169006,91276286,18469096,14010028,40816342,462694,513295,214907659,4676732,20151444,2770435,10554,12793835,1474493,18601113,4430103,387021,97821,950280,6476606,2925174,229866002,133744849,19013,78901,0,81030439,112398,111239376,15104941,4470441,8075969,20034107,3493012,57684,5276360,12240340,1340972,3588598,3199761,154615027,2452025,5526150,1848508,22299247,34071538,15388493,8144542,8344620,560809,23603119,25603388,11719353,16156153,34084,6600179,8650437,2839785,1160483,6251900,36487,5604050,2225491,0,32320,0
"BRA",190024658,165834428,405915547,0,473028519,141517683,19596991,11515281,1757957202,204236850,207977349,514596523,101354672,1045466005,804052287,1586538,85060417,832,1526573,145548777,404382389,50885650,4691123,1115669804,18757353,1798590694,256523682,65736116,714331274,118322492,32456657,79284735,165349022,24627723,323192728,87653142,264641340,141086188,27628135,7746096708,47168815,1907990,278028102,287290275,90750758,112241496,175702915,6315412,12012702,9394333,82262800,9342109,179228518,2599018,140551224,7419983,453109280,13133952,6282085,18233150,81778828,0,205580593,140966764,8238056,14324668,221725816,53342820,7884318,8902341,255209,285143141,1405356,43856902,211451123,332528675,55489393,4377548,402359944,39602509,28486070,56829089,132021768,330518055,41015589,128678867,105616763,19373,89981646,1293395,41382600,772926364,15596,25385739,6359530,238522,2419576,126310252,21195277,1185654,378230,0,11110683,395515,34188497,24270,28339,0,5542779,29939919,5615336,297806773,350024235,0,0,76190,39241171,0,21190316,37349124,1659050,172502,8157673,84478,34500,19978860,826076,187500,0,467371,653704943,14496547,36322,0,149918,3808630,85102965,519364,2621164,1709,3385990,3340020,526575,1799,0,1159333,530146,67544,188093,20443,0,26314384,0,0,0,0
"CAN",410104367,80509136,346074508,615781292,0,163151124,1496395,9241411,1228888300,79606986,308930717,135212715,111154338,724917363,1880141442,1453488,38961138,3680220,863951,196537958,365372879,126179407,4618705,559598136,12206414,5602208337,754278551,173167535,477528015,273893746,147244300,93540468,55372191,6616962,229548497,146331600,156543856,127086243,60552803,64448399873,59475830,6872453,80128696,502090577,350804283,94745383,225542436,18428592,45603707,6644803,63901013,78532478,5521495,31881456,8511848,34597386,902804722,13104408,13974672,16626669,14628001,261961203,166086751,37888187,2046305,16524568,11090989,108082575,57295822,46167529,1573642,273543075,416088,30907350,28944790,6998517,18260566,11564171,1638060083,78737369,109192989,136886280,8004784,312531167,61646123,167728107,8179299,121719,1410068,205297,19930195,69283860,0,667998,4131640,3727993,26974068,11428750,25207864,27765733,2676208,16332,21619933,349341,2451113,70718,1355375,0,5824492,24399417,14680463,113609726,128489627,11002,0,24735853,52746671,0,8841427,4090384,2703685,0,1258000,1979581,0,26324329,2883720,745531,1102840,0,58535883,17347521,4689176,2001352,0,11486505,15224438,370053,3894653,3837165,3604470,12599638,1000997,1507171,346807,3248357,8663895,0,0,0,20480795,1637125,0,70502,0,0
"CHE",203784608,853225601,1266214414,153305694,268166354,0,2517092,13259771,4825303274,279715265,188611507,439564435,188017611,1930557407,2269198762,1468827,162669593,426064,733636,399256753,157780694,86900823,7649326,3237851469,113764105,1791687236,123170026,77811344,685106757,211372116,45150214,83613613,130602367,17649566,666407858,186721409,481757795,104024182,26640286,2965291014,33592589,1949509,31608023,124948356,87618198,30310738,80348891,13117759,139126609,25615594,39313626,10530865,123140491,8971455,5197512,2111118,124539662,18342120,16785933,6690749,111977660,23987727,63625898,22347141,5059030,13141536,131385392,418525729,3996562,14906147,2779246,110601835,2851618,131714118,110233738,6325642,25402200,8501470,199458140,33903494,7737055,183093643,12246597,73845018,199106365,249989628,13099718,1920570,7437619,3804700,174742261,93242082,1051076,3954417,35330415,239927,9136444,14713883,6582570,9243419,830296,0,8829046,909793,4658839,120884,72239,397108,106819,12584573,2181639,283349641,103396239,4625,0,534747,83695233,37456,61816062,8755449,3276659,1816492,9044420,5749699,951737,3342846,872862,969962,887617,2922972,103726020,11344974,691103,6552675,1200146,21571181,6833647,1778648,1577987,227318,1483880,11330937,2613377,810231,17659,1947923,7625565,511470,678083,664588,0,999160,184779,0,1921,0
"COG",7388,189488,46123998,0,0,1738888,0,169364,20556054,2012905,0,24619591,10209,110444639,2362216,40685,816346,0,0,0,0,422743,0,11814253,9263,7812196,309062,0,22484504,51619,0,25439,7930026,0,0,0,588964,2174,3246380,961012408,281344,0,0,567472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",626667,2984758,9021393,0,7889229,3678370,0,0,21033083,1526254,7153042,2052418,1887203,9336354,113564564,1592,5908035,0,4329,822470,428288,4591780,35618,7083258,5237258,385278,1843925,424289,7457930,3092267,67451,57136,19182,4170235,43316323,133336,9616402,1056644,112240,27326973,6435,0,0,668700,0,1766,3358,64920,48930967,3604217,608,0,0,0,0,38846,0,0,0,0,0,0,0,0,0,0,0,2616391,0,309187,4720,0,0,0,61404,0,0,0,0,1116800,0,0,0,0,0,51369,0,0,0,0,0,3297749,0,0,0,0,0,0,0,18577,1579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16204,0,0,0,0,0,0,0,0,0,0,0,16196,0,0,0,0,0,0
"DEU",1205402008,7898291640,10250008164,555170000,1525305628,8951442549,37923974,91286349,0,3086040620,1185835653,2606590547,1572126225,18257427514,13582632300,13492379,1666604000,745916,6546824,638823939,875022000,670758152,96931590,12300611124,178440629,2420382824,715565122,522135447,12650151728,1825530016,253878651,307376903,736642530,86176766,2737868991,707655328,4261530040,406235351,308924379,16420870663,163594373,12114311,213087711,1018401204,750107700,123876045,223393380,111690000,942439564,265629973,202472229,92849000,450958000,13180000,28341000,10719663,994779000,47443000,72536000,46869000,707005000,78432000,0,97881000,31798000,58105000,935426000,895869039,17589000,84355107,9192467,617177000,15665000,95422000,772753000,15028000,307788000,30929000,3067924992,228850000,21255000,1076148000,56026317,335297918,1907260000,2211083319,51335000,22698000,52811000,13762000,411687000,417235791,17046000,6996000,91755000,387000,4171000,93828000,26234000,81291000,6466973,52000,43459000,1961000,19142000,5346000,1819000,522000,1519000,28255000,11510000,2245611000,728879000,129000,236000,0,490734000,515000,171070000,137440000,14608000,12711000,103937000,43434000,1286000,10970000,32175000,7964000,8154000,12495000,383415000,17871000,8402000,22239000,13484000,70058000,27839000,16730000,16092000,984000,13270000,59854000,18410000,8145000,833000,22151000,31605000,5794000,3777000,3286000,132000,10217000,2931000,0,57000,0
"DNK",91869835,135603388,249179927,14024436,144425690,255970400,1005203,10154021,2271630029,0,119171680,129011032,277684806,637125237,2025678981,918438,103621393,210736496,1466003,70967713,50230291,82492310,70629745,582202665,21185764,805213542,146922290,34408640,468789950,813594006,20752899,10918389,36032516,20462730,168022765,61382286,1595189508,47172896,6544762,1573916901,9549497,1826499,10672810,130305304,18388480,2862025,24654753,13150275,21156367,17961464,12315174,15680848,11834004,61741720,1998286,2259273,44651505,1859662,5324060,1809510,27572031,6128836,30639069,3608134,554785,900449,28635129,35847820,1231216,7400522,1818219,12853237,1552003,29841168,56016040,751367,4969617,1919353,102564702,12479270,10750323,22790283,1903235,37142546,38681965,66246724,5118027,457652,10732099,656285,50378099,27284929,343903,976092,18494144,1448659,4396788,2909621,1697081,8521042,586260,107927,2626530,3649654,1943427,706254,207176,88021,324346,1747799,1055155,144507729,41742629,19858,27498,0,47945523,33894,14883463,86524107,779625,704410,7234474,2637592,78775,6143067,4127232,2896353,664302,1229364,28355992,1116570,394740,536512,3575316,10810993,2934131,670226,3876092,610162,858083,16986705,2037971,2079529,30446,16978468,3762625,948129,190237,1850268,143556,1151466,100559,0,1243,0
"EGY",241191,27799301,89030474,6588,51225276,32320752,887,2229517,432362659,14367561,0,255538935,4484049,537500519,218244212,4771,12660348,0,7660,2130290,2614677,3467707,8355,1392153089,15704444,230332478,88531023,2692016,99382386,15881787,44593,1626909,15905119,1502336,71056231,3439171,2531243,335908,5138386,165181441,2217651,0,0,1244163,6095172,1753,28590,0,69014,429540,1315284,9822727,0,0,0,5560,0,0,0,0,0,0,0,0,0,0,0,529958,0,5765386,0,0,0,0,11839516,0,0,0,0,2497,0,0,50238,7183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57490,0,0,0,0,0,0
"ESP",86411566,128138357,589337511,54030403,225079446,407385316,28132933,32257251,2240488566,156925149,585050263,0,102428057,3236233988,2039113113,4995401,138219554,15207326,1400527,81319332,127516142,110223963,8802326,1300966930,50657392,378923999,70052423,22556613,785347273,106195710,18756890,67757011,524857612,10378798,688746501,73771499,273010825,38391563,177115942,2557995664,333998183,1029217,94127770,432676727,70643074,73228077,99188882,5110082,303149887,15767919,15415710,6564082,44651930,2723147,4949994,1474258,187460885,41801483,34410507,19415196,31831640,179445326,60799884,25925879,14697793,12353092,33142422,83609319,1769047,6872700,545232,207016262,253002,45786992,35789614,26485316,20765506,7944423,358092557,92229087,6087470,311348784,15743328,157257130,47108162,120256367,5167653,1970786,74684663,268256,65396154,89123995,420318,4804245,11533623,388503,1137326,9992050,36919520,2363961,307168,0,5013102,136075,15186479,1928814,3682933,8508191,23200,22815406,1190182,292986194,119510908,0,1232,0,92274736,21808,101128011,175981696,2433985,7653885,12818217,237181,697,4242651,66626259,309405,379897,2943517,103564384,30838496,73086,278630,824537,6316318,52573403,4293435,325317,117504,6733024,2246632,671677,149142,35470,2478658,1556105,1415119,899712,1592544,117897,1766823,382667,0,126926,0
"FIN",127573117,111772416,177722668,21832216,104405361,176156671,33686,14679421,1384611132,527997917,124212121,110803261,0,542871549,1504328214,58285,75361906,4483090,8799,43166384,40510803,80366358,19303425,307046826,10731521,186181118,54402265,25279600,408299884,618189563,10466949,13388043,33081314,1544149,94055637,37310195,1555245969,16248272,15270559,1112576314,14888085,249270,11202115,113433320,23040940,5474801,19494933,8767807,25337071,6712195,6583872,5038856,20702486,20699,81653,1271967,86579419,3320718,3358394,891187,51105399,3647912,59032511,1734019,74848,350430,43210816,50511746,659876,4660579,536233,12445151,16373,841750,38582013,34828,2289504,3276866,2552917330,8109329,3341433,16089798,1923945,29827897,11592591,85974553,3614266,15209,565209,19052,11582527,14031966,100225,199462,1471762,33277,175284,184794,1095212,11103294,297453,0,1656906,3097346,269975,51323,173713,0,39431,946422,250652,72573792,44010671,77619,0,1034,10433353,2884,12142018,25655526,6771,160410,697795,1925655,395330,3323274,221626,1451306,0,115774,10699881,2852152,2603084,2298,7830,1425956,1483906,157972,165602,20221,595372,15102814,25499,677128,0,384202,4744879,72723,1135,2518,0,24333,0,0,0,0
"FRA",398114999,743273018,7505003739,561646180,859569828,3489767357,304481692,153686804,14622070499,670003732,845572512,2264579205,358684689,0,7234513513,316357400,806101911,742315,123095050,361636134,385543304,430599398,20237843,9746036984,134888157,1114581542,318399411,313598082,3756239986,583337714,75323820,111249296,573986476,72244574,2593601010,433908621,1067923970,173149619,716883240,8178035834,678151216,8032042,96208550,2373142539,418171666,59910621,176939722,66726026,331521709,80773845,184154626,60611732,104854811,18059508,7904190,4964683,312073558,517832142,599109719,16395558,114082629,102344170,207913130,21861401,382311532,14564396,145492849,325106296,11343181,31609728,5031518,280224704,47713043,62228765,274297846,17858106,154659818,5040195,1926521090,218558498,22210884,255301396,14689093,249466915,404313206,545531156,36266436,9434662,100063952,27713193,282535637,187527288,26921637,74917878,38528366,600205,76610303,89786477,13763070,39411245,2664990,1490,8801330,7020525,91279301,8944670,1908269,9104630,1832716,13275947,17059183,181414221,686240839,806355,808887,0,717690653,693298,245095819,76119146,116166681,102341647,25951919,9738015,186997,37638601,73815262,5767587,125462242,82707442,914501749,31042927,5166004,13590350,14768294,95069224,278012400,7766076,17987910,5587157,86779798,17742858,12501678,27728532,117399,37177141,14548935,66485530,39318117,71520516,21167602,3374858,39325675,0,0,0
"GBR",1335483827,439356270,4493190321,287602523,1623508518,2114446869,15707695,153747306,10441952262,1341842401,472336386,1590898469,878679755,7747138707,0,4498908,460768444,838878,3369776,1045530579,990024670,3829940597,64163648,3343848072,197978289,2048131486,516087243,454484974,5002898404,1199830346,483800712,361061720,486031354,183170346,2082001663,682769291,3361010003,229157438,64098451,14272365011,98169836,32790134,96338557,333211853,275344551,40731927,87611682,221722663,395938581,491960306,125341169,65307009,72646667,293929983,22782771,47458411,407831645,32957499,30651260,11947433,98604525,85777326,119653698,44901832,26958688,13937692,129024385,663858854,60022814,86759021,11732788,197807140,29602765,97338485,212444997,22211310,94982543,10087053,877211037,117233405,148736957,427115320,17057678,202246042,210785083,1534339934,79553360,15190178,47315892,5725423,655086093,6471469,2243466,9145288,177036879,14831351,27233621,48102919,16557119,83670333,23262450,11063241,107418334,38579960,8636288,12831868,665828,740620,18141211,9737090,4817118,932067407,450572700,827127,492773,6088794,380014823,936662,98478206,40285327,8278897,7251988,114376360,21353967,122254,18253550,3246274,27966296,2481206,13672575,773469386,6322941,7157997,3931239,3088995,124343870,20121483,24690379,18818712,8826709,16073063,78308689,38471068,1962614,1581229,59213066,86169499,2737853,965562,13033409,689198,12540090,4585139,0,7798122,0
"GLP",6929,15912,63514,0,47423,8641,0,0,625883,48654,0,73960,40484,67065622,381657,0,0,0,705632,0,0,0,0,21789,0,1972,71418,0,64497,4685,0,0,3764739,0,0,0,88042,0,0,14600403,0,0,0,0,0,0,13724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",27174072,67642886,101660283,96694,34825033,46282296,12087,88618480,971880989,40607322,296369632,57925497,19712447,461297910,342047850,258551,0,896,55269,3540775,8851243,15268507,344820,732093834,26152174,68951042,168521422,633550,140887840,9917953,1302319,14774082,17546073,6495710,296929436,3023682,33044296,5105813,21348934,356555028,4815194,38766,40835,97347889,3545787,336757,43555,3191465,80471508,3268023,811629,989494,41572817,252830,0,33038,26440976,170909,2179631,0,22810059,14090,14395251,38631,57551,74267,24383044,20894162,182645,47591,0,262737,25974,5020599,13794673,4082,38335439,10234,122373716,34622394,199731,56979255,252704,956412,64327762,5190052,736329,5849,1270292,7081559,19449986,2937458,3673029,37703,3186187,3049,23345,2174342,512943,2261399,0,0,0,155238,4750,4898,0,7400,0,183993,11004,49450044,54218506,0,23333,0,19421717,0,52204409,3184983,3056,64648,5010724,43680,0,45493,2380,120187,0,7511,6917127,760316,0,5566,276398,15172655,83131,141750,1357898,12941,268457,147010,229899,1446646,0,2147355,280986,49455,6154,236513,0,10339,555,0,0,0
"GRL",0,0,2981107,0,1412726,0,0,0,18918600,99403675,0,2479737,6569483,14786729,4895670,9207,0,0,0,0,0,3210,35053,90424,16930,11913191,0,47956,3208711,7963934,9117,2351,0,0,0,0,8983151,936,0,11837963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUF",0,0,18944,0,7870,0,0,0,256635,114655,0,2600,0,2985704,958050,1754108,0,0,0,0,0,0,0,405396,0,5105930,0,0,3719,0,0,5067,0,0,0,0,0,1596,0,17987091,0,11408,110274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",488924961,108188247,151682038,10354426,693287003,359304725,5651876,13901000,1260399714,82001702,62982991,81921915,47528934,311448794,1540139520,798051,20760598,5509,845306,0,100227463,65202476,3737747,180385380,16986665,799082462,463613546,252260526,281755553,77414894,82237264,27274041,5971234,7237630,312008080,564036976,203396167,160911878,1565086,8204074210,2807846,20217825,39763932,260116,185407117,3814980,2326012,8489994,31197233,14381036,250205342,59148170,2771934,3627954,159601,2680671,5032057933,13704650,7976661,3842802,4338614,202151,12151594,3528553,3372485,3075756,6439136,24434582,8917467,55994258,351600562,13836476,36656646,139246705,18982308,9358355,959686,1166484,37029299,1610244,10630785,8038745,961686,19852384,1699328,150600256,1012717,21090316,3158525,25893,176338963,1928835,1023253,5004240,14010778,1045632,7240698,10781499,8161339,2073446,8055245,0,4686027,901111,817355,1913357,425338,33275,188427,3424885,3430713,15700218,11329202,352817,222647,1942963,86184714,413803,32399798,15824413,2439710,5180419,2501594,9058380,53575,1100246,11242,965766,9321178,1197163,48410962,36683,3939227,47750755,2409868,5395777,3895036,3158861,894152,1987645,11444241,5125794,946179,73472596,407116,3406501,1877586,138422,710929,4345218,0,3348536,19850,0,0,0
"IND",119399613,35051780,177116904,1411173,109010352,69288078,497890,1890896,449738116,57491405,103063797,35947850,7701274,209030723,643264234,280519,5429921,4922,23560,155429677,0,17644360,855433,230216637,3821606,1033505257,350102282,97782031,272593174,12767263,23332342,14679187,13110820,20996811,282891655,203885427,41785976,35066475,3938226,2495657026,12353524,1610732,1117668,25691709,53725762,607286,863055,23633875,10035709,60263784,8552843,89615874,21109673,117974,21912,661388,5310559,2015405,332614,71762,59592009,5332956,67245800,94216,67626,115693,17851079,13344390,44030,103790737,74660,2984258,11364945,589103,79388554,36862,58954612,802,1578138990,3836844,1857278,2131553,196058,1011784,18201431,9612527,908155,13704889,132290,6464,213643334,1240922,158054,3805510,30177473,0,94855,1251695,106003,5988172,4670450,4139,17255780,177379,400490,335639,66990,0,51974,134315,80757,112545091,40930872,55663,8051,0,89961519,0,1397721,2851357,27738,2063637,698315,2452575,13174,8095818,1585507,686812,104497,32167,29725968,117551,89369983,6477425,142977,18316398,470928,754750,3928477,1430311,186805,11410806,4743242,14981110,0,11667849,8208651,2275968,8270,1540437,0,98698,505,3060,0,2938
"IRL",84268544,58425105,236055374,8506876,156605895,134238951,542602,6152121,867442825,59688053,132625167,122247030,47566694,626435815,3252725724,307006,40890147,99436,85908,14245897,17449068,0,3071719,249902381,7489344,220455212,8176373,12519421,483178337,63279093,15637257,10599006,21554380,2633014,73277241,14111588,120481503,7933835,1477990,860526319,6532336,303188,2894482,28697674,8649552,3751349,4974504,992976,60360559,3572054,8318450,895182,1986618,2564911,280105,993833,7191174,2175607,5359569,2466895,3313199,25063388,2724343,1623430,628995,2780436,6697626,14477594,799476,1380905,3306,39713376,935618,3170015,10432640,68624,1516941,489790,22259763,9176336,4887147,3791799,551216,10619345,7091019,50310727,442147,159862,2093,0,12940542,5488033,47732,63636,4883896,482504,2771538,2610934,525042,3014786,104343,41397,915243,251014,574336,95072,0,8332,39359,3201183,381423,67168357,32676918,0,0,0,11662622,562,5138298,765757,586825,149069,6626720,89369,0,264394,22836,887058,18810,34696,60250118,2078075,51585,0,12294,3844950,655957,532746,333099,244279,281129,1809650,155403,7114,0,2730193,2476090,0,0,464264,4373,37991,519,0,0,0
"ISL",792039,1607925,12043282,1096940,2064261,28802242,286021,70321,67196539,20966559,238508,33983861,15568059,33232017,101752141,37469,6205156,247326,571,102366,0,272988,0,16023131,26616,31308925,405235,172041,8340409,7350227,24707,308471,31758241,0,106297,337977,9322582,4312,142923,197181118,1327,935,16435,948815,0,0,227034,0,269733,0,94601,0,0,0,0,0,0,0,0,0,1558211,0,0,0,0,0,0,661359,6315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17533,0,185247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",551344708,1691296029,1806152514,257116131,782840232,2899876468,21658633,131199212,10878314318,541344060,954157794,1105705872,369475950,9405841273,4527424996,19857401,1255072100,1152817,4200644,346745888,291204550,211967338,21395580,0,177977843,947765522,186361110,152382417,1661883327,397551925,108361089,149440111,346231221,59471078,2328518182,390977038,782245413,117040992,431617219,8269442321,159726690,2756983,64333397,840938696,107954098,63019216,88613245,43164551,1392807854,70247166,28456205,10946424,138431955,4904736,5920656,4811874,449452781,39947983,73666135,17928320,119816019,73189775,132142899,110318551,35464893,8093570,204788873,397990493,19362668,13488600,2182341,239978579,10129279,145000248,201416563,4924221,94446507,7748014,1584384235,206138019,14818647,659681136,18919108,376103211,966146499,506200189,31380307,3951408,46385368,21214033,584264086,180893337,5624534,17478235,155760473,463251,9550416,60288536,16321787,88467972,2745659,116098,25655768,8444611,11523099,4781814,6198333,1982870,1508185,15116280,6086074,949196314,625615976,1250380,468525,0,525596298,571379,408728888,51454790,9053902,11563985,222259047,2939025,539329,21079226,9130759,3858296,6751034,15490495,362022393,13592200,2292234,9092789,6079845,53167861,38854281,6873641,80346296,2628294,11823095,65958551,11000796,4316864,69083,27064982,9462314,4224948,2490109,20850891,673387,2978306,6232545,0,285101,0
"JOR",4926556,6369476,9478339,0,16134,52595,0,4641,14240513,23815,6178069,1307508,0,9660849,18882770,0,920311,0,0,2176249,32323019,8133,0,30026396,0,23427554,6844177,6253527,827792,17033,5120516,26562503,40174,10303906,97398409,7085154,67306,29238,256588,4031443,0,2990,0,86475,22658364,0,0,0,108256,517204,489956,3887616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5015170,0,0,0,0,4028709,0,0,0,0,7609202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
