"","AUT","BGR","BHS","BRA","BRB","CHE","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","ECU","ESP","FIN","FRA","GBR","GIN","GRC","GTM","GUY","HKG","IDN","IRL","IRN","ITA","JAM","KAZ","KHM","KNA","KOR","LBN","LKA","LTU","MEX","MNG","MWI","MYS","NGA","NIC","NLD","NOR","PAN","PER","PHL","POL","PRT","PRY","SDN","SGP","SLV","SVK","SWE","THA","TTO","TUR","URY","USA","VEN","VNM","ZAF","ZMB","AUS","AZE","BEN","BLR","BOL","CAN","CHL","CMR","DZA","EST","GEO","GMB","HND","HRV","HUN","IND","ISL","JOR","JPN","KEN","KGZ","LVA","MLI","MLT","MUS","NZL","OMN","QAT","ROU","RUS","SAU","SVN","TUN","TZA","ARG","GAB","MAC","TGO","ZWE","ARE","ARM","BIH","CIV","EGY","GIB","HTI","ISR","KWT","LBY","MAR","MDA","MDG","MKD","MMR","MOZ","PRK","SEN","SOM","SUR","SYR","UKR","YUG","ALB","FJI","MRT","NER","NPL","UGA","AGO","BDI","BGD","BHR","BLZ","COD","COG","DJI","DOM","ETH","GHA","GNQ","IRQ","LAO","LBR","PAK","PNG","PSE","SLE","TCD","TKM","UZB","SYC","AFG","ASM","ATF","BFA","BMU","CAF","ERI","FLK","FSM","GNB","GUM","KIR","MHL","MNP","NCL","PLW","RWA","SHN","SPM","TJK","TKL","TLS","WSM","ABW","ATA","GRL","SMR","UMI","VAT","HMD","SGS"
"HUN",2372016835,72489369.8300001,1063159.67,109202889.87,248239.98,382085046.5,76128035.88,6307416.02,573669.89,1708333.58,11606260.09,514082466.25,9951802438.48001,122082063.65,726912.48,598234960.73,141551282.44,1833476668.54,1051166137.37,172529.96,122362490.16,546131.2,147040.44,30859373.04,11585612.49,272250507.78,42690694.17,1629815531.34,2262185.46,25554353.43,25390.64,63744.19,95317628.19,20418158.82,2114804.57,52595179.71,61064547.19,1819565.58,63211.29,60256484.68,7767429.23,260590.48,1361481329.7,85504745.64,500160.09,3084616.12,16640756.36,764832538.39,88780660.06,318840.05,162465.06,223038467.28,321840.87,283438929.15,250515830.57,23936122.62,303578.13,231409225.36,2306802.26,2197399814.18,4022119.77,19526441.7,63304550.85,229546.05,53147937.61,5488684.2,486614.02,39634825.83,139493.61,91519462.46,10186118.67,318229.89,16217233.47,27794882.58,5110827.73,2000,138259.08,178896379.9,0,22204996.78,5605863.44,16982117.71,346227452.71,1731799.49,1184391.76,31517072.15,91048.8,4251207.37,819271.03,6606504.86,1851964.83,2241051.87,529609117.550001,450255095.88,42879526.46,327534599.3,19976587.2,618262.97,31663850.69,1480774.3,140586.52,160040.89,128000,9941000,2267237.13,169849000,712000,27883000,467000,204000,63938488.52,21364000,4721000,6634000,15492524.88,422635.04,31176257,128000,33000,630000,1202956.19,1000,11000,17125000,160016000,149400072.97,11217200.98,15000,22000,77588.75,8000,120293.51,408000,13000,4423000,626000,47978.19,41000,103000,280000,795000,2244000,669000,54000,1945000,20000,295000,7834000,18000,0,385000,0,2774593.05,7857000,511000,0,0,0,51000,367000,23504.68,433000,0,4000,0,0,0,110000,0,15000,0,8000,0,0,514000,0,0,12000,0,0,0,31000,0,2000,0,0
"IND",156240994.01,15158847.68,2802826.31,290708121.52,3989049.87,382820202.91,1176897535,74092445.03,10479537.51,11178425.12,34819126.71,80865637.0299999,2213465921.81,210331585.16,8177978.93,784441031.650001,85330995.6199999,1335849160.39,2590899031.4,17449031.1,136084458.13,19817873.98,6589390.62,933354106.61,553968075.65,132249156.08,260853380.53,1563375503.34,7997888.78,59061409.06,11511248.03,147663.99,974139284.55,72750020.81,636025565,22681403.55,302840909.07,2111597.52,31234818.9,710071078.100001,351484742.12,7035350.36,829771286.749998,118988448.97,48824492.79,34359722.45,217505314.97,150469302.31,183007117.5,11095057.51,111429686.06,957555234.57,4383672.34,25068461.92,217013204.51,464947632.22,16799157.31,497855368.98,27404130.9,8244388061.30001,43113617.22,216937205.86,282256274.96,21597419.5,412751869.139999,16353356.79,39389168.94,20174052.35,3268693.81,832299993.530001,111857089.64,11428142.13,32547590.79,9722595.48,3022947.16,16840223.04,9402738.04,23773680.42,72652409.65,0,10266570.1,86331008.42,2148069616.89,146362478.96,16343987.71,6472277.66,15059896.03,15231039.61,187921572.94,84582893.44,184407810.71,95529847.1,29792219.69,742459289.31,854684823.29,25148525.65,51323666.31,96203884.1299999,167053630.34,8049642.15,3592818.74,32570882.75,13606927,2177891523,5815759.87,129067,37678446,309328193,575454,4986498,270548845.03,185913981,8766589,35028364,4137551.02,18071783.87,3119781.92,42525619,30244267,157884941,30774632.15,5752789,1044231,66254733,53564336,18806414.22,3463548.31,11223405,11173106.77,15945012.04,223540182.04,53445416.3,11267513,2493295,763761960,67397111,461802.57,3988497,37298650,20513457,10454796,50366762,55962539,143235,66832397,3164621,12899377,162142370,4820670,0,4675441,3669308,7390921.62,6150469,7832628,22731218,114216,4142,5425118,419262,624465,0,24471,0,13375166,104933,125309,0,0,628371,0,2979454,187925,0,3225311,19528,6004438,866245,0,0,166551,0,0,0,0,0
"ISL",14525855.36,319685.77,1834,2403183.89,17596.93,83627488.52,13783196.04,280252.49,5215.33,782192.94,3032551.97,813713.75,370311948.34,108287112.28,19320,90054879.22,12513322.1,113109291.4,394477291.53,2894,12999441.08,0,1400,1522551.41,1309571.57,4588136.11,2276,29707435.32,230202.87,90023.48,132390.23,0,5918857.51,11295,30030.27,3632502.95,367958.94,0,37566.51,395164.85,17199798.14,8222.77,200892452.74,84390693.71,0,54907.5,88506.98,6952589.1,110328742.45,0,8829.91,444342.03,0,210323.16,20119107.52,10587930.53,29779.29,3673524.05,122220.72,249764007.86,69654,4396075.3,9011108.47,0,2803997.55,0,16559.55,609614.43,0,56014194.16,4457452.53,92518.02,2270715,3912252.45,0,0,26828.37,1400353.02,616718.71,1585165.78,0,163067,127934575.87,24878,0,2021555.22,14704,61051.38,43089.2,1681808.25,34057,7646.86,1440044.93,9887053.89,771402.25,679073.88,113435,454397.06,232785.85,187114.6,0,0,0,107656,27351.99,0,0,38907,0,0,4471810.73,0,0,329616,19429.59,115962.6,399480.03,0,6299,0,93162.44,0,0,0,1425465,390635.03,0,0,35786,0,0,944669.38,0,0,0,46709,1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165119,0,0,0,0,0,0,88095.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3081570.72,0,0,0,0,0
"JOR",278452.23,3465490.1,0,4845300.96,26056,1136954.29,46217682.24,33793.48,2315.54,0,3531374.41,426772.83,22258469.6,345469.6,115613.84,6840869.11,43301.58,11140911.74,30016062.27,12597.43,7152141.64,0,15355,2556701.1,15000112.07,3286562.2,5443565.06,15768247.19,120670.51,125710.75,0,0,14250597.91,46212361.61,1636841.47,156272.62,387725,0,1472,26363407.97,5635583.26,0,23862148.83,237981.76,516118,614225.95,9120791.38,1609039,4907609.46,29165,26298271.15,3019152.35,45792,1340595.97,1045411.04,11201104.9,69752.84,30205667.45,1252147.37,112354417.18,0,410976.93,4066998.37,137656.68,2183633.9,190348.47,49714.67,36000,0,1980063.15,19286,53117.34,29354728.44,2378,0,0,2363.89,52711,125700.98,209303327.05,1163,0,63212034.02,1410910.39,5620,0,0,93005.77,2837.76,1515787.48,10590866.75,20868825.63,2990329.43,763385.7,133640403.22,91231.88,7168786.86,1025862.13,300422,15964.94,0,90379.87,63922,76558934,13798.83,250881,103164,28402778,0,0,76776395.94,27774710,24361751,2334001,36169.95,106851,8621.74,0,9873,0,633412.3,585257,0,26933151,2184804,110213.56,93473.43,14104,7224,120980,0,186863.62,77346,0,800422,16033895,0,0,0,893086,630461,488343,33408,0,32061288,0,0,2357410,0,31047456,2115,0,218646,0,0,0,0,0,0,0,0,1326876,0,0,0,0,0,0,0,0,6857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",1715101066.94,64336439.7,111694758.68,2939878258.8,909412308.250001,2274054360.92,32866442228.19,571124351.64,230505499.15,77362582.7,221288058.69,598965784.03,22429784070.15,703751842.4,96284750.07,4314140494.49,1758579095.53,10846095195.53,15462630625.68,28486126.86,1141339079.65,170770431.35,20987628.59,25199449687.94,6387898662.32,2333254643.54,754150972.94,5932996004.65,177451161.69,99801767.06,64753065.57,7317392.18,29258981540.46,209159047.43,638554566.93,104145120.38,5996073777.85,62669700.56,26274142.89,14875762680.94,338181219.96,107083410.73,9238871083.19,1464395147.07,2441479501.96,494709773.6,8100900053.12,990407821.43,1008632303.77,102726848.76,65115490.76,21604841698.05,127029386.8,186733542.71,2182708977.32,14569693198.25,107787642.2,1627926337.25,62442099,142911970427.14,520310783.18,2415155356.56,1242037673.52,27300480.81,8792726057.66999,19356812.6,14827636.76,39500778.09,92796455.1999999,10038858827.45,612982936.71,66225519.55,240844705.3,265791717.8,8971750.77,9400618.85,42192393.71,131779407.08,1623369079.73,2256016231.36,130224965.5,180246340.48,0,164602177.91,8661287.78,5817032.58,22154763.13,114413971.54,86962924.84,1542116329.5,917271631.19,530428797.18,157745589.51,608400221.13,3227258756.34,165161721.62,164336961.96,132463302.78,1087402898.19,47783751.78,142504062.6,26220867.61,36417954,2470869601,4628540.64,3305423,28869760,692783963,27229571,25747751,1179123782.57,580962442,93657571,126735068,2362419.96,31531991.45,23119306.01,194229449,14668472,169654678,58377157.76,499353,32046629,117869787,50456604,57355515.64,4003699.02,27125610,14580119.41,14936645.18,33020882.87,62169374.44,21689182,1606670,468705559,126272159,14567356.8,9411288,5490770,18573814,386148037,48079848,39316105,11492148,43203562,20957855,354978744,601723365,43882822,76983,5613259,1799992,55861368.1,24336206,2701568,51507254,6111644,0,7935816,197744258,8373589.09,3051382,61368,10086038,1563064,93104585,8884886,51111050,43017401,15295465,8260160,8681401,37198,5468585,1418170,20495,6983902,21323590,0,26732,611735.01,0,0,0,0,0
"KEN",4204062.38,0,0,1540349.55,0,12132931.47,6123172.57,155283.49,34033.36,1228851.64,274408.52,834056.04,93417891.68,4587259.61,5642.69,11016704.91,7182791.94,59102082.35,276146211.15,126958.24,2586020.18,0,0,26042603.36,6456074.62,12324454.7,3920576.47,43173093.24,0,0,0,0,2287039.97,1941609.7,2914505.22,182636.82,2822033.51,0,3134837.39,8664324.26,9902159.08,0,138586137.01,6516341.1,0,100159.38,4047287.39,8083402.09,2336252.51,0,29068856.78,10388969.25,15832.54,234595.87,8490044.65,20764589.8,3232.94,2920756.72,0,94498532.92,88832.8,615493.25,9568941.02,2990267.91,9998926.69,4580.81,250984.42,0,0,8548346.77,440752.09,336454.98,180424.1,37892.46,0,34572.66,0,117365.99,1111231.06,23478111.91,85719.12,2141831.47,23963741.89,0,0,0,693154.5,237108.32,3006721.31,1315443.67,842984.21,199217.42,397287.66,249146.11,11458181.03,316721.17,1041787.07,108452878.48,562613.9,39581.8,49823.05,76103,2804812,33951845,0,0,585993,93219537,0,0,20945253.86,591609,159052,149471,0,1906617.61,20189,0,1023505,65900,106919.21,32902150,0,510447,0,177578.82,36810.9,0,1240,206364.02,0,282790681.06,83474,5062698,259571,217564,0,26769684,927579,2112903,0,19760847,1143255,108993,21011,0,99165,130807194,0,0,80254,94384,0,0,2906614,8490,0,0,69158,0,0,5166724,0,0,4068,0,0,0,0,0,0,22434381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",63720.37,67974.4,0,14650,0,33386352.16,37025206.1,71990,6900.98,21837,0,2788795.76,145444031.08,1113,0,68513,1304464.94,764347.64,14098710.72,0,49981.45,0,6177.74,0,702516.61,86451,9048397.37,2535026.79,0,20698425.78,0,0,448134.84,4080,0,1221474.54,405743.47,2471044.59,0,175452.86,0,0,1793767.08,53946,0,0,0,949079.2,0,0,0,0,0,750174.14,156271.4,148172.58,0,7646154.33,0,2860749,0,10000,253655,14873.27,416528.16,4165886.12,0,9495869.06,0,158200.67,0,0,0,913938.69,240508.14,0,0,34437.46,118086.11,5060217.93,0,3125,1294041.13,0,0,6871185.9,0,0,0,0,1759,0,1164995.6,70726906.13,216471,78249.72,0,7389.98,14314,0,0,0,0,1288844,12699,0,0,0,0,0,20253.03,0,0,0,414631.65,0,0,0,0,0,0,0,0,1391,974372,47682.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43773,0,0,0,0,1679550.26,19682173,0,2027176,0,0,0,0,38759,0,0,0,0,0,0,0,0,0,0,0,0,0,3174978,0,0,0,0,0,0,0,0,0,0,0
"LVA",15274875.48,584484.12,24112,138215458.49,0,8581363.97,1559159.03,17982.87,634022.61,0,576714.97,10139893.45,360946435.85,125455463.83,4518020.27,13909399.44,43920030.55,62543575.56,368328521.67,0,1428885.27,1039593,0,3053190.24,1061113.99,44109474.37,3793957,48808992.19,46546.37,7510454.85,47106,0,1165712.88,957276.49,159523,95523117.7899999,2686957.24,62846.41,0,5560233.57,5612236,993172.12,298717058.72,48308755.34,1180213,13729765.1,2939,33998786.11,2278883.06,0,16841,204999.7,491813,9668230.79,356505196.84,88774.29,103847.76,11343069.62,5622876.49,217012042.76,52345,1095274.95,16003679.94,0,1746453.37,703260.91,0,26867700.63,6806.9,14319480.01,8845781.22,0,6039036.36,102643159.94,2477025.23,16599,49294,262196.98,3450263.77,4851313.71,10034207.02,282583.07,6453168.51,1506841,976935.77,0,48787,281532.73,10876,192075.96,0,23422.04,556873.81,90110528.17,2983107.73,5068557.44,137710.94,906805,18837097.1,0,0,80048,0,90913,1054414.22,344356,5996766,14431009,48943,0,2590210.67,8486,0,651387,4211235.71,0,46328,0,0,0,614251,0,0,0,43796408,430894,21530,0,0,159535,0,28346,9983,397406,5262,27460,29884,0,1269,0,1747,0,3166237,0,1738,0,460417,162362,0,0,0,0,466999.97,7981209,0,261466,0,0,0,67339,0,0,0,0,0,0,0,0,0,0,0,6728,0,0,118510,0,0,0,0,0,0,0,0,0,0,0
"MLI",258873.24,8075,0,21769559.88,0,62709032.05,377819.17,2887.6,0,345386,0,3162111.21,4006612.87,1093,0,4928400.17,20374.15,13608546.81,32597914.18,1441468.14,625641.13,0,0,129723.42,1126155.23,1174500.31,0,18564841.28,0,0,0,0,7651527.11,39032.01,15911.96,296123.49,6671612.39,0,21360.55,4994651.96,277261,0,555143.54,683456.54,0,72980.56,2244136.04,920457.91,13702231.85,0,1364974.47,26042,302385.64,1851,88556,38208169.17,1468,1846299.17,0,6106390,7778447.2,4758492.85,180682707.27,6170,133278.63,0,225852.77,0,0,9447494.34,0,12716,656275,857874.45,0,27463.37,0,0,410263.09,12393696.47,4453,0,1006868.37,9526.85,0,0,0,13989,8621381.02,3645.56,0,0,740396.57,0,227031.47,109109.94,3120669.13,6789.98,0,125394.01,0,267154,0,0,0,0,132284425,0,0,0,0,0,45511,77962,0,10843,0,0,0,0,49729899,0,0,0,0,45070.15,0,0,1308374.02,1269416.41,0,34643,324444,0,0,0,0,0,78106,0,0,24437,663020,0,0,0,16437,0,0,0,27343,0,0,0,0,0,0,0,3676835,0,24098,0,0,0,7609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLT",7339745.31,377824.91,0,15673613.28,65134.71,3249779.76,6691262.58,101846.68,622185,125118.21,3839136.16,3583548.2,293111634.09,2876155.11,33128.76,20505420.54,28475376.29,194825838.01,199910691.51,288922,26363868.23,10356,57962,14801512.35,568587.06,6077175.75,259662,128607144.01,643326.65,333278.91,0,0,39793416.03,10192785.21,239763.92,343580.55,17068186.81,0,5445.63,2562871.02,546328.26,0,21236300.74,3583178.51,3418,8639.6,2774228.9,2474564.42,12132464.33,0,1583760.73,374544377.79,37726.18,1327155.3,6105912.53,34573887.58,691083.51,33376704.39,157417.47,296535476.71,998424.51,28000,4789365.97,2120164.43,4152691.42,193938.3,3045049,0,0,24693341.94,287675.48,16102,3808735.37,485347.5,11137,0,0,11762520.96,16560959.83,533741,279832,379270.97,10444410.1,200711,0,98541.73,0,0,19627.01,405596.86,2296976.79,934253.06,2897063.57,8069730.92,10361943.84,1474671.61,21191269.51,760791.06,304731.36,19865,11677,2001127.12,0,7521179,0,0,1227,3118867,0,2043,4028597.4,1926259,11469299,977990,28651.77,13538,167590,0,0,0,319408.76,535522,0,61964,83812,3174749.42,696407.33,0,0,170346,53362.92,4185.13,34470,0,3839,648606,0,0,0,3239003,0,259933,293426,0,0,0,15380,155355,0,0,40171,0,1446850,0,1445,1477,0,0,0,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS",5272053.35,111501.48,37402,138318.59,0,10211868.79,29315459.36,11793,624049.78,1791,349185.99,401399.35,65945453.09,2340504.69,0,49771073.38,1242886.36,327779709.27,441921194.26,5178,690760.05,12713,0,17712520.95,717629.04,5577391.99,6617,58032149.23,0,0,29281,0,1305422.45,333337.25,2831152.29,30423,2425367.19,0,674966.38,948563.83,5008991.48,16760.79,25876872.03,2947124.74,911506,24530,301538.82,765268.35,15021824.85,0,0,13704395.51,75416.25,56347,8171097.93,1680273.08,0,114408,19269.57,303740344.24,0,3881,14156979.57,3107949.35,2200308.89,0,30875.85,10371.23,0,12885074.23,990631.92,163160.88,72357,28013.01,0,38985.23,0,63709.26,385740.01,7129466.8,140985.55,9449,31948391.69,5576870.89,0,3544,126600.03,3702360.15,0,708395.48,880158.4,25007,77927.88,127444.76,322170.02,403803.27,81231.79,3032986.71,685979.51,176346.47,65344.97,1116058,5765662,431755,0,0,374312,33364,2465,0,559720.5,0,0,586368,56148.06,74899336.48,50459.29,0,945046,33471,72500,0,0,3067,0,0,0,0,0,4469,0,1030078.5,0,218795,37120,8517,4125,0,15428,0,0,18850,65553,0,0,1464,0,91114,0,0,0,0,0,0,5275145,0,0,1861816,151749,0,0,0,0,0,0,0,0,0,0,0,0,1614227,0,0,0,0,0,0,0,0,0,0,4935,0,0,0
"NZL",19976710.7,355554.38,1473885.91,38284897.53,12086879.48,58140388.27,538894436.74,3934670.49,1757475.37,8945317.78,5539431.17,5403252.77,384492768.52,50535651.23,1297128.16,84045861.6600001,12302113.11,212985679.25,730637495.499999,64584.26,34329494.66,10477008.49,5526641.45,403184714.74,246297827.51,24487672.35,64756656.51,247815019.1,16936256.59,1436583.86,1824846.94,96072.93,673271387.41,4137067.12,65286336.1,1159293.38,154535278.71,1298652.26,584523.47,299154096.16,2981004.87,2565729.06,99060864.6000001,13009352.74,8496640.47,37267226.63,205846849.3,20652198.37,13580104.8,376467.23,607575.14,216486480.62,13984355.97,2622831.02,25555951.13,188961089.61,9050470.99,21693587.77,8495924.02,2086739377.82,61864683.62,81395405.21,62588616.99,1333720.91,2586349821.35,5516131.08,110383.3,110560.15,1749535.34,265197738.92,49729887.16,322656.06,38233606.89,1191912.3,521753,0,3065707.59,693298.75,3282485.06,102076170.31,1033755.24,16229308.73,1997212713.16,1110841.23,13525.79,25396842.89,9081.83,5050277.1,14795801.95,0,9794663.01,4715794.97,2643400.64,28862161.93,120602736.11,2578698.31,4522014.4,1037816.18,17609321.28,231371.07,4876767.22,2039,431352,79218590,191393.38,48423,187056,60820211,342340,163186,6323491.51,15684418,393667,11437398,177466.47,655983.03,325476.72,5145186,280082,0,364620.94,0,275909,3104990,355805,611127.65,87804.93,95711646,0,0,19593502.94,58422.15,1199933,0,7381510,6352603,127501.88,28014,5549,191079,12437241,11412,2117947,0,0,801214,0,12442398,43476574,14580,0,0,3146656,2096,1799730,3038,20694153,0,0,1682581,48039,14481,467993,349535,0,5309926,2028506,954638,772300,37839711,25240,10381,0,0,0,0,1220356,33318571,0,0,63444,0,0,0,0,0
"OMN",243680.02,4006143,32769,485180,0,1660956.34,3219547720.58,4192,13974.58,0,667629.35,17165,11878077.15,3083370.15,47269,16731847.41,26566,10386295.57,115430963.41,412192.62,3603490.19,0,72309,25395242.35,3405781.42,854312.03,32879107.99,7954422.29,0,5854047.08,121975,0,1716585577.97,5735542.86,2777705.17,496718.61,281173.06,0,26965.22,329006123.98,3633713.04,0,9403490.84,746130.05,0,0,192624046.11,640793.94,683408.08,0,7699260.01,244479770.68,0,6529.82,994851.79,976117327.59,0,106279.2,0,260712659.48,42533,52898,1243071.56,30165926.41,46886302.01,1059070.46,0,0,0,5708935.84,133310.43,24932,2882466,0,30798,69408,95926,49865.32,0,51780434.1,0,31377869.7,2035666228.31,24911970.05,59622.19,0,88203,51938.92,1830014.91,80485510.36,0,28619577.65,26604,1763941,194174813.84,93348.4,5385869.33,9735121.11,0,13784,0,529883.84,9534,769078977,135337.31,0,0,9374103,0,0,600490.41,29971472,9298710,218960,0,51157.87,4136,114694,20400,0,524357.53,11561499,44707,5149108,306295,302853,0,8652,469915,32769,8973.49,326337.12,1947727,203932,486201,10703266,0,133198,659183,2861169,0,1147264,455249,0,19351022,0,461169,6577547,0,0,363921,464535,540694,350528,0,211442,0,0,52015,0,74576,262846,0,0,0,0,0,0,0,0,0,257585,0,0,179679,0,0,0,0,0,0,0,0,0,0,0
"QAT",108108.85,27746.66,0,19779,0,4027251.1,449749880.47,633305.61,432666.91,1098,520865.09,75517.81,14629899.69,353765.43,62308.34,48366093.57,6317,33183247.11,21138009.4,0,0,0,0,25488535.43,17762926.1,342470.86,8015129.06,2496399.59,0,172987.29,0,13374.73,2142438944.55,14045347.78,11086210.03,4650,931468.63,0,0,44413251.85,1287973.71,0,14979598.68,3788178.76,488961.91,446042.2,144179303.17,119901.06,11676,0,5268993.37,1112840340.02,0,274855.48,750648,259381086.59,0,19267483.1,959656.34,605902788.39,42918,14385274.37,36647655.37,27432.96,96136951.68,0,0,0,0,62903258.1,4586183.89,64285.59,335219,0,0,0,0,2932597.56,1434505.95,204696888.59,21660.05,15872362.95,5084271551.78,10476557.94,0,0,515770.32,24321,2119052,55197303.54,10341071.72,0,182626,27674,146622524.4,0,6769028.75,7131652.77,12968418.52,0,0,0,3285729,506918552,0,1373,265516,13924747,0,0,0,9318911,118731,3517827,21216.94,485496.73,0,2390041,17125206,65890188,432445.76,61097,0,5555717,0,0,0,22058,42035.71,1739859,365745.95,37136.26,6918,0,4542970,13075199,0,0,0,0,0,4603065,661377,0,82417,0,0,31980484,0,34636,45000,0,690651,0,0,620013,0,0,0,0,0,1220374,0,0,0,0,0,0,0,19836,0,0,0,0,8428,0,0,0,0,0,0,0,0,0,0,0
"ROU",301672784.58,221777049.58,120000,5370399.49,38568.08,60024941.65,106856649.48,7523363.85,384119.92,5698158,14234071.52,35578465.7,1864579305.92,34853331.23,437354.93,153735713.09,14622810.2,838941351.44,527503157.59,196337.27,378133200.38,171874.51,4904.88,18235273.64,3820150.93,42633410.58,37358881.19,2365827880.9,121880.21,12420750.42,241000,0,34880546.09,43431852.78,1853434.32,2133947.89,24941293.84,19305.43,1152919.23,9339049.33,81172671.1,231136.6,329036565.36,87417435.19,6314464.76,2842939.12,2338035.9,147345882.56,30019758.05,160543.57,9125124.65,12498831.94,0,29092939.09,127291747.37,31136022.93,2084923.72,660835863.88,368828.22,474645196.78,25652760.61,3127000,6250520.14,5000,6383515.71,3440685.2,2123001.39,4440676.44,201701.27,68165987.65,3505806.94,2648922.7,30843080.91,1563279.63,14742356.78,46463,3895991.97,21784468.78,337484704.5,40928775.3,3250821.31,20882074.36,47099917.16,6161279.65,654441.83,1507599.2,37485.4,41967575.4,87471.7,1226108.87,283863.02,2391125.36,0,97377243.75,60311992.83,62249592.18,40030401.71,1956327.96,7929958.31,390282.49,70065,166940.04,7e+05,45350000,304634.87,12837000,4209000,170809000,15749000,18000,78049454.45,5674000,10289000,26911000,117046731.7,10199.39,14543829.48,75000,127000,0,413045.35,16000,0,75630000,89642000,129166065.08,6482559.55,0,1572320.15,481936.57,250000,2932514.32,59000,478000,3178000,2145000,149623.06,0,549000,0,303000,749000,2326000,139000,4502000,0,68000,8812000,0,0,91000,0,3269908.26,1330000,0,25000,0,3000,51000,0,4000,0,25000,0,0,0,0,19000,0,0,0,23000,0,0,12000,0,0,0,0,0,0,0,0,0,0,0
"RUS",391264641.82,893115652.900001,87134522,474129002.89,654598.51,1637843754.96,4621922407.53,39460453.11,12303191.58,105336321.73,405571241.85,1777513019.49,7631410168.71001,420301989.14,35536833.13,1675143993.63,3268842969.74,3062070544.43,3845188616.93,4566354.43,1107070205.77,31989067.09,66273.04,274901797.23,81201270.89,281351295.66,735281717.13,4901582776.08,1706783.85,2315283398.68,1016973.54,1369083.41,1538413730.79,311340841.54,8986444.87,1589219607.6,236081606.38,189353440.45,3300,327910084.02,189278011.78,12103024.21,3933266151.85,587136634.23,143021969.14,27305142.99,98786019.79,4460566209.59,193018434.08,67212.52,12322207.97,485261355.11,37705096.5,2045611538.28,816980236.29,193412201.86,8412763.08,2221980653.09,100440411.66,6907740254.9,14011151.45,243583407.13,86451282.13,104503.89,15311355.62,188838161.25,794899.06,5007749623.66,2416296.71,344734991.11,61142034.26,7896759.11,193646609.91,1008208151.18,90333956.3499999,102007.27,29283371.02,500735304.18,2433804000.78,1042302385.18,33835323.39,84222214.54,3772509305.07,31667084.6,114340563.39,483274476.24,13109738.47,63351708.32,3063304.42,2324486.01,942607.65,447512.23,696618006.149999,0,120916558.47,198226763.9,144391178.46,5935861.31,92006861.43,377469.85,85759.12,3639425.31,1494915,111712616,111918286.95,31967348,21668809,437648814,743205162,630569,501709875.35,5353387,1437597,61054370,129112407.12,1032496.5,206330148.17,3688497,36151,35397045,19797455.41,269981,0,86292949,2804185728,216867883.61,20771283.08,0,1264251.48,2280061.69,2381217.19,2088010,10252906,169604,89169921,732426,1272665,488797,772989,404484,31783870,37993510,4975302,366190,89849659,1510407,22603186,62666986,578320,0,62231,0,141839603.07,271340625,19731593,11140161,0,0,2014654,113400409,2131548,3007529,0,0,0,0,0,0,0,0,0,3625345,0,0,55794265,0,203454,0,0,0,0,0,0,0,0,0
"SAU",105013728.24,213781.11,0,692534835.81,0,10901227.66,1759222761.85,1039854.66,4358.16,256202.05,17741773.67,1248369.85,991316868.67,588914.3,4680,1568314150.24,1722461.93,3162122837.6,1346378131.8,1005660.8,849011701.78,0,48397.79,210374306.09,1433342655.09,1804212.96,52744414.08,1990403429.26,0,83433.11,0,0,8682960493.19,157854935.79,118630726.11,187040.71,225447576.8,0,2029155.53,569385470.01,13796329.71,0,2592961919.5,17208143.58,916538.95,184447,970665346.05,5017025.42,351000836.75,325792,188299659.07,3896738829.9,878380.96,43960.55,125244490.82,1050456734.56,59851.08,867974018.02,2783009.07,15114806280.73,1240552.13,12181899.6,2020399671,1515346.03,778340976.15,781200.4,7801274.24,166840.12,0,547162690,21945901.09,5019041.71,24077668,50368.91,0,801440.85,23782.61,1230881.82,1839244.9,1447465863.59,0,141199420.43,12565348114.07,163766283.87,0,20381.43,1032933.63,328136.17,30536132.49,312961407.32,134161285.48,177764346.37,2894679.27,1592895.81,0,268145.77,56031605.34,146648923.79,24282502.12,5708719.86,10558670.87,1729925.4,0,0,0,0,0,0,0,0,0,0,0,0,0,20017086.9,109028,0,0,0,497642.79,0,0,0,0,16050.85,848283.84,0,616157.29,1173156.88,38356.08,6261205.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149683.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
