"","ARG","AUS","AUT","BEL","BGR","BHR","BRA","CAN","CHE","CHN","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","HKG","HUN","IND","IRL","IRN","IRQ","ITA","JPN","KHM","LBN","MYS","NLD","NOR","NZL","PAK","PHL","POL","SAU","SEN","SGP","SUN","SWE","SYR","TUR","USA","YUG","CAF","CIV","COG","GAB","GRC","ISR","JOR","LKA","MAR","MEX","NGA","PAN","PER","PRT","THA","VEN","LBY","MLI","MMR","AFG","AGO","ALB","BEN","BHS","BMU","BOL","BRB","CHL","CMR","COD","COL","CRI","CUB","CYP","DDR","DOM","DZA","ECU","ETH","GHA","GLP","GMB","GTM","GUF","GUY","HND","HTI","IDN","ISL","JAM","KEN","KIR","KOR","KWT","LBR","MDG","MLT","MNG","MOZ","MRT","MUS","NCL","NIC","OMN","PNG","PRY","ROU","SDN","SLE","SLV","SOM","SUR","TGO","TTO","TUN","TZA","UGA","URY","VNM","WSM","ZAF","ZMB","BFA","DJI","FJI","GIN","GNB","GNQ","LAO","NER","NPL","PRK","QAT","TCD","YMD","BDI","SPM","MWI","ZWE","RWA","BLZ","GIB","KNA","MAC","ARE","SYC","GRL"
"GMB",0,0,0,66000,0,0,0,0,29000,0,0,334000,0,0,3000,14000,12000,4265000,282000,0,471000,60000,0,0,4723000,389000,0,0,0,119000,63000,0,50000,0,0,0,9000,0,0,16000,0,0,198000,0,0,0,0,0,215000,0,0,0,0,0,6000,0,0,0,0,0,0,0,185000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,6000,2444000,2327000,0,0,0,2240000,6998000,0,0,31052000,1805000,0,477000,1896000,5701000,4664000,3769000,0,0,186000,0,0,7025000,22141000,0,0,0,3518000,2691000,12000,1000,220000,0,0,0,0,0,3859000,0,0,62736000,33000,0,0,0,0,9000,0,0,0,0,244000,0,2e+05,187000,811000,0,5000,0,0,0,0,0,0,0,0,0,6000,0,2000,0,0,59000,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,5777000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16328000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUF",0,0,0,490000,0,0,3000,0,4000,0,0,5000,0,0,0,0,731000,1000,0,0,0,0,0,0,12000,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,2011000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,69000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",552000,23000,9000,173000,0,0,0,32979000,2137000,0,0,1817000,138000,0,663000,3000,1896000,23087000,16000,0,0,538000,0,0,1166000,2660000,0,0,0,216000,5751000,55000,0,0,0,0,0,0,0,127000,0,0,20977000,190000,0,0,0,0,23000,0,0,0,302000,66000,0,0,51000,0,74000,306000,0,78000,0,0,0,0,0,0,0,0,0,0,0,0,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,1103000,214000,0,0,0,7095000,3118000,0,0,13427000,566000,2000,116000,621000,1149000,741000,0,0,0,26000,0,0,1794000,4147000,0,0,0,847000,462000,6000,0,21000,0,0,0,0,0,501000,0,0,41023000,10000,0,0,0,0,21000,0,0,0,0,46000,0,439000,1000,0,0,149000,0,0,0,0,0,0,0,0,7000,22000,330000,0,0,0,4000,711000,0,0,0,1000,0,281000,0,0,82000,0,3886000,0,0,0,0,0,1000,1915000,0,0,0,0,0,0,0,0,0,0,0,0,806000,0,0,0,0,0,0,13003000,0,0,0,252000,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",1000,15000,40000,3585000,0,0,0,1899000,1844000,0,0,2626000,699000,0,321000,14000,4625000,132000,0,0,0,0,0,0,4502000,2247000,4000,0,0,313000,519000,0,0,0,0,0,0,0,0,1122000,0,0,24100000,0,0,0,0,0,0,2000,0,0,26000,3000,0,1000,43000,2000,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",13000,66234000,1582000,14320000,0,0,10000,2401000,7477000,0,0,48229000,19354000,0,143000,1044000,10263000,23337000,21396000,0,7426000,1039000,1212000,0,16525000,166153000,5894000,0,17295000,95128000,3175000,4175000,743000,23966000,0,0,35000,410000,0,7363000,0,7000,168072000,6847000,0,0,4000,0,320000,6000,699000,2316000,722000,442000,202000,452000,230000,1199000,22753000,4014000,5000,17000,1805000,0,0,0,7000,0,0,7000,0,660000,0,0,2339000,0,0,0,0,0,0,290000,0,212000,0,1000,0,0,0,15000,0,0,0,0,0,0,22000,0,0,107000,0,0,0,0,0,0,0,0,0,2000,0,5000,0,0,0,0,0,0,11000,0,0,0,13200000,145000,0,0,0,0,0,0,0,0,1886000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",4000,46000,102000,758000,57000,0,805000,2000,263000,0,2149000,11140000,6233000,12000,2491000,4266000,1330000,22073000,0,280000,0,1239000,0,0,5072000,50000,0,22000,17000,754000,9757000,0,16000,21000,2085000,0,0,0,10091000,8688000,0,24000,17720000,63000,0,0,1000,0,1075000,209000,1000,2000,0,19000,6207000,162000,1000,3327000,14000,690000,0,0,2000,0,0,0,0,0,0,3000,0,1000,297000,0,1000,2000,12000,12000,361000,0,0,3000,0,0,0,0,0,0,0,2000,0,0,0,1000,0,0,0,0,235000,0,0,0,0,0,0,0,0,0,0,1000,783000,6000,0,0,0,0,0,1000,0,0,0,0,16000,0,41000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",2000,298000,96000,216000,0,0,1000,44244000,185000,0,0,2053000,263000,0,210000,183000,0,84861000,40000,0,15000,2097000,2000,0,0,664000,0,0,0,320000,10739000,699000,1000,0,0,0,379000,0,0,5424000,0,0,115486000,0,0,0,0,0,0,0,4000,1000,0,151000,0,45000,81000,0,0,55000,1000,0,0,0,0,0,0,0,0,9000,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",302000,2689000,828000,2651000,0,0,0,6844000,667000,0,0,34262000,2433000,0,1099000,1508000,4673000,51833000,4099000,0,13227000,1500000,477000,0,3981000,9036000,0,0,1171000,5350000,805000,963000,478000,159000,0,0,48000,2601000,0,4164000,0,0,24361000,1164000,0,0,0,0,595000,3398000,401000,1396000,23000,0,42000,0,5000,51000,531000,30000,97000,0,3000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,41000,0,0,0,0,0,0,617000,0,0,0,0,0,0,0,0,0,0,0,2981000,4000,0,0,0,0,0,0,0,0,0,105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",0,17384000,951000,7000,0,0,0,6000,0,0,0,2229000,37000,0,0,0,28000,6656000,41000,0,0,15000,0,0,22000,3846000,0,0,1953000,0,0,9901000,270000,0,0,0,0,378000,0,0,0,0,7234000,0,0,0,0,0,7000,0,0,0,0,0,0,246000,0,0,0,942000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,523000,899000,382000,0,0,49000,435000,1025000,0,0,2634000,62000,0,89000,14000,1187000,6150000,9967000,0,19000,47000,392000,64000,1199000,41672000,2000,0,1625000,837000,33000,6000,236000,879000,0,6000,0,2269000,0,999000,8000,2000,30537000,71000,0,0,0,0,185000,8000,19000,4000,3000,11000,0,70000,0,1000,3397000,18000,0,0,881000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7038000,0,45000,272000,0,0,0,0,0,0,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",1202000,35609000,0,33363000,0,0,13829000,10378000,563000,0,0,40873000,26530000,0,20316000,0,176079000,346770000,319000,0,416000,0,3814000,0,295320000,413328000,0,0,21226000,99163000,373000,11868000,113000,1789000,0,0,0,40127000,0,3205000,0,0,51707000,0,0,705000,0,0,1962000,0,764000,0,48000,0,0,0,0,122000,0,0,42000,88000,0,0,0,0,0,0,0,0,0,0,22000,0,0,0,0,0,0,0,0,0,0,580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000,0,4000,0,0,0,0,0,0,0,84000,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",0,0,11000,12948000,0,0,0,304000,0,0,0,48147000,346000,0,5000,3000,8649000,19473000,0,0,0,1000,0,0,7200000,21619000,0,0,0,8019000,270000,0,0,0,0,0,0,9000,0,542000,0,0,48412000,163000,0,83000,2000,0,294000,41000,0,0,0,0,96000,0,0,0,0,106000,0,117000,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,2000,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDG",2000,166000,98000,304000,218000,0,0,443000,378000,12000,19000,3741000,592000,33000,1269000,230000,59739000,3116000,51000,442000,21000,14000,0,0,2071000,621000,2000,16000,13000,1013000,21000,5000,1000,0,172000,3000,3051000,186000,30000,140000,1000,3000,18243000,360000,3000,1341000,5000,1000,609000,45000,0,0,726000,1000,31000,1000,19000,263000,1000,32000,8000,0,0,0,0,0,10000,0,0,2000,0,0,110000,0,39000,0,0,0,0,0,199000,5000,10000,0,265000,29000,0,1000,0,0,8000,1272000,0,0,2000,0,0,0,0,0,12000,0,1000,4000,672000,189000,0,0,0,0,219000,0,78000,0,0,0,2000,0,37000,0,0,0,1000,0,118000,0,25000,24000,0,0,0,0,0,13000,0,0,0,5000,0,0,3000,0,0,0,0,0,0,0,0,0,0
"MLT",0,306000,127000,417000,0,0,0,118000,344000,0,0,106000,15000,0,62000,7000,4000,7035000,1000,0,1000,327000,0,0,630000,273000,0,0,0,203000,4000,107000,14000,0,0,0,0,0,0,45000,0,320000,263000,13000,0,0,0,0,23000,51000,1000,0,0,0,2000,0,0,14000,0,55000,1222000,0,0,0,0,0,0,0,0,0,0,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNG",0,277000,3000,695000,0,0,0,0,39000,0,0,252000,1000,0,0,0,431000,514000,0,0,0,9000,0,0,30000,194000,0,0,0,1000,0,0,0,0,0,0,0,0,0,1000,0,0,2553000,79000,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOZ",0,427000,451000,2233000,0,0,0,399000,377000,0,0,4574000,2066000,0,2438000,37000,5090000,6251000,545000,0,21512000,366000,41000,0,1431000,16511000,0,0,121000,2427000,1343000,2000,384000,0,0,0,0,58000,0,1246000,0,0,8841000,0,0,0,0,0,2000,631000,0,0,0,0,82000,0,0,37169000,0,1000,0,0,438000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRT",0,0,0,1129000,0,0,0,0,2000,0,0,14197000,0,0,1000,0,12699000,16344000,0,0,0,0,13000,0,7991000,887000,0,0,0,1672000,0,0,0,0,124000,0,0,0,0,1000,0,0,1971000,0,0,21000,1249000,74000,0,0,0,0,1000,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,118000,0,0,0,0,0,0,0,0,0,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS",0,48000,0,0,0,0,0,12389000,30000,0,0,0,4000,0,0,0,0,63812000,10000,0,517000,296000,0,0,0,61000,0,0,537000,0,68000,146000,1000,0,0,0,0,7000,0,2000,0,0,1683000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCL",0,1673000,4000,77000,0,0,0,0,17000,0,0,3617000,123000,0,19000,8000,29128000,0,0,0,0,0,0,0,264000,28852000,0,0,0,0,211000,2000,0,0,0,0,0,0,0,16000,0,0,930000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIC",1000,7000,1243000,1442000,0,0,0,674000,941000,0,0,23659000,199000,0,39000,114000,4765000,4761000,510000,0,0,480000,0,0,2697000,33517000,0,0,0,3628000,1000,1000,0,277000,0,0,0,0,0,307000,0,0,33564000,4000,0,0,0,0,391000,0,0,0,0,11000,0,138000,0,4479000,181000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,1525000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2661000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OMN",0,0,0,630000,0,0,0,0,0,0,0,26412000,0,0,0,0,26891000,49324000,11000,0,6e+05,0,3744000,0,0,0,0,0,0,6563000,1000,0,1234000,0,0,0,0,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,3276000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNG",0,16467000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13079000,6000,0,0,0,0,0,0,2699000,0,0,1000,0,0,97000,1000,0,0,0,0,1147000,0,0,0,0,1349000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRY",13339000,48000,326000,2237000,0,0,644000,507000,1092000,0,0,3837000,583000,73000,2855000,41000,2502000,6459000,19000,0,22000,2000,67000,0,3590000,564000,1000,0,0,1535000,102000,0,0,1000,42000,0,2000,0,0,629000,0,0,10961000,10000,0,8000,28000,0,579000,10000,0,6000,57000,11000,0,0,296000,220000,0,7000,0,0,0,0,0,0,0,0,0,9000,0,659000,0,0,1000,0,0,0,0,0,0,1000,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529000,0,0,2932000,0,0,0,0,42000,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0
"ROU",1179000,49000,19435000,7049000,0,0,1040000,74000,9137000,0,0,60004000,644000,0,5594000,2789000,28989000,25042000,0,0,3504000,364000,474000,0,54937000,11857000,0,0,122000,4433000,1510000,1000,739000,0,0,0,17000,85000,0,3621000,0,2082000,1233000,10276000,0,0,0,0,5368000,1135000,1472000,1738000,1357000,3000,265000,0,0,1831000,35000,113000,2396000,0,1392000,0,0,0,0,0,0,0,0,0,7000,0,1000,0,0,0,0,0,0,0,0,582000,0,0,0,0,0,0,0,0,1454000,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,3878000,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
"SDN",15000,594000,943000,4638000,303000,230000,16000,106000,1517000,4913000,1868000,33812000,950000,3722000,2281000,792000,9087000,24565000,279000,1491000,18462000,389000,3e+05,2558000,22731000,16021000,0,1549000,52000,3448000,474000,72000,380000,9000,4951000,4981000,0,154000,5058000,854000,614000,27000,6025000,3721000,0,0,21000,0,657000,0,870000,182000,1214000,16000,5000,0,16000,475000,10000,1578000,187000,0,271000,0,0,0,0,0,0,0,0,3000,0,128000,19000,0,0,25000,2299000,0,56000,26000,940000,0,0,0,0,0,0,0,0,12000,6000,0,7000,0,0,0,0,0,124000,0,0,0,0,0,0,0,0,0,2394000,0,0,0,70000,0,0,0,0,0,27000,0,22000,0,0,174000,0,322000,0,0,0,0,0,0,0,21000,0,141000,1470000,0,0,0,0,0,0,0,0,0,0,0,0
"SLE",0,58000,3000,74000,0,0,0,2000,4000,0,0,9697000,623000,0,490000,12000,801000,13727000,1000,0,0,333000,0,0,683000,165000,0,1000,0,10861000,6000,1000,0,0,87000,0,1000,0,0,5000,0,1000,10659000,0,0,0,0,0,0,2000,0,0,117000,0,50000,0,0,0,0,0,0,239000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,0,0,0,0,5000,0,362000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0
"SLV",1000,43000,773000,743000,0,0,0,3103000,1325000,0,0,42415000,1547000,0,322000,1328000,304000,146000,151000,0,0,0,0,0,1411000,37403000,0,0,0,2442000,496000,0,0,272000,0,0,0,0,0,1374000,0,0,43186000,0,0,0,0,0,13000,0,0,0,0,135000,0,277000,5000,1000,50000,20000,0,0,0,0,0,0,0,0,0,123000,0,1000,0,0,13000,3105000,0,0,0,14000,0,6000,0,0,0,0,18901000,0,0,8915000,0,0,0,0,0,0,115000,0,0,0,0,0,0,0,0,0,3834000,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOM",2000,4000,3000,8000,0,0,0,1000,0,0,0,150000,3000,0,0,0,1460000,66000,0,0,15000,0,136000,0,14534000,5000,0,0,0,8000,0,0,2000,0,0,0,0,0,0,0,0,0,424000,3000,0,0,0,0,229000,0,115000,0,16000,1000,1000,0,0,0,0,4000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUR",381000,28000,473000,1849000,0,0,0,6454000,225000,0,0,2747000,61000,0,0,15000,864000,357000,0,0,0,5000,0,0,5000,701000,0,0,0,2024000,225000,0,58000,0,0,0,0,0,0,64000,0,0,34215000,0,0,0,0,0,246000,0,0,0,0,0,0,0,34000,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,21000,0,81000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TGO",0,335000,84000,1583000,0,0,260000,0,13000,0,0,2919000,33000,0,25000,3000,16770000,364000,0,64000,0,0,0,0,2382000,1910000,0,0,0,1990000,430000,420000,0,0,0,0,10000,0,373000,1000,0,0,2613000,615000,2000,730000,9000,12000,4000,1000,0,0,15000,0,6000,0,0,0,0,1000,0,0,0,0,0,0,619000,0,0,0,0,0,49000,17000,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,0,0,151000,0,0,109000,0,5000,0,0,11000,0,0,0,34000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTO",419000,36000,82000,862000,0,0,2253000,19181000,440000,0,0,5548000,1674000,0,227000,61000,1553000,101247000,57000,0,13000,1609000,0,0,2191000,406000,0,0,168000,4075000,701000,118000,6000,0,0,0,0,301000,0,13293000,0,0,116347000,81000,0,0,0,0,8000,0,0,0,0,11000,0,427000,117000,61000,0,133000,0,0,0,0,0,0,0,0,0,7000,0,1505000,502000,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUN",0,1000,23000,17255000,2118000,0,0,18000,1034000,303000,2577000,5718000,301000,802000,2026000,273000,68311000,7778000,0,352000,3487000,498000,273000,0,24994000,671000,380000,42000,215000,14916000,78000,10000,357000,0,2168000,321000,516000,74000,1131000,481000,7000,169000,1114000,3977000,34000,1533000,660000,312000,2936000,0,0,227000,84000,0,152000,0,3000,3728000,0,3000,3824000,0,0,0,0,0,141000,0,0,0,0,0,521000,0,0,0,0,77000,418000,0,4644000,15000,81000,29000,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,119000,442000,0,0,0,0,0,0,0,0,2000,0,0,23000,0,0,0,0,0,0,0,0,241000,1998000,0,0,389000,94000,0,0,0,0,0,0,35000,0,0,0,41000,0,0,0,0,0,0,0,0,0,0,0,0,0
"TZA",429000,5854000,1343000,10022000,0,0,19000,8382000,2804000,0,0,17891000,4524000,0,767000,364000,6038000,42226000,10262000,0,11693000,2299000,114000,0,8657000,7281000,0,0,295000,8542000,910000,2053000,884000,0,0,0,61000,397000,0,2682000,0,0,13995000,660000,0,2000,0,0,490000,437000,86000,243000,3000,0,95000,0,12000,0,3000,29000,67000,0,65000,0,0,0,2000,0,0,0,0,2000,0,0,17000,0,0,0,0,0,0,25000,0,0,0,1000,0,0,0,0,0,0,176000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGA",470000,3949000,173000,0,0,0,0,4238000,983000,0,0,0,1347000,0,6740000,631000,0,15533000,4965000,0,3943000,450000,148000,0,1474000,3822000,0,0,0,0,478000,911000,0,0,0,0,0,0,0,1082000,0,0,46398000,0,0,0,0,0,0,456000,199000,567000,0,0,1000,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"URY",4070000,5000,2765000,5366000,0,0,2454000,894000,6398000,0,0,20726000,1436000,0,9062000,380000,9711000,40308000,2593000,0,0,48000,0,0,19025000,1083000,0,0,2000,12215000,101000,0,0,493000,0,0,0,23000,0,1946000,0,1000,12783000,3316000,0,1000,0,8000,2859000,1105000,0,1000,6000,1346000,0,8000,958000,1760000,0,71000,0,0,0,0,0,0,0,0,0,187000,0,2341000,0,0,6316000,0,0,0,0,0,0,186000,0,3000,0,0,0,0,0,91000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373000,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
