"","ARE","ARG","AUS","AUT","BHS","BOL","BRA","BRB","CAN","CHE","CHL","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","DOM","ECU","ESP","EST","ETH","FIN","FJI","FRA","GBR","GHA","GRC","GTM","GUY","HKG","HND","HTI","HUN","IDN","IND","IRL","IRN","ISR","ITA","JAM","JPN","KHM","KOR","LBN","LKA","LTU","MEX","MLT","MYS","NIC","NLD","NOR","NZL","PAK","PAN","PER","PHL","POL","PRT","PRY","ROU","RUS","SAU","SDN","SGP","SLV","SUR","SVK","SVN","SWE","THA","TTO","TUR","TZA","UKR","URY","USA","VEN","VNM","ZAF","AZE","BFA","BGD","BGR","BHR","BIH","BLR","BLZ","CMR","DZA","GAB","GEO","HRV","ISL","KAZ","KEN","KGZ","LVA","MAR","MDA","MDG","MKD","MLI","MOZ","MUS","NCL","NER","OMN","QAT","SEN","SRB","SYR","TLS","TUN","UGA","ZWE","ALB","ARM","CIV","MWI","RWA","TGO","ZMB","AGO","ASM","ATA","COG","EGY","GIN","IRQ","JOR","KIR","KNA","KWT","LBY","MAC","MRT","PRK","SLE","SYC","TKM","YUG","ABW","AFG","BDI","BEN","BMU","CAF","COD","DJI","ERI","GMB","GNQ","GRL","GUM","LAO","LBR","MMR","MNG","NGA","NPL","PNG","PSE","SOM","TCD","TJK","UZB","WSM","GIB","GNB","MNP","FLK","FSM","MHL","PLW","SHN","ATF","SGS","SMR","TKL","VAT","HMD","SPM"
"ZWE",37114405.44,9748,2919094.89,2327162.24,0,17779.35,11818904.42,21800,2802169.72,91895211.71,11950,114861334.87,195198.54,1139.89,0,130536.03,413289.43,107892533.68,5557694.83,22601,1834086,44629354.71,38165.09,2422581.58,1324347.6,0,18769096.2,115415861.58,50111.65,4910088.93,0,0,3172020.65,16802,5298,1179863.5,8397460,16748040.71,686347.56,1105948.47,1771461,86992079.94,9187,117194354.39,1244.53,12158998.16,98891.33,55533,0,1125619.28,0,2744088.94,31297,63263253.28,7965640.83,1268865.77,1729650.94,0,112142.62,22172,7061734.85,24640528.08,7612465.45,1720480.5,19921190.99,1289151.13,268441,11618144.08,0,0,110612.4,1093572.16,674163.77,37535648.93,0,10145989.48,3869365.07,105769,16127,101348050.94,0,1147150.05,827060713.72,206531.55,3938,4960033.61,5481993.86,14934.04,180775.75,431305.75,0,123167,2713627,167739,1153,810032.31,47294.47,1594465.81,4193546.86,1927848.95,216617.12,686614.6,140682.19,129561,312851.98,2694,33010211.74,4043031.43,4069,1393480,1237621.41,49544.41,223703.6,1005602.05,0,0,2568386.13,1261471.08,0,1759,0,8402.25,85776346.81,393404.38,0,107089668.26,769450,0,0,34358922,0,7318,221783,4559089,0,0,25721,53987,100086.93,0,410504,0,50338,0,109925,0,4024,101263,0,1663,0,7146923,87956,3629,1312,0,0,0,0,0,0,0,366315,0,0,0,0,0,0,127411,0,1601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",322335,0,407011.59,5836603.3,0,39643,1542849.81,1980,1069318.57,1011280.18,0,6674763.77,388562.03,71466.42,19532.32,6235.7,1388143.03,35102147.84,226477.39,0,0,1896460.29,4028,0,71622.9,0,13356371.1,1408123.04,4042,55949189.86,68547.86,0,171740,2162640.13,0,2042586.7,0,230153.32,198158.61,1040440,9591,472153267.27,0,926058.71,40662.86,5547356.89,63000,6176,12891,563101.08,0,12225,18488,1853448.09,131417,21357.22,1080155.97,45439,61089,0,212451.67,466115.39,0,2433596.3,1653768.38,401923,0,91098,0,0,97707.62,2941847.63,3116610.86,1705,0,16674206.84,16929.58,47821,11183,38599000.32,27674,95948.75,142455.14,0,19487.26,3209516.48,3838626.79,20093,1661116.21,2440,0,6992,55070,519874,62530,1358125.21,22054,745550,0,0,0,0,4679.61,0,13116773.9,79478.75,136726.77,8111.72,23601.72,0,0,0,54616,2880400.67,32427,1481,18720,0,0,0,0,8427.41,0,138442.57,0,0,3459,0,0,8171,28266,0,242915,34676,0,0,0,0,9386,1348,2202,0,0,0,32609452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",10528089.64,1130,107355.36,3485692.67,416542,0,11744.54,0,12216688.28,34912779.64,0,9335072.32,25412.9,0,0,1161017.33,7967441.97,156511632.72,20439.38,0,0,24273658.05,94432.23,0,6013403.38,37212,2704298.26,833401.21,12489,677837.83,0,0,1427771.9,2167705.91,0,1471291.32,0,536164.96,0,31782641.89,111957399.22,25062911.82,57072,1285106.23,0,301282.25,207928.38,222518.41,197820.14,83127.75,0,307802.92,0,138557732.48,8290,6866,797543.67,112017,0,0,10691035.34,0,0,282109.6,116608933.04,400021.8,5000,80868,0,0,310356.64,282955,209117.92,796879.57,2504,1093564,0,13612372,0,64924911.67,0,904619.81,300497.88,0,0,0,858076.6,18602,0,2581499.34,3959501,0,0,0,38695161.45,38744,0,3073865.47,0,51316.19,1813745.41,0,735984.56,0,0,0,0,10859,1588,0,0,0,161036.78,1100,508913.13,0,0,0,0,1105,0,5000,0,5923,0,0,856340,0,0,39943,15904,0,24855,24943,0,0,221625,0,1036.35,0,0,0,0,773017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,3904,359560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",8733293.57,2075998.75,9800593.14,11464233.07,3709622,0,19509770.26,16383.96,85636117.02,37438432.35,1159,85605398.77,802757.03,0,0,3326949.83,13915883.69,231686758.07,16297464.13,253658,342277.8,239567970.42,40980105.21,60281.91,10792861.7,0,1408044612.42,124152610.81,130332813.81,35079556.18,791133.31,0,2946889.96,1048671,32101,5436315.08,37790233,198626153.52,12545583.9,8664214.25,6150959.62,269803767.6,25731.59,18415040.11,188379,1348279.19,4717989.3,103113,2368671.32,2019045.04,8984474.17,38094949.17,5858.34,706667228.05,17927895.6,196536.4,3906986.68,315448078,559338.69,2813932,113229717.77,13086003.31,0,6614754.72,125887288.43,6232000.99,0,9467203.43,5780.46,0,18449719.16,1702733.54,904619.71,11857656.79,23185315.07,29461471.29,2045090.9,458284,90916.87,1160275864.28,5352,12804635.9,17875189.78,6314.44,234216272.14,4351384.79,1848725.4,463492,48318.21,4117045.71,1878046,35216328.64,52260409.74,19179203.68,3597,990138.8,939966.71,3116363.39,954189.22,0,0,13325874.66,955935.08,2240959.72,18853.14,164408951.52,37366.88,276335.05,183757.18,47038790.26,25313,800656.32,125883402.2,2889427,6535529,0,17105155.03,1131578.74,1009222.49,0,0,0,0,73254.37,74558118.83,440771.31,8606236,0,0,21611124,3904670,78266497.85,0,130581,0,5842,40218,61614,0,2859915,0,61472425,2710,0,2048362,0,0,101584,148734177,0,766533,61276463,1121,0,49469469,87528770,0,0,0,78673840,0,0,577955135,0,0,0,0,3945626,0,0,0,272161,8234848,0,0,0,0,0,0,0,0,0,0,0,0,0
"MWI",717593.81,1485397.14,11561766.56,5262575.86,0,0,5157194.48,31115.03,1151755.39,5670578.3,493931.24,7524734.42,9843,427065.37,0,4629,15544502.35,48245371.93,6341333.95,0,24300,15700236.56,0,7030,529587.04,177552.92,16639821.99,46346590.19,0,6768823.45,860181,0,189625.91,0,0,789993.27,734794,2592261.26,1556841.73,485634.64,92294,4447354.69,80745.61,39033463.07,12219,1421650.11,0,30885.74,960765.86,5036670.17,0,4139452.09,16930,43176227.36,313087.23,1042946.58,2170649.87,0,53793.4,6216528,17884564.93,16436600.33,0,2528293.25,39003189.69,1101348.85,0,804341,0,10861,0,136159,188486.1,541394.01,25726.08,18863755.38,6698481.71,1267486,0,144750471.39,0,61241,80632590.8299999,0,0,695352.96,3690.21,5782.89,667974.55,89208.24,0,67267.38,1094204.58,0,19995,5769519.79,23494,2040717.2,6726580.22,0,473757.06,1316934.12,0,2091976.47,304002.66,0,28220537.24,94690.58,0,925796,0,0,579283.96,2288865.53,0,0,523574.12,362275.2,12723998.42,0,94526,0,0,1222752.25,0,14792522.37,31514,218722,0,468730,15415675,0,0,0,0,0,0,0,0,88157,0,196303,37761,0,6343,0,0,1223219,0,22125,0,292866,0,0,62722,2859,0,0,0,34134,46612,0,597387,0,0,0,0,0,15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RWA",688717.97,1896413.04,255385,11040,0,0,0,0,681376.18,977781.71,0,10839015.87,3022,3874,579761.17,191443,26353,17869455.22,530626.48,0,0,1298486.34,1360943,297533.04,158057.03,2012,3548418.63,15962928.03,0,80425,0,0,10927947.74,0,0,567706.36,0,222055.45,63415.92,0,35925,920204.68,1497,371375.14,0,13339,77000,0,0,0,1632,4934538.32,0,5079524.91,13814,12282.92,7371037.36,144958,0,15557,73590.47,1160,0,2295096.61,1430572.49,152180.2,227401,0,0,0,0,0,1205839.16,3211202,0,55791.59,257517.8,0,0,8270704.87,0,110649,1986033.9,0,28311.23,1693417.72,0,0,2501,0,0,13310,0,51024,0,0,3671.82,5024375,30864112.37,0,0,425409.72,0,0,0,17041,171126,0,0,27162.35,845677,0,235208,0,0,0,135216.75,1867310.5,119630,0,0,8267,0,0,0,4632,198797,0,0,288579,0,0,0,25310,0,0,0,0,1410,1506,0,0,0,0,0,0,0,2164766,9769,0,0,3761516,1601,1015,0,0,0,0,0,1081,0,0,3705,0,0,0,0,2385,0,0,92239,0,0,31826,0,0,0,0,0,0,0,0,34563,0,0,0
"TGO",697515.38,0,1688040.14,697610.45,0,0,7672725.85,1082.05,448077.4,1844824.38,0,26754292.73,0,22596,0,945492,98276.79,29203878.26,12532449.08,0,0,12530329.52,7020,375621,4508380.78,0,19370600.83,2248062.16,76976054.51,53732,0,0,3217405.32,15075,0,1000,1319714,67317905.59,1580144.69,0,0,10071467.69,1462.1,110275,21389.92,832810.64,1525552.9,0,4453.79,147595.58,0,1545229.27,0,16377271.36,343863.64,6882369.19,8219149.74,0,0,5960,4400228.66,1551648.85,0,575475,24418,16127,0,483633,0,0,1043.28,0,1875,8397711.06,0,2151100.03,67537,0,1302153.76,8811410.21,25443,4984857.24,995980,0,123889738.25,445422.15,14075.4,7472.92,41223.14,0,0,343277.57,1821934.67,2248931.99,0,117746.23,68116,0,11117,0,5467.94,9739838.7,0,0,0,96809702.88,0,5771,2398,37265937.91,0,0,3550219.98,302312.46,0,0,2342636.18,1135,0,0,0,6852427.68,0,34253,0,2718,9461,0,0,926299,0,205168.84,0,37030,0,0,0,0,3557,925812,0,26448,0,0,1608,0,0,0,41605110,0,29029,183331,0,0,0,57960,0,0,0,373532,6178,0,14668388,0,0,0,0,2156390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZMB",16968335.13,88235,1913654.15,719671.86,0,27750,1687175,0,656863.79,519489834.56,5002.22,259840925.62,1796,0,0,0,96460.9,23098269.08,1525736.03,0,0,16046533.56,0,528493.28,2813096.3,0,61567993.36,200789176.64,11436,43753.46,0,0,4305093.35,25059,0,2927.99,104833,43992559.96,189030.07,292042,2354682.91,41970778.48,27630,89013771.31,0,251148569.3,1000,0,0,63797.9,0,35678809,1036.44,64094732,747736.82,157501.43,21688302.93,0,10513,32108,1669086.52,14338937.05,0,15670.1,1790757.59,158777411.84,0,9170875.42,0,0,4389,327045,1018956.42,96065936.2,0,513882.31,88916538.31,0,0,44961348.72,0,1853770.61,277999674.65,0,0,11375729.62,215273.89,1606,0,8793.85,0,3548,13764,4167,1973,112529.6,4336.63,198636.05,11600186.61,0,0,26242.42,0,2995,97736.61,9534,2388804.11,8629955.12,0,77259,0,0,45874,1011,0,0,0,854678.32,789183451.41,0,7807.5,0,66860315.55,546280.9,0,0,555879,2019,0,0,95437,1774,0,0,0,0,3484,2483,7267,0,0,0,0,0,0,0,0,15210,1183,0,0,97318209,0,0,75921,0,0,0,0,13758,0,0,20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906419,0,0,0,0,0,0,0
"AGO",23017228.29,0,34845.58,52721.68,0,8788.64,114500.9,0,247850409.1,38736.71,1082139785.2,5938397484.51,0,53063.93,0,0,25931.4,67423778.86,8884,0,23640993.83,613047007.78,0,5453,10498,0,1584344732.6,14506071.37,2565.86,0,0,0,87883657.59,1449563,0,1000,0,2534706.07,17270,0,169139.71,75679236.69,0,16771037.34,200784,666818.75,11665.29,0,0,125721,0,4146.77,0,70104595.63,4528601.51,1043,541718.12,0,249046869.46,0,534812.96,28288993.21,0,8790,0,0,0,41608276.38,0,0,6605,139644.07,5274027,103125868.44,0,8348624.7,0,0,38537495.39,7982673325.15,0,864338.52,300042088.02,0,0,0,0,0,0,0,0,0,32510,543971.68,0,1445,0,3417,135004,0,0,293605.36,0,0,0,0,14004.54,0,0,0,0,11798,0,8656.15,0,0,1154,0,38846,0,0,491769.74,1190,0,0,4880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASM",0,0,2389964.56,2246,0,0,4996,45179.09,544485.93,0,0,0,0,17876,0,7030,281769.24,101596.18,593220.48,0,72544.32,1410,0,20312,1278,144859.94,146753.38,63345,78865.51,0,0,3927,0,0,0,0,0,194548.95,701885,0,0,2908,0,1660245.82,125604.42,189261.09,5756.13,0,0,0,0,0,0,79904.73,0,1003009.13,75595,0,0,0,117449.22,0,0,0,0,0,0,0,0,0,87067.66,47494.48,21162.54,176133.22,0,94020.47,4518,0,0,0,0,0,188721,0,0,1010573.31,0,0,5645,0,0,0,0,0,0,0,0,0,280556.2,0,0,0,22927.72,41669.61,0,0,0,0,0,0,0,0,0,0,0,0,0,41061.64,16057.85,36640.79,0,0,0,42614.63,1320,5902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATA",0,0,17326.51,0,0,0,0,0,521125,0,0,0,0,13539,0,0,16475,1067000,3077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2859,0,5740,0,0,0,0,0,0,0,0,0,3425,2097,0,0,0,3420,0,0,0,0,0,0,28926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307.75,0,0,0,0,0,0,0,0,0,0,0,2064.5,0,0,0,0,6262.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",26452120.99,157793.29,3374359.08,782300.57,0,1070,59965757.09,0,835271.92,807107.28,58254564.58,2066078920.11,12912,0,0,0,814849.84,66291144.81,1628000.12,0,20728785.55,30352150.24,9571,30534,94495.71,0,160434494.73,7857903.21,57836298.15,2264587.51,0,0,6050686.91,373316,0,51935.21,0,38379012.5,1038297.55,26929.94,97247.25,30088363.01,0,1860066.24,0,377755686.75,223920.82,0,148629.59,2111600.02,0,0,0,4165460.58,20444243.8,145316.92,73181.48,0,0,0,1188504.99,16692868.65,0,195965.04,434529.38,523913.45,0,0,0,0,57864.42,684925.2,409625.94,24719994.39,260199057.46,12623926.41,27709,0,0,1534826828.34,0,634060.43,20866389,5688,1416,237594.81,1867389,66237,25886.67,0,0,29043938.84,409817,9732749.58,0,182329.88,327895.35,0,0,0,583311.71,4875970.92,0,101230,0,3891.3,35649.74,935017.46,0,198497.01,0,0,13998410.8,225774.48,0,0,1469022.79,1056337.61,11200219.05,0,25279,11053651.96,23390.93,70408,78110.85,0,0,0,0,0,0,1569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EGY",231555008.85,3652540.89,10152398.84,30171692.6,177512.88,72490,29276339.9,109997.94,111170088.28,28763913.56,1665834.5,194278545.76,3213141.38,419564.17,2103353.25,60428427.65,21134561.24,791094088.62,11720201.16,0,907094.97,1205101047.74,1204519.98,48807301.58,15318812.91,16282.96,573305981.49,577561599.6,12809667.72,182220115.06,963532.82,10533.3,135147732.75,277352.58,0,7997896.22,0,211435522.47,26345409.18,10640006.79,46871711.47,1492629049.68,190301.49,102394299.09,1590637.38,184287565.09,289640793.09,1634288.01,2294321.39,123720557.63,112508403.32,34304356.47,6500,402773486.83,23186603.02,1652435.13,118603610.04,36675.35,869560.44,0,24053382.59,33787831.77,76228.47,70035728.97,71920726.27,762058565.87,0,264613216.71,85447.78,0,10653935.76,7713783.5,23977918.81,59174297.67,29470044,250055238.22,15045957.91,0,2814725.82,1999213160.57,0,17430174.48,27671923.39,611432.23,3749208.3,31478553.64,9722340.58,24574605.4,10262677.01,5006377.67,4507,10011546.88,141249587,2058039.51,1725437,12488633.89,888128.13,4790233.46,79626530.59,12917,1173276.79,154983383.21,4008239.38,13149260.74,2626388.09,3854746.23,2234631.85,20140315.84,195727.6,3993185.56,25477070.16,45967752.95,36245846.03,4611649.21,259324250.6,0,66104526.06,14506082.37,0,10307591.49,88355.63,49909257.99,1707711.77,7942085.36,472503.49,6015946.03,0,0,0,0,0,2429914.23,0,0,0,0,0,0,112071.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46972.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",2635891.36,0,13794,2295894.28,0,0,0,12549.92,24133995.23,16320522.57,0,4355244.35,956126,0,0,0,895863,74009151.17,24530515.31,0,0,134937725.58,0,145604.35,28768.4,0,141165928.15,27344100.64,190232.43,1221510.89,1808.49,0,3982664.63,71553,0,19812.46,25853,17999751.63,79025941.51,0,540500.5,8483231.49,0,1149182.24,0,157141611.04,83163.97,104952,65760.09,43215,105473,1388,8570,6326505.33,71088.05,5787,1091201.85,0,0,0,2661196.74,2877727.66,0,36469567.57,199813436.01,105474.57,0,178811.37,16348.72,0,23244.65,365905.17,2949.13,700561,0,207863.9,47400,9431786,0,90601190.76,0,1432348.56,2884713.13,28781427.01,141429.88,155872.87,65635.38,0,0,0,0,705273.93,1004523.03,5314,38460,60280.03,285175,0,10917,0,0,7513981.39,0,0,0,27013052.91,0,124902.6,0,23124,0,0,27669594.88,198597.13,0,0,92085.48,7618,0,5599.05,39584,9268643.14,9917,0,41762,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,32419,170968,3318225,0,0,0,0,0,0,16127,0,5579,0,0,0,123172,29413,0,0,0,625955,0,0,2096,0,0,0,0,0,0,0,0,0,572550,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRQ",21886470.87,0,10880.62,702427,5120.26,0,471607715.82,0,899735703.23,8609,6245,377086566.71,0,0,0,7895,3038,488894.22,27593.91,0,0,1117219374.38,2765,1007,166448,0,467945271.11,536122.4,0,32743627.29,0,0,1936,77880,0,1000,0,1828642.9,5633,3085347.19,0,1860356932.65,0,396483350.75,0,611122908.95,3366493.51,0,0,583884.71,0,26912849.12,0,265238018.25,18091,5968,1325214.58,0,10954,0,0,292820687.31,0,80000,9003.93,369393.58,0,0,0,0,0,0,102473,209640296.16,0,420588851.1,0,0,0,8404836434.9,0,117861.25,300704,951465.78,0,51202.08,0,24939,0,0,0,0,0,0,1400,61669,0,0,8848.96,23469.06,4117,57232487.48,0,0,0,0,424542.06,0,4562.93,0,0,35503.9,288621.95,51392,52112241.68,0,89485.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",170486854.55,105777.97,2706524.44,1065695.47,0,0,1877265.53,58220.19,7113555.75,3746158.96,624023.33,73378903.24,98684.52,5754,45571,3797834.28,312016.94,24800993.81,801285.15,0,61061.12,30827522.09,58916.18,35110886.31,3162095.99,0,10452240.83,27824581.34,442132.94,2475942.7,250576.03,0,3120306.58,145137.93,0,2202562.22,0,384894455.06,2623850,42774906.78,36181150.79,27934231.37,71214.37,101073884.91,29592,38416836.43,62304180.56,15154104.89,4059656.7,4933965.35,121048.97,23699737.6,29230,58996026.37,25196.82,1115711.77,36338927.02,0,943429,0,12640957.89,3622652.25,0,2329239.52,3561402.73,263974108.09,0,2554001.57,74656.55,0,1533804.13,339008.19,980419.09,11981020.9,262335.05,24859555.53,1351127.78,0,23060.41,1280134818.2,0,5601547.53,5148984,1879554.11,0,3112636.1,15170295.25,6015207.16,962704.88,75957.62,2637.84,2651.13,72851287,50826.41,163661,645079.73,0,751633.32,1167617.64,14604,43884.58,4571329.85,143736.61,0,38839.67,0,19813,2931044.37,0,0,19256635.11,23075258.88,941283.87,224099.92,104542361.17,0,9520207.48,329598.94,78824,272481.37,355231,21521.5,1272,83863.85,4153,123923.68,0,0,0,0,0,15170.92,0,0,0,0,0,0,2410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",0,0,1031904.4,4174,0,0,0,0,5825,0,0,38381,0,0,0,0,25534.93,47830.73,258168,0,0,0,0,0,0,1087062.51,0,2349.19,0,0,0,0,463067.47,0,0,0,0,0,0,0,66000,8521,0,1186220.12,0,6120,25000,0,0,43167,0,354292.96,0,0,0,29004,0,0,0,36298,4662,0,0,0,0,0,0,0,0,0,0,37494,3215,28839,0,0,41869.53,0,0,1172178.48,0,48571,0,0,0,627193.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6667.43,0,0,0,0,0,0,0,0,0,0,0,0,3416.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KNA",0,0,0,150878,0,1081,49791,69660.89,6497323,22500.64,0,0,9174,0,0,0,309888,1176395.95,505940.25,0,0,241252.16,0,10870.67,0,0,61479.59,4545348.54,0,126681.24,0,0,0,0,0,386000,0,10146.5,0,0,0,75157,4910.81,16151,0,5218,0,0,0,890575,0,0,0,2478.6,0,0,0,0,0,0,22866,2144619.16,0,86311,179707,0,0,0,0,0,0,18391.03,96391.43,0,296085.17,0,15300,0,0,48354149.79,0,0,2535,0,0,0,0,1801,1808,0,0,0,42286,0,0,1363,0,0,0,0,0,0,0,0,1093,0,0,1274,2277,0,0,0,0,70420.25,0,0,0,8856.88,0,23503,175323,0,0,0,1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",262678682.6,17605,46222243.09,431983,0,0,30536304,0,52306541.77,46690766.95,0,938854430.78,0,0,0,13737251.29,581236.22,16796957.79,42476769.59,0,0,53151887.37,1757.8,1386508.01,465465.77,0,936877461.17,565095242.43,154364.55,3381252.17,1172,0,206423560.32,104016,0,1e+05,0,385764044.36,794843.62,61586350.05,0,138731512.25,0,6941217738.81,0,5436874804.24,97629319.84,7381755.51,0,724195.55,40083.37,249285252.51,3500,1642250710.22,1577408,83280405.23,1179107601.33,64627.38,20612371.19,0,420067.99,19478795,0,446676.19,15345,217284693.33,0,3369355614.43,0,0,226778,996885.28,809736.07,282903527.36,0,39672195.1,9562376.95,0,0,4030676669.17,0,332703288.72,49662768,192084.12,0,796262242.55,131752.23,34644595.28,72449.18,0,0,2040.07,8362849,66390.2,31615,254272.42,0,10701,25625315.94,0,0,24685146.42,185087.42,104700,19678.6,28316.93,173886.3,809809.23,1688,754742.71,17251868.23,45716609.1,1508,840395.7,47395065.39,0,14193168.92,3809028.77,77204687.02,4117,0,3871908.66,44072.86,20187.22,9593233.62,7561.03,0,0,0,0,0,9489.25,0,0,0,0,0,0,3681.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31340.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBY",65758164.21,0,29283213.7,127011921.99,0,0,31912321.04,0,70360845.71,989127203.29,0,851215657.65,4249091.48,0,0,2353072.45,100813210.02,4483199094.15,11518101.83,0,0,2730731690.27,9323.81,4838.01,14847,0,1803654672.08,560033478.45,138781.77,701591145.66,0,0,162872,94750,0,0,0,7591414.94,1004,16668657.14,0,10230543003.2,0,9519851.76,0,2771044.1,30614202.22,0,0,1273,2833103.78,10491879.11,0,368521029.38,1615,29189163.95,1052395.13,0,0,0,4756933.17,343748537.8,0,64355.81,2908,6278888.25,0,15590,83744,0,0,1004490.38,22643640.45,0,0,1818551658.52,0,0,0,1502213853.06,0,0,17225,0,187278.67,4301,128742.3,0,29400.34,0,0,0,2703611,0,0,47205885.99,0,0,0,0,0,65042718.33,0,0,42543.49,20723,2296,11735,0,784299.58,0,1298.95,2058894.86,96152.42,25550424.89,0,468767318.7,49708.99,0,489338.75,0,7611,55879.12,0,10371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",300602,90590,8145531.16,7947645.21,0,0,8797210.72,14722,30289757.14,3020498.9,236893.34,421834084.95,88606,31351,0,220733.74,8221961.09,165792282.72,18444364.2,2783,8491,16376199.34,1191778.21,16344,4229463.7,8120,75419511.13,110316186.13,0,2045170.47,59432.77,0,300291622.42,0,0,3939742.51,69652,276873.71,6066042.69,0,539677.69,41499887.77,0,31434298.03,2665891.57,7149423.56,424210.85,256587.54,18189,12899739.27,138667.21,17377145.11,25530,34993260.55,11185902.12,3133508.59,313494.72,830384,657102.81,16187572,3140615.01,1775995.95,0,273541,705770.46,1113189.36,0,14991769.39,0,0,2570873.14,963286.6,7534886.06,8281809.99,0,2356102.18,0,0,24454.84,1272947704.82,24485,8401038.38,1748844.27,0,0,1064690.62,253749.76,441565.77,72398,3100,0,0,0,0,0,965743.15,317450.78,19404,353868,0,99088.99,34164,4817,0,5697,0,13503.39,321474.02,129937,0,0,375171,0,206213,0,46853,9094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4724,0,442545,0,0,29656,0,0,0,28599,0,0,0,34932,0,0,0,0,30601,0,0,0,0,0,0,0,29835,0,0,0,0,0,0,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393462,0,0,0,0
