"","AUS","AUT","BEL","BGR","BHR","BMU","BRA","CAN","CHE","CHN","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GRC","GTM","HKG","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JPN","KEN","KOR","KWT","LBN","LKA","MAR","MLI","MRT","MYS","NER","NLD","NOR","NZL","PAK","PHL","POL","PRT","ROU","SAU","SGP","SUN","SWE","SYR","THA","TUR","TZA","USA","VEN","YUG","ZMB","ARG","CHL","COD","COG","COL","LBR","MLT","MUS","MWI","NGA","PAN","SEN","TTO","ETH","HND","LBY","NIC","PER","JOR","SDN","AGO","BDI","BFA","BGD","BHS","BLZ","BOL","BRB","CIV","CMR","CRI","CYP","DDR","DJI","DOM","DZA","ECU","GHA","GIB","GIN","GLP","GMB","GUF","GUY","HTI","JAM","KHM","KIR","KNA","MDG","MEX","MOZ","NCL","PNG","PRY","QAT","SLE","SLV","SUR","TUN","UGA","URY","VNM","ZAF","AFG","ALB","ARE","BEN","CAF","CUB","FJI","FLK","GAB","LAO","MAC","MMR","MNG","NPL","OMN","PRK","RWA","SOM","SYC","TCD","TGO","WSM","YMD","ZWE","GNB","SPM","GNQ","SHN","GRL"
"OMN",0,25000,11513000,0,462000,0,0,0,0,0,0,1812000,41497000,33000,0,0,67693000,7228000,0,0,0,0,0,528000,0,4092000,424000,0,0,589000,128705000,0,0,270000,0,0,0,0,0,0,0,22440000,0,0,25000,0,0,0,0,0,0,0,32778000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237000,0,0,0,0,0,0,0,0,0,0,0
"PRK",51000,161000,3537000,0,116000,2000,0,5000,1128000,0,0,9448000,45000,1151000,268000,6000,8377000,587000,57000,0,2841000,0,1238000,2938000,107000,0,1787000,0,0,4989000,38310000,2000,0,478000,44000,0,0,2000,0,0,0,2345000,121000,0,1369000,0,0,0,0,0,1786000,0,26000,0,0,0,0,0,57000,0,12000,0,30000,34000,287000,2000,0,7000,0,0,0,0,0,0,0,0,0,0,9000,19000,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,9000,29000,0,0,0,0,0,0,0,0,8e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460000,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0
"RWA",0,9000,5539000,0,0,0,0,0,20000,0,0,1048000,3000,0,0,0,1081000,1283000,0,0,3000,0,0,0,18000,4000,0,0,57000,439000,56000,2000,0,0,0,0,0,0,0,0,0,80000,0,11000,0,0,0,0,0,0,0,0,340000,0,0,0,0,0,0,0,0,0,0,41000,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOM",0,2000,966000,8000,451000,0,0,1000,1000,470000,0,1181000,0,1092000,260000,0,621000,160000,968000,1000,5000,0,0,5000,0,893000,414000,0,2000,13245000,330000,208000,0,4467000,82000,471000,0,0,0,0,0,82000,0,0,147000,0,0,1000,1000,22922000,0,2776000,3000,0,4000,32000,65000,42000,5000,0,8000,0,0,2000,0,0,0,0,0,0,59000,0,1000,44000,11000,0,21000,0,0,170000,10000,0,0,0,0,0,0,0,0,0,0,0,0,1066000,409000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2933000,0,0,0,0,0,0,0,2161000,0,0,0,0,0,0
"SYC",6000,0,1000,0,0,0,72000,5910000,0,0,0,9000,2000,0,0,0,84000,233000,0,0,11000,0,0,295000,7000,0,0,0,0,16000,0,160000,0,0,0,0,0,0,0,0,0,58000,5000,0,12000,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,1930000,0,0,0,0,0,0,0,0,4509000,154000,0,304000,0,13457000,28000,9000,0,0,0,0,0,0,0,0,0,0,1175000,2671000,0,0,0,6000,0,1000,1000,31000,0,2000,5000,0,0,0,0,0,1952000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,2019000,90000,0,0,0,0,0,1932000,0,11000,0,0,0,1759000,0,0,0,116000,0,0,0,0,0,0,0,0,35000,692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,648000,0,0,0,272000,0,0,0,0,0,0,0,0,2000,0,0,1000,0,0,0,0,0,0,0,0
"TGO",0,109000,3868000,0,0,0,0,2000,198000,0,0,11999000,586000,320000,4000,4000,21771000,66000,124000,0,0,0,0,0,1000,0,0,0,8000,1071000,1846000,1000,0,0,229000,0,15000,140000,11000,0,36000,15775000,0,0,0,0,0,0,0,0,0,4004000,0,0,0,0,0,26000,0,0,0,0,0,30000,1000,0,0,0,0,0,11000,0,2000,0,0,0,0,0,0,0,0,0,0,69000,0,0,0,0,0,34000,6000,0,0,0,0,0,0,0,899000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,1312000,7000,0,0,0,52000,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0
"WSM",31000,0,70000,0,0,2000,0,1000,227000,0,0,1153000,148000,0,0,162000,84000,309000,0,0,2000,0,0,0,356000,0,0,0,0,8000,261000,0,31000,0,0,0,0,0,0,0,0,62000,80000,1883000,0,0,0,0,0,0,0,0,0,0,0,0,0,823000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YMD",2569000,0,1762000,0,2000,0,0,609000,5000,0,0,723000,65000,55000,3000,0,62000,4547000,12000,0,51000,0,0,2315000,980000,18000,1000,0,0,570000,7293000,32000,704000,16000,0,71000,0,0,0,18000,0,436000,356000,20000,11000,0,0,0,0,0,1690000,0,0,0,20000,0,50000,0,1000,0,0,0,0,5519000,0,0,0,49000,2000,0,0,0,0,7000,1019000,0,40000,0,0,60000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319000,0,0,0,0,0,0,0,0,0,0,0
"ZWE",3000,0,10000,0,0,0,0,5000,4580000,0,0,22000,0,3000,0,0,906000,222000,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,16174000,0,0,17178000,0,0,0,0,0,21161000,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNB",0,539000,143000,0,9000,0,0,0,0,0,0,694000,0,0,0,0,133000,44000,32000,0,0,0,0,0,244000,0,0,0,2516000,136000,10000,0,0,0,0,0,0,0,0,0,3000,1765000,0,0,2000,3000,0,6965000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,102000,0,0,0,0,1000,0,6000,0,0,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151000,0,0,0,0,0,0,0,0,0
"SPM",0,0,1000,0,0,0,0,65000,0,0,0,4000,0,0,0,11000,136000,11000,0,0,0,0,0,0,0,0,0,0,0,327000,115000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,128000,0,1000,0,0,0,0,0,0,0,9000,0,22063000,0,7000,0,1000,0,0,0,0,258000,0,0,0,0,1000,84000,8000,0,0,0,0,0,0,0,0,0,0,399000,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHN",0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,99000,9000,81000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,778000,0,0,0,0,0,0,0,0,0,1000,0,0,114000,0,83000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
