"","ARG","AUT","BHS","BOL","BRA","CAN","CHE","CHL","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","ECU","ESP","EST","FIN","FRA","GBR","GRC","GTM","HKG","HND","IND","IRL","ISR","ITA","JAM","KEN","KHM","KOR","LBN","LKA","MAC","MEX","MNG","MYS","NLD","NOR","NZL","PAK","PAN","PER","POL","PRT","PRY","ROU","RUS","SLV","SVK","SVN","SWE","THA","TTO","TUR","URY","USA","ZAF","ZMB","ALB","AUS","AZE","BFA","BGD","BGR","BHR","BIH","BLR","DZA","ETH","FJI","GAB","HRV","HUN","IRN","JOR","JPN","KAZ","KGZ","LTU","LVA","MAR","MDG","MKD","MLI","MLT","MOZ","MUS","NCL","NIC","OMN","SAU","SEN","SGP","TGO","TLS","TUN","UGA","ZWE","CIV","MDA","MWI","NER","VNM","AFG","ARE","CMR","EGY","GEO","GHA","GIB","IDN","ISL","KIR","KWT","LBR","LBY","MMR","PHL","PNG","PRK","QAT","SDN","SLE","SYC","SYR","TKL","TKM","TZA","UKR","VEN","YUG","ARM","ABW","AGO","BDI","BEN","BLZ","BRB","CAF","COD","COG","DJI","DOM","ERI","GIN","GMB","GNB","GNQ","GRL","GUY","HTI","IRQ","KNA","LAO","MHL","MNP","MRT","NGA","NPL","PSE","RWA","SOM","SUR","TCD","TJK","UZB","ASM","ATA","BMU","FLK","FSM","GUM","PLW","SHN","SPM","WSM","ATF","SGS","SMR","VAT","HMD","UMI"
"ETH",0,1627747.83,0,0,808255.72,4856676.62,59319456.39,0,16371435.07,25439,0,0,101159.79,1276801.67,100627441.71,2501982.24,0,4531039.13,850107.37,2949639.25,19884337.78,24003140.05,4650221.92,137558.05,2095286.11,119139,8063118.82,237036.96,23734302.13,48932152.05,0,2368138.73,0,1483855.14,306208.92,24402.87,109435,674352.47,0,2038001.36,19758356.4,2198011.24,353213.08,4059088.94,0,60481,2163444.07,10769600.35,0,2405802.91,1507681.71,0,771533.78,460104.58,7363922.03,1412165.17,1611.53,20588027.36,0,47148340.79,5366504.68,192005.35,120483,1936339.11,0,0,870227.36,527093.92,5439.43,22786.58,15626.83,1252364.73,0,2457,0,115432.54,1260879.09,506304,4888475.98,77055163.62,2415.97,0,46012.75,0,1686967.92,554626,23094.07,10385,1309,69900,34462.91,47437.94,0,6749.35,49236668.62,32781,1793588.91,4281,0,512649.85,312307.23,244066.05,606028,0,81034.72,134765,54023.87,0,11864175,4144,2383414,1054,8665,0,2710287,55193.77,0,35013,0,191447,81909,7069,5209,29993,42120,12240392,490736,0,343902,73820,0,986555,287442,0,201583,0,0,56455,0,0,0,0,0,0,403428,26653502,0,0,0,4478,0,0,0,0,0,193210,0,0,0,0,0,25269,55163,0,0,17991740,0,24586,0,0,34876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,74484.35,0,0,12177.26,5011350.46,84148.68,5170,5640594.95,52514.08,0,4937,0,71804.63,3464379.81,58500,0,103803.8,159442.8,9823.78,216546.7,105036570.38,37875,0,10055420.75,202961.73,1190621.54,36815.47,0,643592.72,22588.73,0,0,921725.33,0,369570.6,0,145204.42,0,83710.29,1720319.52,78878,37072496.9,1264,0,20612,16500.51,4293880.64,0,0,49975.4,0,3047.8,81904.49,73171.09,74232.98,0,4279,53588,304824580.36,1614491.8,0,0,190499560.32,0,0,0,0,0,8863.27,0,9342,36794.79,0,0,8643,19947,100452,0,52344674.47,0,0,0,0,0,40134,0,0,0,67013,150406.55,2568503.71,0,0,866087.39,0,4765830.13,18543,144796,0,0,0,87882,0,0,0,35090.95,0,0,0,0,0,0,0,619671,3474,6653868,0,1705,0,0,656610,2955709.76,82506,0,0,6968,0,0,0,0,0,20721,0,0,0,0,0,0,0,0,0,0,0,0,0,95809,0,0,0,0,0,0,0,0,0,0,21736,359006,29557,0,0,0,0,0,0,8242,3242,0,0,0,0,0,0,203616,0,61790,0,0,11311506,75526,0,0,0,0,14133382
"GAB",0,736580.13,0,0,0,646942.96,61151357.53,59150790.67,284218723.27,575518.63,1035,0,496422.94,140418.51,14892436.54,1608181.14,0,70525825.28,0,5437.02,233838992.02,7662480.11,14694316.24,3823.58,1459011.34,194834,57676699.37,2229501.79,1327448.4,83175281.62,0,93144.6,239848,36686615.94,30852.96,185805,0,2413884.39,0,76042,13940707.91,33715305.95,110186.71,26171,0,0,1843985.81,89977416.3,0,932382.47,6763.27,0,140247.8,173568.1,130194.8,39719838.41,68753677.62,15349047.17,0,2258468358.45,28137738.77,1127,2030.86,136287.64,0,59360.49,47320.37,1665.77,0,1337.58,0,2161836.17,14971.87,0,0,122364.41,78235.54,0,1516,6897953.89,0,0,27972.25,0,37373217.25,37128,0,55643,1497,0,0,7691.89,0,51370,85997.68,2706279.78,3499876.05,958299.71,0,3454118.21,12354,0,5546447.17,0,25829,27489.52,0,0,431623,4723521,19236,6577,39781,0,83561,117021003,0,63910,0,0,0,0,0,1379441,551539,12280,0,0,0,0,0,24208,29072454,4716,0,0,0,3069044,0,413955,0,0,1113449,14666147,4150453,0,34255,0,7019772,1236392,0,13716336,0,0,0,0,0,0,0,0,1560310,2773004,0,0,0,0,0,9324441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",498123.57,777254856.47,71712,36219,1671130.26,19880347.82,74920975.4999999,1411276.04,21272350.96,699941.4,308902.05,656153.37,154482619.03,68659891.66,903938866.79,22456070.21,2123169,43695806.23,4524018.89,11849868.53,189726821.53,113735570.48,87335775.13,0,3267573.88,493835.91,2709651.02,30258373.61,7171056.48,2002688503.74,42779,339492.27,27137,6670369.67,2025567.34,1707589.77,204807,7445219.96,0,1730654.58,79323565.22,9954028.8,3622238.02,2103664.19,668277,959945.42,58754451.01,2416363.91,1686,72988134.08,132565008.94,0,34491418.69,616282235.590001,121880028.64,2237467.89,26838,75953877.55,51019.92,256084936.65,2977786.39,0,39560267.89,15909511.3,871377.52,54388,2382035.87,30014958.83,3550741.81,1102672105.45,11265221,8162300.06,1808539.04,2482.92,40510.57,0,125428788.66,14353641.73,945702.78,65559668.38,8705973.61,66380,7813236.55,5143901.37,20381831.64,0,74363244.24,152339.65,62783953.29,3535,190854.59,78587.67,37110,323222.26,30114315.93,8383,4729537.54,0,0,983621.96,579151.63,37117,718871,8133510.64,0,0,4942558.17,124147,56837233,36461,16226912,1490386,245048,24030743,1194443,802961.61,0,5765710,232452311,9441583,0,346307,10900.96,1010300,552666,5579687,58829,7269,5430931,0,12740,67952,12948593,495779,293881086,162149.46,0,1792484,0,0,100231,0,1656,0,42455,0,81662,292063,10181,32621,583852,0,0,0,0,10582132,0,0,0,0,470228,33137317,215801,0,60447,0,48485,0,0,1118023,0,0,1221,0,0,0,0,0,0,0,1914,0,0,0,0,0
"HUN",22200647.27,3721109844.79,252238.75,450481.06,133753566.6,144030324.9,651214127.87,12177292.66,422277373.75,19509886.01,1194999.92,1180188.12,23275849.59,1379836416.07,16150845799.16,349411287.44,14919427.79,1637980154.98,114925847.89,714886527.360001,2857629628.29,2897412244.59,284399836.1,505084.23,110134089.41,1400004.88,44153370.75,267168664.22,180423815.85,2963377974.52,2773747.21,3808774.71,46746.68,128488874.06,32460180.98,1627885.37,602659.3,187652031.32,7546938.47,42685540.04,1819025169.56,296540979.17,19911984.16,40413755.46,719000,5616761.26,1676108753.97,184976612.11,1046198.63,1211476971.79,914718464.540001,48550.42,1056731090.29,553010627.880001,904956887.29,35720506.4,1014627.11,658467839.68,1279134.95,2447962086.25,239551234.44,190918.93,18873986.55,110083835.05,9845416.04,161884.93,4147883.32,216180271.55,7097514.91,235742631.25,59576556.11,38579222.74,3123845.56,30935,724685.84,554030462.73,0,31229439.47,60955830.27,407527907.98,66617804.82,3154851,107290658.82,66167469.25,31551406.62,1192931.27,45371201.2099999,229699.38,6628531.13,257487.58,9680340.53,2360287.14,2210825.83,9549295.05,150848494.93,2412123.03,140362475.67,421426.8,0,32870136.98,1254730.85,481006.18,4918871.53,28500452.4,174195.05,124363.35,20415100.25,3314000,589997000,1132000,61338000,10369000,4508000,341000,11040000,20180033.71,0,40138000,45000,2987000,169000,23550000,0,370000,8978000,190000,256000,3381000,21308000,0,2009000,95000,613132000,3918000,506433000,4833948.27,0,1016000,0,301000,521000,24000,47000,405000,72000,5000,696000,19000,57000,41000,0,34000,0,0,165000,14142000,31000,19000,174000,0,356000,5991000,158000,0,5000,0,33000,0,1099000,15295000,7000,0,5731000,0,0,0,0,0,0,0,0,1000,1107000,0,0,0
"IRN",1455420.44,69032065.29,3218,13550.11,4872467.05,81298760.3,140042744.48,1015745.27,3979985536.48,823488.28,10702.19,3102940.1,3516111.89,12524588.51,470988431.34,13425480.35,75927.16,1018081366.85,1646467.7,3141748.83,1744818167.55,87345556.4,1302946297.09,186206.15,122427661.49,120674.39,583063593.14,5349483.87,46853.93,2789867741.94,133120.07,25502020.93,435518.97,2236908393.38,64678927.14,416377081.14,199307.07,5766553.1,13651.5,231321328.54,676451550.68,8547643.95,26849483.96,283811524.89,220937,986304.85,17429848.37,134862080.46,11224,12198896.42,135358252.88,0,16995306.76,2306706.58,415190542.18,61853576.4,254217.44,1392038229.62,102970963.05,154409892.74,2373201848.85,894721.62,1939560.76,42366423.67,216165411.36,1297885.56,93293133.17,3212969.49,24028997.11,1580873.09,3477007.01,9610481.85,12092532.69,3892595.36,292128.19,3070792.29,6972954.81,0,11476955.48,8407102014.85,28125582.91,15543422.33,3473881.54,1515442.39,252055868.53,8475508.81,1943251.56,535402.41,279468.23,1043225.25,6463490.36,42587.93,93383,45066958.17,259225813.13,1797764.27,969893243.31,711653.3,0,1274262.41,2874125.14,38438990,905629.42,1359173.94,29640.73,2818354.69,38260652.63,232505983,1061342375,660084,16564661,36260749,1090239,0,60821574,294199.67,0,168851820,37470,3608104,4241384,4606014,55519.71,0,23314211,25552928,752606,12012,113682593,0,98788621,3899468,26528483,8400699,1756739,106530893.94,0,348923,597708,85528,0,10500,59537,0,359472,2970913,16792,1362963,321134,76175,0,0,0,0,17600,473976803,0,0,0,0,104319,7379364,120137,0,14427,99097,0,12464,71701167,73921674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",31619,1000494.05,0,2652.28,1069886,6214494.35,51957481.64,512591.71,119813428.04,101164.03,77635.97,249747,3607067.98,466755.5,56967646.12,581503.04,46880,32958246.62,6450,9811283.15,14619778.27,31544362.74,4399486.71,311008.87,6124465.13,127894.59,332555911.4,3605073.23,93888160.5399999,38464658.42,134259,25905609.74,85514.38,31711556.33,65840553.7,8971478.99,3261.79,2431581.71,1094.56,62294813.99,49118681.45,147876.68,389685.99,41013970.94,152278,1820179.75,16201192.37,8204289.65,0,2083576.6,1637911.11,60761.24,1285982.59,603360.77,1571158.88,15125021.99,143731.45,22660560.25,27100,1353178007.64,10461840.01,1554888.24,339777.69,3022804.25,1497032.72,2276,8587964.92,29605806,11718903.73,5093088.77,82600,85330774.25,148952906.82,0,68621.37,537272.96,427265.09,102555075.76,0,96409973.6,1324611.74,59930,4892337.15,0,3431704.16,2152,1209393.71,0,389301.34,1238918,2688613.16,0,27276.82,11277960.82,268479967.53,711061.3,16614039.34,45225,0,11671937.76,278708.53,59808.45,87702.83,65058.58,2797777,109295,12058193.34,950050,125339802,4715,31188507,0,994779,0,34560071,3069.67,0,53997992,63633,27858230,0,7721137,79285.91,232320,23576839,35312475,9449,0,152519967,0,0,5504761,6290324,99047,556245,5012.02,0,162303,0,45000,0,0,0,0,22551,123379,414424,650486,0,7259,3952,0,0,0,8462,732678464,0,0,0,0,0,734922,6070,32265007,19599,953890,0,64536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",612713386.29,2183551025.48,422362757.74,96483244.82,2827468177.94,9854269834.34001,2471295734.68,986146902.96,79229068773.66,739578685.42,503866389.15,155228388.39,559237103.5,2092992960.07,22926938595.51,668175305.819999,352951759.01,6685252852.6,330486314.58,1880150348.63,11951355264.36,14970802590.11,1533952390.81,291218312.05,33225824383.71,91352410.01,3111659100.96,2203236750.33,1231859941.55,6997520597.79,176496403.47,294251061.54,93131712.83,42810850352.61,335913302.37,417309758.07,257254053.7,8840322999.37001,95264281.71,13753670093.87,9801519276.67,1592756775.66,2530028901.5,1266600383.64,6060960083,354867744.39,1544363001.97,960187875.79,91576306.11,416898516.73,3534126472,134637201.3,432277554.43,240692572.44,2130005313.17,20706375457.03,194048386.64,2595901867.61,48526017.07,125358754825.65,2122904494.88,32869754.41,11174022.85,12188372340.9,128979314.15,11873894.01,978065097.01,179230709.22,422664809.79,33180327.86,41806199.85,610774294.84,163674775.32,63461948.32,32063464.94,266031037.25,1815349348.63,1179959678.92,259597736.29,0,363588410.95,9473159.7,54970312.16,19395614.29,345671844.48,50877078.53,23735699.7,21396969.98,114164839.77,30361078.84,112835652.6,50600504.68,93978733.44,1257730453.02,4047704730.25,68914652.28,17763845037.46,21856722.11,1663959.54,219382160.74,114688658.9,20257536.04,98110304.23,16164455.42,36494582.45,23913422.51,3380343234.03,65627541,4469795375,19686732,741247363,9763043,92936721,83204519,8762677129,140675655.82,5648604,927126136,924604950,178959300,103611039,8920880593,85459112.16,84971976,587972631,122522573,3630761,4322572,226622948,5549,51490074,77243297,255481648,492009722,11311829,1860039.32,0,301939235,8433061,11881965,20610104,55945421,2044620,9382030,9439759,29619081,150927652,4963366,14344832,2169898,224046,7746017,258704,16155530,35779199,70249104,6837171,10504000,264711538,44938383,27914159,380925948,22565067,0,3512986,176910,44427883,497313,447720,46955802,0,0,972874866,29242,11000019,0,8059613,0,1951,19131460,0,0,0,0,0,145011734
"KAZ",14878848.16,505368291.8,29530861,0,4694508.13,265690647.56,398984856.54,1912392.16,2019388748.85,2012324.61,1692,7632648.89,139347390,83058662.27,393162099.12,34085461.02,5888865.47,374168878.33,47958764.01,176190512.88,1508501789.15,258997326.28,124682932.43,1090347,209570,258579,15754772.01,1802279.58,322747642.27,2504092749.34,95600,102101,9379,197961812.18,29735596.1,217900,0,3449223.13,30505856.69,6496930.84,471727430.42,5551339.15,1102040.4,992820.94,647490,35056.82,234393255.13,324090221.64,0,146294048.88,2857602916.97,4456974.7,105610555,8789462.42,20248179.38,55768720.95,0,296534235.21,0,444521406.45,27731,0,28845.31,2724907.51,286831453.72,447920,4156821.69,13834176.84,15896.19,80519.96,19144749.51,12772,1140769,0,0,101830531.16,42711283.84,785389793.6,26862490.97,74991261.73,0,223332508.24,18725547.12,36247045.38,1653142.01,0,3440876.13,0,0,0,0,2318,402768.5,5766,139314285.52,176763.89,705251.12,604530,0,7038428.9,96425,0,123757.5,46178697.78,0,0,58365591.17,86356579,31762037,7588,8976906,31848588,2015463,69301315,7042011,32454,0,248548,0,176724,0,24388742,0,0,0,5225,0,66220,9115824,0,26045731,62326,277745100,119075,105064,13616347.28,0,14545,0,0,0,0,0,0,21541,0,3423509,0,0,0,0,4635,0,0,0,1200,0,0,0,0,0,1482197,0,0,0,0,0,79140,136099535,201635248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,3115698.79,0,0,0,42833259,101776499.94,0,46773509.57,14325,21369,0,20052,1447791.89,5842601.14,63184,82675,11993072.9,1174482.98,385973,1957711.64,1414372,128851.81,0,4234,0,860405.98,312262,0,1712623.13,0,110215.2,0,3279592.32,281958.33,1404,21937,73931.28,2245580.11,38776.02,1402465.55,86326,1303,7575.77,0,33439,2245177.62,1842588.19,0,2993521.79,140048101.06,0,761333.46,345903.17,611449.17,142273.77,0,21025619.78,0,12446316.41,89389,0,342966.62,171238.75,1828104.08,0,0,2977889.57,0,55681.26,2353035.73,51600,0,0,72000,137656.88,270184.1,8466763.93,21298,504392,89442104.46,0,113802.89,7637327.36,0,0,442910.44,0,0,0,0,0,0,0,6306501,0,0,0,0,41302,0,0,0,489061.72,11847.34,0,148744.07,8009644,189301975,0,0,398649,0,0,0,0,0,0,0,6520,0,39000,0,500238,6502,0,0,0,607128,0,4033261,0,4240635,0,153587,856513.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254684,0,0,0,0,0,0,0,0,0,0,0,0,22031353,14675588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTU",152508.31,40994433.5,3465111,17130.6,651770.62,118640715.16,430219806.93,314232.32,19296013.19,1161487.21,87207.66,59884,8200623.54,52408993.24,903421211.84,442717984.15,10897773.96,156224398.92,387391734.76,87599288.22,720372310.770001,514583877.94,28797302.65,19403,4538486.25,28251.29,24449899.74,41652430.4,5311605.53,201423664.02,9641.68,30004.06,0,20596483.82,1421678.27,389816,45874.06,8148925.4,705015.28,8297790.6,373325010.28,252581984.27,932812.41,17790817.98,5978338,11199554.77,474040054.45,44324484.57,26909,15890617.96,769393828.61,2400,15403077.77,4563804.8,558049636.59,1274658.5,0,166504099.2,300734.91,520957868.48,2262082.7,26089,8139,9407010.92,7039492.44,422783,603176.19,14625543.18,122764,1519002.7,261903930.62,3879915.67,0,0,13855,9653842.85,51667752.56,1399110.43,270850.59,20568599.79,44274999.35,8245525.7,0,895244350.410002,8096238.54,14445,1230509.3,372651.57,7629859.93,56481,151059.09,70265.68,49751,220124.91,3299587.89,2105471.56,14360255.78,352280,0,826266.01,51873.74,28055,278465.16,11078201.87,144154,10711,1127500.22,251387,1796006,616182,456899,5269909,363477,19368,7027673,29192828.1,0,379683,6657967,105344,0,1426899,41659,2114,55644,0,178537,0,291671,0,1423773,174821,213032886,2837096,5897208,1024281.2,0,779648,0,121768,72963,0,22516,70524,28553,6355,45214,13326,351999,175852,0,3630,1429762,0,0,11544,6395,0,771775,0,289403,57122,42931,13061,0,0,97695,0,11455820,12640540,0,0,1366,0,0,0,0,0,0,0,6106,0,0,0,0,0
"LVA",24565998.38,26449669.34,257018,17637.41,10486976.11,14456701.73,62074975.83,10130687.32,22488877.24,10617246.91,4121939.33,82846,2832399.89,19442317.6,519080730.6,233753672.97,8736250.81,68037412.71,261323249.92,115501056.86,212783349.64,810599505.26,5516960.32,457533.18,2270222.55,0,2803758.73,64927291.65,4836388.52,67955738.1,6143,584270,30661,6181725.68,1048552.38,147308.9,33456,2075400.5,4842072.02,663947.22,123857467.3,153023691.13,906615.75,2064109.04,7908750,17666067.8,171287297.29,41407948.2,174683.82,2911149.55,293121969.98,0,12527186.93,5012817.69,472337597.18,4183873.93,142673.88,3841854.78,2040314.44,313458901.62,929102.3,15949,7050,2178447.2,4958662.82,0,630437.33,3061098.22,31688,161338.84,111880371.42,3295094.73,154967.81,10359,0,1823785.37,16503008.95,19110688,670594.36,42743095.67,34174360.15,1731623.88,464658888.27,0,10739716.08,40979,0,305914.91,901801.5,3678.19,316937,55286.56,1073436.09,354079.22,3191949.3,587802,58799695.11,1330,0,2239323.38,0,33228,1330,7645278.29,0,0,746444.58,274892,1600616,2897,5593269,4240556,25382,667322,596520,63880711.8,0,1383688,910299,152699,0,37981,0,0,114292,6591,0,240577,0,0,331740,109592,71332402,199835,423306,2073741.88,0,0,48429,2603995,212044,21963,0,1629,0,0,31924,33318,0,283464,0,0,0,0,12088,339760,1112329,8430,66030,0,0,3547368,2512,0,0,0,0,0,631202,9447471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAR",4549863.05,91732156.55,13104,67246.68,258524305.84,80711442.41,177057076.67,1656734.02,209214900.16,6180247.74,422482.82,222503.12,3406352.17,28925616.64,505563804.02,5019545.52,505561.79,2221966694.81,2268965.63,27895855.89,3297576082.92,894019746.87,46270880.97,89525,111672689.42,1033831.05,314877541.88,36749572.72,1412181.14,579980394.37,177217.56,1697227.85,107347.87,57229054.31,25171229.25,3273270.68,132299.02,128371840.86,4419.42,6394699.72,291532871.83,46690878.81,81466006.1,92514743.94,3385945,3132328.27,68148452.53,96059335.31,0,29046515.51,90061104.63,889277.57,10382858.33,8291973.47,9613035.67,45529338.96,1304731.04,102619498.95,2570045.6,570356041.74,8692460.81,0,372057,23108002,67485.25,7258515.31,240228.07,13356929.51,1637888.52,872721.14,8236729.65,44515287.82,294265.26,5596,9028410.26,20943877.43,3146457.96,39408961.19,16007681.4,131347301.6,1211648.99,12514.29,14462682.21,238760.03,0,1653328.96,158220.05,14114191.74,3446973.1,574352.25,3467319.44,2030848.71,8902.17,963801.01,68825188.6900001,33377929.16,241053402.02,9691418.04,23047,71423002.72,9769.53,11511.25,28803564.03,61213.33,25289,5696859.07,550413.08,42434,13654850,5987602,23791378,62939,13065421,57813,6136051,1707661.63,0,3570061,3572132,32639224,0,345289,423957.81,0,1288920,126171,2328176,0,29379047,0,0,353627,701825,6200118,128631,55403,0,14823313,0,8312071,0,0,713025,9153717,11094147,104923,1314632,226430,9333722,7124567,251813,11540641,0,18649,521247,418144,0,0,0,0,22243210,20741228,42103,0,93368,0,82483,1424122,0,0,0,0,1016,0,0,0,0,4926,0,0,0,0,0,0,0,0
"MDG",114981.9,3703128.94,13135,2310.33,226786.64,18747508.36,2068492.28,236997.54,13566131.56,8296,22713,0,20225.39,663902.49,83436492.12,3010986.39,99013,21910096.92,214518.51,183708.75,433780189.88,31326815.53,994532.54,0,10681454.3,12478.22,6991105.61,222657.44,279429.78,48710259.28,0,274927.79,41953,1200364.25,206450.52,2168432.61,9674.72,1104921.49,0,2102243.16,11644744.76,939354.76,23858.63,1743581.24,0,0,664400.25,1697995.64,0,146547.13,190322.28,11868,92848.08,159757.45,6231167.66,2913475.1,0,1266092.95,1883,426578073.71,4550294.08,11350,0,396531.88,0,4076,100460.54,242897.62,0,4833.02,97858.41,656537.63,48108,7125.04,0,255878.52,72452.26,1154,270458,25311525.91,9507,2864,0,6623.99,5707032.26,0,7576,0,55440,188228,37286487.3,106507.41,1179.43,0,598212.44,160845.38,27216884.5,90237.37,0,207673.41,0,394594.56,406600.08,0,0,0,336905.44,32925,849607,0,828803,0,28463,0,1177216,34140.61,0,21069,0,0,3158,41711,0,32117,50962,121260,0,662007,55484,0,0,55067,0,0,86004,0,0,0,0,111855,0,0,4619,0,9265,52585,7427,0,11468,0,0,0,0,0,0,7329,0,30900,0,0,0,12492,0,0,18418,0,0,0,0,0,0,0,0,0,0,0,1964,0,0,0,12588,0,0,0,0,0
"MKD",348868.18,13071344.2,0,1152,41569.32,2330493.19,7097773.59,432159.21,2214122.38,23850.68,0,25032,4746433.08,7011187.96,324226717.1,2747756.04,3604,25171461.18,117760.87,774987.59,84412936.87,51709798.95,242370761.16,0,148376.95,21395,175599.14,98497.06,713727.55,167194831.46,1321,12264,0,1954169.99,300415.03,4874,14344,495496.89,0,28353.97,56334434.43,1662230.05,42917.83,415765,0,62118,4027685.45,8405455.81,0,2016173.11,28463464.56,0,4151959.68,33091324.38,6695030.04,11924,0,55398089.44,41721,76465081.64,556988.51,0,27338687.29,2735428.32,281541.16,0,0,55482865.17,147387,36512510.63,786529.71,12743820,0,0,0,106674473.46,2714324.84,632833.67,161233.4,6435896.54,429762.32,1545,613921.18,153355.03,315606.1,0,0,0,338790.41,0,0,1061.5,0,0,827816.42,0,2198014,0,0,146413,0,0,14519.4,142617.69,0,0,0,23957,1480174,0,577772,265230,0,0,1220606,164550,0,22116,0,470171,0,0,0,0,0,0,46812,278659,420315,0,15175,0,2145802,0,347167883,308739.71,0,0,0,0,0,0,0,0,0,0,0,0,1106149,0,0,0,0,0,0,6271,0,10627,0,0,0,934212,2892,0,0,0,0,0,0,134131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLI",19070,488136.86,0,0,728888,904084.77,202544388.98,130981.48,65461986.93,24429.34,0,59983,103478.06,4690010.54,18405782.3,1666773.19,76063,4296996.91,26091.3,254100,15662705.3,1931877.08,232457.44,0,559293.65,280431.81,10665508.31,325358.89,0,24031083.86,0,265301.18,0,2018749.46,248793.16,7842,0,1031959,0,15262518.76,3864571.25,82963.17,2293.16,33495797.81,0,1278,582448.15,1802803.06,0,714721.82,4077532.65,0,18972,1827956.5,57120,25760467.6,5933,459935.68,27238,6151164.82,305430774.7,15112,59398.29,404182.93,0,6079216.24,24190322.39,16394,5355964,426147.28,0,614633,290925.85,15564,218000.27,23646,53995.39,0,0,1674191.26,0,2014,0,20125209,5493967.55,119132.64,5984,0,0,0,1733250.34,0,0,0,24998,60579281.48,3667566,3889051.66,0,2536234.44,46669,240838.75,46149376.16,0,9909.19,4414875.07,16276993.79,0,6452616,52595,9131,0,9349954,0,14890930,0,0,0,3719,4184,0,3627110,35252.24,0,0,0,94448,0,0,0,0,0,116113,299612,0,0,0,140375,0,528660,0,0,0,0,0,0,0,0,5565531,24893,0,0,0,0,0,0,0,0,0,0,4306623,1448940,0,0,0,0,0,400930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLT",857372.54,13404709.98,0,22240,17407463.66,20758460.39,5739493.63,265683.76,270364611.8,236766.53,165565.36,0,2264574.85,7604800.19,275509604.76,7609424.54,786251.99,30737944.96,19744109.73,21229547.02,370173146.88,310217528.03,23601666.41,76395.3,158651777.37,40332.09,1170915.75,8099117.66,20462912.41,149682755.13,208722.97,422258.36,7690,102947636.55,11987992.73,1138458.08,316272,326148310.71,22955.86,32608873.03,21151353.95,6580816.91,357608.99,18028054.08,291251,243129.25,39919034.97,5344395.61,0,14125001.04,9145582.77,0,2923365.39,4256040.78,14957697.58,71827135.88,1107181,70761227.28,74690,721986785.55,5544333.98,0,184082.51,7899451.93,3280.18,0,4715725.18,376941.9,814386.88,322390.31,448200,1511721.67,87851.45,0,286961.48,957440.69,117999812.3,602107.57,771848.24,96629577.71,25740.38,1547986,334102.62,127595.09,10627374.53,145415.96,85404.64,131507.18,0,0,87970.45,8269,35105,2573448.94,14909735.43,2280756.03,512531786.86,605828.36,0,18063955.61,1016.75,587548,600589.39,66913.75,4350982,199562.37,204176.68,4333,10575474,642440,5036622,0,508983,0,211302,4016156.77,0,2329766,142750,93373438,0,11452547,20245.07,0,1106134,381954,666950,0,89752,30815,3569117,199481,226044,198184,0,140924.19,0,4413050,172111,196424,0,0,0,0,302766,1903254,3398112,165134,153027,443357,408768,0,0,56713,332758,6499467,0,0,0,0,137326,488571,823004,8379,0,0,143267,0,2873,0,0,0,0,0,0,0,0,0,0,0,0,0,75256,0,0,0
"MOZ",0,18399747.96,0,12780.39,120774.62,247808.92,2350912.35,7768.48,32492874.43,329321,4538.15,0,0,5604061.87,146946314.48,127692,0,186225375.35,0,39459.24,28312934.28,86350857.5,563594.28,0,9452247.1,10248,45960874.7,53945.75,0,204751673.45,0,2289099.61,286358,78345.82,61003.13,0,0,554165,0,3898649,924088357.6,47400,179400.66,2381484.11,684196,415416,1902424.17,42844262.22,0,156618.05,3930895.7,0,190619.41,18225777.38,403014.75,4733433.88,0,5785008.39,0,11908239.65,180446948.44,2269652.32,0,89863,0,10663,3062887.9,10956.87,627081,610241,8182,1277771,83520.75,5690,31487.46,110012.37,82000,0,203015,17877809.9,131819.03,0,139023.09,0,155149.3,432100.28,11187,0,0,0,9344096.72,0,0,0,37466,93350.51,3126385.88,229362,0,39564,543383.11,48101962.34,0,0,120166568.55,0,3273172.8,0,735733,0,442152,0,17569,0,4749389,0,0,0,0,0,0,170392,9227.38,0,0,286349,0,5041,0,0,0,2228926,218097,0,0,0,0,614260,0,0,0,0,0,0,735651,0,0,0,0,114251,0,0,0,0,0,0,0,0,0,1941,0,0,0,0,0,23431,0,37560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
