"","ARG","AUT","BGD","BHS","BRA","CAN","CHE","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","ECU","ESP","EST","FIN","FRA","GBR","GRC","GTM","HKG","HND","IND","IRL","IRN","ISR","ITA","KOR","LBN","LKA","MEX","MWI","MYS","NLD","NOR","NZL","PAK","PAN","PER","PRT","PRY","SLV","SWE","THA","TUR","UGA","URY","USA","ZAF","AUS","BGR","BHR","BIH","BLR","CHL","DZA","FJI","HRV","HUN","JOR","JPN","KEN","KGZ","LTU","LVA","MAR","MDG","MKD","MLT","MOZ","MUS","NPL","OMN","PNG","POL","ROU","RUS","SAU","SEN","SGP","SVK","SVN","TUN","ALB","CIV","ZMB","AGO","ARE","ARM","ASM","BOL","BRB","CAF","EGY","GEO","GMB","IDN","IRQ","ISL","KAZ","KIR","KWT","LBR","LBY","MDA","MLI","MNG","NCL","NER","PHL","PRK","SDN","SLE","SOM","SUR","SYR","TJK","TKM","UKR","VEN","YUG","GRL","MAC","NIC","ABW","AFG","AZE","BEN","BFA","BLZ","CMR","COD","COG","DJI","DOM","ETH","GAB","GHA","GIN","GNB","GNQ","GUY","HTI","JAM","KHM","KNA","MMR","MNP","MRT","NGA","PSE","QAT","SYC","TCD","TGO","TLS","TTO","TZA","UZB","VNM","GIB","ATA","ATF","BDI","BMU","ERI","FLK","FSM","GUM","LAO","MHL","PLW","RWA","SHN","TKL","WSM","ZWE","SGS","SPM","HMD","SMR","UMI","VAT"
"MKD",36960.27,12066422.45,2314,0,26738,1789078.92,21266333.57,15232657.88,0,0,0,596673.86,4518378.49,283197484.91,3126105.98,1285,20418708,69767.14,640457.35,59147860.93,38625127.96,184023979.24,0,227544.71,1139,226529.29,247370.82,1692533.33,166282.47,129775668.59,235204.23,847451.98,1287,244058.8,0,52466,52649395.99,1423796.23,64833.61,523642,733940,0,6861252.06,0,23275,6488059.06,51740,34076252.6,0,55600,78328748.64,616003.54,2570395.41,26791838.65,60824.78,23922898.05,692934.81,0,21848851,0,73603402.52,3758069.04,194160.29,7274733.29,11992,0,186029.34,32588.84,322109.08,0,0,457228,0,0,0,0,0,1327184.71,1788655.2,15375913.3,427838.11,0,150503,1568064.13,25253730.35,251729,16167065.07,0,0,0,2342017,161844.33,0,0,0,0,3824554,27060,0,1275274,5565,52311,353208,0,33819,0,68159,186568,0,0,1173.18,0,0,0,3170,27850,0,78959,33417,14375,0,1772173,0,273436076,0,1871,0,0,0,124946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735003,0,0,31195,0,0,0,220146,0,86805,79023,0,0,0,22369,0,0,0,0,0,0,0,0,0,0,0,0,11021,0,0,0,0,0,0
"MLT",1029040.02,10872151.9,56191.49,0,29080456.68,18652020.85,6356031,233256876.96,81249.17,24877,7327826.08,1705682.67,6728249.75,296543691.63,4905054.21,56238.25,53351246.33,8875483,23457425.37,219391573.11,286677675.47,2755128.83,95725.73,133461591.47,34962,578333.1,8864567.88,285113,41769055.52,101868464.72,104347640.09,10798668.07,563449.05,293679822.16,478374,38586758.45,22578264.32,9094030.69,360037.72,7688277.69,36587,8269.09,7805257.77,12965,0,8337309.63,53683943.93,70878723.98,53313.76,12803.39,386902530.57,5996901.13,7273806.35,3370642.45,1449012.82,110013.88,86858.19,105303.87,905765.43,0,806389.65,95190131.04,1571920.56,89351594.31,114719,1044411,4694183.75,68689.36,3335846.15,263995.7,47567.33,0,6235,18389.62,129049.99,2307832.19,12511.27,27259205.52,2298580.9,3205806.12,13811500.66,2145049.35,563574991.87,1325270.45,3070694.41,26682722.11,447700.78,101584.73,2865078,2780488,12452507,117296.88,0,4352,0,0,3779457,2728,340570,301130,1576408,1064717.65,0,0,4261752,30764,58649085,9085,55666,0,73350.83,24365.07,772867,0,698335,358969,0,6614,80332,0,0,91839,168884,4102,22052.17,9616,86203,0,0,0,117081,0,0,874188,0,27359,1843618,706099,113929,0,1634690,172364,381551,0,126650,0,189695,0,0,1825,0,797291,735814,0,861926,79306,0,245012,0,197495,45394,0,39606,1578,0,0,0,0,77851,0,0,0,0,0,0,0,0,0,0,8297,0,0,0,0,0,0
"MOZ",46764,5613135.96,2739312.06,0,5609586.2,94867.72,2195103.56,17668380.04,2492427,19940.77,0,0,628810.35,92160012.54,143036,4804,110707358.29,0,118363.16,19043520.74,46514471.3,135612.42,0,14932807.23,18134,20903416.75,15857.64,44176,32400.2,107654823.56,259433.16,0,110366.05,0,43436447.29,1491685,40272717.86,129416.37,283391.97,1734662.37,376989,2086.75,56216357.85,0,0,101699,4177146.09,465102.97,479441.96,0,10862140.73,168609745.35,904471.11,964596.86,26560.46,692461.25,0,0,1170082,1292,155192.96,74604.92,0,13333635.83,4772477.11,0,781444.74,0,109028.63,661187.69,16739,0,0,4645965.39,0,188548.23,0,1990321.81,9027.37,5959257.35,349325.68,0,595781.89,31681.05,199475.7,391285.56,15317,0,9766697.56,855628,243328,0,0,0,0,0,114368,0,0,2981829,55545,0,0,0,0,0,0,0,48797,0,0,38810.32,483081,0,24858,0,0,0,0,0,0,0,0,0,0,0,0,0,19622,0,0,5666,0,47584,1389374,298914,0,0,0,30691,0,88754,0,0,0,0,15024,0,0,0,0,0,0,0,269971,15655,196478,0,0,0,1258641,0,328986,0,0,0,0,0,0,0,0,0,0,0,0,2797,0,0,0,29458218,0,0,0,0,0,0
"MUS",31206.47,7347406.12,16318,0,3549273.5,8609578.21,32074805.75,7699402.84,95697.96,84762,0,304603.17,634006.32,63307882.37,7909836.32,23319,38852641.98,78150.05,1540899.51,418211366.24,554387936.49,727145.44,0,12208988.39,24813,14410409.7,6259269.55,11410,1186612.92,73088101.46,1949759.02,537377.35,1947913.62,1204679.59,2754081.68,9450612.39,30077013.92,1737615.8,506405.71,4507226.76,751186,50719,25885095.04,16328,1574,3958946.18,1959574.77,3315773.91,3311850.16,1290008.88,326014810.21,25079636.67,4612744.42,161684.19,13655.86,62181.12,8300,128655.33,1971,15233.88,554890.44,443417.28,184295.78,15642650.71,9387991.72,0,59932.87,30374,540181.55,84313814.23,10031.4,4957824.43,2502939.89,0,67726.31,794626.05,20927,1832701.48,2916565.09,821265.54,737531.42,643233.23,15217254.15,111349.95,524774.66,847670.2,0,366418.91,2384807.63,3225,4086841,0,0,0,0,0,617398,0,63616,552291,0,225155.83,0,0,52277,2408,7135,1995,17488,5554,184543.19,0,569285,227840,3936,6550,0,0,51197,0,0,19714,0,15676,3283,18412.31,12428.84,0,0,0,164598,40875,752120,681313,0,88806,3370,0,318526,15873,274313,135234,0,0,0,0,0,50862,0,0,0,0,32693,0,4360,9520026,0,24753,0,4007,2303437,0,129802,0,0,5092171,1086813,1095,0,0,0,0,0,0,0,812441,0,0,2317887,3652192,0,0,0,0,0,0
"NPL",3518,1712466.04,4680419.16,0,78303.7,7183355.09,4325671.66,24363262.44,0,13194.49,0,22621.31,425967.9,44327233.72,1277293.15,2822,4344309.35,27736.97,504872.88,9908787.87,17199108.85,685172.54,0,894124.22,3937,366814627.06,224885.49,1142,128846.97,9740608.57,1147684.53,40485.29,1196523.17,1412508.48,0,134062.46,4246124.93,464375.12,361298.55,1889715.89,0,5985,6143156.46,0,0,668887.22,1701957.7,3645095.93,0,22302,204903953.15,930624.67,1539304.11,223446.8,397502,0,19050.77,8094.88,3846,0,350722.63,246038.7,1142,8335668.24,35376.7,0,43500,5576,1549,23707,0,0,0,0,0,81004.8,0,97293.34,0,139327.75,122791.45,0,3578713.2,124756.03,334841.45,6528,0,0,0,0,996437,2100.17,0,0,0,0,372818,0,0,71409,0,22781,0,0,12627,0,0,0,0,0,11629.6,182871,58401,212871,9057,0,0,0,0,0,0,0,0,10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19047,3911,0,0,0,0,0,9503,0,5722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OMN",364678,252029.12,798314.79,0,2823.57,5475171.88,16959468.08,1778493689.52,42069.83,0,0,1228426.52,9490.35,6606835.07,405933.85,8291,57171084.52,3075,122403.53,15598038.55,66005540.39,10993410.81,0,28001860.77,0,48725131.57,1503551.05,181859570.88,0,15366299.79,2075549293.28,3424374.73,3257004.51,814702.52,0,417817978.72,6119402.44,219165.38,140368451.08,8126643.33,0,13795,1365510.87,0,0,1616714.24,1257609199.16,1303356,273709.26,13379.22,619673118.58,2280612.14,6734995.37,1300,19865057.88,0,0,393462.06,1313582,91159.76,102731,9883,8169969.9,2267809760.96,731756.46,5605,0,1421.78,1351784.4,137949.14,3490,125494.47,7659.75,402552.88,435066.51,0,0,450035.99,461630.22,1127695.83,136057755.93,309413.21,189181638.74,53868.62,16073.05,2240355.67,0,92097.28,118046.38,0,157131737,0,0,0,0,0,974789,30723,0,202957,2083820,0,9277,0,1099985,138418,1802,0,0,0,0,0,6474,0,839257,248130,403159,0,72487,0,0,115298,22458,0,0,0,0,0,63368,5826830,0,0,0,0,0,34928,133573,0,62614,0,32250,0,0,0,0,0,0,0,0,0,0,0,37761,0,2830595,0,0,0,0,0,912812,0,1854,0,0,0,0,0,0,0,0,0,0,0,0,25254,0,0,0,0,0,0,0,0,0,0
"PNG",0,653236.21,674760.65,0,0,1833619.32,7811584.05,220153649.15,0,0,14692,97458.39,102142.63,162531533.57,2117086.21,0,19555647.95,31426.86,162171.16,16560347.6,107141139.98,13475662.8,35021,12977269.59,0,15512555.36,863276.96,0,26341.19,50082901.31,50814885.92,0,103461.42,2914,8591.21,10042576.36,27823226.38,369583,59251119.98,278662.05,0,0,793849.19,0,33415,7475624.08,51790922.46,5415.04,3644.03,0,76301148.97,250613.9,1108969851.58,115930.45,0,0,0,0,82838,1535144.19,9490.2,48514.19,0,288844503.06,562287.31,0,1300.8,2281.89,0,0,0,0,0,0,76070,132466.97,0,1628824.63,0,2414441.36,4897,0,64863019.12,92059.11,177261.44,61579,0,95158,0,0,38388,0,0,0,0,0,0,0,16754450,19333123,0,9111.69,0,189655,0,0,0,0,0,0,1421618.54,0,34984604,12729746,0,0,0,0,0,0,0,0,0,0,27187.44,2499.57,277320,0,2917182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648102,0,0,0,0,0,0,0,157540,0,0,140212,0,0,0,0,1230354,0,0,0,0,0,559614,0
"POL",27671303.43,1032383165.37,4985700.74,42818769.09,129493087.18,288614651.16,405120857.14,354943643.5,19429470.88,8795656.5,25392783.51,59800551.54,2148376248.27,17487558192.39,1152323951.49,5945629.38,1310782208.11,177339573.62,404980134.86,3277684981.93,2581717489.19,189449358.08,1387823.36,45701180.63,621990.29,107188213.51,197630603.46,86053653.28,60946314.14,3114156997.06,81686766.71,12780398.91,4899384.31,98158581.2999999,1219718.2,62139479.58,2237012838.54,1248169441.19,8692212.27,9277168.14,85658933.8,7560965.28,379612934.56,135480.62,638421.48,1989390824.71,61324375.7,420784928.58,670626.59,7328647.04,1413743732.02,59650038.75,65899619.08,151974168.9,6959720.72,90862109.0899999,378621302.84,28789886.25,100215015.91,11756,219556166.06,1343498084.55,11480370.7,135256197.91,2067937.12,5390140.48,564196550.58,276509598.79,57892790.76,893423.51,26272488.84,12173024.08,2842448.86,1157993.99,35368.55,1210445.35,248358.35,0,548229902.350001,1608419155.47,94980368.06,2794956.95,120482399.64,872647666.209999,221104736.22,16439348.03,4866041,7382499.34,7455.4,1460000,75577000,3771293.1,0,646270.15,103000,55000,66742000,2709000,55000,17302000,6686000,33656789.99,88815000,0,8235000,58559000,7650000,68589000,430000,8028650.94,2015587.9,467433.9,5427000,1362000,3797000,340000,0,1599000,12586000,5676000,3380000,1523452000,10999000,93820000,1667526.83,606540,250403.04,0,3129000,26712000,907000,367000,598000,2882000,406000,54000,7133000,9825000,2655000,1653000,8860000,423000,0,0,67000,543000,698000,2146000,0,0,0,17072000,37546000,4601000,5006000,238000,517000,568000,0,3158000,598000,21578000,42084000,250000,0,0,0,7411000,566000,0,0,204000,0,9332000,0,0,0,0,52000,0,0,0,0,5691000,0,128000
"ROU",12930938.4,666515968.01,8255312.79,10609673,8070601.61,93553869.82,119380575.51,350735574.67,6035267.92,214627,915944.91,21649330.66,134624232.02,2933202300.79,38951340.28,1498566.79,374343207.79,6460077.21,42779129.32,1483926197.31,1187792477.18,455257499.78,651606.16,62310479.4,382197.83,79932319.26,52224942.58,95842949.12,118449431.47,4379370808.31,77350616.11,77427813.04,1600520.2,22743772.94,788704.89,15674669.98,605165535.07,235490737.74,4626444.21,20775374.58,1267308,11575385.81,45120589.04,170054.75,666311.12,111388405.51,23653203.77,917727850.51,316654.82,1581089.08,770888980.85,8675876.7,13834648.56,280635596.57,13107089.24,25333463.16,4267457.61,5657257.17,63033680.47,0,134370898.93,591386783.53,31280845.39,56900629.9,15322914.36,378535.77,8229810.83,6588292.33,42184166.08,73306.45,15790519.23,28611631.18,75809.14,291912.99,461875,11184155,21815,234084976.86,0,71703201.89,106451226.72,617869.7,44998458.8,85719624.23,92627279.99,25436931.24,17009979.93,21467819.13,325855,2148179,75944931,410910.74,0,436729.25,0,0,118850298,61530509,690542,4801910,10678823,3638019.31,22594832,0,18464072,224732,19236464,136425501,3307527,307183.6,703412.11,1822205.15,5013594,4666145,3416249,97338,0,0,124358151,23887376,2868631,65317333,12892804,153046291,44049.67,550955,58506,0,1086021,5778994,514031,113426,140431,6786600,35732,271943,58382,171710,1514281,853365,2332857,1071262,68355,0,16704,0,17346,913917,0,68962,0,740881,23184407,0,6966090,0,1798,2434619,0,1633512,126227,1094671,23698362,71985418,0,0,15979,0,210571,30994,0,0,0,310637,0,460126,0,14822,0,2040,0,0,0,0,229800,0
"RUS",96133352.4600001,516694386.2,45018499.46,776962.06,425039934.19,552959549.74,1808958903.74,7606220787.25,33710347.59,14196710.32,48473268.86,1402737458.29,1950944570.39,7723312560.91001,386507070.13,38624849.1,1901995783.71,1318951220.06,4434872154.46,4243183110.78,4702505950.53,1720104786.66,27893895.99,446867017.33,20994599.36,1271946315.27,944738698.85,1603729956.82,1244528366.79,5882398016.47,1700971187.7,219264128.16,4717432.38,165077923.25,10320,416308671.26,8074649984.64,558764320.07,38912255.03,82477479.87,86771690.19,66704233.43,362839986.95,1770010.65,23460935.64,1088669036.83,264473635.77,3270928605.86,3068257.08,232572561.77,5690065207.94,38559952.19,30020171.67,360550761.81,1769433.75,58937420.6,6774654810.83,24088972.58,247194880.08,285318.89,536205897.99,2698302077.51,52174892.61,2873249384.94,23254726.53,167290772.07,2144993065.28,562367295.679999,291403039.52,5915206.94,153181129.78,76542529.53,96919.89,4073285.36,6953955.58,4931636.56,3838902.31,4663029085.10999,1525635886.77,0,250835698.58,33718418.07,207076155.96,2283007952.05,261956211.24,179062084,45589649.57,49364118.74,23628.57,23997751,180254244,200651353.38,0,255473.46,1038061,101169,375603885,152608201,134579,64213655,167519415,38998059.2,3095568164,0,2976967,40085664,43205906,177152070,2946848,283538100,51008.97,2323399.75,183347829,110692873,15020788,7140130,0,0,169557685,128469930,221504577,6263957326,1303061,112597944,1001382.36,6115165.59,12405548.74,0,54480107,407749212,63317,3986628,1603960,281557,1928374,1901270,125657,4521209,14578162,0,5807541,3215993,35386,198414,60210,495644,399197,965939,395697,4546855,0,18965875,74855842,0,1926799,10014370,720374,8068840,597554,5063412,3468845,506049986,345676576,141914311,36191,0,8151,620190,11765588,411000,0,0,2214103,825077,0,1712873,0,0,0,3629,0,0,0,0,0,0
"SAU",7467425.29,335739616.86,173199140.28,288157071,849366424.88,665430868.94,379350768.19,4803288984.84,4093536.29,42072.02,12630309.08,21060436.86,4065990.55,945066542.020001,3014777.89,13007343.98,1867816485.05,522125.38,4411601.54,2430620341.5,938063525.8,1238276745.37,157624.32,262430654.52,360640.6,5617530789.12,7700154.29,381090922.03,9967.03,2525108039.96,9205334561.99,372712550.77,99055607.94,175235062.27,18037199.82,569611317.85,2377494704.11,5186218.03,137395438.73,1540187851.33,203607.25,1522830.06,321463019.13,393632.73,0,37882063.39,1543773903.67,967445060,11870275.45,1977106.38,17567595442.84,2016543286.04,567784602.7,716417.56,2077397711.33,126736.75,405135.46,602786.29,49692404.66,892217.28,3389094.36,4011082.34,859343369.83,13283559543.13,261406372.4,10381.24,687476.7,37816.56,753228423.44,20494687.82,103584.48,105434772.82,37612229.03,80558621.05,18815996.36,279196651.51,674391.45,27614349.79,3366851.35,2040306.05,0,19529422.59,4005906753.08,1959420.28,3092091.48,106852238.7,1754336.88,17774749.29,2370685.01,352690,2616489644,22344.13,0,34370.11,75239,28160,913795103,18880,840610,1577793679,20924344,1437794.37,48032,0,794068786,464897,17278303,0,374491,0,4765.43,1012856.28,1201399996,0,223623547,491004,7731159,0,147954548,1067,84549,209918,14210890,0,0,9096419.73,33485.96,0,220724,1405797,0,1067,0,856051,17014,255511,281164782,0,25142617,156293,4491848,1997806,0,0,1489041,0,0,52664,0,47720,0,18723639,88677940,4800,368778587,9703793,2562493,33351852,0,9115,44737154,0,3816278,34029401,0,0,75981,0,27629720,0,0,0,0,0,0,6450,0,0,0,117714,0,0,0,0,0,0
"SEN",1279,2906883.58,879610,0,131249,1561638.24,9211978.43,16126544.45,0,0,32806,0,376663.52,9253418.16,682196.93,4540,56512184.23,5042.89,117928.52,150988518.79,7984808.13,23632894.27,0,6976548.51,0,147792792.08,272373.25,0,123080.04,116804907.78,4430426.31,1830485.29,54601,3181140.35,29736.48,265695,15818552.46,81095.92,5582,16926.82,0,3878,13337268.35,0,0,375285.81,5743075.62,176432.58,64386.54,2177,10526861.22,666996.94,75715.65,9534.69,0,0,3266.14,7933,901042.36,0,114895.65,70543.38,489513,10427609.49,378540.23,0,7849.31,0,4103495.96,866375.76,3903,60310,52954.97,1601959.51,0,2425144.08,8780,93134.01,6378,62637.24,348599.59,0,0,1965.03,293979.14,1147898.04,0,63844384.17,300138.73,1207360,52968,0,0,0,0,854428,4852,0,42840906,2990391,0,5833.5,0,0,0,7955238,134142,0,115212081,0,300761.86,3258893.52,30107,0,0,3357186,0,0,0,0,0,0,0,0,0,1221.58,0,0,0,0,32754747,29554087,0,10316756,473013,6973898,0,0,48748,4230885,3683401,30086688,27168590,2736988,0,0,0,0,0,0,0,33344575,1761229,0,0,0,1156668,14958847,0,0,234153,0,302845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGP",45243795.92,213508065,632057969.2,633717,414330391.02,766234395.64,243123577,10388776446.76,48308736.98,13765960.4,41251038.18,21524898.64,265947449.29,4208552109.54,486875114.68,8407906.43,589006737.19,19335652.49,215051948.11,2765343524.2,4057479941.68,55077178.39,16095233.6,12073686278.89,691864.44,2105094766.42,1182244861.04,458032825.63,195215928.3,371167924.06,4218337791.57,21497217.81,530298595.14,1327222015.46,2063990.32,14729394185.35,3304374764.85,100382665.37,420965586.3,543436194.32,23004315.15,26290946.78,68354535.02,8282004.14,7317122.2,88662198.85,3579431841.63,151044630.86,10727798.15,4542083.37,14553507866.45,333572120.11,2882430915.28,12569694.79,32089559.92,617467.88,1865700.95,23743849.1,13729538.23,81731324.91,21367105.29,373599072.81,16448034.2,6673254354.01,33499279.73,254135.03,18273868.3,4263225.35,46682092.08,24635481.09,1754931.31,70066128.52,13747446.94,78208980.8699999,134176126.05,86748660.2,103922775.86,307094101.14,55753554.53,157097562.56,271905250.32,3046666.27,0,34247733.47,21693958.86,15604556.82,1351994.36,9441508.5,5540526.4,50547138,1407676369,1145916.99,0,549148.68,0,0,104764830,0,0,15496718888,0,3977224.1,7693555,0,82905352,50093635,21602389,0,0,14796351.19,135718409.4,238068.42,3176064933,50872455,21462548,0,0,0,16545168,0,0,15294376,6455732,0,135267.89,85204121.55,1316006.86,0,1930863,0,15089113,0,0,14593976,0,0,16087273,3402657,7867591,4871887,37162975,8815902,20010,0,586710,0,6292128,298453143,0,624166583,46974794,0,232863751,0,52719627,24422903,0,0,0,9616249,11033379,0,2366846435,0,0,0,0,111212,0,0,0,179788917,20303760,3525918,0,0,0,0,10286593,1837043,0,0,0,0,0,0
"SVK",8605302.63,1635499408.06,1475014.79,66963,14499400.83,155390519.71,244215317.47,167091292.09,3909632.56,2404339.28,11132276.75,11425125.14,2709915673.71,7652361712.96,127594793.93,1808094.81,364963540.1,22030923.74,125739144.59,828091927.28,468747133.67,77821793.47,1605530.96,16327256,1457578.11,25331477.79,25805728.25,13440915.8,20286015.36,1252858115.14,21487472.02,16320248.32,633410.54,45703203.43,0,8322493.06,491436959.25,62117332.16,12430543.17,1559732.65,1988480.79,1986953.5,37261070.07,47717,1499692.19,183529914.18,9359198.82,193920257.91,441945.41,181989.76,1102714586.46,21204986.88,47271401.73,73060978,1009467.22,31967722.14,28855505.44,2738484.42,5874086.24,21561,145239979.39,972482992.31,3255919.57,100783711.75,1196813.72,651289.24,47499803.41,36090651.31,8528292.63,17762,6373629.28,2250328.1,63985.35,79916.61,84214,3060339,118358,1068126590.85,244062890.02,287035580.63,16409809.26,513236,27966200,0,195597435.42,4615133.31,1280745.56,85947,467730.72,1128206,21303172,3821546.6,0,129586.82,49764,1174,13837104,1696991,10431,758109,1032397,2962163.17,21911168,0,7875537,9270,2924978,10411860,5330,170917.82,272203.88,234970,2076496,10711,1559976,165911,15842,164947,5763714,111341,1122108,221324134,536295,61941852,570840.91,58458,154388.65,0,507443,638012,774269,148134,50500,528095,136557,22296,0,387228,317029,3101,1505279,64178,3874,48579,0,0,436151,44487,6092,67467,0,71496,2740159,0,2431378,19508,0,298427,0,528016,542214,3461012,2271639,31944,0,7998,299498,8862,18579,0,5652,46682,8818,1879,0,0,0,0,0,79893,0,0,0,0,0,0
"SVN",4908097.3,994299209.56,351636,0,12827989.27,32651237.77,183221244.72,42138507.78,4126474.91,243825.82,321961.99,4380212.27,292868240.86,2929942499.24,111238382.87,1905750.05,203314837.24,9667604.48000001,44852365.58,786543793.78,304797828.9,51263308.9,207558.11,13156705.21,399121,80225491.05,26609108.37,81006472.9,28154478.42,1811039185.22,34051299.04,3531621.24,922683.55,32384384.25,0,9622630.22,234390557.01,46592052.34,4920645.91,26614938.55,764668.82,750309.04,24296538.71,49180,33076.53,122344852.82,9378344.18,89158725.7,74275.73,621091.2,663041048.94,15350183.82,39739603.44,67168675.29,625108.3,453417561.29,29657391.35,4076244,19369369.94,14147.53,1108112703.84,271346538.52,2793646.34,28986260.16,1831481.84,648647.58,35844834.28,18745825.06,5651233.95,54340,150007979.78,1765636.74,5404,112042.16,361848,1486203,398852.74,368322239.92,115985484.01,403617147.66,34419198.03,191146,5276847.46,192326278.07,0,5234144.32,25722254.48,830668,96314.78,47366,22366390,895696.88,0,204056.75,0,46018,31355811,2770036,219439,4493809,10360419,2963516.41,21196395,0,2228109,285453,3985531,7764360,203664,304750.85,131846.12,118872,875268,896090,501725,1967009,0,174826,8755896,49212,189662,105114964,2287253,392109783,70247.08,621344.71,59795.18,0,94549,1950739,103682,0,1154,1000644,8052,181114,120308,731488,2341434,0,1703745,4262034,0,0,0,52325,320891,97994,0,0,0,0,2959972,31732,512106,31776,0,0,0,78278,66436,3498658,510870,60991,0,10535,0,16440,210822,0,0,0,3140,0,0,0,0,0,0,46649,0,0,0,5951275,0,0
"TUN",13706601.74,121871910.8,9828557.79,23171,45186583.44,15280186.6,173024387.25,19064847.2,306791.34,0,4725694.57,2408907.04,22227829.95,1000480919.86,6735168.55,40293.81,437090986.34,1679502.85,5996817.74,2845541902.68,280696411.09,23648071.73,32827,3508230.06,1489,52368704.99,17592287.78,50667818.22,0,1915520368.11,4293636.88,8078622.91,178265,3176364.14,27174.19,10889960.45,210327398.53,12859697.31,5147859.27,15104582.74,68376,257557.22,34088076,0,0,33701589.44,607069.67,97353208.56,11979.7,1707820.47,110881571.97,9077654.03,3312350.76,2492123.16,8777795.7,167651.83,43130.06,134816.51,114648055.71,0,6699484.86,15502147.09,8009183.75,35966994.88,170604.34,0,715329.68,807767.63,75448347.44,1108374.89,43868,6784080.03,17823.7,202470.61,0,3675542.37,18473,58963770.67,5429786.14,5298173.73,21455384.94,12030101,3802096.09,12944376.74,18248913.3,0,2421458.03,8008239.37,0,489014,5012788,0,0,22327,0,0,27943492,8423,513937,3301463,23174130,952515.56,7170,0,464753,1410237,352071422,0,4499478,10980,1081109.04,10577899.73,0,65137,658185,160697,0,49600,3413218,0,0,273952,43529,700446,11578.61,238060,49436,0,29881,10671,3061602,7436772,0,3336708,0,4621503,1021204,0,0,2911612,3102663,1919889,31094,737890,3701105,10414,0,31115,0,0,0,3134518,745991,0,238086,0,379978,1266648,0,0,168835,13698,2146331,16989,0,0,0,51963,21529,8690,0,0,0,0,0,24137,0,0,0,0,0,0,0,0,0,0
"ALB",20867,5880471.26,38208,0,370788.04,956176.12,1637548.51,1646003,1223,53160.08,88466.69,224681.94,933959.7,25540014.11,99803.56,218163.26,7453258.52,4707,83724,18314054.34,2819770.19,46881450.04,3772.48,0,572351.76,14361.45,141417.24,31381,46644,357467522.93,88069,926946.19,13612.96,625386.26,3992.72,36483.83,1094842.03,169254.7,2021,93886,963298,16754.3,326623.41,0,0,637421.15,56246.7,4828356.21,0,1034.06,4521445.66,39024,14089733.55,332018.52,1346,253444.81,0,5047,16448,0,863079.1,1519311.23,0,639135.15,0,0,19728.05,8843,341515.67,5748.49,5211827.18,151927.49,262044.49,7109.73,177263.52,0,0,88714.79,88734.33,4503330.66,27391.28,1117.15,15968,104024.59,960710.55,0,0,8686.02,0,17517,0,0,0,25434,0,0,2225,0,1110,0,0,138774,0,0,0,0,15747,0,47786,0,35910.32,0,0,0,0,0,0,0,0,0,0,0,0,10434876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",12033212.28,46137923.61,4564482.05,475464,38011476.31,56680443.6,20516342.92,58436996.39,1685327.86,0,0,1254236.6,14840554.48,259932984.98,3284462.47,358176.2,328218860.11,103514970.87,3035762.61,1045553906.59,157723941.81,31627528.86,0,1275314.15,943735.62,100189971.2,11891691.33,2199061.54,4749195.51,290204459.47,4478883.47,1751798.6,0,1769501.19,41920.48,23783812.81,885595538.09,1303083.45,388990.71,5984208.23,1434758,411645.86,19776523.14,0,0,962783.85,16737942.47,38884170.45,483237.55,27198,465978378.35,17437740.54,15213013.52,720845.41,0,120675.28,5230180.48,53987.85,48119073.82,3463,1289433.02,6928820.77,144529.89,16215423.43,523006.59,1843.18,16619565.55,0,18243432.99,343880.1,139336.07,2230812,324678.38,132369.29,0,45028,0,111594910.39,3008058.85,122982530.14,3126916.43,88367241.1,19316736.49,23314654.47,1023516.9,22146015.35,0,0,220847.38,20612597,2880808,0,0,16958,0,1464901,1595544,0,11338338,57310272,0,255671.47,0,0,6963,14165462,1248,0,93839815,0,147441.75,72230522.46,1117339,1160253,0,21682866,0,0,1221652,0,0,0,156402,1746676,1349.25,0,3271.69,0,0,0,51080935,109148697,297650,43439402,21608422,25097051,57112,39045,6037,18049351,122012928,36382601,672321,122142010,0,54508,0,0,0,0,0,6352789,140706883,0,8094,0,3632259,96207667,0,84483,944387,0,6453422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63453,0,0,0,0,0,10216
