"","AUS","AUT","BEL","BGR","BHR","CAN","CHE","CHN","CSK","DEU","DNK","ESP","FRA","GBR","HKG","HUN","IND","IRL","IRN","IRQ","ITA","JPN","KEN","LBN","MMR","MYS","NLD","NOR","PAK","PHL","POL","PRT","SGP","SUN","SWE","SYR","THA","TUR","USA","VEN","YUG","ARG","BRA","CIV","COD","COG","ECU","GAB","GHA","GRC","ISR","JAM","MAR","MEX","NGA","PER","SEN","TCD","BFA","CMR","LKA","AGO","BHS","BMU","BOL","CHL","COL","CRI","CUB","CYP","DDR","DJI","DOM","DZA","EGY","ETH","FIN","GNQ","GTM","GUY","HND","HTI","IDN","ISL","JOR","KOR","KWT","LBR","LBY","MDG","MLT","MOZ","MRT","NIC","NZL","PAN","PNG","PRY","QAT","ROU","SAU","SDN","SLE","SLV","SUR","TGO","TTO","TUN","TZA","URY","VNM","YMD","ZAF","ZMB","AFG","KHM","LAO","NCL","WSM","BEN","CAF","MLI","NER","ALB","BDI","GIN","GMB","GNB","KIR","MNG","NPL","OMN","PRK","SOM","BRB","GLP","GUF","FJI","MUS","UGA","SPM","GIB","ARE","BLZ","MAC","GRL","KNA"
"LBY",0,0,13771000,0,0,9000,54000,0,146000,16225000,37000,11000,4352000,57377000,25000,5000,0,7000,0,0,27635000,14000,0,26000,0,0,13174000,26000,0,0,0,0,19000,194000,4000,20000,0,3000,11779000,3000,0,0,0,0,0,0,0,0,0,3000,0,0,1000,0,20000,0,0,39000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232000,0,0,0,0,3622000,0,0,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDG",83000,0,389000,27000,0,17000,436000,19000,0,3325000,193000,328000,54199000,2621000,11000,382000,1000,8000,10000,0,1301000,762000,0,1000,1000,41000,857000,25000,0,0,0,322000,0,0,84000,1000,2000,1000,15788000,36000,48000,11000,0,699000,0,2000,1000,81000,0,385000,22000,2000,128000,226000,1000,26000,1267000,0,203000,685000,0,0,0,0,14000,0,38000,0,0,0,14000,66000,0,5183000,35000,7000,27000,0,0,0,0,0,660000,0,0,0,7000,0,0,0,8000,1000,4000,0,0,15000,0,0,0,262000,3000,1000,13000,0,0,4000,0,69000,118000,0,1000,0,39000,0,0,38000,3000,80000,0,13000,2000,0,0,0,0,0,0,0,0,0,0,130000,0,5000,0,960000,8000,0,704000,0,0,0,0,0,0,0,0
"MLT",0,0,27000,0,0,34000,249000,0,0,86000,8000,297000,7000,6047000,0,0,0,2000,0,0,731000,70000,0,0,7000,0,184000,6000,8000,0,0,11000,0,0,2000,0,1000,1000,273000,44000,0,0,0,0,0,0,0,0,0,0,38000,3000,0,0,1000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,351000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOZ",0,0,529000,0,0,130000,425000,0,0,2837000,2529000,1724000,2052000,7547000,577000,0,10543000,169000,0,0,1540000,6762000,0,0,0,41000,1620000,1986000,53000,0,0,33204000,0,0,835000,0,0,0,6368000,0,158000,7000,0,0,0,0,0,0,0,0,288000,0,0,0,0,0,54000,0,0,0,33000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRT",0,0,1000,0,0,0,1000,0,0,2000,1000,1000,890000,0,0,0,0,0,0,0,199000,9000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,3000,0,7000,0,0,0,632000,0,148000,41000,0,0,0,8000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0
"NIC",0,0,892000,0,0,99000,464000,0,0,12750000,17000,2000,2154000,3191000,135000,0,0,305000,0,0,1297000,25618000,0,0,0,0,2776000,7000,0,0,0,1967000,0,0,162000,0,0,0,27440000,79000,0,1000,0,0,0,0,7000,0,0,0,0,171000,8000,2000,0,1233000,0,0,0,0,0,0,0,0,2000,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZL",0,0,30057000,0,0,11213000,1434000,0,0,31379000,2533000,3130000,63402000,474793000,1293000,0,2769000,2963000,0,0,30984000,34022000,0,0,1298000,2661000,8371000,1216000,161000,1946000,0,2226000,2267000,0,4252000,0,119000,29000,141173000,170000,130000,57000,4000,0,0,0,0,0,496000,1709000,85000,4957000,63000,287000,264000,2734000,0,0,0,0,1153000,0,0,0,0,94000,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,841000,0,0,1000,0,0,0,0,0,0,742000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,814000,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAN",6000,0,380000,0,0,7773000,147000,0,0,1444000,189000,262000,42000,1389000,530000,0,1000,1000,0,0,1360000,13720000,0,0,0,1000,509000,631000,6000,479000,0,0,151000,0,359000,0,1e+05,1e+05,27371000,1556000,0,3495000,1297000,0,0,0,104000,0,0,1030000,455000,222000,9000,8342000,0,1143000,0,0,1000,0,0,0,0,0,655000,3791000,732000,144000,0,0,0,0,281000,0,0,0,0,0,2000,0,122000,0,0,4000,0,0,0,0,0,0,0,0,0,23000,0,9718000,0,43000,0,0,0,0,0,104000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0
"PNG",0,0,0,0,0,0,0,0,0,0,0,0,0,11354000,22000,0,0,0,0,0,0,1861000,0,0,0,0,0,0,0,77000,0,0,159000,0,0,0,0,0,2059000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRY",18000,2000,1764000,0,0,353000,810000,0,0,4065000,329000,1254000,3537000,6460000,0,0,17000,1000,0,0,547000,68000,0,3000,0,1000,1265000,12000,0,0,0,5000,2000,0,418000,0,0,0,7121000,1000,103000,9532000,956000,3000,0,26000,0,0,162000,265000,8000,6000,143000,3000,0,161000,45000,0,0,0,0,0,0,0,4000,104000,1000,0,0,1000,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,1000,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000,0,1144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QAT",0,0,0,0,0,5859000,0,0,0,26452000,0,0,32853000,19033000,0,0,229000,0,0,0,4978000,7038000,0,0,0,0,4673000,0,0,0,0,0,0,0,0,0,0,0,23649000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROU",0,0,6055000,0,0,56000,6350000,0,0,61818000,456000,2392000,22119000,19801000,0,0,1744000,122000,0,0,35207000,3511000,0,0,337000,180000,3077000,88000,685000,0,0,1013000,237000,0,4228000,0,264000,756000,610000,12000,3547000,3083000,2617000,3000,0,52000,0,0,79000,5938000,1190000,0,4116000,0,5000,0,0,0,0,0,1984000,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294000,0,0,0,0,1098000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAU",0,0,965000,0,0,37879000,3000,0,0,53419000,651000,68622000,41316000,57423000,3264000,0,28952000,4074000,0,0,109532000,164656000,0,0,0,1339000,25260000,7000,8902000,12292000,0,0,5257000,0,19006000,0,210000,5151000,66309000,0,0,1000,49473000,0,0,0,0,0,0,15929000,0,0,1000,0,6000,0,0,2000,0,49000,3028000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,20000,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SDN",0,0,7548000,0,0,98000,1544000,0,0,27444000,1091000,4909000,8139000,35278000,349000,0,36449000,266000,0,0,19424000,9077000,0,0,13000,3000,3285000,193000,125000,0,0,247000,0,0,629000,0,161000,6000,4344000,2933000,239000,5000,40000,0,0,0,2000,0,1000,498000,0,3000,38000,4000,3000,15000,0,137000,0,0,112000,0,0,0,0,1000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102000,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLE",0,0,505000,0,0,20000,0,0,0,9007000,161000,27000,472000,13975000,0,0,0,75000,0,0,175000,1e+05,0,0,0,0,9385000,1000,0,0,0,0,0,0,4000,0,0,0,9878000,0,0,0,0,0,0,0,0,0,3000,0,0,0,18000,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,790000,0,0,1727000,1021000,0,0,38296000,1812000,182000,653000,297000,116000,0,0,0,0,0,865000,25391000,0,0,0,0,1946000,367000,0,0,0,292000,0,0,1663000,0,1000,0,44111000,4000,0,0,0,0,0,0,11000,0,0,3000,3000,0,0,119000,0,18000,0,0,0,0,0,0,0,0,8000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUR",0,0,553000,0,0,3798000,94000,0,0,3193000,93000,0,752000,432000,0,0,253000,13000,0,0,181000,115000,0,0,2000,1000,2857000,213000,1000,1000,0,1000,0,0,2000,0,0,0,32036000,62000,0,295000,3000,0,0,0,0,0,0,35000,0,199000,886000,0,0,81000,0,0,0,0,0,0,0,0,0,0,21000,0,0,0,0,0,3000,0,0,0,12000,0,0,2e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,1294000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211000,116000,0,0,0,0,0,0,0,0,0,0
"TGO",0,1000,1245000,0,0,0,298000,0,0,807000,18000,1000,10480000,203000,0,12000,9000,1000,0,0,983000,603000,0,0,0,0,579000,0,0,71000,0,0,0,191000,18000,0,0,0,1732000,0,175000,0,9000,1000,8000,50000,0,10000,5553000,25000,0,0,57000,0,47000,6000,3000,0,19000,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,535000,0,0,64000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,79000,0,0,0,0,0,0,422000,3000,3000,19000,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTO",0,0,0,0,0,13170000,0,0,0,0,529000,0,668000,86676000,12000,0,1000,663000,0,0,887000,536000,0,0,0,173000,6024000,30000,0,0,0,107000,1235000,0,14052000,0,0,0,83082000,93000,7000,8000,3739000,0,0,0,1000,0,636000,2000,0,7995000,0,10000,0,21000,0,0,0,8000,1000,0,0,0,0,1607000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUN",26000,1000,16364000,996000,0,16000,220000,229000,1060000,2320000,331000,611000,69813000,11190000,0,16000,1442000,10000,1000,0,31644000,723000,0,33000,0,0,32234000,154000,0,0,1495000,6000,0,2311000,651000,6000,0,409000,1410000,1000,2557000,0,0,63000,0,88000,6000,0,0,1032000,0,0,12000,0,935000,14000,110000,0,0,119000,0,0,0,0,0,408000,0,0,2718000,131000,166000,0,0,2863000,23000,0,73000,0,0,0,0,0,116000,0,0,763000,0,0,1278000,24000,147000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197000,702000,0,599000,2000,0,98000,0,0,0,15000,0,57000,5000,0,0,2000,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0
"TZA",3302000,131000,4990000,0,25000,2031000,2010000,0,321000,13063000,1934000,932000,3985000,35676000,9025000,0,15147000,991000,80000,0,3486000,6813000,0,96000,85000,167000,6243000,171000,448000,0,0,1000,2414000,0,819000,161000,0,69000,10510000,22000,109000,78000,10000,2000,1000,0,12000,0,10000,764000,144000,0,0,0,2000,15000,18000,0,1000,0,934000,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,0,0,0,0,0,0,60000,23000,0,118000,0,0,888000,0,0,0,0,0,14000,164000,0,0,0,0,0,0,144000,0,0,64000,2215000,4000,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,50000,0,0,0,0,18000,0,0,0,0,0,0,0,0
"URY",0,0,5111000,0,0,740000,4109000,0,0,15697000,1312000,2701000,9253000,30560000,812000,0,237000,72000,0,0,9082000,1012000,0,0,0,0,9073000,70000,0,282000,0,75000,6000,0,2104000,0,0,2323000,23935000,88000,568000,2475000,2628000,0,0,0,162000,7000,25000,439000,1037000,148000,0,1484000,0,114000,0,0,0,0,0,0,0,0,271000,855000,2382000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,0,271000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VNM",0,0,1112000,0,0,7000,98000,0,0,8129000,190000,859000,25022000,9314000,5439000,0,165000,7000,0,0,1804000,16883000,0,0,195000,3893000,83000,117000,1000,18000,0,13000,1517000,0,160000,0,72000,0,3305000,0,0,0,0,3000,0,0,0,0,53000,5000,0,0,36000,0,0,0,1340000,0,0,350000,0,0,0,0,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,3053000,268000,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YMD",0,0,1508000,0,0,64000,25000,0,0,3011000,1024000,988000,163000,31121000,19000,0,4270000,0,0,0,1400000,1949000,0,0,2000,5000,2285000,20000,412000,0,0,458000,5948000,0,2434000,0,0,0,116000,0,0,0,1000,0,0,0,0,0,0,169000,0,0,0,0,2000,0,77000,0,32000,0,738000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",0,0,53122000,0,0,15832000,5790000,0,0,100689000,3514000,6952000,64141000,331380000,16006000,0,8000,2682000,0,0,74938000,118816000,0,0,6176000,541000,25316000,6174000,2181000,7413000,0,2343000,6530000,0,10209000,0,912000,544000,251562000,122000,860000,3727000,662000,288000,0,677000,65000,183000,0,1731000,5574000,8000,213000,384000,118000,471000,842000,62000,14000,118000,3543000,0,0,0,77000,201000,1223000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129000,0,469000,0,0,15000,527000,0,0,1000,0,0,201000,0,12000,0,0,0,0,0,0,0,120000,0,2000,0,0,0,0,0,0,0,358000,0,0,0,0,70000,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZMB",0,0,9866000,0,0,3079000,9285000,0,0,74546000,1530000,2870000,28820000,267911000,2853000,0,12440000,625000,0,0,37540000,20928000,0,0,3000,2691000,4913000,2031000,1673000,0,0,1368000,3920000,0,15454000,0,133000,220000,11648000,0,15000,3395000,3373000,0,0,0,0,0,380000,1646000,1227000,249000,547000,6000,577000,16000,0,0,0,0,165000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376000,0,0,0,0,0,0,0,128000,96000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",4000,60000,19000,34000,0,0,1839000,179000,2878000,14003000,255000,2000,1065000,11845000,0,0,7376000,0,191000,4000,239000,6000,10000,991000,0,61000,23000,31000,3795000,0,669000,0,79000,25780000,370000,17000,2000,6000,14293000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",9000,0,146000,81000,0,0,83000,3461000,1537000,1300000,15000,1000,10657000,1356000,14005000,0,2000,0,0,0,1159000,3103000,0,0,1101000,899000,547000,0,4000,22000,676000,38000,9896000,1026000,32000,0,2000,3000,5025000,9000,329000,0,0,23000,0,87000,0,76000,0,3000,4000,0,12000,0,0,0,1183000,0,1000,167000,239000,0,0,0,0,0,0,0,0,0,0,0,0,49000,0,0,22000,0,0,0,0,0,174000,0,0,2000,0,0,0,0,14000,0,1000,0,0,1000,0,0,0,0,0,0,0,52000,0,222000,0,0,0,0,1752000,0,0,0,0,151000,19000,6000,0,117000,1000,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAO",0,0,0,0,0,0,2000,0,0,4000,0,0,18000,0,46000,0,0,0,0,0,64000,12000,0,0,2000,826000,0,0,0,2000,0,0,145000,0,0,0,94000,0,3000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCL",308000,0,1000,0,0,0,36000,0,0,394000,104000,6000,22440000,17000,178000,0,0,0,0,0,166000,12151000,0,0,0,0,0,0,0,0,0,2000,0,0,17000,0,0,0,585000,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WSM",83000,0,0,0,0,0,0,0,0,988000,0,0,0,2489000,0,0,0,0,0,0,0,248000,0,0,0,0,116000,0,0,0,0,0,0,0,0,0,0,0,413000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3145000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,136000,0,0,0,2000,0,0,52000,390000,3000,9953000,60000,0,0,0,0,0,0,57000,0,0,0,0,0,722000,0,0,0,0,0,0,0,211000,0,0,0,4000,0,0,0,0,118000,0,6000,0,25000,57000,0,0,0,99000,0,9000,0,264000,0,30000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,160000,0,0,0,16000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,486000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,696000,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,65000,0,0,0,1000,0,0,157000,10000,2000,9425000,66000,0,0,0,0,0,0,340000,33000,0,0,0,0,13000,0,0,0,0,37000,0,28000,5000,0,0,0,1922000,0,0,0,0,5000,252000,0,0,0,0,0,612000,0,154000,0,0,0,79000,0,0,10000,0,0,0,116000,0,0,0,0,0,0,68000,0,0,431000,0,0,0,0,0,0,0,0,0,0,0,39000,0,0,0,0,0,0,0,0,32000,0,0,0,0,0,0,1000,0,0,0,0,0,35000,0,0,0,0,160000,0,0,0,0,0,0,2000,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLI",0,0,5000,45000,0,0,1000,16000,0,77000,55000,0,3717000,88000,0,0,0,0,0,0,121000,2000,0,0,0,0,8000,0,0,0,2408000,0,3000,1385000,43000,0,0,0,1000,0,1000,0,0,2153000,0,0,0,0,483000,3000,7000,0,6000,0,0,0,0,0,542000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,181000,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NER",0,0,138000,0,0,0,37000,0,0,8000,85000,28000,15033000,41000,0,0,0,0,0,0,108000,0,0,0,0,0,2000,0,0,0,0,112000,0,0,91000,0,0,0,158000,3000,0,0,0,96000,0,0,0,0,246000,0,0,0,15000,0,4000,0,24000,0,157000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127000,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,262000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,33000,0,0,0,4000,0,0,70000,0,0,44000,355000,0,0,0,1000,0,0,1321000,86000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37000,0,124000,10000,601000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,3961000,0,0,0,17000,0,0,119000,0,0,47000,110000,0,0,0,0,0,0,336000,87000,0,0,0,0,29000,0,0,0,0,0,0,0,19000,0,0,0,0,12000,0,0,0,0,0,0,48000,0,0,18000,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,0,461000,0,0,837000,996000,0,0,3439000,0,7000,11494000,1122000,148000,0,0,3000,0,0,246000,13000,0,0,0,0,282000,7316000,0,0,0,0,0,0,19000,0,0,0,0,0,1408000,0,0,5000,0,0,0,0,79000,8000,246000,0,860000,1000,0,0,38000,0,2000,5955000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,5000,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,1000,0,0,0,0,0,0,0,0,0,0,0,2000,0,481000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,450000,0,0,6000,462000,0,0,410000,0,0,13000,3600000,0,0,0,2000,0,0,5120000,0,0,0,0,0,37000,75000,1000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,7000,0,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
