"","AUT","BEL","BGD","BRA","CAN","CHE","CIV","CSK","CYP","DEU","DNK","ESP","FIN","FRA","GBR","GRC","GUF","HKG","IDN","IRL","ISL","ITA","JPN","LKA","MLT","NCL","NLD","NOR","NZL","PAK","POL","PRT","SGP","SWE","THA","TUR","USA","YUG","DZA","GLP","HUN","TTO","URY","HND","COL","OMN","SYC","BMU","ISR","PAN","GRL","AFG","AGO","ALB","ARE","ARG","AUS","BDI","BEN","BFA","BGR","BHR","BHS","BLZ","BOL","BRB","CAF","CHL","CHN","CMR","COD","COG","CRI","CUB","DDR","DJI","DOM","ECU","EGY","ETH","FJI","FLK","GAB","GHA","GIB","GIN","GMB","GNB","GNQ","GTM","GUY","HTI","IND","IRN","IRQ","JAM","JOR","KEN","KHM","KIR","KNA","KOR","KWT","LAO","LBN","LBR","LBY","MAC","MAR","MDG","MEX","MLI","MMR","MNG","MOZ","MRT","MUS","MWI","MYS","NER","NGA","NIC","NPL","PER","PHL","PNG","PRK","PRY","QAT","ROU","RWA","SAU","SDN","SEN","SLE","SLV","SOM","SUN","SUR","SYR","TCD","TGO","TUN","TZA","UGA","VEN","VNM","WSM","YMD","ZAF","ZMB","ZWE","SHN","SPM"
"JAM",319000,4573000,6000,0,88958000,356000,5000,0,9000,3928000,794000,1501000,569000,4782000,143390000,89000,714000,9000,0,391000,42000,992000,14557000,77000,106000,3000,1700000,46697000,3479000,3410000,0,9e+05,0,673000,7000,54000,307852000,105000,0,1605000,0,57363000,276000,1169000,115000,3000,3000,1018000,0,1088000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",2941000,13430000,7277000,0,161000,22000,1000,0,25000,5099000,32000,2233000,0,14687000,32024000,254000,0,959000,13064000,48000,0,23082000,20276000,1823000,0,0,572000,2e+05,2278000,19475000,8133000,3000,17245000,182000,31000,17641000,4261000,16365000,27000,0,0,0,0,0,15000,512000,0,10000,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",4215000,14922000,329000,0,9261000,12805000,784000,264000,0,125199000,4370000,7322000,13063000,24833000,192948000,1345000,3000,1119000,2453000,12088000,67000,33371000,9165000,5326000,53000,1000,46241000,844000,1214000,39377000,545000,1740000,55008000,19441000,3167000,524000,69025000,4286000,916000,3000,0,87000,0,0,0,8118000,3111000,0,1318000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,2000,0,46000,0,2000,278000,0,0,1000,1000,0,0,119000,423000,0,0,0,0,0,1000,126000,0,0,690000,7000,0,80000,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",96000,1479000,0,0,0,91000,0,0,0,12615000,4266000,50000,0,977000,8498000,29000,244000,221000,0,8000,0,838000,36836000,240000,0,1074000,1748000,1594000,727000,0,0,0,0,2104000,4800000,0,6110000,0,0,384000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KNA",51000,647000,0,0,1177000,1218000,0,0,0,2437000,156000,319000,0,3529000,84801000,103000,1000,11000,0,98000,0,509000,266000,96000,1000,6000,1129000,0,1000,21000,0,6000,0,93000,0,0,39269000,0,180000,2774000,0,39030000,0,3038000,0,0,0,25000,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",72515000,72313000,70750000,0,634355000,78496000,6149000,0,6764000,860380000,50518000,41512000,48187000,276973000,664718000,13492000,144000,691052000,387468000,27308000,1722000,175039000,3364795000,35884000,0,341000,446304000,183269000,50640000,98044000,15615000,12110000,427775000,122690000,243413000,8000,7687507000,1542000,2928000,729000,0,17848000,676000,4394000,5032000,11869000,148000,352000,13810000,9414000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",50000,10479000,230000,0,14833000,2279000,13000,0,78000,359389000,246425000,16057000,1000,204151000,94777000,915000,0,12451000,37000,20000,0,1038852000,1387414000,212000,0,5636000,656463000,37000,24187000,364550000,0,0,731369000,695000,23812000,244666000,138655000,2677000,10000,4000,0,0,0,0,0,1989000,2000,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAO",5000,0,0,0,0,0,0,0,0,11000,569000,48000,0,44000,84000,0,0,24000,0,0,0,7000,2361000,0,0,0,0,1000,0,141000,0,3000,1435000,1000,1173000,2218000,2663000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",410000,1835000,13000,0,622000,35419000,682000,0,2290000,4053000,234000,1818000,201000,3173000,17431000,792000,0,46000,135000,1033000,0,11044000,1587000,42000,1000,0,2226000,73000,0,3000,644000,18000,13000,494000,0,2658000,14572000,3708000,9457000,0,0,0,0,0,0,1421000,1000,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",151000,85287000,0,0,102000,1403000,22461000,0,0,210846000,4446000,31171000,52000,40601000,10781000,679000,0,115000,0,704000,0,107357000,37693000,0,0,0,30412000,13186000,0,12187000,0,358000,70492000,3417000,0,7565000,107038000,2736000,0,0,0,6000,0,0,32000,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBY",150077000,472483000,0,0,75000,413997000,275000,0,21042000,2455535000,13115000,979736000,616000,850931000,338640000,347583000,0,0,0,32232000,0,2693060000,4869000,0,265000,0,991343000,3000,0,8000,0,46339000,8495000,190800000,0,1395322000,865000,316806000,0,0,0,5000,0,0,0,0,1000,1000,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",3994000,4230000,0,0,0,5547000,12000,0,0,100529000,7237000,695000,4279000,92920000,36712000,710000,33000,215250000,0,1787000,278000,31651000,28702000,0,11000,69000,15540000,1041000,550000,15000,0,9110000,852000,9862000,486000,0,245290000,0,0,296000,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAR",4919000,112570000,1393000,0,12833000,8765000,7046000,4696000,201000,195663000,17602000,197603000,13419000,589859000,114592000,10677000,163000,119000,54181000,5537000,670000,148760000,110069000,252000,203000,563000,85268000,17314000,106000,383000,39317000,20308000,1313000,29051000,140000,120830000,30196000,36289000,9156000,1222000,0,1141000,0,0,0,29000,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDG",377000,2132000,11000,0,588000,1671000,72000,0,1000,27513000,931000,4649000,372000,105064000,5655000,304000,7000,404000,90000,37000,4000,14665000,44022000,0,0,15000,1848000,140000,218000,228000,0,4550000,10531000,440000,113000,163000,74037000,74000,8511000,662000,0,0,4000,0,10000,50000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEX",118515000,54157000,90000,0,875604000,17327000,899000,5e+05,62000,250233000,6572000,1886924000,5151000,731903000,225543000,879000,22000,23879000,8956000,1152000,285000,560181000,1888968000,158000,15000,4000,546457000,7173000,5569000,191000,314000,113443000,7769000,16741000,13977000,7105000,16853482000,4174000,18504000,33045000,0,1333000,53941000,33926000,99171000,255000,0,936000,2249000,127116000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLI",108000,4697000,0,0,0,536000,2731000,0,0,10403000,2016000,1877000,24000,16146000,5807000,257000,0,508000,377000,678000,0,3944000,7520000,65000,0,0,1788000,71000,0,0,0,2820000,0,382000,2932000,0,510000,0,870000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",184000,11880000,5873000,0,238000,510000,17000,251000,0,9964000,10036000,15353000,1394000,6788000,6861000,4000,0,26625000,53838000,32000,83000,5453000,46750000,30882000,24000,0,8714000,1054000,94000,3294000,0,387000,70338000,2431000,24564000,0,11367000,0,2061000,0,0,6000,0,0,0,69000,1000,4000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNG",44000,0,0,0,0,597000,0,0,3000,3576000,36000,94000,11000,711000,2047000,0,0,0,0,0,0,334000,1988000,0,0,0,35000,0,6000,15000,2637000,0,0,6000,9000,16000,1592000,5243000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOZ",211000,275000,1625000,0,244000,850000,354000,0,0,12628000,953000,9039000,634000,5850000,13907000,0,6000,1004000,17416000,914000,0,4337000,15961000,0,0,1000,9830000,51000,0,0,0,15841000,18964000,183000,487000,1254000,30888000,0,0,15000,0,44000,0,0,0,115000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRT",0,32891000,0,0,2000,63000,19711000,0,1000,10104000,23000,17791000,0,42422000,9159000,3391000,0,0,0,60000,0,60490000,75487000,0,0,0,5201000,0,0,1176000,0,5099000,0,1000,0,0,563000,8000,4555000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS",766000,7787000,5000,0,5062000,1300000,8000,0,2000,16952000,2714000,18000,0,80711000,194683000,425000,0,1345000,0,1200000,5000,7638000,152000,0,2000,22000,4755000,54000,181000,563000,0,127000,937000,23000,0,0,33547000,0,0,130000,0,0,0,0,0,0,1680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MWI",315000,4379000,0,0,5159000,1064000,1299000,0,373000,29459000,606000,3588000,1126000,4605000,63739000,1541000,39000,94000,67000,1610000,0,409000,9533000,0,39000,0,25267000,415000,592000,4436000,0,3888000,0,440000,54000,94000,2.4e+07,0,0,0,0,2000,0,0,0,0,73000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",43134000,91603000,30664000,0,93772000,22510000,607000,0,1172000,626172000,41580000,86964000,13070000,281047000,334628000,10951000,62000,185993000,60039000,23942000,510000,149620000,3130260000,58816000,1440000,151000,303665000,17604000,27764000,189126000,1608000,28703000,4.088e+09,51686000,553787000,80762000,2146460000,29196000,8881000,198000,0,764000,1742000,84000,779000,5127000,4e+05,17000,192000,401000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NER",0,13000,0,0,0,0,230000,0,0,10409000,0,2041000,0,226406000,10055000,154000,1000,0,185000,0,0,1555000,4376000,0,0,0,3000,0,0,0,0,16000,0,0,0,0,4260000,224000,348000,9000,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NGA",90852000,350475000,50000,0,156335000,74313000,96923000,68000,245000,1805437000,76070000,266937000,1241000,1977355000,577516000,264000,0,664000,10000,12211000,12000,1267094000,6706000,0,0,0,734009000,4324000,16000,0,0,213100000,73000,205209000,156000,417000,3882179000,7691000,0,0,0,1222000,116906000,0,0,0,0,0,1055000,431000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIC",5784000,3006000,0,0,9249000,6824000,46000,0,0,38383000,136000,16301000,489000,28379000,2743000,35000,3000,0,97000,168000,7000,15449000,72677000,0,0,0,10013000,267000,83000,0,0,214000,0,267000,13000,8000,109902000,13000,33452000,1000,0,0,0,3470000,129000,0,0,0,0,1373000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPL",190000,120000,0,0,91000,1010000,0,0,0,18869000,98000,258000,123000,1434000,9270000,2000,0,205000,0,0,0,4345000,903000,0,0,0,123000,121000,43000,632000,0,0,734000,237000,18000,0,5623000,0,0,0,0,0,0,0,0,13000,18000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PER",3358000,84777000,278000,0,65708000,11462000,0,0,9000,103133000,7755000,16054000,1815000,83331000,178241000,5594000,122000,4042000,9814000,546000,0,112958000,487346000,153000,28000,0,16487000,1618000,268000,403000,165000,13879000,974000,44409000,419000,92000,1173974000,35928000,712000,4000,0,631000,2230000,582000,62431000,0,0,0,350000,5292000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHL",21577000,22730000,1679000,0,71627000,15931000,67000,0,205000,342875000,15403000,35944000,10448000,138308000,240168000,2509000,16000,163471000,181633000,8896000,213000,35457000,1306497000,7062000,89000,329000,135483000,6447000,9153000,2138000,0,3492000,128369000,26970000,15454000,305000,2152387000,71000,8071000,231000,0,760000,288000,15000,20000,433000,28000,170000,2360000,321000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNG",669000,9213000,0,0,286000,1436000,0,0,0,203687000,1283000,29038000,70000,6903000,41966000,4000,1000,2981000,77000,163000,0,1028000,322229000,1000,0,244000,7638000,673000,6491000,484000,0,254000,17240000,5447000,0,0,26352000,1018000,0,0,0,0,0,0,101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",374000,115000,1541000,0,63000,39000,104000,2953000,0,42030000,109000,1290000,19000,3877000,545000,96000,4000,12431000,7411000,14000,0,1649000,126149000,8000,1196000,10000,204000,77000,3000,859000,0,802000,4736000,442000,7631000,15874000,0,881000,9427000,106000,0,1139000,6000,154000,1453000,0,548000,188000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRY",4817000,32901000,0,0,2993000,10751000,364000,0,136000,58835000,1665000,76058000,41000,50175000,4743000,2397000,0,1486000,323000,242000,0,32549000,13701000,0,25000,0,17035000,1310000,0,0,0,17422000,453000,177000,3000,8000,34441000,1477000,4616000,0,0,0,8817000,0,1135000,0,0,0,1831000,141000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QAT",8000,15242000,607000,0,54000,171000,0,0,16000,168870000,40000,236641000,0,210859000,15163000,0,0,5857000,0,71000,0,181066000,1700801000,0,0,0,79871000,88000,122000,5556000,0,1000,48475000,0,126371000,12584000,10872000,0,0,0,0,0,0,0,14000,254000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROU",87429000,26386000,8814000,0,40672000,15497000,263000,78337000,33263000,492832000,12769000,71642000,12056000,261890000,84906000,32960000,52000,14350000,30602000,4305000,96000,626820000,96676000,2252000,278000,71000,83047000,33970000,392000,39352000,109552000,4974000,69174000,34412000,37660000,288890000,550389000,132491000,103862000,332000,0,115000,68000,363000,14844000,1471000,0,1000,31095000,107000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RWA",29000,2768000,0,0,0,149000,3000,0,0,24810000,46000,123000,1317000,10309000,4120000,11000,0,0,0,333000,0,2349000,1608000,0,0,0,230000,0,0,589000,0,0,0,3184000,0,0,29792000,12000,10399000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
