"","AUS","AUT","BEL","BGR","BHR","BOL","CAN","CHE","CHN","CIV","CMR","COL","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GRC","HKG","HUN","IND","IRL","IRN","IRQ","ITA","JPN","KOR","LBN","LBY","LKA","MDG","MLT","MWI","MYS","NLD","NOR","PAK","PHL","POL","PRT","SAU","SGP","SUN","SWE","SYR","TTO","USA","YUG","ARG","BRA","COG","GAB","IDN","ISR","NGA","NZL","PAN","SEN","THA","VNM","GTM","TUR","VEN","MMR","SDN","AGO","ALB","BEN","BHS","BMU","BRB","CAF","CHL","COD","CRI","CYP","DDR","DJI","DOM","DZA","ECU","GHA","GIN","GLP","GUF","GUY","HND","HTI","ISL","JAM","JOR","KEN","KHM","KIR","KWT","LAO","LBR","MAR","MEX","MLI","MOZ","MUS","NCL","NIC","OMN","PER","PNG","PRK","PRY","QAT","ROU","SLE","SLV","SOM","SUR","TGO","TUN","TZA","UGA","URY","ZAF","ZMB","AFG","BDI","CUB","ETH","FJI","GMB","GNB","MNG","MRT","NER","NPL","RWA","TCD","WSM","YMD","ZWE","BFA","GNQ","SPM","BLZ","KNA","GIB","MAC","ARE","GRL","SYC"
"ETH",84000,637000,738000,0,0,0,40000,1121000,0,1000,1000,3000,0,9413000,580000,1271000,1119000,1259000,5278000,4676000,1725000,10000,0,5000,2000,333000,0,11081000,8367000,0,576000,161000,2919000,0,4000,0,0,1708000,903000,9000,0,0,7000,9007000,0,0,596000,0,6000,44548000,1681000,0,0,0,17000,0,1700000,15000,0,1000,14000,8000,0,92000,0,20000,0,993000,0,0,0,0,0,2000,0,0,0,1000,0,0,0,0,0,0,0,0,3000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",2959000,0,0,0,0,0,5255000,6000,0,0,0,0,0,498000,0,0,0,0,1000,28146000,0,198000,0,0,35000,0,0,17000,2832000,0,0,0,0,0,0,0,811000,31000,0,3000,0,0,0,0,1373000,0,0,0,0,9372000,0,0,0,0,0,0,0,0,2785000,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713000,0,0,0,0,0,0,0,0,233000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34000,0,0,0,0,0,0,0,0,439000,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",81000,20000,127000,0,0,0,0,1237000,0,0,0,0,0,1942000,0,0,37000,9000,2854000,4857000,0,0,0,0,32000,0,0,1004000,0,0,0,0,0,0,0,0,0,5426000,0,0,0,0,2872000,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,207000,0,0,1188000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNB",0,0,42000,0,0,0,0,0,0,0,0,0,0,1391000,0,0,0,0,152000,11000,5000,0,0,0,122000,0,0,167000,5000,0,0,0,0,0,0,2000,0,2591000,0,44000,0,0,7855000,0,0,0,0,0,8000,333000,0,0,0,0,0,0,0,8000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,143000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34000,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNG",6000,9000,562000,0,0,0,0,301000,0,0,0,0,0,324000,0,0,0,0,385000,0,0,0,0,0,47000,7000,0,16000,388000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000,0,0,2338000,27000,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRT",0,0,10639000,0,0,0,269000,405000,0,0,0,0,0,13641000,0,5000,2893000,15000,21597000,22410000,9000,0,0,0,0,0,0,12546000,5115000,0,0,0,0,1000,0,0,0,2578000,0,57000,0,0,206000,0,0,0,0,0,0,74000,0,0,0,2030000,112000,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,122000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
"NER",0,2000,335000,0,0,0,0,121000,12000,486000,10000,0,0,479000,48000,6000,265000,119000,29847000,46000,0,0,0,0,0,0,0,1415000,162000,0,4000,569000,0,2000,0,0,0,2000,0,4000,0,0,420000,0,0,0,585000,0,0,306000,0,0,0,0,14000,0,5000,36000,0,0,1000,0,0,0,0,4000,0,0,0,0,15000,0,0,0,1000,0,2000,0,0,20000,0,0,97000,0,1292000,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,2000,1000,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311000,2000,0,0,0,0,3000,0,0,0,0,0,0,0,0,1000,0,0,0,37000,0,0,0,74000,0,0,0,0,0,0,0,0,0
"NPL",21000,25000,2170000,0,0,0,0,74000,0,0,0,0,0,1016000,27000,1000,0,3000,712000,1682000,6000,109000,0,21278000,0,3000,0,326000,1645000,0,0,0,3000,0,0,0,0,30000,0,47000,0,0,122000,0,0,0,16000,0,0,2211000,23000,0,0,0,0,0,0,0,0,0,0,11000,0,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RWA",6000,1000,2274000,0,0,0,0,4000,0,0,0,0,0,1418000,0,0,0,0,219000,896000,0,0,0,0,107000,0,0,167000,208000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67000,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,188000,3017000,0,0,0,0,209000,0,2000,152000,0,0,1534000,139000,1000,56000,4000,13488000,158000,0,283000,0,0,4000,0,0,1019000,735000,0,7000,2438000,0,0,0,0,0,335000,0,0,0,0,50000,0,0,0,4000,0,0,15000,1999000,0,0,102000,138000,0,6000,1021000,0,0,1000,0,0,0,0,0,0,4000,0,0,0,0,0,0,202000,0,1129000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,235000,0,0,0,0,3000,30000,0,0,0,0,0,0,0,0
"WSM",444000,0,0,0,0,0,1000,479000,0,0,0,220000,0,1614000,1000,0,0,0,193000,170000,0,0,0,0,250000,0,0,197000,15000,0,0,0,0,0,0,0,0,1271000,193000,0,0,0,0,0,0,0,0,0,0,130000,0,0,0,0,0,0,0,0,1724000,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YMD",9428000,5000,1245000,0,0,0,373000,3000,0,70000,0,0,0,1462000,787000,361000,4000,0,885000,35009000,0,67000,0,351000,0,24000,0,2421000,10598000,0,0,56000,5649000,195000,0,0,2000,264000,0,30000,0,0,0,1600000,4971000,0,424000,0,1000,83000,0,0,0,0,0,0,0,2074000,4936000,0,5000,0,0,0,0,2000,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZWE",0,26000,477000,0,0,0,1000,3624000,0,0,0,0,0,734000,0,94000,0,0,49000,162000,0,0,0,0,4000,57000,0,26000,0,0,0,0,0,0,0,12528000,0,136000,0,0,0,0,0,0,0,0,0,0,0,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,0,0,0,0,0,0,0,0,0
"BFA",0,0,169000,0,0,0,0,214000,103000,121000,1000,0,0,342000,1768000,0,42000,15000,3294000,53000,65000,321000,0,18000,0,0,0,1034000,1689000,0,0,0,0,248000,0,0,0,1000,0,0,0,0,0,0,0,0,406000,0,0,5000,0,0,0,0,3000,0,0,46000,0,0,33000,0,0,0,0,0,0,0,0,0,69000,0,0,0,0,0,0,0,0,0,0,0,0,0,2577000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269000,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,77000,0,0,0,0,0,0,0,0,16000,0,0,619000,24000,0,23488000,0,126000,343000,41000,4000,0,0,0,1000,0,37000,1000,0,0,0,0,0,0,0,0,3743000,0,0,0,0,29000,0,0,0,1000,0,0,11000,0,0,0,0,10000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPM",0,0,0,0,0,0,77000,0,0,0,0,0,0,0,0,1000,0,0,148000,2000,0,0,0,0,0,0,0,62000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,4000,912000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KNA",0,0,0,0,0,0,0,0,0,0,0,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6013000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1864000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
