"","AUT","BHS","BOL","BRB","CHN","COL","CRI","CYP","CZE","DEU","DNK","DOM","ECU","ESP","FIN","FRA","GBR","GRC","GTM","GUY","HKG","HND","HTI","IDN","IRL","ISL","ISR","ITA","JAM","KNA","KOR","LBN","LTU","MAC","MEX","MYS","NIC","NLD","NOR","NZL","PAN","PER","PHL","PRT","SDN","SEN","SLV","SWE","THA","TTO","TUR","URY","USA","VEN","ZAF","ARG","AUS","AZE","BFA","BGD","BGR","BRA","CAN","CHE","CHL","CMR","DZA","EGY","EST","ETH","GHA","GIN","GMB","HRV","HUN","IND","IRN","JOR","JPN","LVA","MAR","MKD","MLI","MLT","NGA","OMN","POL","ROU","RUS","RWA","SGP","SVK","SVN","TZA","UKR","BDI","CIV","GAB","KEN","MWI","NER","TGO","TUN","ZMB","ARE","BIH","GEO","MDA","MUS","PAK","PRK","PRY","SAU","SLE","SYR","YUG","ALB","ARM","MDG","MNG","SYC","UGA","AFG","AGO","BEN","BHR","BLR","BLZ","BMU","CAF","COD","COG","CUB","DJI","ERI","FJI","GIB","GNB","GNQ","GRL","IRQ","KAZ","KHM","KWT","LAO","LBR","LBY","LKA","MMR","MNP","MOZ","MRT","NPL","PNG","QAT","SOM","SUR","TCD","TKM","UZB","VNM","ZWE","KGZ","TJK","ATF","FLK","FSM","KIR","MHL","NCL","PLW","UMI","WSM","ABW","SHN","SPM","TKL","TLS"
"ETH",13824516.04,0,3785.22,0,732905.13,43155.59,0,12726.31,3414310.79,121816574.25,5241890.56,0,0,7049603.95,5086832.01,28599117.46,39686000.65,6374090.23,35667.24,0,934112.51,8777.25,0,2315938.19,240997.09,36704.33,3506613.86,58392767.49,47314.01,0,1646926.42,838285.42,0,0,412008.55,8611045.3,33949,11233480.27,2094885.28,51978.36,0,53648.39,537825.31,0,141127.78,0,0,2548115.19,406457.82,0,787055.09,0,72595623.91,0,1206230.36,43517.8,1472975.05,0,11102.53,42073.52,456085.33,204843.69,4870225.86,12065339.92,0,0,5694703,11564588.48,0,0,189416.86,0,0,110087.52,3860661.06,2078347.37,922199.5,5214061.35,65570864.35,17566.43,295325.22,0,0,4082.58,8422.07,152838.22,14867541.02,4875010.69,90325.92,227692.84,3551635.39,422630.58,471191.19,391285.7,0,130431.57,163224.82,20704.6,13706643.31,0,104669,7360,59597.39,233091.17,3311907,0,0,0,584750,0,3337,0,49066929,0,0,111351.99,0,0,79035.92,0,0,468271.97,0,905618,0,0,0,0,0,0,0,18295,0,44763980,5103,0,0,0,0,0,0,0,0,6354,0,0,417697,0,0,0,0,0,0,0,0,97361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",7133068.58,164669,16126.19,8510,3696928.63,196666.79,0,1164843.04,434999.56,172594123.36,8210655.52,230456,213813.02,62717149.28,1973447.96,127750011.99,346477718.65,4848237.59,0,0,3363422.21,55752.54,0,1035101.86,49558072.36,125750.71,338530.61,63018522.48,494197.29,0,2841649.96,2233089.03,0,0,908211.47,5658935.37,0,148112897.99,2970814.58,580860.16,0,0,3694777.14,7265560.05,203795,1495508.94,0,1211682.99,10445798.95,12700.84,7541458.73,2190,56214748.79,0,4403299.7,1320,4410685.66,0,7248528.66,1084406.67,1027075.79,16131,8765450.12,18853070.73,239695.22,172724.08,202152.35,1310646.36,14866458.27,11094,0,1081849.68,231449.8,8542259.65,453401.98,4618787.08,207149,1901.56,72590492.01,1169.16,2508633.12,936052.46,2066708.71,364799.45,11098560.73,27697.53,9933432.03,1127160.72,22633242.16,1273.58,5821515.04,47288.4,1287658.77,72822.58,1702009.22,0,13487897.97,74893,807605.66,0,3594636.95,21739435.67,423844.04,28500.45,844955,0,0,0,213918.9,285151,0,0,9605371,950750,19676,3938267.18,11756,0,0,0,13252,183578.39,90344,256784,15372921,0,0,0,0,85397,0,17285,0,0,0,0,0,0,0,0,11443,0,0,61148,0,12959923,3895,0,0,0,77785,23250,30931,0,0,0,0,0,0,0,123948,73664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18864,0
"GIN",2087714.59,0,11233,4349.07,30910670.09,50775.33,1904,0,1700462.95,23148601.05,5113226.92,0,11341.14,103367566.9,12485836.28,54978059.72,69798319.58,1780445.85,14641,0,5103611.38,3569,0,1852137.74,76687840.75,2650.93,208703,25043065.88,0,0,18911562.37,180684.2,0,3040,17006.53,3047,0,1361899.61,33736277.17,0,726219,0,0,1101565.11,223872.33,3560254.18,0,35012,449068.9,0,4041,0,123858156.41,0,82633,0,0,0,53532,0,301458.92,0,19059382.58,4727629.27,0,41121721.56,4301246.16,168023.41,1656,0,438075.58,0,158860.4,219171.92,4115892.65,49610.94,6524090.58,193360.58,4212477.1,68515.63,15299326.9,0,856224.89,1829894,1354268,0,238201.59,171038.78,49903183.39,2933,55925.18,0,2122358.06,60535.93,44236689.21,0,8791568.08,169645.52,0,0,18887,42240,1983790.93,7289.39,8686,0,0,0,0,107542,30396,0,0,479965,0,1362805.46,0,0,0,0,154698,7949.4,0,0,4482,0,0,0,0,227081,0,45508,0,0,0,0,0,70712,0,0,3904317,0,0,0,0,5659771,0,0,0,0,0,0,0,0,0,0,0,4213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",6068,0,0,0,0,14471.72,0,28107,0,740892.45,42349.08,0,0,3228213.9,25792,698624.82,5039004.55,0,0,0,3287903.64,0,0,622181.22,64869.29,0,0,498607.75,0,0,443093.5,36523.44,0,0,64619.7,397116.85,0,823788.4,0,0,0,7994,230167.33,648913.66,15299.6,1056395,27744.89,23794.7,1981801.51,0,342773.8,102107.31,248470.39,0,81581,0,0,0,0,16836,1310378.49,37914,69863.03,8492.82,0,75859,0,0,0,0,6304298.56,1505163.18,0,37656,0,18914,81296,0,7743270.12,0,0,49870.69,764611.56,43173,71318.69,0,496283.43,2000,497766.92,1560,2490,33625.16,38584.69,40220,615016,0,465599.98,15476,0,0,0,1028,132416.08,0,0,0,0,0,1088.21,0,68246,0,0,23616,0,28312.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495747,0,0,0,0,0,10238,0,188427,0,0,0,0,10246,559802,0,0,0,0,0,0,0,0,0,13848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",240884829.66,135740,0,0,8726064.78,3993751.35,22376,2138937.41,49243877.49,791447410.470001,5523939.79,0,3414017.47,12620022.7,2730396.96,96842598.64,75171644.33,17425854.72,60746,15873,1045537.15,43409,0,3363021.96,23217306.12,330317.03,2897080.89,797297261.500001,415502,0,986944.98,980541.1,994069.85,1502,2384615.1,2518483.93,19800,65150754.15,6092096.36,359551.11,2275763,348849.02,2009143.18,2663161.6,177926,1248,19577,17857599.11,664120.78,50220,12710656.51,455783.79,103279710.37,359117.3,3264028.12,1204126.46,5790989.41,18365,2117,124758,10545240.8,42117308.57,9473418.7,47018034.47,1740290.81,1279149,3186753.16,30687870,549518.23,334043.22,68181,1523908,99585,0,46218552.48,2700672.58,8590973.5,707737.06,11096776.32,2010324.24,5240166.81,77615668.5200001,48966.23,28257335.29,2560752,87089.25,48553917.4,16376070.49,184125667.38,11804,3351589.83,24580290.28,503693075.12,508257.75,17681748.25,0,12114,27793,299905.09,40612,59483,0,954050,2606,5510621,597838343,226655,899996,7627,2334358,0,76667.97,6200246,0,909111,33924118.98,5188544.79,0,68940,2979,0,84257,23309,33076,53082,350691,12627727,59059,0,0,0,20024,109732,3010,10847,0,104313,0,10250,0,0,877025,0,297450,0,123903504,538553,18059,0,0,0,0,3600,0,15469,23244,3500,36910,1513185,2382799,2412009,4950,0,0,0,0,0,0,0,0,0,5418,0,0,0,0,0,0
"HUN",1973328114.12,4319400.05,273082.43,140862.9,29286801.45,3292209.34,998579.49,17161989.62,337103257.63,6454078778.95,84911896.7,412000,766291.9,384463358.65,103179564.65,839093492.96,793914859.51,88885837.66,167050.66,31810.18,15778790.32,80534.27,45000,27816152.57,89251031.8499999,2939900.69,36137668.49,1292601089.87,1117389.46,5111,62335453.08,29396109.43,70192265.02,319174.45,15813929.51,13889733.95,2000,715179006.99,63877590.97,3850858.07,1079051.8,6474275.79,3957661.38,20106604.67,7562826.62,459725.37,116093.53,190328220.76,15411201.82,160261.26,123398216.31,3150078.87,998198210.89,727040.76,18877013.94,20938641.1,29551890.23,5273050.9,36524,4893537.18,44005206.74,86359387,48805657.26,249354993.12,6235345.78,290755.65,11265593.42,51109838.53,18879225.52,2397347.31,1628318.5,90000,2409,241824622.77,0,22790651.99,39224996.42,8925606.79,160793152.96,26898133.21,12088202.07,24318447.91,92142,4459668.84,4314951.74,1298652.75,591360288.64,344385384,970814150.99,19324.5,131558094.76,251027402.12,301513376.35,1894438.23,232842051.88,32979,1596440.4,356426.88,2368877.25,27000,117970,11058.59,11280091.81,153312.41,17159000,107118000,14179707.6,17721000,498214.1,18957000,609000,181298.31,22629000,676000,18606000,149780480.35,8466046.4,3463060.02,940794.81,2392469.73,2653000,763035.65,7000,0,253000,644000,50886000,271000,465000,73000,0,32000,281000,0,0,38000,190000,4000,0,291877.15,29000,31821000,14000,7061000,0,75000,12114000,1559000,14000,0,1465000,52000,580000,0,1048000,72000,0,0,1378000,25570000,15490000,1469000,1617000,398000,0,2000,0,0,0,0,0,22000,42000,0,0,0,0,0
"IND",171390985.89,269547.21,2243688.55,2026717.68,870570214.099999,70088728.07,4748554.44,36431815.96,68265256.35,2347966351.8,214338965.61,4510792,5976878.7,610277382.79,83368777.21,1084106740.43,2560653926.91,123528249.86,5863213.03,3049396.87,998449680.41,3586957.24,2011438,697528664.23,92083406.3499999,8162934.82,194138405.76,1407438449.88,3750738.75,52301.06,919978626.48,37404477.7,5853817.28,7180006.06,224399665.46,743561972.53,1641973.23,832901626.099999,116209111.98,92838174.05,41020137.38,31737725.75,344730206.01,170903648.06,61343843.2,60053699.32,2164465.36,206111610.48,439891405.23,15136870.75,345808784.64,27860082.95,5445019622.49,26065856.62,375276135.04,145129758.48,457398058.89,3349613.52,6282980.34,994305039.93,10440692.63,267232163.17,510555075.52,339023011.3,112453314.73,11247307.07,19738642.7,293265075.12,10475330.27,76861945.01,62400981.72,9645272.94,23528448.3,27507456.37,53881686.56,0,263511435.75,86524471.49,2128922660.01,6094481.79,44577867.14,1182952.62,11282994.22,16366760.15,275676970.5,211216608.34,141058764.18,25605729.34,932260124.49,10358059.45,899840935.660001,20619703.92,20682354.34,83065761.4900001,92204214.67,2658405.61,22821639.57,5711226.83,155673979.33,10703930,6406255.49,29777011.89,41321127.5,34041910.17,1417932406,469639,2172086.13,653270,222480899.45,142583586,37465344,11624747.07,666120781,932240,56504838,25689436.62,558222.99,1002382.25,14065050.71,1284314.01,6663383.35,63584323.6,20673073,11563531,20185844,57413661,3442600,106135.26,533595.28,332210,21867665,14323980,593203,8766080,0,405653,114946,1058993,52574,390599.65,11103295,14710725,2911762,166109883,306560,3052963,38522624,457830773,49147825,0,29734409,3573903,166008607,2297539,39493610,20873872,1071520,4054693,1674221,16662347,115500717,23539183,10761701,1118892,21268,0,0,235778.84,0,645912,21331,120548,353384,0,148531,93619,690030,19647
"IRN",38439539.48,5438,79358.96,115974.05,484867757.46,8017875.46,105793.78,3309960.02,9866923.6,670275626.13,9467016.52,0,296923.63,647619251.46,2068496.32,830415253.96,58925947.62,455385485.26,19919.27,293092.6,26736357.07,43247,0,390397679.41,898610.26,72579.85,0,1806270765.93,28836.3,0,1570583444.9,30117532.34,192729.02,82898.63,8302873.29,30502021.22,41656.86,619834282.45,9223869.98,3214508.81,68133.83,205513.86,736470321.6,212359972.81,47767654.52,402655.34,37675.96,201539791.12,396634276.22,83420.39,599667356.72,48811554.74,4692067.88,507160.55,34060635.87,1556140.27,19073701.19,102365828.69,264154.72,20103727.58,46803147.67,300688195.44,317524837.18,71706090.94,1444243.92,1496350.55,1317788,4881981.08,573193.31,718669.13,615507.63,331952.78,131062.36,648279.12,5473167.43,586093573.83,0,8669028.69,3027383915.12,599084.43,20881476.46,10561037.05,162264.18,448881.46,840284.36,33727681.32,39375195.54,93905147.95,50798384.1,106630.8,524062011.7,2877272.18,1468184.31,813362.52,78772591.37,1415481.98,811860.76,446028.44,12950581.86,99544,340620.1,198424.42,6820886.91,10954.57,285549490,293443,6470354.31,212205,552879.06,29455856,120193,846357.87,37703253,15798,13265913,29515216.5,30539.67,68058011.36,44079179.28,0,0,1160738.4,14467917,0,144060,3918500,302351,0,0,301284,136674,26065,0,0,20682,0,0,0,0,28098.21,0,32686940,0,30339059,0,8133,4569610,329118,617215,0,191845,69255,116400,0,9033051,0,0,0,146030031,104061497,112740,197062,21024982,28871393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",481680.47,0,9867.74,85464,20436574.32,83927.82,0,1764005.58,1936372.86,18101344.92,259163.86,0,161919.04,10297101.56,330270.22,8521465.55,32120737.19,18785732.93,30718.35,1000,3502877.1,0,0,19370750.57,1579799.89,0,18426893.11,34456183.13,78994.43,10705.96,30730020.35,42860752.79,211565,0,42847.32,25938843.36,0,57363016.48,618366.45,7145276.48,0,203903.28,14524281.48,2579967.35,22149905.11,0,0,589731.3,1125417.5,37438.68,33219475.97,0,36026359.75,30712.8,1837430.13,265234.4,22404929.8,765070.88,0,1136089.62,10346524.54,9748882.24,884595.17,854612.03,138627,18820,17601214.05,28713826.46,1410,1963069.21,48148.72,136070.75,7719.35,87909,1353026.81,157960361.12,8442889.83,0,40543247.9,0,3779527.96,1324694.3,0,192808.04,159632,7019376.03,261673.7,4366960.82,4767710.12,20065.22,2028666.69,909799.7,308916.06,119412.35,3142730.68,0,4239.41,0,95528.84,0,0,0,6910620.28,33625.67,82630180,88817,0,163519,6549053.5,2820946,0,0,149678904,0,47243321,669480.24,30585,0,86268.29,0,0,290185.93,0,268833,16925,13531731,5641,0,1516,0,0,70521,0,263380,578780,19830,0,0,0,28208,156786145,0,0,47823800,0,23977,8912890,325949,0,0,0,15514,31254,0,30452385,296626,0,0,0,120541,111140,21172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",1357352734,350187908.75,303827716.16,242849280.81,22351972498.61,797595401.669999,230626485.05,245372016.14,504888944.85,20192040738.44,892946498.6,184077581,272683166.51,3176983952.03,1633220680.86,8503380352.33,14982290840.8,874051640.100001,142918545.29,64110560.99,22826813628.18,83035779,33036925,8770466903.08999,2439489824.7,98650789.04,926865979.6,3989471803.66,201946800.43,6124216.39,26768927404.55,297253564.79,10859275.36,155765358.15,3806868453.95,14093323619.06,70726163.73,7174806602.4,1798027462.28,1680660050.47,6526045392.21,471804362.7,8399441304.09,825097799.76,53966661.98,50940999.44,95143657.68,1685345361.12,13936724427.65,125353453.89,2017038026.01,105283886.25,109920450432.81,611766117.78,1217878686.99,1108839796.88,7753071963.03,20972719.66,48397417.3,477462629.84,40520000.8,3692746374.25,7730321730.74,1964357288.01,944485563.22,77389504.1,280293442.31,868742301.13,137127584.13,130307658.51,161206845.6,27610926.76,9683977.06,131893512.95,682097417.99,2032053493.2,1061607228.82,195361011.22,0,9233693.26,204141975.05,15156088.68,20071043.01,94186245.25,365111344.86,1167061629.82,692364339.76,152707932.21,1015720078.32,17771412.76,18259373602.3,191268584.87,156087714.72,85246823.48,142400327.94,7059953.63,115881839.81,66557483.54,235820364.16,16995234,5675809.11,29473549.42,180285054.43,38328279.11,2399668313,6760015,1819928.8,384067,105622269.45,732096169,166513234,259298958.52,2954614372,2689623,185300571,48455651.79,330627.77,3003730.55,37431892.99,45707519.24,14363564.57,62870826.45,87673830,53453679,13925284,183212706,18930821,29902924.91,45209461.18,6199498.51,6386852,7510401,19586923,10467027,15295160,39902254,27822875,6738654,204077,10759338.02,4955993,30138107,55416456,938039093,25947062,466346107,265957213,390518981,181955098,44733547,26116141,23709949,30921296,135888234,371031666,507463,16185510,718466,3588459,54922532,1086724248,113293949,2266590,1813424,0,214261,12055322,8591300.12,318941427,28189037,16707917,143371380,19966601,0,51527,36268,116016,3116
"LVA",9927897.05,75376,5458.68,0,3109910.5,1834295.63,0,5618725.78,7178303.29,347670540.14,91192400.0100001,0,15039.63,14372804.64,36072814.48,32840606.89,517789895.45,1753447.93,0,0,8806393.35,81984.53,0,2956424.88,15940657.73,4897422.16,1942649.3,23547187,0,0,3917730.37,2512869.23,187446424.66,0,27016,34418115.29,0,195305523.34,29747156.05,0,1912791,2602979.28,10839696.53,2462849.11,1503,9703,51443.89,343972269.8,707240.7,1079300.75,2013425.93,0,122833685.45,1164370.76,350741.5,5174850.6,1237580.79,2501044.86,0,0,2667596.79,279784,2625211.09,7527170.13,51620,0,9047224.56,4197440.99,78416868.2399998,0,0,0,0,1927387.99,2253529.84,12235741.14,313438.48,252067.23,7477014.52,0,722096.95,10339.58,0,295865,0,0,24305629.05,716826.21,388436710.17,0,69589893.72,4751241.03,4164215.72,0,80710759.59,0,0,0,3801,0,0,24184,138056,0,209332,4291,693015.89,2981493,0,110130,1562698,0,853758,0,2313,1892612.8,47091,601266.92,14221,331554.13,0,0,510316,0,0,6947,52323197,130814,0,0,0,100804,240598,0,0,0,39564,0,8524,15449,0,9640541,0,7720,0,280807,0,15549,0,0,0,0,0,0,0,0,0,0,482090,8034080,280851,0,1116699,256412,0,0,0,0,5865,0,0,0,0,0,0,0,0,0
"MAR",31409400.81,0,0,2078,54921853.97,753061.86,240653.58,3966244,9934603.17,479244975.47,6231684.2,579145,1080513.51,638424120.19,27677857.69,2313818767.21,518071942.06,40240505.68,40032.12,3000,7972850.27,77164,145884,4764791.41,60370826.07,590770.52,24947.03,412631467.17,0,0,18670647.74,10308064.75,1463671.97,1001,86369082.94,494659.55,199442,206475284.87,36253916.65,72568637.81,52089,1919975.4,4398270.76,68627413.64,370709.09,9901682.8,287776.65,22556496.31,11756888.14,252310.18,55761256.1,5467216.75,256460983.05,5476561,8570179.83,23462980.48,9967595.45,0,1077861.05,0,21619137.91,59732336.09,42706611.98,20436481.26,878114.18,5267294.93,6943791.77,15826085.83,1477356.39,464658.91,7751506.53,6116638.48,1300500.65,19651754.84,4944256.73,409178011.47,63129525.34,6557107.94,322000500.84,319495.63,0,5403.53,6361664.34,6208396.65,8814409.02,1950074.68,73121483.04,9539221.37,34518662.68,0,3047425.81,6863336.63,2267319.24,553336,591755.61,2805,13415897.21,18817895.71,570932.85,0,1455073.61,2059874.65,53561498,16230.86,7506839,0,106487,0,1798513.48,17007303,0,0,67805948,526311,7165994,2244721.18,0,0,898781,0,1753,17884.11,38003,6046908,4252907,220622,190348,0,1916.59,111045.07,3025432,6347994,111903,155309,0,0,37526,0,1512129,13728,262282,1382,0,2985613,0,1063756,130105812,423279,0,0,0,9997747,315554,0,382318,25235,36496,110344,0,0,54629,2856,0,0,0,0,0,0,0,646947,0,0,0,0,0,0,0,0
"MKD",19905299.93,0,0,9345430.62,170447,0,17743,8999580.34,5957768.89,219942403.6,3663087.53,0,0,22487341.84,513636.35,15577815.39,32928013.73,95177632.2,0,0,125414,0,0,37862.37,825227.79,0,208748.22,108571433.11,0,0,16711470.63,608738.07,54364.06,28651,129889.16,102331.51,15789,49932316.05,432831.9,55696.52,0,0,0,656501.01,0,0,0,3421355.79,0,0,32633039.45,18252,153877193.24,0,245422,15851.15,1293383.96,89682,0,0,36246030.02,177723.22,2880992.98,82228076.4,1812309,0,0,9351630.13,30179.31,6431,47554,0,8974,45316306.45,7413775.49,1448917.36,1035162.37,4690932.28,9162075.27,2246,0,0,0,87442,1161900,0,4553931.57,6538304.5,39128703.37,0,0,1114576.76,60359112.46,0,4467120.5,8395,0,0,9218,0,0,0,0,0,2348172,20910033,42153.57,154197,0,5648,51968,0,192510,63251,0,290958133.04,33484557.93,9638,0,0,0,0,0,0,0,0,4880833,0,0,0,0,0,101962,8568,0,0,0,0,0,0,0,142759,0,558041,0,0,11602,0,0,0,0,0,0,0,0,0,0,0,0,393766,0,5160,26083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLI",81230.87,0,0,6856,25409245.49,7182.41,0,0,21015.22,3618103.62,2270,0,3929,7586936.6,108738.61,7705960.49,6204434.16,0,0,25342.6,173876.64,0,0,4673629.63,538522.81,20542.38,0,52645192.86,0,0,13982188.92,3947200.87,0,0,12905394.48,2008677.2,0,419251.89,232651.84,10400.3,0,24507,8628026.08,12680287.06,904070.1,91249138.26,0,92212.88,46385097.1,0,5912.14,0,1773518.43,762821.81,3802583,0,135231.53,0,2850094.33,2345781.54,0,14222558.8,8979086.21,10746972.34,106651.78,38409,1010674,181401.02,0,440602.68,277827,121704.1,139539,20516,68548.07,136598.59,0,3557.94,2534583.61,0,4516235.64,0,0,0,15885,0,0,0,6102,48326.8,0,7856.84,66985.4,161005.83,1080,0,24533246.61,68005.52,3328.45,0,342821.25,252172,2828586.85,49346.5,0,0,0,0,2084363.43,0,0,0,0,0,0,152892.17,0,0,0,0,0,68316.16,0,14655,35034,0,0,0,0,6159.55,0,3422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212932,0,0,0,0,0,4179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLT",6564190.2,3206,4240.98,0,961060.98,229805.15,5839,957423.41,1225192.76,239287539.57,5497344.76,0,0,14586853.86,1799519.05,221265064.22,141186934.47,9472574.42,34926.09,0,15023894.06,0,0,258720.27,5196017.57,105105,545802.09,112808412.56,0,0,13409613.55,1701814.31,1007994,0,8397807.28,527122.5,0,19159589.06,45491740.62,1080421.89,46914.91,30368.31,29166.82,1846874.61,496735.63,393609.23,0,2222389.73,374127.7,0,25124899.72,47914.34,66291668.98,17489,834437.88,428892.05,1878603.34,0,0,132365.81,247128.79,8124915,2094421.45,4387367.72,1461319.43,99065.07,506527,2854585.68,13577,33717,24481.22,0,457817.93,5684336.04,2163581.62,212020.68,407903,401737.29,14136403.35,12700.23,1209493.86,36687,34398,0,321953.33,2184364.67,5167620.93,2912743.58,13273298.57,0,8613266.89,3230203.77,774628.35,36735,1447594.5,0,31666,0,71209.2,942360,54389,18313,4853368.04,0,2815944,0,581022,2138,31930.84,47602,0,7438,3917129,52786,106489,342086.4,4341513.54,311031.83,32274,0,10119,13505,0,38842,1554,206905,0,0,99156,4561,0,0,0,352449,0,9853,105356,0,0,5007,0,8332,0,1011952,0,0,35065744,41261,0,0,0,0,22229,0,286575,62189,0,0,28610,0,98747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NGA",197290752.4,0,0,0,9850233.52,375116.3,0,34488,9652354.39,773534857.1,680596.42,0,0,1373039902.27,30618.46,628481346.78,207995258.03,1276260.96,0,0,8365488.01,568100.98,0,121392580.03,949733.42,48986.57,38491.33,482703954.63,50140.93,0,679201854.47,2543163.89,0,0,1408466.41,3307221.58,0,648984046.96,2195460.54,0,0,1395,19975418.15,431087219.73,127416.51,167023676.15,9752.43,53971257.43,7944768.83,15933.51,16918938.49,0,5773081720.09,2155727.99,73873689,26479029.51,36748765.94,0,17020148.49,440518.99,189183.39,501906760.3,323981708.21,271022594.45,120795428.01,109353310.33,431249,1980512.71,1936698.06,95051.68,174684981.52,6823181.81,2227099.51,11043.06,96330.62,963688209.44,0,0,170413714.36,0,181787413,4759,3515128.64,8512.91,0,4723.1,38551968.13,7297446.3,7788287.08,378241.86,146403847.99,316886.52,113700.43,99391.91,1655896.29,16699.55,426707470.74,1009704.83,1550746.59,0,35809638.35,37432141.27,114390.73,70168.17,879328,0,0,0,1191898.3,0,0,0,0,0,0,101041.08,4722.76,0,0,0,0,145900.83,0,0,9573443,0,0,0,0,1158,2827,624689,0,0,0,0,0,0,0,0,0,0,0,0,0,820259,0,0,0,0,0,0,0,0,0,0,0,153557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OMN",1518441.5,0,0,0,1328317656.55,0,0,627566.22,10023.47,14578628.81,1241981.42,0,0,8121295.41,44368,12356862.64,143090065.87,3762503.8,0,0,218926627.19,0,48452,366769.85,389882.7,4839.22,15143,4915443.69,8379.72,0,901439695.05,3040965.62,1878368.66,0,45191,4199100.78,0,13262940.95,143834.55,36570,0,0,218628809.41,1161288.8,3476523.55,239290.47,0,3666100.2,1408783617.61,0,1655327.93,0,304495375.63,0,1355835.31,19547,52996297.08,2631303.24,0,2941146.02,0,289225,2229365,1604414.75,84765,33719,616862,15969445.59,15717.05,909005.21,413681.28,70842.58,68725,0,91386,60769560.65,141534676,16300422.06,1602045018.21,11623,287379,0,21471,31292,332154,0,39291,56085.95,24802439,638717.05,147360839.58,0,52838.64,64013106.23,3264948,266128,46956.4,7114.05,32525091.54,0,0,24031,2198559.5,27553198,729553445,6827,8725,0,427436.64,5365708,0,0,72745698,82824,8431456,0,0,456290.25,0,0,0,70898.06,849159,440648,9217,9869596,0,0,0,0,345451,292329,40312,272228,0,0,0,0,0,0,93401,17041363,39011,28004991,0,287594,8648359,2591726,0,0,0,369911,0,0,10180819,115742,0,0,1561425,914818,1221463,67636,24738,372711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POL",531386272.78,217555,945951.21,1126331.94,47724082.98,10556607.05,7948677.92,22607061.51,833937506.53,8195221009.80001,746202844.11,3719209,8243593.9,349721583.03,357239935.07,1258873780.5,1002875337.13,98828199.31,5541564.85,447540.09,39062503.42,3125932.93,239339,52935163.8,98991683.96,11686473.42,14254499.89,1553501054.13,5485787.42,9520.33,81266328.49,15660480.74,334946994.75,5609.57,25713473.44,75928066.26,1337683.87,1068358206.46,233929902.17,9779359.28,6001923.06,5102415.11,48527634.04,37013635.23,5796544.93,2846539.09,3894060.66,652289518.53,131450930.93,6677523.3,101238365.16,7462949.91,734851362.68,23032402.13,12744027.5,54228671.16,26902648.23,32742008.79,2078647.66,26188340.85,68562325.03,95317829.01,93420037.01,146867827.19,12670627.05,2148202.61,85430301.12,116830095.01,62717676.91,18269062.48,6016466.99,263129.04,180106.34,60396542.7,365428659.02,64231630.83,81800895.16,9532889.47,90309836.43,97571089.26,81339476.99,14322306.01,627099.82,3702916.98,22585530.15,1517995.97,0,89730272.35,1796487280.57,2818.66,67316566.57,313489617.71,59892411.95,3389824.12,837795159.61,232602,6958153.48,817726.52,2382507.3,0,792806.72,3615897.11,20985758.94,160482.96,31969357,4730898,7646114.58,44335485,65788.09,7966036,3533749,783880.28,53838757,357112,15988987,60449305.52,299667.55,6117776.11,576129.49,5930914.56,0,485384.36,870688,2705744,0,1318594,300963974,197912,0,53384,4483736,122000,1954506,252647,66311,64686,896289,0,0,98958.63,0,50481618,162868,6866293,0,25116991,11610584,882386,0,0,195919,0,141149,199679,114529,0,67253,0,1563766,76129231,11439841,1326809,2501686,6952818,0,0,0,0,96973,776225,0,84203,0,0,247832,0,0,0
