"","BRB","CHN","DEU","DNK","ESP","FRA","GBR","GLP","GTM","HKG","IRL","ITA","MYS","NLD","NZL","PRT","USA","ARG","AUS","AUT","BEL","BRA","CAN","CHE","CYP","EGY","FIN","GRC","GRL","IDN","IND","ISL","JPN","KOR","LBY","LKA","MEX","MLT","NOR","SAU","SGP","SWE","THA","TUR","URY","YUG","CHL","COL","JAM","PHL","TGO","BOL","CRI","DZA","ECU","FJI","GUF","SLV","TUN","VEN","JOR","KWT","MAR","OMN","PAK","PER","PNG","QAT","AFG","AGO","ALB","ARE","BEN","BFA","BGD","BGR","BHR","BHS","BLZ","BMU","CAF","CIV","CMR","COD","COG","CSK","CUB","DDR","DOM","ETH","GAB","GHA","GIB","GIN","GNQ","GUY","HND","HTI","HUN","IRN","IRQ","ISR","KEN","KHM","KNA","LAO","LBN","LBR","MAC","MDG","MLI","MMR","MNG","MOZ","MRT","MUS","NCL","NGA","NIC","PAN","POL","PRK","PRY","ROU","RWA","SDN","SEN","SOM","SUN","SUR","SYR","TTO","TZA","VNM","YMD","ZAF","ZWE","ATF","BDI","DJI","FLK","GMB","KIR","MWI","NER","NPL","SLE","SYC","TCD","UGA","WSM","ZMB","GNB","SHN","SPM","ABW","TKL","TLS"
"CAN",37849499,2107690233,2464423491,118424947,394986517,1467757691,3500256226,4151278,30998852,486150536,191324923,1304402037,252425450,806296519,172630343,173974861,86963648660,34778540,680212538,222810473,626467701,428061021,0,276019248,11996319,75005257,210925084,75921908,4359672,371310955,270504288,10613353,7621175158,1331672192,76348317,18751041,355775492,3618669,566176002,175450640,323522632,338281415,465227751,171045513,16042451,99184219,212913230,222196497,129775311,185346502,2101386,6399603,36992608,393578283,45784054,3216359,60242,15123547,44042295,190848496,4865450,32981040,157541014,8467630,77706570,67703266,21698586,4060167,219203,21789760,292695,25651820,1791310,1398684,73403202,24059425,2257150,43106033,3062450,21315139,4132,8567347,26516245,9515811,632604,14302727,148121263,0,48403987,18398434,4943695,14837921,10003446,6031531,50446,9145937,9013132,13048034,7199756,305850297,168930592,123422188,48418987,15538,4417370,21053,6796021,1540862,3040297,1301678,4033056,2308746,0,23074754,1268311,837142,883580,25788098,10031607,14052488,29803489,532485,3856849,21016526,704186,6314663,10336879,2578304,964473991,1822205,7018663,52946681,17623149,6567622,14006706,143402014,18503111,44673,315279,296648,0,234582,7299,2143463,1485616,1176247,1773027,350559,103848,2651390,226822,8930554,66471,0,33751514,0,95527,0
"CHE",5545795,386112127,13448465174,580051955,1197685938,5447203024,5134245123,3706127,19137283,2195476620,137782317,7655440437,351190125,1604626883,112904524,486833594,5073156142,80446324,446585845,1972422006,1825977649,387116408,504935037,0,46039835,248523325,428942674,327507792,1112273,214401404,283883214,18601635,3742609251,530437251,203588676,19371782,381666084,17009441,388947033,1536496410,659223476,961032236,579570937,495164548,27538345,395606946,71262787,141471918,10378463,84552778,3352583,3828585,20400325,109915082,47588641,1659668,1363804,8412615,61002623,71893085,24418269,56001599,99268525,46790265,211345172,47523556,1138011,53324916,2554768,35174318,8439157,225774614,3265647,1275528,23719958,95122104,68926339,16398774,260896,16934051,354131,26768976,12708514,20805866,1613644,250120189,31513367,148591635,10226671,9939267,4318835,18116347,3848189,4264873,90757,705034,15799875,2802376,270665167,312474658,92426499,1292367462,30545418,119501,1888,61300,84627898,7150639,3050628,8338997,3804068,21815673,3721786,5583154,1688590,15752447,4214282,86818999,8321378,97817829,219359394,3528684,9089830,54333989,2182505,17326936,6783360,594952,736345111,1024115,21415075,5176444,8296859,2282324,2056616,406753631,34041917,0,1718969,2064916,2385,149494,44299,2129770,1668050,5891640,1474050,1122122,505979,3749579,30711,10408776,87375,41330,66801,0,0,0
"CYP",10167,1293589,69056752,4473455,16872387,23005004,241156673,5502,0,9631899,11805686,27196501,762331,14883347,117711,830410,18227152,125076,447169,8292154,30825828,0,1318254,6728033,0,9331358,13516415,49090866,17408,0,412124,65267,3666658,14890723,11666054,1312991,24028387,1432685,50748631,37629062,9141413,16268656,1454457,8285416,0,18144442,0,0,0,3602,0,0,0,76407,0,0,3767,11187,132170,2313,2397956,140522,168365,3108315,63344,69519,0,1485835,0,0,0,0,0,0,34638,0,0,0,0,0,0,0,3077170,0,0,2215954,0,0,0,59245,0,0,0,0,0,0,0,0,0,0,0,12017478,306364,0,0,0,0,0,99238,0,0,0,0,0,0,0,0,0,0,0,2425670,0,40877,818679,0,0,0,0,0,0,498542,0,0,0,0,0,943,0,0,2166,0,0,0,60407,0,0,0,1285,0,0,0,0,0,0,0,0,0,0
"EGY",1395,5299319,232426997,24599770,108030178,225448499,232944694,4438,0,1062887,2739814,1511061068,878775,70168127,1897295,158229908,394239005,57382,2355572,92785712,59451803,36234,7196488,13041538,8892386,0,6118367,35559292,3824,2594285,169086,17436,104042619,119639252,35355774,1254829,256085,183945,3802053,87193805,58979179,6767462,544314,33225910,1634,77928187,14081,4550,16672,527461,0,3111,6711,6393881,0,27394,1676,0,19954978,6666,6899001,4051983,38778328,3101992,5782838,27592,0,2213734,0,0,0,0,0,0,272138,0,0,0,0,0,0,0,1490,0,0,40247638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4615036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456745,0,0,14819373,0,0,0,0,0,0,9910412,0,0,0,0,0,0,0,0,49927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",2164764,149813120,3208102344,873191207,586887780,1697568281,2875494929,3651191,1776028,124719079,159422945,877407562,52161509,1241265036,42897268,195355633,1248546438,15079927,215345452,322607123,549270737,85335822,276426708,437602792,9259599,114189625,0,148380735,2483854,47051621,108313343,25432707,414543673,115878170,25508615,6109964,51903006,15149329,779764782,81427720,91441819,3454939697,100351783,96829689,2448322,66572791,134441159,18877023,6931306,14840304,1621610,2576036,5165878,58870829,1572448,424959,134183,1199079,27547817,14203548,7643022,4944954,30394349,8531916,23419629,6953737,977142,727438,583114,2258476,98005,34751816,1197034,286078,6315572,14458327,4825225,5787186,1052,334458,5965,9696969,8830738,2555011,700979,82380168,2478598,109990909,9202243,17803169,25456,2829710,2924023,2541343,0,188186,7124379,207994,58343052,104090062,31557339,88400638,31088158,0,3134,596987,18971049,679869,1886771,204383,1031658,635363,2457512,12141762,24198,5418438,0,12552051,4634250,7250225,94745994,3125188,134151,5581454,265611,8911935,5801611,2256416,3338775184,25465,18325617,345259,18815088,8399878,35747,2977337,7796677,0,6348,101107,0,8806,1020,3071709,1223377,15169612,194769,42454,1359264,822345,0,40238920,336601,0,9772,0,0,0
"GRC",56147,49062136,1989445690,78444750,188382756,734791442,644382663,497674,168853,9812005,22417826,1502279803,3138684,244375339,10900489,31470595,506601358,700906,45224660,190344331,175396395,2751094,63462288,89892389,168254362,70234562,90751644,0,227574,5820043,6335114,1331243,136367608,69097059,77476425,6620359,2688158,26113982,63854198,98437431,60740066,152551030,19561410,125920272,466564,189011434,518561,201889,233901,4177087,1618871,4404,507638,23172767,317383,103681,60159,3550,55573692,1193168,10347249,11172762,12590264,2227855,989618,272238,57565,6735752,1557768,402087,17871763,29686662,22145,0,370304,53112518,2341732,11142989,0,1616243,34382,8145322,1712213,1223785,76581,31704410,15954,33016589,2744136,10891241,0,2674499,109851,4690601,0,16907,5946636,297856,22731587,19148220,22889111,54817948,428400,0,86959,0,49426495,16432301,16346,79882,116314,59752,0,2243567,166252,5537296,180681,27878714,300300,39799795,31588300,415616,22391,59447961,65828,5003071,881673,572925,126956180,0,24235446,0,157483,0,629109,3744627,165503,0,128530,485268,0,74419,1563,47878,190080,189124,23205,104971,298780,276257,2359,3956,0,0,0,0,0,0
"GRL",0,40207,30324795,308459462,1191975,44251219,16385084,17155,0,0,1062,127591,0,11887067,0,604,1218060,145601,0,0,5537923,0,149698,37296,17844,0,890296,2818562,0,0,0,703871,121073070,731089,0,0,0,0,14448914,0,0,12067014,263971,23945,0,3540,0,9424,0,0,0,3166,0,0,0,0,8782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",298995,776343901,831106517,78805596,174974321,492395615,527758673,1235773,488119,589090596,29938956,368509890,308031630,540149410,76237116,53194304,3354533764,7711524,369761403,42999744,192884136,18455174,161204132,46343414,9751640,67007989,21512130,11281448,110728,0,59847213,344257,11475605340,1462952833,3059667,40587072,19333369,3492002,23248130,274845340,1902129859,48502798,185013243,15991529,510754,20339677,9984143,3817914,934561,189883042,16000,203486,218163,69096894,2979358,3285234,98195,0,4719028,4020674,15381568,32267840,19175904,6092411,45991858,138554,11183331,1640196,2101799,1562620,0,140836194,45448,0,61992369,9958328,4710079,5189,0,0,41377,524079,980878,0,142972,11105661,0,781677,0,1737716,346069,3836752,0,44633,0,189352,225423,0,18185754,54358331,83794766,65717,10128807,10407746,0,63550,3581797,147375,10290821,414904,0,3772661,0,2873485,6027737,0,0,16358018,0,19012407,21255403,33996632,361692,5301771,0,3162663,489797,0,80901063,305749,3221061,303530,5015320,37990807,1592395,581087,0,0,0,0,0,0,0,0,0,0,122454,0,0,48830,0,0,339119,0,0,0,0,102033
"IND",1211538,96658605,1399082869,103116839,260025291,649263370,1271478254,1267083,1196439,549342798,34679541,603450390,195851197,274952433,28808293,48517915,3125213928,7999906,198186255,118798167,671959366,14603716,178962632,181340315,11690567,71674614,75377676,30053214,161047,145206537,0,1262044,1889376297,261700537,8381442,110019953,28490272,12033367,42419044,263314292,341483141,99577561,493198947,82227222,1068163,59345638,3539320,972525,558038,83770648,4308165,141451,1001699,5788767,351758,5517568,218170,18569,10981269,6066362,31543350,40624251,11081764,73694042,40560467,841180,1161037,17001440,50432624,1081322,29703,433929289,12915288,268626,301682126,3004185,34629066,179861,5023,606930,2855698,1972471,1434869,2757047,288074,80043423,5948102,1404643814,116109,13472464,69561,8606232,1080736,783815,4929,65695,317097,152303,45951730,77600078,23945580,63585195,35581721,135752,0,29859,1513470,3303293,578798,3854221,2443088,1851067,78294,7546309,266323,50455183,188622,62134268,4333008,10729695,91513620,35453113,1281819,52620682,504520,21224617,2260182,1110191,2895919609,1097266,9711228,1499813,29244112,16956591,0,2164048,10127070,0,1058756,2656279,0,519537,15258,3303902,125707,47722389,1024780,1719570,393937,10235259,22223,22063579,14487,1303,4704,0,369391,0
"ISL",94805,412314,214767914,81252920,73784014,147552151,418800543,1689125,2759,78061,1253983,36989131,78492,16507944,89001,52016027,157149190,65822,1186145,6191680,16470213,3081363,6438414,61212939,187748,26350,16647608,16587721,2241807,0,2378,0,94149097,1388830,1469239,109411,270502,42035,24146199,26406,0,28052240,464027,2690338,0,1910204,189847,209597,138474,0,0,15104,25253,30990,0,31077,15249,0,7272,39817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336556,0,0,380035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",34290355,6890996864,18538311466,1168653054,3513215882,8726154076,10982933766,34527941,89251215,12126514841,1064835204,3823770740,6379073170,3539370602,1339189719,618553073,85498041080,164736232,6497301156,2063274132,2286201782,1216048707,7404122787,2972648709,268250789,377389330,1576417782,1062827338,16011984,4795652212,1711168169,84332417,0,16907628795,230181124,309924765,1145641101,67435580,1059013718,3748063621,11068802488,2525658629,9189649804,1018587375,53730494,387636346,511913849,455693786,88462979,2165819542,25916495,67070935,200118867,456999905,153511651,74941241,15667437,32718862,90569445,241075822,62524585,416124327,116800555,423986127,1006702244,86560041,145624761,153068751,120889169,29734039,1133807,1559346359,10325960,19633652,380953050,54269278,150953833,432006180,8235706,114997723,7238247,54663089,40823974,51698249,22855789,50259843,71910231,106228079,112936262,47534768,37474420,70237620,22671437,18909683,187734,12747403,60723848,22410978,142572246,1603283045,263106416,496731704,197231286,4486205,3180208,19355286,88064797,1095540254,160989660,35372727,8688031,100215066,14626218,39981502,6445921,68686140,28212299,269226013,26988217,2886260650,304183506,175680756,189168714,80449513,21788810,45933939,36945275,7864829,2567802821,11046388,69688248,36470331,86856484,215608685,9156680,1521091758,68868873,0,10864724,24787695,91168,7834238,4364444,24924526,13624497,57762766,14132843,11033508,5800050,24280270,5360662,82382031,12246260,80829,973578,0,0,674637
"KOR",6035118,829631184,2524199335,192184351,565179804,1232018250,1550168521,4101644,22947965,3314083088,73607929,738057992,683420244,522302249,140915589,65107477,17678673718,79798354,794787890,244340199,233990424,106167039,1749793230,297740183,39622855,124322138,160469471,111534543,1746668,891439382,435304836,8414251,10692423201,0,148890826,135864863,172747268,12727501,117397151,867049361,1614454281,516131228,948211959,281392423,25404987,222205910,112666229,37703778,13563102,454168247,21639521,4033877,46651988,32236559,14036366,15240131,1117524,11453754,11858029,37452226,33223671,112940904,24194038,27216535,221474497,20010862,10922410,9547936,36662831,22721639,0,608687692,18517852,563196,276096142,0,15417945,65414996,787286,31370375,862011,11826916,13032234,11536138,2249999,0,0,0,79301520,10629695,4391201,24421694,62225,1589898,472581,1293273,22301073,8863941,0,0,0,93481963,21234116,0,25830,0,57904988,550286845,29518382,7489967,337843,37713539,0,983933,1405659,20303714,2971208,89703053,2297989,547155764,0,0,54783770,0,493051,7720443,8175869,863098,0,3681529,22816900,5364336,3825987,0,6179155,4302341,2455478,0,1095602,15669574,156773,799178,204391,1709696,1627080,10032483,4052398,204305,21087,10281666,1354729,2399285,0,0,0,0,0,0
"LBY",0,2894758,2053618107,9682735,1073890565,700389406,242988297,0,0,29779,2049,4348293672,10673,89618582,0,72793837,0,0,945,246978108,248081990,0,0,208131085,920332,11077065,0,279480124,0,150104,0,0,129067,10054724,0,0,0,54377187,3095,0,5925011,32400153,7811790,451372604,0,242477406,2169987,0,0,1713,0,22533,0,4558762,0,0,0,0,27496227,0,44902,0,118815465,0,0,0,0,2341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204253078,0,0,0,0,0,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",60808,1668356,156762851,11426869,9696775,62843672,100728400,140391,115698,15939832,7365748,33374255,2231896,64968251,5615132,2128951,523122014,1365012,26205693,8981254,94364227,70036,32280561,18768760,488850,66662039,2051759,3429016,44066,471082,9614967,192203,120692773,20961620,19101287,0,16905818,215894,4230907,39377991,29038219,34822774,27063165,4211917,777021,7891613,5267858,811629,105835,6690316,0,118454,140649,0,61149,1413465,28131,170281,2499679,0,12764823,3824642,2335254,1854993,27992943,785345,131920,496959,0,0,0,0,0,0,7753494,0,0,0,0,0,0,0,0,0,0,1324377,0,0,0,1566350,0,0,0,0,0,0,0,0,0,0,0,7238371,763732,0,0,0,0,0,40687,0,0,0,0,0,0,360687,0,0,0,128228,187280,0,21909,7999532,0,0,0,0,0,0,24772718,0,0,0,0,0,312275,0,0,135994,0,0,0,0,0,72259,0,71488,0,0,0,0,0,0,0,0,0,0
"MEX",1457119,112613333,549691929,11710684,1312594512,674070294,310956674,713612,105195777,64028281,13508819,188017974,9436238,148850573,16592530,80341115,28407631892,115848695,66433072,51516013,235243357,165249896,1347388211,198803776,1116374,5242881,6637511,27938224,16419,56501821,33150046,333073,1764205304,240072795,281661,564079,0,1439393,9981052,18783707,64688076,22465247,59068135,20039368,49431091,10911912,93718701,112547683,167860958,11440026,0,7041194,63118302,44557043,54348735,321545,127885,55205814,8686652,94233220,427109,4568059,26011108,383682,898891,90478594,250537,63327,1297305,1955860,816588,2007525,33443,4235,295867,84596,48671,26416483,16646781,1385150,269530,1774612,1001662,0,445500,4842663,102826972,2435857,106667966,979007,914507,568670,42044,104852,0,57130,52026316,2089461,1081264,21605164,2961510,217330564,0,17204,25317,0,1700949,2904656,30119,88144,0,1096900,2524,0,2520,44106,68654,5088971,12146367,69939447,2908917,9213494,20502028,14717,3295,8266,7404,0,23929233,756371,1001,1767498,0,1341211,0,459545,4856,0,21039,75520,0,4687,0,0,0,70065,2705,0,55256,0,6496,0,0,0,3086,0,67739,0
"MLT",0,0,229562845,4676712,4323820,72908890,80303777,10545,1207,49419,2731273,339608224,23599,12977977,74402,772603,37034647,153883,967069,5929141,26239019,0,2633959,3439185,336596,1715139,1638829,4510921,0,0,0,36923,7325434,7789719,55579462,33405,7213726,0,45488821,2530959,30625938,5823736,54998,1166569,7951,351923,282176,87228,26140,0,0,0,0,412806,2450,0,14927,0,3131088,129811,97037,0,512559,759021,0,7059,0,319175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113045,0,0,0,0,0,0,0,0,0,0,0,0,0,16315,0,0,0,0,52181,0,9975,0,0,0,7145,0,0,0,26993,0,0,0,0,0,0,0,0,19874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOR",2908387,163953751,4455003826,1346097986,330328573,2759260994,6760425973,2962823,8896552,83100007,156806857,628015507,38430638,1821605530,66107157,239814708,1810160639,28129273,96621756,150941156,1281580611,83468235,1300744506,384114846,9964640,16007247,831446249,84828372,35836543,47665199,21102506,79588226,586920908,82726985,7363668,4489635,34976781,3445254,0,317051830,211517515,3959272341,74634129,54107698,9918430,73937032,35177035,13298246,13054276,8658225,7456136,389599,835115,13961324,1268512,8328956,661534,365029,7556136,26304786,1568324,4176108,10255451,13488820,14061008,8550854,850719,3325739,56317,5809674,196820,33807188,785341,420028,541156,4023164,3200994,92395562,57519,27976782,975655,3115291,2413386,4471981,6067185,20769152,839721,15380559,1326609,4473735,3799720,2500943,26501100,1117742,464997,7466,149315,368110,10337969,20312701,9751160,85711628,4052255,29777,243286,965855,1139460,208874710,606102,231595,548679,1545292,27814,3054956,394393,68814,392682,13408573,952471,45007603,144677755,3224599,111760,2779214,5917,948066,839733,452810,169345665,417654,2878190,1241445,10262982,93928,383834,3772830,2914695,0,294149,301644,215942,1406446,0,551684,99471,185991,966377,20222,144805,233136,1770,5316456,4451,0,0,0,0,0
"SAU",0,72708457,1073912278,30074016,513161424,2633163065,1066949337,8129,66131,79478456,1356952,1632965016,133035823,1299241544,294301306,276218469,9916580162,11268048,448293388,28191435,322227837,0,500934040,353699687,11056274,69070422,77094608,195025667,0,329248574,0,0,9396713868,1574253446,4219554,29313281,88050,2010896,4302590,0,2987119579,138895488,374614642,666145156,0,798077667,896234,0,95710,529760678,0,0,168146,13325848,0,19550,0,3627,37671374,3378775,0,0,166291469,52999471,0,358680,21919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2977516,0,0,0,0,0,0,0,0,0,0,0,0,0,17992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGP",852869,774282183,1664054744,214246094,237805318,892481354,1652979047,2614419,2551832,3049721103,89472310,551037246,4070612037,554171550,127549988,31909882,9205000267,17234447,799855404,144518256,214877271,71539098,434798478,194115567,70724461,85340499,65962065,112235393,267626,1153095723,1102176521,1110030,3312749485,886319845,15869562,106288102,52394481,27518239,195784071,246549147,0,144237777,2272309401,81264401,6914683,53503883,19411592,13434114,3894835,460310358,0,36763,592958,15690836,2519387,41192534,977562,109020,8447771,5647371,17340831,54007220,14555469,52501976,277658479,8701230,97363575,50590845,72597440,0,0,447646043,0,0,395302929,30348367,23681525,32086036,0,16283262,0,5811004,3821568,0,0,6183454,0,8601336,0,2030697,1060510,5192462,2174994,0,0,0,9789836,0,28034440,119671812,4040020,55395777,47319279,0,0,0,31612957,287617070,7959009,13120843,0,221015390,0,11651024,0,91338092,28701591,122680929,0,306607809,139664071,34982743,1834387,7161407,0,3238618,0,2456100,332251339,0,21479536,2776376,18336092,0,25969704,160716,0,0,0,6973748,0,0,0,0,0,69885881,0,21009655,0,2297906,0,3066909,0,0,0,0,0,0
"SWE",9285560,240725504,7430822057,3322390431,1439792348,3279623638,5811482521,11014077,7064831,199327124,321191078,2453261771,214138823,2444434662,231849968,335338155,4642954228,37206112,586827420,785337477,2465143898,255122536,699331206,1223002082,35082652,213832580,3281815138,263323282,9679178,178980668,164761783,114717322,1175933507,342277917,97387731,14800535,278077742,12151041,3898716720,329165857,299279201,0,275278560,215596498,6969406,209659751,169557359,58181820,7828389,34839805,410416,9297273,11862435,154156832,7085936,1308125,1986303,4970091,50916831,20688151,17187989,52537410,147595229,25761158,66175958,53423708,2733007,14844902,59932,21314221,3793786,76720069,353130,402028,3307690,23810770,13981688,24680664,65165,46888697,331637,7834554,3461673,14652432,1536701,126177065,10890532,129200727,3866171,20969270,612437,8225336,20618979,2651921,7675,686747,4050677,703181,128880567,252340982,79153806,135671423,30062172,5831,311756,8287282,5451252,34573117,11849138,1016824,526937,1378658,17596,24466965,1420905,7721689,1502557,23957238,4362126,5725908,271184196,12838045,2715972,26929637,586183,11758886,4309712,2961684,392672449,158605,28735451,5737215,30273261,11991362,27468835,25367739,19363161,0,196884,564874,63631,1305043,37193,2238825,842996,1001282,1520743,1901520,27621,1846301,673,19395789,1105353,254766,0,0,0,46172
"THA",1797553,336444548,1245123864,97617518,247144568,718705332,767541368,3741636,1236588,967220221,31731606,427225687,645237935,570123282,49803632,88510635,5152962685,1148459,329468131,97947915,342368190,6924879,315682052,270073387,8218796,58742704,70259670,25265901,165847,171555284,63360993,1507910,3754578459,425498602,61583007,78359077,37562260,4534895,43414079,390589497,1496101714,131413448,0,18331370,343239,28375656,6898563,1759317,3243892,141614058,38603018,40138,556711,4385677,261115,13646104,1365101,171222,1321441,1300280,25284035,78272103,16355435,22824959,79226384,23238282,7631898,5375826,3875091,11737078,97335,324524077,34334449,3465061,52822763,6264934,20092404,795770,319373,687617,121926,11098950,5993753,14362209,19339529,3939208,28913286,8692025,2780368,8393,11043059,9507384,145630,0,0,321741,363701,399231,7556207,119880698,50280794,50461440,22575201,848494,0,65748086,25609320,3711259,7825672,7743278,1193183,41962646,50718,67386776,8683967,14740495,0,86722697,6607920,151885118,133756105,12353937,230875,4103963,231246,793838,38719281,17535850,103484552,1203418,36833897,268490,14932769,18224801,4432288,1498236,443789,1330552,511896,9202334,0,7782231,0,44580,607602,9613504,1112851,737459,4134,340333,876517,423919,2662409,0,0,0,0,0
"TUR",128476,44322726,3153305854,73743722,226567839,805285785,902339575,2199091,235138,35234156,40652851,1179993842,13470691,365217722,5733017,39941906,1185040961,1104286,24828335,190232901,232790839,11762899,67648640,234026907,154556505,150278745,34924112,139128590,117989,15034744,61552226,1587118,240850176,152559524,289902044,16977845,3939242,16114504,51636158,318799312,34077269,98352568,50941518,0,4307643,132397748,2436157,8155727,413970,8892036,156347,28501,131654,209935701,311666,37298,296736,12976,45592707,2264628,80848092,92189021,23039183,10269035,47600177,413878,12335,6106220,1432276,410691,5679586,75406331,785554,22253,3308065,10358180,3526159,68706,0,20327,0,638240,1005234,0,489595,64370917,394023,12897213,1534842,825125,28084,390094,49246,112532,0,14435,0,59280,30587687,495479825,214478202,46134989,3128917,0,0,872563,50646258,8328310,10545,67654,148191,42722,0,158182,28405,0,2040000,7646743,136078,13610033,103418902,25671523,393028,83157096,0,21354916,1547232,0,531089361,0,194485300,646053,1336431,0,0,50780866,40867,0,176710,55056,0,202239,0,9150,447862,33440,115327,0,0,1738221,0,28888,0,0,0,0,0,0
"URY",352159,60198792,127621803,2304046,26961055,71380912,83742882,115525,6522,21415676,1333002,85163203,1904753,26961349,39961,7868285,200036355,72774694,1997057,13791535,15162319,383982194,35529449,14290842,1115247,14400067,1648455,4510942,1029,129749,292632,73882,26443526,7057875,62027,0,32173530,717109,697703,4126830,6183496,4314238,739780,7461381,0,6334902,14757578,16315146,342054,700096,8996,1138637,890525,10516385,769188,0,39382,4234,46078,2668486,188529,8302,62531,0,0,6063360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37227,0,0,11009286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30146825,0,0,0,0,0,0,35765,6001,0,0,0,0,0,0,0,0,0,55157,4974158,0,8687642,0,0,0,32781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YUG",89939,57394186,4131835156,63455041,128085453,869327002,314494932,1679331,57775,12641857,23439282,2737752799,12430475,282703235,2661131,8070994,750241571,5398316,61522123,534816681,197871873,12701000,75000135,166212635,34286459,251512674,42133974,257370599,118590,21507257,81147000,2073270,56598599,15060000,75504232,11606752,5113143,9583631,75811654,461461499,37552704,157871950,25132506,241527815,720913,0,3581116,4029203,99159,2097637,540000,1796421,869997,104060449,12038808,74000,934099,50033,39591448,3839134,15790000,105151000,19959508,8902852,26998000,1281102,980208,6759000,1031000,3631000,35943000,34830000,2e+05,16000,1519000,101928000,1052000,128000,33000,29000,188000,0,1056000,2669000,46000,465171000,9075000,182300000,166000,16897000,0,5905000,87000,169000,379000,129000,211000,0,0,171120000,114879000,11149458,1342000,12000,0,0,10298000,217601000,74759,196023000,587000,22033000,7312000,177000,0,56000,13000,31696000,73000,44100000,217950000,555000,62147,169257000,196000,31660000,279000,892000,2669803000,204000,27092000,8000,2853000,625000,341000,4e+05,1646000,140000,198000,847000,131000,216000,0,10000,217000,73000,228000,3000,183000,2123000,17000,1985000,0,0,0,0,9000,45000
"CHL",93258,30691872,828915904,13291405,282030309,588848718,358306721,559971,8657842,36867937,13551555,413415876,40796969,211322339,10947678,45831302,1415772470,87140490,39100699,22379597,130092280,436415844,138428858,22985822,958183,21231060,22198414,34381821,528092,78960262,53233308,614827,1475977438,299270973,24686,3686536,33096917,405450,17859619,33875062,78556785,95584301,38238007,41769799,18366994,28880590,0,83256400,479093,42512078,0,79495090,15065793,0,25930349,146270,149088,1270196,10431794,25839788,0,3349046,8283885,2822465,381475,80195309,4199423,860937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245683,0,0,0,0,2179852,0,0,0,0,0,0,101902,0,0,0,0,0,0,183179,0,0,7375,5321141,0,0,25512443,0,0,0,0,0,0,0,0,486608,0,0,0,0,0,0,0,0,0,0,14208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",660491,3172152,624274087,21910172,127630451,188306153,131150973,581773,10620705,12966087,7707384,112584800,2487978,204772811,771791,28678347,3098551602,24173658,6359537,41241714,48731609,19602957,101188985,45217498,73706,69078,71644150,6974418,1014,4268822,851613,656150,248027313,11427361,0,0,29108377,534857,29497705,8550199,5008201,87391922,10617243,10360022,43169088,33168035,148785854,0,2142944,159064,0,3909942,15140219,0,52778154,0,103433,2323877,0,134239915,9260,151807,3300856,0,24551,92828166,11267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60884,0,0,12910916,0,0,0,0,0,0,0,0,0,0,6313919,0,0,0,0,24912828,0,0,0,0,0,0,0,0,0,0,0,0,0,371855,0,0,928253,13851240,204116,0,587254,4740363,0,0,0,0,0,1734259,0,9546783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
